JUL22SHB100005.spu,JUL22SHB100004.spu,JUL22SHB100003.spu,
Wavelength,JUL22SHB100006.spu,JUL22SHB100007.spu,JUL22SHB100008.spu,JUL22SHB100009.spu,JUL22SHB100010.spu,JUL22SHB100011.spu,JUL22SHB100012.spu,JUL22SHB100013.spu,JUL22SHB100014.spu,JUL22SHB100015.spu,JUL22SHB100016.spu,JUL22SHB100017.spu,JUL22SHB100018.spu,JUL22SHB100019.spu,JUL22SHB100020.spu,JUL22SHB100021.spu,JUL22SHB100022.spu,JUL22SHB100023.spu,JUL22SHB100024.spu,JUL22SHB100025.spu
  (nm),7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 
  time  ,55:39 PM,56:06 PM,56:20 PM,56:36 PM,56:54 PM,57:08 PM,57:18 PM,57:31 PM,57:44 PM,57:54 PM,58:36 PM,58:48 PM,58:56 PM,59:05 PM,59:19 PM,59:41 PM,59:52 PM,00:01 PM,00:11 PM,00:19 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 335 , 0.014134 , 0 , 0 , 0 , 0 , 0.004637 , 0 , 0 , 0.000865 , 0 , 0 , 0 , 0.058854 , 0 , 0.000594 , 0 , 0 , 0 , 0 , 0 
 336 , 0.013823 , 0 , 0 , 0 , 0 , 0.006625 , 0 , 0 , 0.004788 , 0 , 0 , 0 , 0.053517 , 0 , 0.003103 , 0 , 0 , 0 , 0 , 0 
 337 , 0.013559 , 0 , 0 , 0 , 0 , 0.008115 , 0 , 0 , 0.008145 , 0 , 0 , 0 , 0.049307 , 0 , 0.005013 , 0 , 0 , 0 , 0 , 0 
 338 , 0.013333 , 0 , 0 , 0 , 0 , 0.009249 , 0 , 0 , 0.011053 , 0 , 0 , 0 , 0.045892 , 0 , 0.006488 , 0 , 0 , 0 , 0 , 0 
 339 , 0.013285 , 0.000934 , 0.001404 , 0 , 0.001185 , 0.013327 , 0.004104 , 0.001633 , 0.016222 , 0.000556 , 0.002048 , 0.002259 , 0.045409 , 0 , 0.008064 , 0.000979 , 0 , 0 , 0 , 0 
 340 , 0.013274 , 0.002033 , 0.002712 , 0 , 0.002394 , 0.016996 , 0.008159 , 0.003094 , 0.021346 , 0.001095 , 0.004065 , 0.004177 , 0.045031 , 0 , 0.009208 , 0.001941 , 0 , 0 , 0 , 0 
 341 , 0.013267 , 0.003126 , 0.003709 , 0 , 0.003414 , 0.01981 , 0.011455 , 0.004168 , 0.02598 , 0.001525 , 0.005697 , 0.005514 , 0.044351 , 0 , 0.009976 , 0.002719 , 0 , 0 , 0 , 0 
 342 , 0.013254 , 0.00352 , 0.005566 , 0.000145 , 0.004257 , 0.02242 , 0.012787 , 0.005903 , 0.027995 , 0.003069 , 0.006813 , 0.00742 , 0.044518 , 0.000229 , 0.0118 , 0.004836 , 0 , 0.00011 , 0 , 0.000057 
 343 , 0.013235 , 0.003134 , 0.00864 , 0.000439 , 0.004905 , 0.024879 , 0.01236 , 0.00845 , 0.027326 , 0.005523 , 0.007513 , 0.009701 , 0.045615 , 0.000667 , 0.014722 , 0.008194 , 0 , 0.000311 , 0 , 0.000171 
 344 , 0.01322 , 0.002816 , 0.011696 , 0.000698 , 0.005405 , 0.026758 , 0.011974 , 0.010693 , 0.026677 , 0.007412 , 0.008132 , 0.011288 , 0.046603 , 0.001023 , 0.017166 , 0.010954 , 0 , 0.000465 , 0 , 0.000271 
 345 , 0.013217 , 0.002761 , 0.014575 , 0.001088 , 0.005916 , 0.028131 , 0.011898 , 0.012662 , 0.026259 , 0.008801 , 0.008806 , 0.012415 , 0.047452 , 0.001459 , 0.019045 , 0.013185 , 0.000014 , 0.000676 , 0 , 0.00054 
 346 , 0.013344 , 0.005139 , 0.015242 , 0.003329 , 0.007725 , 0.028413 , 0.015045 , 0.014115 , 0.02806 , 0.008832 , 0.010903 , 0.013097 , 0.048197 , 0.003511 , 0.018677 , 0.014364 , 0.000176 , 0.00192 , 0 , 0.002676 
 347 , 0.013455 , 0.006907 , 0.015672 , 0.005169 , 0.009005 , 0.0285 , 0.017641 , 0.015291 , 0.029483 , 0.008835 , 0.012566 , 0.013667 , 0.048613 , 0.005179 , 0.018296 , 0.015215 , 0.000292 , 0.002948 , 0 , 0.00409 
 348 , 0.013552 , 0.008245 , 0.01594 , 0.006696 , 0.009925 , 0.028459 , 0.019802 , 0.016252 , 0.030615 , 0.008817 , 0.013897 , 0.014149 , 0.048799 , 0.00655 , 0.017917 , 0.015831 , 0.000378 , 0.003804 , 0 , 0.005059 
 349 , 0.013408 , 0.009 , 0.016681 , 0.006532 , 0.011094 , 0.028456 , 0.020031 , 0.017104 , 0.029678 , 0.008989 , 0.01394 , 0.014696 , 0.050171 , 0.007798 , 0.018141 , 0.015136 , 0.001202 , 0.004308 , 0 , 0.005897 
