JUL22SHB200005.spu,JUL22SHB200004.spu,JUL22SHB200003.spu,
Wavelength,JUL22SHB200006.spu,JUL22SHB200007.spu,JUL22SHB200008.spu,JUL22SHB200009.spu,JUL22SHB200010.spu,JUL22SHB200011.spu,JUL22SHB200012.spu,JUL22SHB200013.spu,JUL22SHB200014.spu,JUL22SHB200015.spu,JUL22SHB200016.spu,JUL22SHB200017.spu,JUL22SHB200018.spu,JUL22SHB200019.spu,JUL22SHB200020.spu,JUL22SHB200021.spu,JUL22SHB200022.spu,JUL22SHB200023.spu,JUL22SHB200024.spu,JUL22SHB200025.spu
  (nm),7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 
  time  ,23:15 PM,23:26 PM,23:35 PM,23:43 PM,23:52 PM,24:31 PM,24:39 PM,24:46 PM,24:57 PM,25:04 PM,25:17 PM,25:29 PM,25:38 PM,25:48 PM,25:55 PM,26:48 PM,26:55 PM,27:02 PM,27:08 PM,27:14 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 310 , 0 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 311 , 0 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 312 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 313 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 314 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 315 , 1.148529 , 0 , 1.148529 , 1.148529 , 1.148529 , 1.148529 , 1.148529 , 1.148529 , 0 , 0 , 1.148529 , 1.148529 , 1.148529 , 1.148529 , 1.148529 , 1.148529 , 1.148529 , 1.148529 , 1.148529 , 1.148529 
 316 , 1.340227 , 0 , 1.340227 , 1.340227 , 1.340227 , 1.340227 , 1.340227 , 1.340227 , 0 , 0 , 1.340227 , 1.340227 , 1.340227 , 1.340227 , 1.340227 , 1.340227 , 1.340227 , 1.340227 , 1.340227 , 1.340227 
 317 , 1.389534 , 0 , 1.389534 , 1.389534 , 1.389534 , 1.389534 , 1.389534 , 1.389534 , 0 , 0 , 1.389534 , 1.389534 , 1.389534 , 1.389534 , 1.389534 , 1.389534 , 1.389534 , 1.389534 , 1.389534 , 1.389534 
 318 , 1.403284 , 0 , 0 , 1.403284 , 1.403284 , 0 , 1.403284 , 1.403284 , 1.403284 , 0 , 1.403284 , 0 , 1.403284 , 0 , 1.403284 , 0 , 1.403284 , 1.403284 , 1.403284 , 1.403284 
 319 , 1.34445 , 0 , 0 , 1.34445 , 1.34445 , 0 , 1.34445 , 1.34445 , 1.34445 , 0 , 1.34445 , 0 , 1.34445 , 0 , 1.34445 , 0 , 1.34445 , 1.34445 , 1.34445 , 1.34445 
 320 , 1.21111 , 0 , 0 , 1.21111 , 1.21111 , 0 , 1.21111 , 1.21111 , 1.21111 , 0 , 1.21111 , 0 , 1.21111 , 0 , 1.21111 , 0 , 1.21111 , 1.21111 , 1.21111 , 1.21111 
 321 , 0.61741 , 0 , 0 , 0.61741 , 0.61741 , 0 , 0.61741 , 0.61741 , 0.61741 , 0 , 0.61741 , 0 , 0.61741 , 0 , 0.61741 , 0 , 0.61741 , 0.61741 , 0.61741 , 0.61741 
 322 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.168586 , 0 , 0 , 0 , 1.168586 , 0 , 0 , 1.168586 , 1.168586 , 0 
 323 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.685368 , 0 , 0 , 0 , 1.685368 , 0 , 0 , 1.685368 , 1.685368 , 0 
 324 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.921589 , 0 , 0 , 0 , 1.921589 , 0 , 0 , 1.921589 , 1.921589 , 0 
 325 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 326 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 327 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 328 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 329 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
