  time  ,:18:51 A,:18:59 A,:19:07 A,:19:14 A,:19:26 A,:20:21 A,:20:31 A,:20:41 A,:20:51 A,:20:58 A,:21:38 A,:21:45 A,:21:59 A,:22:06 A,:22:12 A,:22:30 A,:22:38 A,:22:45 A,:22:52 A,:22:59 A,:23:28 A,:23:36 A,:23:43 A,:23:49 A,:23:55 A,:24:18 A,:24:25 A,:24:32 A,:24:38 A,:24:44 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 332 , 0.39523 , 0.39523 , 0.39523 , 0.39523 , 0.39523 , 0.39523 , 0.39523 , 0.39523 , 0.39523 , 0 , 0.39523 , 0.39523 , 0.39523 , 0.39523 , 0.39523 , 0.39523 , 0 , 0 , 0 , 0 , 0.000274 , 0 , 0.000036 , 0 , 0 , 0 , 0.000027 , 0 , 0 , 0 
 333 , 0.659286 , 0.659286 , 0.659286 , 0.659286 , 0.659286 , 0.659286 , 0.659286 , 0.659286 , 0.659286 , 0 , 0.659286 , 0.659286 , 0.659286 , 0.659286 , 0.659286 , 0.659286 , 0 , 0 , 0 , 0 , 0.000645 , 0 , 0.000146 , 0 , 0 , 0 , 0.000116 , 0 , 0 , 0 
 334 , 0.783094 , 0.783094 , 0.783094 , 0.783094 , 0.783094 , 0.783094 , 0.783094 , 0.783094 , 0.783094 , 0 , 0.783094 , 0.783094 , 0.783094 , 0.783094 , 0.783094 , 0.783094 , 0 , 0 , 0 , 0 , 0.000989 , 0 , 0.000256 , 0 , 0 , 0 , 0.000215 , 0 , 0 , 0 
 335 , 0 , 0.063793 , 0 , 0.000011 , 0.063793 , 0.063793 , 0.063793 , 0 , 0 , 0.000022 , 0 , 0 , 0 , 0.063793 , 0 , 0.063793 , 0 , 0 , 0 , 0 , 0.0001 , 0.000002 , 0.000029 , 0.000003 , 0.000001 , 0.000003 , 0.000026 , 0.000002 , 0.000001 , 0.000001 
 336 , 0 , 0.246927 , 0 , 0.000048 , 0.246927 , 0.246927 , 0.246927 , 0 , 0 , 0.000291 , 0 , 0 , 0 , 0.246927 , 0 , 0.246927 , 0 , 0 , 0 , 0 , 0.000474 , 0.000042 , 0.000179 , 0.000056 , 0.000027 , 0.000066 , 0.000168 , 0.000052 , 0.000017 , 0.000031 
 337 , 0 , 0.287401 , 0 , 0.000057 , 0.287401 , 0.287401 , 0.287401 , 0 , 0 , 0.000437 , 0 , 0 , 0 , 0.287401 , 0 , 0.287401 , 0 , 0 , 0 , 0 , 0.000642 , 0.000079 , 0.000274 , 0.000108 , 0.000053 , 0.000132 , 0.000262 , 0.000101 , 0.000035 , 0.000061 
 338 , 0 , 0.07282 , 0 , 0.000014 , 0.07282 , 0.07282 , 0.07282 , 0 , 0 , 0.000124 , 0 , 0 , 0 , 0.07282 , 0 , 0.07282 , 0 , 0 , 0 , 0 , 0.000183 , 0.000026 , 0.000083 , 0.000036 , 0.000019 , 0.000046 , 0.000081 , 0.000035 , 0.000013 , 0.000021 
 339 , 0.000331 , 0.000631 , 0.000336 , 0.000345 , 0 , 0.539276 , 0.539276 , 0.000747 , 0 , 0.001938 , 0.000118 , 0 , 0.000523 , 0.002783 , 0.000216 , 0 , 0 , 0.000166 , 0.000079 , 0 , 0.001511 , 0.000277 , 0.000721 , 0.000326 , 0.000205 , 0.000434 , 0.000706 , 0.000327 , 0.000164 , 0.000245 
 340 , 0.001294 , 0.00111 , 0.000969 , 0.001089 , 0 , 0.930892 , 0.930892 , 0.002842 , 0 , 0.006476 , 0.000401 , 0 , 0.001762 , 0.003555 , 0.000611 , 0 , 0 , 0.00061 , 0.000299 , 0 , 0.002868 , 0.000633 , 0.001421 , 0.000649 , 0.000467 , 0.000907 , 0.001398 , 0.000685 , 0.00041 , 0.000581 
 341 , 0.002689 , 0.001458 , 0.001574 , 0.002068 , 0 , 1.215964 , 1.215964 , 0.005741 , 0 , 0.015738 , 0.000733 , 0 , 0.00319 , 0.004154 , 0.000981 , 0 , 0 , 0.00119 , 0.000597 , 0 , 0.004066 , 0.001024 , 0.002085 , 0.000948 , 0.00074 , 0.001386 , 0.002055 , 0.001046 , 0.000686 , 0.000948 
