  time  ,:20:40 A,:20:47 A,:20:55 A,:21:01 A,:21:07 A,:21:36 A,:21:40 A,:21:49 A,:21:56 A,:22:03 A,:22:44 A,:22:50 A,:22:55 A,:23:01 A,:23:07 A,:23:39 A,:23:46 A,:23:52 A,:23:59 A,:24:05 A,:24:37 A,:24:43 A,:24:49 A,:24:54 A,:24:59 A,:25:31 A,:25:41 A,:25:46 A,:25:55 A,:26:02 A,:26:33 A,:26:42 A,:26:49 A,:26:55 A,:27:02 A,:27:37 A,:27:44 A,:27:51 A,:27:59 A,:28:06 A,:28:41 A,:28:50 A,:28:58 A,:29:08 A,:29:17 A,:30:12 A,:30:18 A,:30:26 A,:30:33 A,:30:41 A,:31:38 A,:31:48 A,:31:54 A,:32:01 A,:32:09 A,:32:40 A,:32:46 A,:32:53 A,:32:58 A,:33:04 A,:33:38 A,:33:45 A,:33:50 A,:33:57 A,:34:03 A,:34:36 A,:34:44 A,:34:51 A,:35:00 A,:35:11 A,:35:46 A,:35:52 A,:35:58 A,:36:04 A,:36:11 A,:36:43 A,:36:49 A,:36:56 A,:37:02 A,:37:10 A,:37:44 A,:37:50 A,:37:57 A,:38:03 A,:38:11 A,:38:47 A,:38:54 A,:39:01 A,:39:09 A,:39:15 A,:39:53 A,:39:59 A,:40:04 A,:40:12 A,:40:19 A,:41:05 A,:41:11 A,:41:16 A,:41:33 A,:41:44 A,:48:37 A,:48:45 A,:48:51 A,:48:59 A,:49:05 A,:49:37 A,:49:45 A,:49:54 A,:50:02 A,:50:07 A,:50:40 A,:50:47 A,:50:54 A,:51:01 A,:51:09 A,:51:48 A,:51:55 A,:52:01 A,:52:08 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 448 , 0.062921 , 0.042104 , 0.044485 , 0.065464 , 0.052193 , 0.061601 , 0.073986 , 0.055405 , 0.037753 , 0.040435 , 0.044533 , 0.052175 , 0.037584 , 0.045256 , 0.074511 , 0.062433 , 0.04487 , 0.04082 , 0.056876 , 0.0434 , 0.061806 , 0.061227 , 0.061215 , 0.056195 , 0.050771 , 0.054538 , 0.069346 , 0.071678 , 0.062577 , 0.066555 , 0.050656 , 0.05276 , 0.048083 , 0.047986 , 0.039085 , 0.029821 , 0.036174 , 0.05109 , 0.031099 , 0.047703 , 0.030382 , 0.036752 , 0.029327 , 0.037909 , 0.042333 , 0.04126 , 0.044997 , 0.042882 , 0.040652 , 0.048438 , 0.042225 , 0.06101 , 0.040061 , 0.040573 , 0.047426 , 0.044708 , 0.058774 , 0.059034 , 0.054791 , 0.062885 , 0.063482 , 0.079381 , 0.075041 , 0.041568 , 0.036553 , 0.044509 , 0.04801 , 0.053628 , 0.041875 , 0.042128 , 0.042074 , 0.041158 , 0.047769 , 0.050656 , 0.041507 , 0.046956 , 0.041459 , 0.049559 , 0.040386 , 0.041308 , 0.064488 , 0.092266 , 0.079296 , 0.079007 , 0.063011 , 0.041302 , 0.047245 , 0.035685 , 0.034257 , 0.025976 , 0.044322 , 0.050415 , 0.04472 , 0.06438 , 0.036837 , 0.029441 , 0.043852 , 0.032913 , 0.038958 , 0.036155 , 0.073094 , 0.051102 , 0.050988 , 0.05904 , 0.042062 , 0.047926 , 0.061866 , 0.081092 , 0.068014 , 0.044105 , 0.038114 , 0.046654 , 0.026157 , 0.03982 , 0.037867 , 0.069382 , 0.051156 , 0.084347 , 0.033552 
 449 , 0.063661 , 0.04263 , 0.045096 , 0.066241 , 0.052837 , 0.062359 , 0.074885 , 0.056059 , 0.038172 , 0.041007 , 0.045005 , 0.05277 , 0.038033 , 0.045732 , 0.075515 , 0.063116 , 0.045435 , 0.041322 , 0.057519 , 0.04389 , 0.062559 , 0.061941 , 0.061923 , 0.056841 , 0.051359 , 0.055181 , 0.070136 , 0.072559 , 0.063291 , 0.067332 , 0.051207 , 0.053376 , 0.048627 , 0.04853 , 0.039529 , 0.030147 , 0.03661 , 0.051637 , 0.031437 , 0.048245 , 0.030752 , 0.037131 , 0.029674 , 0.03833 , 0.0428 , 0.04174 , 0.045489 , 0.043394 , 0.041104 , 0.049051 , 0.042691 , 0.061711 , 0.040547 , 0.041031 , 0.047973 , 0.04529 , 0.059409 , 0.0597 , 0.055466 , 0.063558 , 0.064249 , 0.080276 , 0.075951 , 0.042055 , 0.036979 , 0.044993 , 0.048506 , 0.054333 , 0.042309 , 0.042618 , 0.04254 , 0.041607 , 0.048312 , 0.051226 , 0.041946 , 0.047482 , 0.041952 , 0.050135 , 0.04085 , 0.041752 , 0.065218 , 0.093323 , 0.080203 , 0.079943 , 0.063691 , 0.041776 , 0.047694 , 0.036095 , 0.034629 , 0.026282 , 0.044817 , 0.051008 , 0.045211 , 0.065133 , 0.03724 , 0.029826 , 0.044345 , 0.033314 , 0.03942 , 0.036555 , 0.07394 , 0.051686 , 0.051583 , 0.059712 , 0.042576 , 0.048536 , 0.062601 , 0.082045 , 0.068834 , 0.044629 , 0.038584 , 0.047131 , 0.026458 , 0.040214 , 0.038245 , 0.070209 , 0.05174 , 0.08534 , 0.03395 
 450 , 0.064203 , 0.042988 , 0.045447 , 0.06679 , 0.053268 , 0.062892 , 0.07546 , 0.05651 , 0.038471 , 0.041355 , 0.045289 , 0.053183 , 0.038362 , 0.046073 , 0.076183 , 0.063565 , 0.045818 , 0.041677 , 0.057949 , 0.044221 , 0.063074 , 0.062436 , 0.062406 , 0.057287 , 0.05175 , 0.055599 , 0.070676 , 0.073159 , 0.063796 , 0.067852 , 0.051525 , 0.053808 , 0.048975 , 0.048914 , 0.039825 , 0.030359 , 0.036898 , 0.052005 , 0.03164 , 0.048629 , 0.031003 , 0.037348 , 0.029891 , 0.03861 , 0.043073 , 0.042029 , 0.045799 , 0.043729 , 0.041391 , 0.04943 , 0.043031 , 0.062163 , 0.040863 , 0.041331 , 0.048362 , 0.045672 , 0.059831 , 0.060123 , 0.055921 , 0.064009 , 0.064707 , 0.080834 , 0.076559 , 0.042357 , 0.03725 , 0.04535 , 0.048866 , 0.054822 , 0.042587 , 0.042946 , 0.042842 , 0.041901 , 0.048677 , 0.051616 , 0.042223 , 0.047852 , 0.042272 , 0.050529 , 0.041167 , 0.042059 , 0.065745 , 0.094064 , 0.080828 , 0.08056 , 0.064179 , 0.04209 , 0.047979 , 0.036352 , 0.034876 , 0.026479 , 0.045119 , 0.05144 , 0.045538 , 0.06566 , 0.037505 , 0.030067 , 0.044676 , 0.033547 , 0.039709 , 0.03685 , 0.074489 , 0.052047 , 0.05195 , 0.060202 , 0.042897 , 0.048939 , 0.063116 , 0.082686 , 0.069413 , 0.044992 , 0.038859 , 0.047445 , 0.026655 , 0.040474 , 0.038471 , 0.070773 , 0.052059 , 0.086043 , 0.034227 
 451 , 0.064622 , 0.043235 , 0.045632 , 0.067195 , 0.05357 , 0.063287 , 0.075825 , 0.056835 , 0.038695 , 0.04156 , 0.045456 , 0.053491 , 0.03861 , 0.04633 , 0.076644 , 0.063875 , 0.046093 , 0.041948 , 0.058243 , 0.044449 , 0.063438 , 0.062789 , 0.062752 , 0.057606 , 0.052035 , 0.055876 , 0.071067 , 0.073585 , 0.064173 , 0.068215 , 0.051695 , 0.054123 , 0.049213 , 0.049195 , 0.040037 , 0.030502 , 0.037105 , 0.052259 , 0.031759 , 0.048909 , 0.03117 , 0.037463 , 0.030029 , 0.038811 , 0.043217 , 0.042197 , 0.045996 , 0.043963 , 0.041584 , 0.049668 , 0.04329 , 0.062467 , 0.041074 , 0.04153 , 0.048642 , 0.045942 , 0.060137 , 0.060386 , 0.056241 , 0.064324 , 0.064968 , 0.081178 , 0.076978 , 0.042555 , 0.037433 , 0.04562 , 0.04914 , 0.055178 , 0.042762 , 0.04318 , 0.043059 , 0.0421 , 0.04894 , 0.051901 , 0.04241 , 0.048126 , 0.042476 , 0.050821 , 0.041402 , 0.042288 , 0.066145 , 0.094602 , 0.081275 , 0.08099 , 0.064543 , 0.042306 , 0.048163 , 0.036517 , 0.035042 , 0.026606 , 0.045304 , 0.051768 , 0.04576 , 0.066042 , 0.037688 , 0.030217 , 0.044898 , 0.033682 , 0.039885 , 0.037087 , 0.07486 , 0.052278 , 0.05218 , 0.060574 , 0.043095 , 0.049213 , 0.063493 , 0.083138 , 0.069847 , 0.045256 , 0.039023 , 0.047647 , 0.026794 , 0.040643 , 0.038604 , 0.071182 , 0.052217 , 0.086561 , 0.034429 
 452 , 0.06504 , 0.043487 , 0.045817 , 0.067606 , 0.053879 , 0.063675 , 0.076195 , 0.057166 , 0.038926 , 0.041759 , 0.045623 , 0.0538 , 0.038859 , 0.046587 , 0.077105 , 0.064185 , 0.046363 , 0.042214 , 0.058531 , 0.044676 , 0.063809 , 0.063147 , 0.063099 , 0.057919 , 0.052313 , 0.056159 , 0.071458 , 0.074012 , 0.064549 , 0.068577 , 0.051865 , 0.054437 , 0.049444 , 0.049481 , 0.040242 , 0.030646 , 0.037306 , 0.05252 , 0.031883 , 0.049189 , 0.031343 , 0.037585 , 0.030172 , 0.039011 , 0.043366 , 0.042365 , 0.046193 , 0.044197 , 0.041771 , 0.049905 , 0.043542 , 0.062771 , 0.041285 , 0.041728 , 0.048923 , 0.046211 , 0.060436 , 0.060654 , 0.056554 , 0.06464 , 0.065234 , 0.081521 , 0.077403 , 0.042753 , 0.037615 , 0.045896 , 0.049414 , 0.055535 , 0.042941 , 0.043409 , 0.043269 , 0.042305 , 0.049196 , 0.052186 , 0.04259 , 0.048401 , 0.042687 , 0.051112 , 0.041631 , 0.042511 , 0.066544 , 0.095146 , 0.081716 , 0.081424 , 0.064907 , 0.042523 , 0.048352 , 0.036681 , 0.035213 , 0.026733 , 0.045489 , 0.052101 , 0.045987 , 0.066429 , 0.03787 , 0.030373 , 0.045125 , 0.033818 , 0.040066 , 0.037318 , 0.075231 , 0.052508 , 0.052411 , 0.060945 , 0.043299 , 0.049481 , 0.063869 , 0.08359 , 0.070275 , 0.04552 , 0.039181 , 0.047849 , 0.026933 , 0.040818 , 0.038738 , 0.071585 , 0.05238 , 0.087078 , 0.034637 
 453 , 0.065368 , 0.043694 , 0.045967 , 0.067926 , 0.054101 , 0.063998 , 0.076472 , 0.057416 , 0.039106 , 0.041936 , 0.045755 , 0.054058 , 0.039051 , 0.046809 , 0.077514 , 0.064429 , 0.046579 , 0.042421 , 0.058755 , 0.044851 , 0.064095 , 0.063416 , 0.063374 , 0.058155 , 0.052519 , 0.056373 , 0.071756 , 0.074356 , 0.064829 , 0.068847 , 0.051991 , 0.054688 , 0.049634 , 0.0497 , 0.040391 , 0.030741 , 0.037457 , 0.052707 , 0.031972 , 0.049397 , 0.031457 , 0.037669 , 0.030287 , 0.039154 , 0.043464 , 0.042494 , 0.046336 , 0.044379 , 0.0419 , 0.050082 , 0.043742 , 0.06301 , 0.041451 , 0.041869 , 0.049161 , 0.046415 , 0.060659 , 0.060859 , 0.056798 , 0.064871 , 0.065441 , 0.081769 , 0.077726 , 0.042894 , 0.037754 , 0.046094 , 0.049609 , 0.05581 , 0.043057 , 0.043573 , 0.043427 , 0.042457 , 0.049391 , 0.052403 , 0.042724 , 0.048609 , 0.042845 , 0.051337 , 0.041809 , 0.042682 , 0.066853 , 0.095594 , 0.08206 , 0.081769 , 0.065186 , 0.042694 , 0.04847 , 0.03679 , 0.035342 , 0.02682 , 0.045621 , 0.052349 , 0.046136 , 0.066714 , 0.037996 , 0.030487 , 0.0453 , 0.033923 , 0.040191 , 0.037499 , 0.075532 , 0.052682 , 0.052597 , 0.061228 , 0.043457 , 0.0497 , 0.064162 , 0.083945 , 0.070629 , 0.045724 , 0.0393 , 0.048003 , 0.027032 , 0.04093 , 0.038833 , 0.071902 , 0.052525 , 0.087472 , 0.034784 
 454 , 0.065475 , 0.043773 , 0.046012 , 0.068016 , 0.054117 , 0.064117 , 0.076495 , 0.05746 , 0.03915 , 0.042016 , 0.045806 , 0.054183 , 0.039077 , 0.046935 , 0.07775 , 0.064479 , 0.046621 , 0.042469 , 0.058776 , 0.044847 , 0.064171 , 0.063447 , 0.063435 , 0.058154 , 0.052511 , 0.056398 , 0.071781 , 0.074461 , 0.064847 , 0.06886 , 0.05198 , 0.054793 , 0.049693 , 0.049735 , 0.040357 , 0.030713 , 0.037454 , 0.052711 , 0.031968 , 0.049391 , 0.031401 , 0.037659 , 0.03032 , 0.039156 , 0.043423 , 0.042499 , 0.046325 , 0.044418 , 0.041853 , 0.050085 , 0.043779 , 0.063079 , 0.041473 , 0.041865 , 0.049265 , 0.046446 , 0.060647 , 0.060882 , 0.056845 , 0.064871 , 0.065493 , 0.081751 , 0.077792 , 0.042855 , 0.037774 , 0.046084 , 0.04959 , 0.055861 , 0.04303 , 0.043555 , 0.043441 , 0.042475 , 0.049409 , 0.052415 , 0.04271 , 0.048643 , 0.042849 , 0.051371 , 0.041817 , 0.042692 , 0.066911 , 0.095765 , 0.08215 , 0.081884 , 0.065233 , 0.04271 , 0.048395 , 0.036718 , 0.035348 , 0.026784 , 0.045607 , 0.052367 , 0.04609 , 0.06673 , 0.037967 , 0.030495 , 0.045312 , 0.033941 , 0.040188 , 0.03752 , 0.075626 , 0.052686 , 0.05265 , 0.061262 , 0.043495 , 0.049771 , 0.064226 , 0.084021 , 0.070762 , 0.045758 , 0.039282 , 0.048009 , 0.027025 , 0.040876 , 0.038824 , 0.071969 , 0.052644 , 0.087527 , 0.034768 
 455 , 0.065572 , 0.043855 , 0.046054 , 0.068102 , 0.054131 , 0.064238 , 0.076521 , 0.057502 , 0.039198 , 0.042106 , 0.045856 , 0.054311 , 0.039108 , 0.047058 , 0.077987 , 0.064527 , 0.046661 , 0.042521 , 0.0588 , 0.044847 , 0.064238 , 0.063475 , 0.063499 , 0.058157 , 0.052496 , 0.056426 , 0.071804 , 0.074568 , 0.064869 , 0.068877 , 0.051973 , 0.054894 , 0.04975 , 0.049768 , 0.040322 , 0.030677 , 0.037455 , 0.052707 , 0.031963 , 0.049383 , 0.031344 , 0.037648 , 0.030352 , 0.03915 , 0.043386 , 0.042509 , 0.046307 , 0.04445 , 0.041806 , 0.050087 , 0.043813 , 0.063144 , 0.041505 , 0.041854 , 0.049365 , 0.046475 , 0.060627 , 0.060903 , 0.056895 , 0.064869 , 0.065542 , 0.081725 , 0.077849 , 0.042821 , 0.037792 , 0.046078 , 0.04957 , 0.055909 , 0.043002 , 0.043537 , 0.043452 , 0.042491 , 0.049432 , 0.05243 , 0.042701 , 0.048674 , 0.042851 , 0.051415 , 0.04183 , 0.042707 , 0.066966 , 0.095943 , 0.082236 , 0.081995 , 0.065284 , 0.042725 , 0.048314 , 0.03665 , 0.035352 , 0.026747 , 0.045598 , 0.052382 , 0.046042 , 0.066744 , 0.037942 , 0.030503 , 0.045327 , 0.033964 , 0.040177 , 0.037539 , 0.075716 , 0.052695 , 0.052701 , 0.061294 , 0.043537 , 0.049846 , 0.064286 , 0.084099 , 0.07089 , 0.045796 , 0.03927 , 0.048013 , 0.027023 , 0.040814 , 0.038819 , 0.072038 , 0.052761 , 0.087584 , 0.034751 
 456 , 0.065678 , 0.043935 , 0.046095 , 0.068191 , 0.054143 , 0.064356 , 0.076544 , 0.057547 , 0.03925 , 0.042188 , 0.045904 , 0.054436 , 0.039142 , 0.047178 , 0.078225 , 0.064577 , 0.046699 , 0.042571 , 0.058821 , 0.044851 , 0.064308 , 0.0635 , 0.06356 , 0.058163 , 0.052491 , 0.056458 , 0.071829 , 0.074677 , 0.064888 , 0.068891 , 0.051965 , 0.054992 , 0.049805 , 0.049805 , 0.040291 , 0.030646 , 0.037449 , 0.052707 , 0.031963 , 0.049374 , 0.031286 , 0.037641 , 0.030383 , 0.039148 , 0.043343 , 0.042511 , 0.046292 , 0.044486 , 0.041763 , 0.050092 , 0.043845 , 0.063213 , 0.04153 , 0.041847 , 0.049464 , 0.046502 , 0.060616 , 0.060928 , 0.056937 , 0.06487 , 0.065588 , 0.081707 , 0.077914 , 0.04278 , 0.037808 , 0.046071 , 0.049547 , 0.055961 , 0.042972 , 0.043516 , 0.043468 , 0.042505 , 0.049458 , 0.052443 , 0.042685 , 0.048704 , 0.042858 , 0.05145 , 0.041847 , 0.04272 , 0.067024 , 0.096121 , 0.082324 , 0.082108 , 0.065331 , 0.042738 , 0.048237 , 0.036582 , 0.035361 , 0.026715 , 0.04558 , 0.052401 , 0.045993 , 0.066761 , 0.03791 , 0.030509 , 0.045341 , 0.033979 , 0.040172 , 0.037557 , 0.075808 , 0.052701 , 0.052754 , 0.061328 , 0.043576 , 0.049918 , 0.064344 , 0.084178 , 0.071027 , 0.045832 , 0.039256 , 0.048016 , 0.02702 , 0.040758 , 0.038807 , 0.07211 , 0.052874 , 0.087637 , 0.034733 
 457 , 0.06577 , 0.043958 , 0.046215 , 0.068283 , 0.05431 , 0.064441 , 0.07664 , 0.057609 , 0.039222 , 0.042278 , 0.045935 , 0.054542 , 0.039145 , 0.047192 , 0.078433 , 0.064662 , 0.046781 , 0.042641 , 0.058902 , 0.044911 , 0.064388 , 0.063566 , 0.063637 , 0.058247 , 0.052547 , 0.056514 , 0.071923 , 0.074829 , 0.064924 , 0.06898 , 0.051987 , 0.055096 , 0.04986 , 0.049831 , 0.040342 , 0.030717 , 0.037525 , 0.052731 , 0.031979 , 0.049473 , 0.031342 , 0.037632 , 0.030389 , 0.039163 , 0.043326 , 0.042558 , 0.046334 , 0.044523 , 0.04176 , 0.050093 , 0.043904 , 0.063256 , 0.041563 , 0.041897 , 0.049574 , 0.046561 , 0.060659 , 0.060969 , 0.057032 , 0.064906 , 0.065656 , 0.081703 , 0.077944 , 0.042814 , 0.037817 , 0.046108 , 0.049586 , 0.056067 , 0.042993 , 0.043547 , 0.043553 , 0.042564 , 0.049527 , 0.052505 , 0.042713 , 0.048746 , 0.042897 , 0.051546 , 0.041903 , 0.042766 , 0.067104 , 0.096218 , 0.082376 , 0.082209 , 0.065377 , 0.042743 , 0.048163 , 0.036608 , 0.035386 , 0.026744 , 0.045631 , 0.052481 , 0.045995 , 0.066836 , 0.03793 , 0.030538 , 0.045357 , 0.034022 , 0.040229 , 0.037602 , 0.075931 , 0.052749 , 0.052844 , 0.061392 , 0.043666 , 0.050027 , 0.064459 , 0.084341 , 0.071166 , 0.045876 , 0.039318 , 0.048008 , 0.027024 , 0.040729 , 0.038799 , 0.072214 , 0.052934 , 0.087731 , 0.034755 
 458 , 0.065863 , 0.043972 , 0.046343 , 0.068383 , 0.054496 , 0.064523 , 0.076743 , 0.057674 , 0.039187 , 0.042371 , 0.045964 , 0.054644 , 0.039145 , 0.047197 , 0.07864 , 0.064748 , 0.046859 , 0.042709 , 0.058997 , 0.044986 , 0.064463 , 0.063627 , 0.063722 , 0.058338 , 0.052605 , 0.056571 , 0.072017 , 0.074982 , 0.064961 , 0.06907 , 0.052006 , 0.055202 , 0.049913 , 0.049859 , 0.040396 , 0.030791 , 0.037604 , 0.052759 , 0.032 , 0.049587 , 0.031407 , 0.037621 , 0.030394 , 0.039181 , 0.043308 , 0.042602 , 0.046373 , 0.044553 , 0.041766 , 0.050097 , 0.04396 , 0.063295 , 0.0416 , 0.04195 , 0.049676 , 0.046628 , 0.060704 , 0.061018 , 0.057135 , 0.06495 , 0.065726 , 0.0817 , 0.07797 , 0.042851 , 0.037829 , 0.046154 , 0.049628 , 0.05618 , 0.043011 , 0.04358 , 0.043646 , 0.042632 , 0.049605 , 0.052575 , 0.042738 , 0.048792 , 0.042934 , 0.05165 , 0.041968 , 0.04281 , 0.067185 , 0.096304 , 0.082405 , 0.082305 , 0.065424 , 0.042744 , 0.048087 , 0.036649 , 0.03541 , 0.026783 , 0.045679 , 0.052563 , 0.046005 , 0.066918 , 0.037948 , 0.030566 , 0.045377 , 0.03407 , 0.040296 , 0.037657 , 0.076061 , 0.0528 , 0.052937 , 0.061457 , 0.043758 , 0.050132 , 0.064576 , 0.084516 , 0.071312 , 0.045928 , 0.039382 , 0.048004 , 0.027032 , 0.040705 , 0.038784 , 0.072326 , 0.05299 , 0.087831 , 0.034787 
 459 , 0.065952 , 0.04399 , 0.046475 , 0.068478 , 0.054679 , 0.064601 , 0.076842 , 0.057742 , 0.039156 , 0.042461 , 0.045997 , 0.054744 , 0.039144 , 0.047195 , 0.078843 , 0.064837 , 0.046941 , 0.042786 , 0.059088 , 0.045052 , 0.064542 , 0.063692 , 0.063804 , 0.058439 , 0.052672 , 0.056633 , 0.072108 , 0.075136 , 0.065002 , 0.069163 , 0.052029 , 0.055304 , 0.049963 , 0.049886 , 0.040454 , 0.030869 , 0.037686 , 0.052784 , 0.03202 , 0.049697 , 0.031471 , 0.037615 , 0.030391 , 0.039197 , 0.043293 , 0.04265 , 0.046416 , 0.044586 , 0.041771 , 0.050099 , 0.044019 , 0.063332 , 0.041641 , 0.042001 , 0.04978 , 0.046687 , 0.060752 , 0.061065 , 0.057229 , 0.064996 , 0.065793 , 0.0817 , 0.077999 , 0.042886 , 0.03784 , 0.046203 , 0.049668 , 0.056284 , 0.043034 , 0.043612 , 0.043736 , 0.042697 , 0.04968 , 0.052643 , 0.042762 , 0.048836 , 0.042975 , 0.051751 , 0.04203 , 0.042862 , 0.067263 , 0.096384 , 0.082437 , 0.082402 , 0.065474 , 0.04275 , 0.048009 , 0.036689 , 0.035437 , 0.02682 , 0.045731 , 0.052648 , 0.046014 , 0.066997 , 0.037969 , 0.030597 , 0.045395 , 0.034115 , 0.04036 , 0.037704 , 0.076193 , 0.052849 , 0.053032 , 0.061526 , 0.043848 , 0.05024 , 0.064695 , 0.084692 , 0.071453 , 0.045973 , 0.039451 , 0.047992 , 0.027033 , 0.040685 , 0.038772 , 0.072433 , 0.053044 , 0.087932 , 0.034824 
 460 , 0.065956 , 0.043926 , 0.046451 , 0.068429 , 0.05468 , 0.064588 , 0.076763 , 0.057734 , 0.039057 , 0.042393 , 0.045987 , 0.05475 , 0.039104 , 0.047168 , 0.078913 , 0.064799 , 0.046904 , 0.042751 , 0.059085 , 0.045006 , 0.064494 , 0.063625 , 0.063754 , 0.058386 , 0.052618 , 0.056547 , 0.072059 , 0.075118 , 0.064928 , 0.069104 , 0.051925 , 0.055273 , 0.049893 , 0.049823 , 0.040402 , 0.03084 , 0.037665 , 0.052712 , 0.03195 , 0.049682 , 0.031428 , 0.037553 , 0.030335 , 0.039133 , 0.043192 , 0.04261 , 0.046363 , 0.044525 , 0.041688 , 0.050005 , 0.043985 , 0.063266 , 0.041606 , 0.041947 , 0.04977 , 0.046657 , 0.060664 , 0.060999 , 0.057217 , 0.064899 , 0.065733 , 0.081544 , 0.077902 , 0.042833 , 0.037777 , 0.046128 , 0.049617 , 0.056265 , 0.042945 , 0.043526 , 0.043709 , 0.042651 , 0.049646 , 0.052606 , 0.042716 , 0.048771 , 0.042939 , 0.051725 , 0.042005 , 0.042816 , 0.067225 , 0.096344 , 0.082354 , 0.082378 , 0.065398 , 0.042687 , 0.047849 , 0.036631 , 0.03538 , 0.026776 , 0.045664 , 0.052606 , 0.045923 , 0.066949 , 0.037912 , 0.030547 , 0.045347 , 0.034065 , 0.040326 , 0.037665 , 0.076152 , 0.052806 , 0.053 , 0.061493 , 0.043838 , 0.050245 , 0.064682 , 0.084686 , 0.071459 , 0.045934 , 0.039398 , 0.04792 , 0.026987 , 0.04059 , 0.038675 , 0.072405 , 0.052982 , 0.087846 , 0.034764 
 461 , 0.065888 , 0.043783 , 0.0463 , 0.068253 , 0.054517 , 0.064498 , 0.076523 , 0.057671 , 0.038901 , 0.042177 , 0.045944 , 0.054657 , 0.039035 , 0.047124 , 0.078859 , 0.064655 , 0.046761 , 0.042621 , 0.058991 , 0.044846 , 0.06434 , 0.063435 , 0.063587 , 0.058208 , 0.052461 , 0.056339 , 0.07188 , 0.07494 , 0.064755 , 0.068895 , 0.051708 , 0.05513 , 0.049717 , 0.049682 , 0.04025 , 0.03073 , 0.037546 , 0.052567 , 0.031799 , 0.049559 , 0.031291 , 0.037441 , 0.030217 , 0.039 , 0.043018 , 0.042487 , 0.04623 , 0.044385 , 0.041529 , 0.049839 , 0.043865 , 0.063114 , 0.041505 , 0.041803 , 0.049658 , 0.046551 , 0.060462 , 0.060836 , 0.057104 , 0.064679 , 0.065567 , 0.081259 , 0.077702 , 0.042714 , 0.037657 , 0.045961 , 0.049489 , 0.056135 , 0.042773 , 0.043345 , 0.043584 , 0.042504 , 0.049524 , 0.052479 , 0.042598 , 0.048624 , 0.042837 , 0.051591 , 0.041897 , 0.042685 , 0.067097 , 0.096192 , 0.082187 , 0.082252 , 0.065216 , 0.042568 , 0.047614 , 0.036483 , 0.035251 , 0.02666 , 0.045494 , 0.052461 , 0.045739 , 0.066793 , 0.037779 , 0.030427 , 0.045237 , 0.033937 , 0.040203 , 0.037552 , 0.075974 , 0.052683 , 0.052853 , 0.061373 , 0.043736 , 0.05016 , 0.06455 , 0.084529 , 0.071342 , 0.045815 , 0.039239 , 0.047783 , 0.026894 , 0.040437 , 0.038498 , 0.072259 , 0.052818 , 0.087595 , 0.034632 
 462 , 0.065821 , 0.043639 , 0.046148 , 0.068074 , 0.054358 , 0.064399 , 0.076285 , 0.05761 , 0.03875 , 0.041961 , 0.045904 , 0.054568 , 0.03897 , 0.047071 , 0.078806 , 0.064515 , 0.046618 , 0.042489 , 0.058899 , 0.04469 , 0.064184 , 0.063249 , 0.063423 , 0.058028 , 0.052303 , 0.05613 , 0.071704 , 0.074764 , 0.064579 , 0.06869 , 0.051496 , 0.054986 , 0.049539 , 0.049539 , 0.040097 , 0.030614 , 0.037431 , 0.052419 , 0.031648 , 0.04944 , 0.03116 , 0.037327 , 0.030097 , 0.038866 , 0.042843 , 0.042367 , 0.046095 , 0.044237 , 0.041368 , 0.049672 , 0.043749 , 0.062959 , 0.041409 , 0.041653 , 0.049545 , 0.046444 , 0.060258 , 0.060671 , 0.056995 , 0.064462 , 0.065397 , 0.080972 , 0.077505 , 0.042594 , 0.037536 , 0.045787 , 0.049365 , 0.056002 , 0.042594 , 0.043163 , 0.043459 , 0.042356 , 0.049394 , 0.052349 , 0.042489 , 0.04847 , 0.042733 , 0.051455 , 0.041792 , 0.042559 , 0.066959 , 0.09604 , 0.082023 , 0.082127 , 0.065032 , 0.042449 , 0.047379 , 0.03634 , 0.035126 , 0.026543 , 0.045317 , 0.05232 , 0.045561 , 0.06664 , 0.037646 , 0.030306 , 0.045125 , 0.033814 , 0.040085 , 0.037437 , 0.075792 , 0.052564 , 0.052709 , 0.061257 , 0.043633 , 0.050073 , 0.064416 , 0.084374 , 0.071222 , 0.045695 , 0.03908 , 0.047651 , 0.026799 , 0.040283 , 0.038326 , 0.07211 , 0.052657 , 0.087348 , 0.034499 
