  time  ,:52:13 A,:52:57 A,:53:03 A,:53:10 A,:53:18 A,:53:23 A,:53:57 A,:54:03 A,:54:11 A,:54:24 A,:54:34 A,:55:11 A,:55:20 A,:55:27 A,:55:36 A,:55:46 A,:56:21 A,:56:30 A,:56:37 A,:56:44 A,:56:53 A,:57:33 A,:57:40 A,:57:53 A,:58:02 A,:58:11 A,:59:31 A,:59:37 A,:59:45 A,:59:51 A,:59:59 A,:04:13 A,:04:19 A,:04:27 A,:04:35 A,:04:43 A,:05:16 A,:05:25 A,:05:33 A,:05:39 A,:05:46 A,:06:23 A,:06:28 A,:06:39 A,:06:46 A,:06:55 A,:08:02 A,:08:07 A,:08:14 A,:08:23 A,:08:33 A,:09:06 A,:09:13 A,:09:22 A,:09:32 A,:09:45 A,:10:27 A,:10:33 A,:10:43 A,:10:51 A,:10:59 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 510 , 0.081468 , 0.10263 , 0.069551 , 0.060319 , 0.066122 , 0.05886 , 0.088296 , 0.055388 , 0.071778 , 0.067263 , 0.062241 , 0.067763 , 0.077715 , 0.071345 , 0.088565 , 0.089157 , 0.056615 , 0.094234 , 0.083763 , 0.069087 , 0.101196 , 0.100183 , 0.086521 , 0.083982 , 0.080065 , 0.075946 , 0.088412 , 0.06019 , 0.068672 , 0.065615 , 0.062656 , 0.067305 , 0.075 , 0.082408 , 0.077783 , 0.088498 , 0.07608 , 0.096735 , 0.064352 , 0.095625 , 0.061893 , 0.088711 , 0.093849 , 0.103289 , 0.104607 , 0.086466 , 0.076757 , 0.098407 , 0.082231 , 0.071973 , 0.084641 , 0.075043 , 0.077148 , 0.073249 , 0.109714 , 0.093782 , 0.106541 , 0.098865 , 0.098145 , 0.105437 , 0.097425 
 511 , 0.082355 , 0.103546 , 0.070538 , 0.061159 , 0.067263 , 0.059833 , 0.089162 , 0.056295 , 0.072658 , 0.068033 , 0.063224 , 0.068625 , 0.078555 , 0.07223 , 0.089297 , 0.090256 , 0.057278 , 0.09515 , 0.084812 , 0.069896 , 0.102 , 0.1012 , 0.08739 , 0.084867 , 0.081164 , 0.076893 , 0.08937 , 0.06114 , 0.069499 , 0.066352 , 0.063572 , 0.068344 , 0.076037 , 0.083474 , 0.07886 , 0.089535 , 0.077009 , 0.09779 , 0.065411 , 0.096721 , 0.062857 , 0.089559 , 0.094747 , 0.104499 , 0.105581 , 0.087445 , 0.077577 , 0.099324 , 0.083095 , 0.07278 , 0.085502 , 0.075829 , 0.078109 , 0.074167 , 0.110775 , 0.0949 , 0.107561 , 0.100039 , 0.099171 , 0.106497 , 0.098377 
 512 , 0.083242 , 0.104466 , 0.071524 , 0.062001 , 0.068404 , 0.060802 , 0.090031 , 0.057199 , 0.073542 , 0.068796 , 0.064209 , 0.069481 , 0.079389 , 0.07312 , 0.090031 , 0.091359 , 0.057939 , 0.096062 , 0.085854 , 0.070704 , 0.102802 , 0.102215 , 0.088258 , 0.08575 , 0.08227 , 0.077836 , 0.090325 , 0.062086 , 0.070319 , 0.067089 , 0.064484 , 0.069365 , 0.077041 , 0.084509 , 0.079909 , 0.090533 , 0.077915 , 0.098808 , 0.066447 , 0.097781 , 0.063793 , 0.090374 , 0.095616 , 0.105665 , 0.106515 , 0.088405 , 0.078392 , 0.100246 , 0.083964 , 0.073585 , 0.086356 , 0.076594 , 0.079047 , 0.075059 , 0.111787 , 0.095983 , 0.108533 , 0.101175 , 0.100154 , 0.107518 , 0.099298 
 513 , 0.084131 , 0.105387 , 0.072511 , 0.062844 , 0.069548 , 0.061772 , 0.090902 , 0.058105 , 0.074421 , 0.06956 , 0.065189 , 0.070343 , 0.080225 , 0.074011 , 0.090767 , 0.092463 , 0.058595 , 0.096975 , 0.086904 , 0.071507 , 0.103605 , 0.103232 , 0.089132 , 0.086635 , 0.083371 , 0.07878 , 0.091275 , 0.063034 , 0.071139 , 0.067827 , 0.065397 , 0.07038 , 0.078045 , 0.085539 , 0.080953 , 0.091538 , 0.078817 , 0.099828 , 0.067491 , 0.098842 , 0.064736 , 0.091196 , 0.096479 , 0.106838 , 0.10745 , 0.089365 , 0.079208 , 0.101162 , 0.084828 , 0.074384 , 0.087216 , 0.077366 , 0.079986 , 0.075951 , 0.112801 , 0.097061 , 0.109507 , 0.102313 , 0.101144 , 0.10854 , 0.100213 
 514 , 0.084985 , 0.106306 , 0.073592 , 0.063731 , 0.07073 , 0.062769 , 0.091738 , 0.059036 , 0.075302 , 0.070362 , 0.066176 , 0.07122 , 0.081026 , 0.074891 , 0.091487 , 0.093614 , 0.059245 , 0.097891 , 0.087926 , 0.072311 , 0.104363 , 0.104173 , 0.089973 , 0.087491 , 0.084519 , 0.079739 , 0.092253 , 0.064031 , 0.071961 , 0.068536 , 0.066354 , 0.071447 , 0.079083 , 0.086609 , 0.082037 , 0.092504 , 0.07972 , 0.100839 , 0.068609 , 0.099895 , 0.065716 , 0.09199 , 0.097315 , 0.108053 , 0.108353 , 0.090329 , 0.07999 , 0.102047 , 0.085659 , 0.075167 , 0.088061 , 0.078139 , 0.080928 , 0.076864 , 0.113795 , 0.098167 , 0.110504 , 0.103468 , 0.102157 , 0.109536 , 0.101109 
 515 , 0.085833 , 0.107213 , 0.074698 , 0.064631 , 0.071919 , 0.063778 , 0.092569 , 0.059968 , 0.076177 , 0.071171 , 0.067165 , 0.072085 , 0.081815 , 0.075772 , 0.092195 , 0.094772 , 0.059889 , 0.098802 , 0.088944 , 0.073109 , 0.105103 , 0.105078 , 0.090802 , 0.08833 , 0.085674 , 0.080692 , 0.09322 , 0.065036 , 0.072766 , 0.069226 , 0.067312 , 0.072527 , 0.080122 , 0.087692 , 0.083122 , 0.093465 , 0.080618 , 0.101851 , 0.069754 , 0.100943 , 0.066705 , 0.092778 , 0.098146 , 0.109275 , 0.10925 , 0.091293 , 0.080753 , 0.102913 , 0.086471 , 0.075931 , 0.088907 , 0.078907 , 0.081876 , 0.077784 , 0.114784 , 0.099281 , 0.111508 , 0.10463 , 0.103183 , 0.110532 , 0.101999 
 516 , 0.086677 , 0.108122 , 0.075801 , 0.065527 , 0.073111 , 0.064784 , 0.093402 , 0.060896 , 0.077054 , 0.071975 , 0.068149 , 0.072952 , 0.082599 , 0.076655 , 0.092904 , 0.095926 , 0.060528 , 0.099709 , 0.089963 , 0.073903 , 0.105844 , 0.105991 , 0.091627 , 0.089171 , 0.086825 , 0.081641 , 0.094188 , 0.066037 , 0.073578 , 0.069924 , 0.068272 , 0.073609 , 0.081162 , 0.088778 , 0.084208 , 0.094427 , 0.081525 , 0.102859 , 0.070894 , 0.101993 , 0.067701 , 0.093562 , 0.098978 , 0.110505 , 0.110143 , 0.09226 , 0.081512 , 0.103774 , 0.087285 , 0.076698 , 0.089754 , 0.079682 , 0.082821 , 0.078712 , 0.11578 , 0.100397 , 0.112507 , 0.105795 , 0.104204 , 0.111525 , 0.10289 
 517 , 0.08774 , 0.109289 , 0.077089 , 0.066585 , 0.074541 , 0.066007 , 0.094466 , 0.062001 , 0.078116 , 0.072941 , 0.069372 , 0.074012 , 0.083617 , 0.077741 , 0.093832 , 0.097352 , 0.061312 , 0.100865 , 0.091235 , 0.074904 , 0.106834 , 0.107178 , 0.092687 , 0.09022 , 0.088214 , 0.082824 , 0.095419 , 0.067262 , 0.074597 , 0.070812 , 0.069434 , 0.074954 , 0.082491 , 0.090158 , 0.085599 , 0.095739 , 0.082719 , 0.104243 , 0.072314 , 0.103406 , 0.068948 , 0.094663 , 0.100139 , 0.112101 , 0.111424 , 0.093555 , 0.082541 , 0.104963 , 0.088417 , 0.077723 , 0.090909 , 0.080732 , 0.084073 , 0.079913 , 0.117153 , 0.101868 , 0.113873 , 0.107345 , 0.105585 , 0.112895 , 0.104126 
 518 , 0.089084 , 0.110795 , 0.078609 , 0.06785 , 0.076263 , 0.06751 , 0.095832 , 0.063337 , 0.079427 , 0.074109 , 0.070883 , 0.075316 , 0.084924 , 0.079092 , 0.095046 , 0.099125 , 0.062285 , 0.102357 , 0.09286 , 0.076189 , 0.108195 , 0.108758 , 0.094068 , 0.091573 , 0.089945 , 0.08433 , 0.097039 , 0.06881 , 0.075929 , 0.071985 , 0.070902 , 0.076851 , 0.084435 , 0.092179 , 0.087611 , 0.097757 , 0.084528 , 0.106393 , 0.074282 , 0.105576 , 0.070729 , 0.096414 , 0.102004 , 0.114491 , 0.113525 , 0.095541 , 0.084132 , 0.106827 , 0.090168 , 0.079297 , 0.092743 , 0.082367 , 0.085945 , 0.081705 , 0.11935 , 0.10409 , 0.116014 , 0.109699 , 0.107706 , 0.11506 , 0.10609 
 519 , 0.090419 , 0.112298 , 0.080137 , 0.069113 , 0.077988 , 0.069013 , 0.097189 , 0.064666 , 0.080728 , 0.075279 , 0.072395 , 0.076624 , 0.08624 , 0.080448 , 0.096261 , 0.100907 , 0.063259 , 0.103847 , 0.094486 , 0.077471 , 0.109552 , 0.110337 , 0.095445 , 0.092923 , 0.091677 , 0.085842 , 0.098659 , 0.070359 , 0.077265 , 0.073161 , 0.07237 , 0.07876 , 0.08639 , 0.094218 , 0.089647 , 0.099792 , 0.086352 , 0.108562 , 0.076269 , 0.107758 , 0.072526 , 0.098186 , 0.103878 , 0.116895 , 0.115637 , 0.097538 , 0.085736 , 0.108699 , 0.091933 , 0.080884 , 0.094598 , 0.084017 , 0.087834 , 0.083512 , 0.121566 , 0.106326 , 0.118178 , 0.112068 , 0.109845 , 0.11725 , 0.10807 
 520 , 0.091814 , 0.113856 , 0.081708 , 0.070418 , 0.079759 , 0.070555 , 0.0986 , 0.066032 , 0.082078 , 0.076495 , 0.073945 , 0.07798 , 0.087598 , 0.081852 , 0.097516 , 0.102735 , 0.064271 , 0.105391 , 0.096162 , 0.078788 , 0.110961 , 0.11197 , 0.09687 , 0.09432 , 0.093462 , 0.087397 , 0.100329 , 0.071946 , 0.078644 , 0.074377 , 0.073876 , 0.080731 , 0.088406 , 0.096325 , 0.091745 , 0.101889 , 0.08823 , 0.110792 , 0.078318 , 0.110015 , 0.074371 , 0.100009 , 0.105824 , 0.119376 , 0.117816 , 0.099602 , 0.087384 , 0.110629 , 0.09375 , 0.082522 , 0.096507 , 0.085718 , 0.08979 , 0.08538 , 0.123862 , 0.108631 , 0.12041 , 0.114514 , 0.112052 , 0.119508 , 0.110116 
 521 , 0.093693 , 0.115888 , 0.083658 , 0.072086 , 0.081931 , 0.072434 , 0.10044 , 0.067723 , 0.083822 , 0.078112 , 0.075766 , 0.079725 , 0.089361 , 0.083626 , 0.099175 , 0.104993 , 0.065579 , 0.107415 , 0.098277 , 0.080433 , 0.112859 , 0.114054 , 0.098726 , 0.096115 , 0.09571 , 0.089387 , 0.102451 , 0.073869 , 0.080389 , 0.075962 , 0.075754 , 0.083348 , 0.091119 , 0.099182 , 0.094572 , 0.104771 , 0.090772 , 0.113858 , 0.080989 , 0.113143 , 0.076822 , 0.102571 , 0.108572 , 0.122768 , 0.120871 , 0.102444 , 0.089798 , 0.113561 , 0.096355 , 0.084872 , 0.099131 , 0.088097 , 0.092479 , 0.087926 , 0.127118 , 0.111771 , 0.123533 , 0.117867 , 0.115142 , 0.122698 , 0.112985 
 522 , 0.095569 , 0.117912 , 0.085602 , 0.073751 , 0.084095 , 0.074319 , 0.10228 , 0.069415 , 0.085564 , 0.079727 , 0.077595 , 0.081471 , 0.091125 , 0.085398 , 0.100825 , 0.107248 , 0.066886 , 0.109438 , 0.100397 , 0.082084 , 0.114751 , 0.116149 , 0.100582 , 0.097913 , 0.097958 , 0.091374 , 0.104573 , 0.0758 , 0.082141 , 0.07755 , 0.077639 , 0.086062 , 0.093928 , 0.102146 , 0.097498 , 0.107753 , 0.093418 , 0.117043 , 0.08375 , 0.116392 , 0.079363 , 0.10523 , 0.111424 , 0.126283 , 0.124048 , 0.10539 , 0.092319 , 0.116635 , 0.099081 , 0.087313 , 0.101853 , 0.090563 , 0.095263 , 0.090563 , 0.130497 , 0.115026 , 0.126775 , 0.121347 , 0.118352 , 0.126015 , 0.115964 
 523 , 0.097452 , 0.119933 , 0.087555 , 0.075415 , 0.086259 , 0.076195 , 0.104118 , 0.071101 , 0.087303 , 0.081346 , 0.079418 , 0.083216 , 0.092887 , 0.087168 , 0.102481 , 0.109508 , 0.0682 , 0.111462 , 0.102519 , 0.083732 , 0.116652 , 0.118238 , 0.102448 , 0.099715 , 0.100211 , 0.093364 , 0.106704 , 0.077729 , 0.083899 , 0.079148 , 0.079534 , 0.088806 , 0.096775 , 0.10515 , 0.100462 , 0.110778 , 0.096091 , 0.120269 , 0.086549 , 0.119682 , 0.081933 , 0.107929 , 0.114311 , 0.129843 , 0.127264 , 0.108373 , 0.094873 , 0.119746 , 0.101842 , 0.089792 , 0.104615 , 0.093061 , 0.098083 , 0.093235 , 0.133924 , 0.118322 , 0.130056 , 0.124879 , 0.121597 , 0.129372 , 0.118979 
 524 , 0.099283 , 0.121953 , 0.089471 , 0.077009 , 0.08839 , 0.078064 , 0.105943 , 0.072758 , 0.089028 , 0.082947 , 0.081274 , 0.084926 , 0.094647 , 0.088905 , 0.104146 , 0.11177 , 0.069489 , 0.113502 , 0.104628 , 0.085408 , 0.118568 , 0.120358 , 0.104296 , 0.101509 , 0.102473 , 0.095363 , 0.108977 , 0.079789 , 0.085805 , 0.080877 , 0.081599 , 0.09158 , 0.099654 , 0.108189 , 0.103469 , 0.113867 , 0.098827 , 0.123542 , 0.089367 , 0.122975 , 0.084523 , 0.110664 , 0.117226 , 0.133471 , 0.130541 , 0.111419 , 0.097447 , 0.122858 , 0.1047 , 0.09231 , 0.107454 , 0.095611 , 0.10093 , 0.095943 , 0.13741 , 0.121693 , 0.133412 , 0.12849 , 0.124883 , 0.132787 , 0.12207 
 525 , 0.101093 , 0.123984 , 0.09138 , 0.078583 , 0.090512 , 0.079925 , 0.107781 , 0.074401 , 0.090756 , 0.084548 , 0.083147 , 0.086639 , 0.096431 , 0.090644 , 0.105828 , 0.114054 , 0.070791 , 0.11558 , 0.106762 , 0.087113 , 0.120519 , 0.122511 , 0.106176 , 0.103329 , 0.104763 , 0.097391 , 0.111418 , 0.08199 , 0.087875 , 0.082772 , 0.08389 , 0.094405 , 0.102592 , 0.111286 , 0.106532 , 0.11702 , 0.101619 , 0.126878 , 0.092235 , 0.126312 , 0.087165 , 0.113449 , 0.120177 , 0.137182 , 0.133875 , 0.114535 , 0.100067 , 0.12601 , 0.107623 , 0.094872 , 0.110359 , 0.098206 , 0.103829 , 0.098699 , 0.140964 , 0.125135 , 0.13684 , 0.132191 , 0.128226 , 0.136275 , 0.125221 
 526 , 0.102906 , 0.126011 , 0.09329 , 0.08016 , 0.092632 , 0.081781 , 0.109607 , 0.076043 , 0.09248 , 0.086151 , 0.085022 , 0.088349 , 0.098211 , 0.092387 , 0.107515 , 0.116342 , 0.072098 , 0.117657 , 0.108904 , 0.088827 , 0.122478 , 0.12467 , 0.10806 , 0.105145 , 0.107051 , 0.09942 , 0.113871 , 0.084205 , 0.089949 , 0.084676 , 0.086197 , 0.097268 , 0.10557 , 0.114416 , 0.109627 , 0.12022 , 0.104447 , 0.130255 , 0.095136 , 0.129697 , 0.089836 , 0.116275 , 0.123169 , 0.140934 , 0.137255 , 0.11769 , 0.10272 , 0.129206 , 0.110584 , 0.097474 , 0.1133 , 0.100841 , 0.106758 , 0.101492 , 0.14456 , 0.128621 , 0.14031 , 0.13594 , 0.131617 , 0.139805 , 0.128416 
 527 , 0.104689 , 0.128001 , 0.095193 , 0.081733 , 0.094737 , 0.083604 , 0.111409 , 0.077669 , 0.094174 , 0.087735 , 0.086877 , 0.090069 , 0.099995 , 0.094113 , 0.10919 , 0.118606 , 0.073403 , 0.119726 , 0.11102 , 0.090505 , 0.124434 , 0.126814 , 0.109941 , 0.106956 , 0.109344 , 0.10143 , 0.116399 , 0.086448 , 0.092061 , 0.086602 , 0.08852 , 0.100142 , 0.108559 , 0.117566 , 0.112751 , 0.123428 , 0.107285 , 0.133682 , 0.098057 , 0.133092 , 0.092524 , 0.119102 , 0.126171 , 0.144728 , 0.140663 , 0.120872 , 0.105387 , 0.132441 , 0.113556 , 0.100089 , 0.116245 , 0.103489 , 0.109699 , 0.1043 , 0.148182 , 0.132113 , 0.143802 , 0.139684 , 0.135037 , 0.143346 , 0.131623 
 528 , 0.106452 , 0.129925 , 0.097088 , 0.083304 , 0.096804 , 0.085376 , 0.113182 , 0.079289 , 0.095836 , 0.089323 , 0.088707 , 0.091808 , 0.101807 , 0.095822 , 0.11086 , 0.120853 , 0.074712 , 0.121807 , 0.113121 , 0.092166 , 0.126411 , 0.128957 , 0.111814 , 0.108768 , 0.111645 , 0.103412 , 0.119519 , 0.089079 , 0.094563 , 0.088869 , 0.09111 , 0.103006 , 0.111537 , 0.120697 , 0.115863 , 0.126614 , 0.110108 , 0.137156 , 0.100988 , 0.136459 , 0.095206 , 0.121909 , 0.12914 , 0.148537 , 0.144082 , 0.124055 , 0.108036 , 0.135707 , 0.116506 , 0.102715 , 0.119167 , 0.106147 , 0.112627 , 0.107102 , 0.151787 , 0.135579 , 0.147305 , 0.143378 , 0.138483 , 0.146885 , 0.134827 
 529 , 0.108216 , 0.131856 , 0.098989 , 0.084869 , 0.098873 , 0.087145 , 0.114961 , 0.080905 , 0.097492 , 0.090904 , 0.090542 , 0.093556 , 0.10363 , 0.097533 , 0.112528 , 0.123101 , 0.076019 , 0.123894 , 0.115221 , 0.093822 , 0.128391 , 0.131104 , 0.113697 , 0.11058 , 0.113943 , 0.105393 , 0.122684 , 0.091745 , 0.097089 , 0.091164 , 0.093734 , 0.105906 , 0.114551 , 0.123866 , 0.119014 , 0.129846 , 0.112959 , 0.140679 , 0.103951 , 0.139866 , 0.097923 , 0.124748 , 0.13215 , 0.1524 , 0.147541 , 0.127277 , 0.110724 , 0.139011 , 0.119492 , 0.105366 , 0.122117 , 0.108831 , 0.115583 , 0.109945 , 0.155441 , 0.139087 , 0.150842 , 0.147124 , 0.141971 , 0.150466 , 0.138068 
 530 , 0.109973 , 0.133779 , 0.100881 , 0.086429 , 0.100936 , 0.088905 , 0.116733 , 0.082511 , 0.099149 , 0.092485 , 0.092368 , 0.095293 , 0.10544 , 0.099239 , 0.114194 , 0.125342 , 0.077323 , 0.12597 , 0.117319 , 0.095479 , 0.130364 , 0.133247 , 0.115567 , 0.112387 , 0.116243 , 0.107379 , 0.125873 , 0.094438 , 0.099646 , 0.093479 , 0.096383 , 0.108834 , 0.117595 , 0.127074 , 0.122196 , 0.13311 , 0.115836 , 0.14423 , 0.106944 , 0.143305 , 0.100667 , 0.127612 , 0.135186 , 0.156295 , 0.151038 , 0.13053 , 0.113442 , 0.142346 , 0.122507 , 0.108048 , 0.125094 , 0.111545 , 0.118575 , 0.112815 , 0.15913 , 0.142629 , 0.154411 , 0.150907 , 0.145492 , 0.154073 , 0.141339 
 531 , 0.111636 , 0.135564 , 0.102565 , 0.087854 , 0.102788 , 0.09049 , 0.118439 , 0.083944 , 0.100715 , 0.093989 , 0.09401 , 0.096896 , 0.10717 , 0.10084 , 0.115782 , 0.127405 , 0.078533 , 0.127892 , 0.119301 , 0.096994 , 0.132225 , 0.135363 , 0.117458 , 0.1143 , 0.118654 , 0.109626 , 0.128789 , 0.096903 , 0.102002 , 0.095651 , 0.098844 , 0.111483 , 0.120407 , 0.130069 , 0.125089 , 0.136135 , 0.118474 , 0.147487 , 0.109653 , 0.146471 , 0.10315 , 0.130243 , 0.137971 , 0.159861 , 0.154241 , 0.133491 , 0.115969 , 0.145414 , 0.125256 , 0.110523 , 0.127843 , 0.114022 , 0.121402 , 0.115489 , 0.162567 , 0.145894 , 0.157691 , 0.154484 , 0.148704 , 0.157462 , 0.144371 
 532 , 0.113304 , 0.137348 , 0.104245 , 0.089282 , 0.104652 , 0.092072 , 0.120155 , 0.085383 , 0.102296 , 0.095494 , 0.095662 , 0.098502 , 0.108915 , 0.10245 , 0.117371 , 0.129481 , 0.079746 , 0.129838 , 0.121298 , 0.098523 , 0.134094 , 0.137516 , 0.119405 , 0.116298 , 0.121207 , 0.112035 , 0.131696 , 0.099372 , 0.10435 , 0.097815 , 0.1013 , 0.114132 , 0.123219 , 0.133064 , 0.12798 , 0.13915 , 0.121108 , 0.150726 , 0.112358 , 0.149633 , 0.105633 , 0.132853 , 0.140749 , 0.163425 , 0.15743 , 0.136457 , 0.118493 , 0.148476 , 0.128001 , 0.112996 , 0.130588 , 0.116495 , 0.124229 , 0.118156 , 0.165991 , 0.149149 , 0.160957 , 0.158047 , 0.151904 , 0.160837 , 0.147382 
 533 , 0.114964 , 0.139135 , 0.105931 , 0.090714 , 0.106511 , 0.093662 , 0.121869 , 0.08682 , 0.103875 , 0.097005 , 0.097316 , 0.100122 , 0.110667 , 0.104058 , 0.118971 , 0.131559 , 0.080961 , 0.131778 , 0.123297 , 0.100051 , 0.135976 , 0.13968 , 0.121353 , 0.118307 , 0.12377 , 0.114469 , 0.134633 , 0.10186 , 0.106723 , 0.100001 , 0.103783 , 0.116808 , 0.12606 , 0.136089 , 0.130902 , 0.142196 , 0.123763 , 0.154006 , 0.115084 , 0.152819 , 0.108136 , 0.135496 , 0.143553 , 0.167018 , 0.16065 , 0.139446 , 0.121042 , 0.151561 , 0.130774 , 0.115487 , 0.133354 , 0.118992 , 0.127078 , 0.120858 , 0.169456 , 0.152437 , 0.164261 , 0.161653 , 0.155137 , 0.16424 , 0.15043 
 534 , 0.116263 , 0.140576 , 0.107245 , 0.091893 , 0.107999 , 0.094932 , 0.123245 , 0.088007 , 0.105145 , 0.098227 , 0.098683 , 0.101444 , 0.112078 , 0.105316 , 0.120227 , 0.133209 , 0.08195 , 0.133366 , 0.124896 , 0.10133 , 0.137622 , 0.141636 , 0.123117 , 0.120092 , 0.126007 , 0.116505 , 0.137117 , 0.103921 , 0.108725 , 0.101843 , 0.105871 , 0.119067 , 0.128448 , 0.138633 , 0.133373 , 0.144754 , 0.125978 , 0.156761 , 0.117373 , 0.155465 , 0.110263 , 0.137729 , 0.1459 , 0.170106 , 0.163359 , 0.141999 , 0.123181 , 0.154106 , 0.133131 , 0.117601 , 0.135679 , 0.12111 , 0.129444 , 0.12311 , 0.172369 , 0.155181 , 0.16706 , 0.164654 , 0.157871 , 0.167124 , 0.153024 
 535 , 0.117401 , 0.141847 , 0.108391 , 0.092955 , 0.109307 , 0.096068 , 0.12445 , 0.089062 , 0.106266 , 0.099302 , 0.099911 , 0.102623 , 0.113315 , 0.106395 , 0.121294 , 0.134641 , 0.082814 , 0.134748 , 0.126268 , 0.102537 , 0.139285 , 0.143701 , 0.124944 , 0.121838 , 0.1281 , 0.118317 , 0.139242 , 0.105679 , 0.110452 , 0.10341 , 0.107668 , 0.121015 , 0.130504 , 0.140824 , 0.135514 , 0.14695 , 0.127849 , 0.159116 , 0.11934 , 0.157699 , 0.112105 , 0.139629 , 0.147895 , 0.172785 , 0.165664 , 0.144202 , 0.125001 , 0.15626 , 0.135163 , 0.119419 , 0.137661 , 0.122926 , 0.131463 , 0.125044 , 0.17486 , 0.15752 , 0.169464 , 0.167224 , 0.160225 , 0.169593 , 0.155259 
 536 , 0.118545 , 0.143117 , 0.109536 , 0.094016 , 0.110623 , 0.097203 , 0.125654 , 0.090123 , 0.107377 , 0.100384 , 0.101132 , 0.103801 , 0.114551 , 0.107471 , 0.122366 , 0.136066 , 0.083683 , 0.136138 , 0.127647 , 0.103751 , 0.140959 , 0.145772 , 0.126784 , 0.123603 , 0.130209 , 0.120135 , 0.14139 , 0.107457 , 0.112184 , 0.104996 , 0.109486 , 0.122984 , 0.132576 , 0.143031 , 0.13767 , 0.149154 , 0.129741 , 0.161487 , 0.121315 , 0.159947 , 0.113961 , 0.141549 , 0.149903 , 0.175482 , 0.167985 , 0.146427 , 0.126834 , 0.158422 , 0.137217 , 0.121257 , 0.139649 , 0.124754 , 0.13349 , 0.126985 , 0.177367 , 0.159875 , 0.171885 , 0.169805 , 0.162595 , 0.172079 , 0.157508 
 537 , 0.119661 , 0.144343 , 0.110641 , 0.095038 , 0.111878 , 0.098278 , 0.126816 , 0.091124 , 0.108464 , 0.101418 , 0.102308 , 0.104933 , 0.115762 , 0.108521 , 0.123423 , 0.137442 , 0.084534 , 0.137493 , 0.128986 , 0.104941 , 0.142614 , 0.147808 , 0.128588 , 0.125333 , 0.132255 , 0.121926 , 0.143482 , 0.109187 , 0.113882 , 0.106547 , 0.111241 , 0.124906 , 0.134599 , 0.145211 , 0.139779 , 0.151324 , 0.131604 , 0.163824 , 0.123242 , 0.162153 , 0.115777 , 0.14341 , 0.151866 , 0.178118 , 0.170269 , 0.148611 , 0.128639 , 0.160561 , 0.139229 , 0.123054 , 0.141609 , 0.126555 , 0.135475 , 0.128899 , 0.179832 , 0.162189 , 0.174262 , 0.172345 , 0.164923 , 0.17453 , 0.159701 
 538 , 0.120736 , 0.145505 , 0.111697 , 0.095974 , 0.113034 , 0.09928 , 0.127951 , 0.092036 , 0.109532 , 0.102404 , 0.103414 , 0.10603 , 0.116965 , 0.109561 , 0.124485 , 0.138755 , 0.085388 , 0.139038 , 0.130603 , 0.106298 , 0.144342 , 0.149639 , 0.130196 , 0.12689 , 0.134061 , 0.123533 , 0.14533 , 0.110731 , 0.115395 , 0.107941 , 0.112765 , 0.126628 , 0.136408 , 0.14719 , 0.141661 , 0.153294 , 0.133284 , 0.165936 , 0.12495 , 0.16412 , 0.117408 , 0.145047 , 0.153628 , 0.180468 , 0.172315 , 0.150598 , 0.130268 , 0.162521 , 0.141043 , 0.124659 , 0.143361 , 0.128161 , 0.137265 , 0.130646 , 0.182023 , 0.164287 , 0.176406 , 0.17464 , 0.167011 , 0.176748 , 0.161642 
 539 , 0.121814 , 0.146663 , 0.11275 , 0.096914 , 0.114195 , 0.100279 , 0.129083 , 0.092937 , 0.110605 , 0.103387 , 0.104519 , 0.107117 , 0.118173 , 0.110598 , 0.125551 , 0.140073 , 0.086238 , 0.140591 , 0.132235 , 0.107664 , 0.146072 , 0.15148 , 0.131819 , 0.128448 , 0.135877 , 0.125157 , 0.147189 , 0.112276 , 0.116917 , 0.109335 , 0.114298 , 0.12836 , 0.138227 , 0.149188 , 0.143554 , 0.155267 , 0.134979 , 0.16806 , 0.126667 , 0.166097 , 0.119048 , 0.146692 , 0.155391 , 0.182831 , 0.17438 , 0.152589 , 0.1319 , 0.164492 , 0.142876 , 0.126273 , 0.145131 , 0.129776 , 0.139066 , 0.132403 , 0.184225 , 0.166396 , 0.178562 , 0.176956 , 0.169111 , 0.17897 , 0.163587 
