"","Research_location","Date","Time","Site.x","Block","Treatment","Weather","Spufilename.x","REP","NDVI(MODIS)","EVI(MODIS)","EVI2(MODIS)","PRI(550Reference)","PRI(570Ref)","WBI","ChlIndex","FileNum.x","Process_file","key_num.x","key","Site.y","FileNum.y","DateTime","Integration_ms","Temp","Remarks","Spufilename.y","Spu_filename","ReflecMean","ReflecSERR","ChAmax","ChBmax","Number_ChAmax","key_num.y","Type"
"11","Toolik",2016-05-27,"0.41666666666666669","HIST","1","NP",NA,"may27hist00023.spu","1","0.3590657518159297","0.16321650516935424","0.13948618775044461","4.7430010841145308E-2","4.5634603712104246E-2","1.0088669526665424","0.11471924824770854",23,"C:\Users\jiml\Documents\Unispec\UnispecData\2016\Processed Data/HIST_2016-05-27_CTNP.xlsx","00023","2016-05-27_HIST00023","HIST",23,2016-05-27 14:55:16,70,17.08,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\libbytest\MAY27HIST00002.spu""","may27hist00023.spu","C:\Users\jiml\Documents\Unispec\UnispecData\2016\Raw Data/HIST_2016-05-27_CTNP/MAY27HIST00023.spu",0.133528762702748,0.00297392615436198,47799,4693.5,0,"00023",""
"12","Toolik",2016-05-27,"0.41666666666666669","HIST","1","NP",NA,"may27hist00024.spu","2","0.370134670071671","0.1610125172098657","0.13869334998632249","5.0424804148736575E-2","4.9109267695655115E-2","1.0109051173024888","0.11799435454329983",24,"C:\Users\jiml\Documents\Unispec\UnispecData\2016\Processed Data/HIST_2016-05-27_CTNP.xlsx","00024","2016-05-27_HIST00024","HIST",24,2016-05-27 14:55:26,70,17.08,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\libbytest\MAY27HIST00002.spu""","may27hist00024.spu","C:\Users\jiml\Documents\Unispec\UnispecData\2016\Raw Data/HIST_2016-05-27_CTNP/MAY27HIST00024.spu",0.127052693524545,0.00295143404836499,48036,4503.2,0,"00024",""
"13","Toolik",2016-05-27,"0.41666666666666669","HIST","1","NP",NA,"may27hist00025.spu","3","0.39433173600950339","0.19345069900017514","0.16600076720307994","5.3006856023506424E-2","5.4932165617547039E-2","1.0021712816801227","0.13071229275716562",25,"C:\Users\jiml\Documents\Unispec\UnispecData\2016\Processed Data/HIST_2016-05-27_CTNP.xlsx","00025","2016-05-27_HIST00025","HIST",25,2016-05-27 14:55:33,70,17.08,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\libbytest\MAY27HIST00002.spu""","may27hist00025.spu","C:\Users\jiml\Documents\Unispec\UnispecData\2016\Raw Data/HIST_2016-05-27_CTNP/MAY27HIST00025.spu",0.145897571915283,0.00380381297226947,48210,5328,0,"00025",""
"14","Toolik",2016-05-27,"0.41666666666666669","HIST","1","CT",NA,"may27hist00008.spu","1","0.34568962652549129","0.28091112204064739","0.2449215166963945","6.421376766639976E-2","7.5455507884326062E-2","0.96958118015353267","0.11732074604732769",8,"C:\Users\jiml\Documents\Unispec\UnispecData\2016\Processed Data/HIST_2016-05-27_CTNP.xlsx","00008","2016-05-27_HIST00008","HIST",8,2016-05-27 14:52:23,70,17.324,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\libbytest\MAY27HIST00002.spu""","may27hist00008.spu","C:\Users\jiml\Documents\Unispec\UnispecData\2016\Raw Data/HIST_2016-05-27_CTNP/MAY27HIST00008.spu",0.311910636550594,0.00866807772224693,46129,11157.1,0,"00008",""
"15","Toolik",2016-05-27,"0.41666666666666669","HIST","1","NP",NA,"may27hist00026.spu","4","0.45051961959405157","0.23841368189943288","0.20605979560515791","5.9579122225602944E-2","6.7295223026042142E-2","1.0199632530915812","0.15821143272123667",26,"C:\Users\jiml\Documents\Unispec\UnispecData\2016\Processed Data/HIST_2016-05-27_CTNP.xlsx","00026","2016-05-27_HIST00026","HIST",26,2016-05-27 14:55:43,70,17.08,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\libbytest\MAY27HIST00002.spu""","may27hist00026.spu","C:\Users\jiml\Documents\Unispec\UnispecData\2016\Raw Data/HIST_2016-05-27_CTNP/MAY27HIST00026.spu",0.158921539629068,0.00504384802871872,48424,6092.2,0,"00026",""
"16","Toolik",2016-05-27,"0.41666666666666669","HIST","1","NP",NA,"may27hist00027.spu","5","0.37585172845177089","0.21325398096142731","0.18286051819631186","5.4853881519843516E-2","5.9698746089745236E-2","0.96483270821431233","0.10937792037879257",27,"C:\Users\jiml\Documents\Unispec\UnispecData\2016\Processed Data/HIST_2016-05-27_CTNP.xlsx","00027","2016-05-27_HIST00027","HIST",27,2016-05-27 14:55:51,70,17.08,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\libbytest\MAY27HIST00002.spu""","may27hist00027.spu","C:\Users\jiml\Documents\Unispec\UnispecData\2016\Raw Data/HIST_2016-05-27_CTNP/MAY27HIST00027.spu",0.175998927834552,0.00464497614250652,48573,6246.2,0,"00027",""
"17","Toolik",2016-05-27,"0.41666666666666669","HIST","2","CT",NA,"may27hist00028.spu","1","0.59733924525277771","0.57692495154272327","0.46498240866160845","8.2846544615953602E-2","9.4017461383478856E-2","1.0070466571605881","0.25867124852706702",28,"C:\Users\jiml\Documents\Unispec\UnispecData\2016\Processed Data/HIST_2016-05-27_CTNP.xlsx","00028","2016-05-27_HIST00028","HIST",28,2016-05-27 14:56:58,70,16.836,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\libbytest\MAY27HIST00002.spu""","may27hist00028.spu","C:\Users\jiml\Documents\Unispec\UnispecData\2016\Raw Data/HIST_2016-05-27_CTNP/MAY27HIST00028.spu",0.33316868438034,0.0151307473219303,50217,15858.6,0,"00028",""
"18","Toolik",2016-05-27,"0.41666666666666669","HIST","2","CT",NA,"may27hist00029.spu","2","0.48330928678759855","0.42462965523175278","0.36079239049980627","7.5707585815954603E-2","8.8806325284109505E-2","0.99573375995733759","0.18334042827781619",29,"C:\Users\jiml\Documents\Unispec\UnispecData\2016\Processed Data/HIST_2016-05-27_CTNP.xlsx","00029","2016-05-27_HIST00029","HIST",29,2016-05-27 14:57:05,70,16.836,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\libbytest\MAY27HIST00002.spu""","may27hist00029.spu","C:\Users\jiml\Documents\Unispec\UnispecData\2016\Raw Data/HIST_2016-05-27_CTNP/MAY27HIST00029.spu",0.323106011672577,0.0121457683637125,50355,13951.1,0,"00029",""
"19","Toolik",2016-05-27,"0.41666666666666669","HIST","2","CT",NA,"may27hist00030.spu","3","0.55013994390560772","0.48989888517357977","0.40703030744208663","7.7863135984206411E-2","9.0904282888543395E-2","0.99737710487976894","0.2356944904570423",30,"C:\Users\jiml\Documents\Unispec\UnispecData\2016\Processed Data/HIST_2016-05-27_CTNP.xlsx","00030","2016-05-27_HIST00030","HIST",30,2016-05-27 14:57:12,70,17.08,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\libbytest\MAY27HIST00002.spu""","may27hist00030.spu","C:\Users\jiml\Documents\Unispec\UnispecData\2016\Raw Data/HIST_2016-05-27_CTNP/MAY27HIST00030.spu",0.309600744905492,0.013075759851087,50470,14136.4,0,"00030",""
"20","Toolik",2016-05-27,"0.41666666666666669","HIST","2","CT",NA,"may27hist00031.spu","4","0.49373924147359405","0.43669526566297712","0.3651770436082622","7.2047559589258126E-2","8.6400499064254552E-2","0.98070224719101129","0.19843733993175675",31,"C:\Users\jiml\Documents\Unispec\UnispecData\2016\Processed Data/HIST_2016-05-27_CTNP.xlsx","00031","2016-05-27_HIST00031","HIST",31,2016-05-27 14:57:20,70,16.836,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\libbytest\MAY27HIST00002.spu""","may27hist00031.spu","C:\Users\jiml\Documents\Unispec\UnispecData\2016\Raw Data/HIST_2016-05-27_CTNP/MAY27HIST00031.spu",0.31872176201663,0.012125162245097,50573,13876.1,0,"00031",""
"21","Toolik",2016-05-27,"0.41666666666666669","HIST","2","CT",NA,"may27hist00032.spu","5","0.54871783558342957","0.48101934511961525","0.40505638134620775","8.1862151037743025E-2","9.9075452899521105E-2","0.99920083731625708","0.22357517233691448",32,"C:\Users\jiml\Documents\Unispec\UnispecData\2016\Processed Data/HIST_2016-05-27_CTNP.xlsx","00032","2016-05-27_HIST00032","HIST",32,2016-05-27 14:57:27,70,16.836,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\libbytest\MAY27HIST00002.spu""","may27hist00032.spu","C:\Users\jiml\Documents\Unispec\UnispecData\2016\Raw Data/HIST_2016-05-27_CTNP/MAY27HIST00032.spu",0.308026607666478,0.0131233759849703,50711,14023.3,0,"00032",""
"22","Toolik",2016-05-27,"0.41666666666666669","HIST","2","CT",NA,"may27hist00033.spu","1","0.49400324470844148","0.42782777300735708","0.36912030147409414","8.3164583478807383E-2","9.9253608473739152E-2","0.98258255092847047","0.18469796716749817",33,"C:\Users\jiml\Documents\Unispec\UnispecData\2016\Processed Data/HIST_2016-05-27_CTNP.xlsx","00033","2016-05-27_HIST00033","HIST",33,2016-05-27 14:57:44,70,16.836,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\libbytest\MAY27HIST00002.spu""","may27hist00033.spu","C:\Users\jiml\Documents\Unispec\UnispecData\2016\Raw Data/HIST_2016-05-27_CTNP/MAY27HIST00033.spu",0.320568324831106,0.0124870425661193,50812,13885.7,0,"00033",""
