AUG6MNAT00050.spu,AUG6MNAT00049.spu,AUG6MNAT00048.spu,
Wavelength,AUG6MNAT00051.spu,AUG6MNAT00052.spu,AUG6MNAT00053.spu,AUG6MNAT00054.spu,AUG6MNAT00055.spu,AUG6MNAT00056.spu,AUG6MNAT00057.spu,AUG6MNAT00058.spu,AUG6MNAT00059.spu,AUG6MNAT00060.spu,AUG6MNAT00061.spu,AUG6MNAT00062.spu,AUG6MNAT00063.spu,AUG6MNAT00064.spu,AUG6MNAT00065.spu,AUG6MNAT00066.spu,AUG6MNAT00067.spu,AUG6MNAT00068.spu,AUG6MNAT00069.spu,AUG6MNAT00070.spu
  (nm),8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1
  time  ,46:57 AM,47:11 AM,47:18 AM,47:25 AM,47:35 AM,48:29 AM,48:36 AM,48:44 AM,48:50 AM,48:57 AM,49:33 AM,49:40 AM,49:46 AM,49:55 AM,50:06 AM,50:54 AM,51:00 AM,51:09 AM,51:16 AM,51:22 AM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 336 , 0 , 0 , 0.021275 , 0.001124 , 0 , 0 , 0 , 0.006713 , 0.000313 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000319 , 0.00044 , 0.003894 , 0.002156 
 337 , 0 , 0 , 0.022589 , 0.001792 , 0 , 0 , 0 , 0.007948 , 0.000563 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000584 , 0.00072 , 0.005388 , 0.003226 
 338 , 0 , 0 , 0.023727 , 0.002304 , 0 , 0 , 0 , 0.00925 , 0.000805 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000849 , 0.000945 , 0.006858 , 0.004172 
 339 , 0.000976 , 0.000523 , 0.025 , 0.003121 , 0 , 0.000775 , 0 , 0.011968 , 0.002297 , 0 , 0.000777 , 0.000861 , 0 , 0.000739 , 0.001122 , 0.001013 , 0.002553 , 0.0025 , 0.008106 , 0.005791 
 340 , 0.002001 , 0.001145 , 0.026125 , 0.003937 , 0 , 0.001564 , 0 , 0.014574 , 0.003725 , 0 , 0.001623 , 0.001741 , 0 , 0.001568 , 0.002336 , 0.002219 , 0.004402 , 0.004264 , 0.009055 , 0.007417 
 341 , 0.002891 , 0.001751 , 0.027096 , 0.00468 , 0 , 0.002231 , 0 , 0.016806 , 0.004896 , 0 , 0.002381 , 0.002489 , 0 , 0.002332 , 0.003417 , 0.003393 , 0.006095 , 0.005946 , 0.009793 , 0.008901 
 342 , 0.003778 , 0.002621 , 0.028701 , 0.005772 , 0.000297 , 0.003059 , 0.000085 , 0.018432 , 0.005926 , 0.0005 , 0.00302 , 0.003148 , 0.000469 , 0.00297 , 0.00401 , 0.004235 , 0.007388 , 0.007037 , 0.010471 , 0.009661 
 343 , 0.004702 , 0.003723 , 0.031046 , 0.007319 , 0.000903 , 0.004022 , 0.000254 , 0.019521 , 0.006938 , 0.001469 , 0.003529 , 0.003709 , 0.001368 , 0.003502 , 0.00411 , 0.004659 , 0.008197 , 0.00746 , 0.011145 , 0.009668 
 344 , 0.005551 , 0.004688 , 0.033231 , 0.008831 , 0.001446 , 0.004812 , 0.0004 , 0.020544 , 0.007929 , 0.00228 , 0.003966 , 0.004167 , 0.002111 , 0.004029 , 0.004195 , 0.00501 , 0.008844 , 0.007838 , 0.011786 , 0.009672 
 345 , 0.006326 , 0.00551 , 0.035135 , 0.010199 , 0.001961 , 0.005468 , 0.000587 , 0.021374 , 0.008876 , 0.002966 , 0.004385 , 0.004591 , 0.00277 , 0.00457 , 0.004371 , 0.005347 , 0.009382 , 0.008198 , 0.012395 , 0.009723 
