  time  ,30:24 AM,30:30 AM,30:36 AM,30:43 AM,30:49 AM,31:28 AM,31:34 AM,31:42 AM,31:47 AM,31:51 AM,33:10 AM,33:17 AM,33:23 AM,33:29 AM,33:35 AM,34:16 AM,34:23 AM,34:29 AM,34:35 AM,34:42 AM,36:44 AM,36:52 AM,36:59 AM,37:08 AM,37:14 AM,38:01 AM,38:06 AM,38:12 AM,38:18 AM,38:25 AM,39:11 AM,39:19 AM,39:26 AM,39:33 AM,39:39 AM,40:14 AM,40:21 AM,40:28 AM,40:35 AM,40:44 AM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 320 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 321 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 322 , 0 , 1 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 323 , 0 , 1 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 324 , 0 , 1 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 325 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.157247 , 0.157247 , 0 , 0 , 0 , 0.157247 , 0.157247 , 0.157247 , 0.157247 , 0.157247 , 0.157247 , 0 , 0 , 0 , 0.157247 , 0 , 0 , 0 , 0.157247 , 0.157247 , 0.157247 , 0 , 0 , 0.157247 , 0.157247 , 0.157247 , 0.157247 , 0.157247 , 0.157247 , 0.157247 
 326 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.496731 , 0.496731 , 0 , 0 , 0 , 0.496731 , 0.496731 , 0.496731 , 0.496731 , 0.496731 , 0.496731 , 0 , 0 , 0 , 0.496731 , 0 , 0 , 0 , 0.496731 , 0.496731 , 0.496731 , 0 , 0 , 0.496731 , 0.496731 , 0.496731 , 0.496731 , 0.496731 , 0.496731 , 0.496731 
 327 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.766905 , 0.766905 , 0 , 0 , 0 , 0.766905 , 0.766905 , 0.766905 , 0.766905 , 0.766905 , 0.766905 , 0 , 0 , 0 , 0.766905 , 0 , 0 , 0 , 0.766905 , 0.766905 , 0.766905 , 0 , 0 , 0.766905 , 0.766905 , 0.766905 , 0.766905 , 0.766905 , 0.766905 , 0.766905 
 328 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.006024 , 1.006024 , 0 , 0 , 0 , 0 , 1.006024 , 1.006024 , 1.006024 , 1.006024 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.006024 , 0 , 0 , 1.006024 , 0 , 0 , 0 
 329 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.101767 , 2.101767 , 0 , 0 , 0 , 0 , 2.101767 , 2.101767 , 2.101767 , 2.101767 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.101767 , 0 , 0 , 2.101767 , 0 , 0 , 0 
