spu_filename,Date,Site,Block,Treatment,Replicate,definition,NDVI
2019-06-02_LMAT_00025.spu,2019-06-02,LMAT,B1,F2,5,Greenseeker,0.4973239863685203
2019-06-02_LMAT_00025.spu,2019-06-02,LMAT,B1,F2,5,MODIS,0.5533791590693836
2019-06-02_LMAT_00025.spu,2019-06-02,LMAT,B1,F2,5,RapidSCAN,0.503188242030947
2019-06-02_LMAT_00026.spu,2019-06-02,LMAT,B1,GH,1,Greenseeker,0.3719709237872529
2019-06-02_LMAT_00026.spu,2019-06-02,LMAT,B1,GH,1,MODIS,0.4174030327667922
2019-06-02_LMAT_00026.spu,2019-06-02,LMAT,B1,GH,1,RapidSCAN,0.37087937322908765
2019-06-02_LMAT_00027.spu,2019-06-02,LMAT,B1,GH,2,Greenseeker,0.5368102697193986
2019-06-02_LMAT_00027.spu,2019-06-02,LMAT,B1,GH,2,MODIS,0.5691713525661645
2019-06-02_LMAT_00027.spu,2019-06-02,LMAT,B1,GH,2,RapidSCAN,0.5489970305918866
2019-06-02_LMAT_00028.spu,2019-06-02,LMAT,B1,GH,3,Greenseeker,0.5847583232454864
2019-06-02_LMAT_00028.spu,2019-06-02,LMAT,B1,GH,3,MODIS,0.6070146519263085
2019-06-02_LMAT_00028.spu,2019-06-02,LMAT,B1,GH,3,RapidSCAN,0.59961842333228
2019-06-02_LMAT_00029.spu,2019-06-02,LMAT,B1,GH,4,Greenseeker,0.5769964571157362
2019-06-02_LMAT_00029.spu,2019-06-02,LMAT,B1,GH,4,MODIS,0.5884467946393315
2019-06-02_LMAT_00029.spu,2019-06-02,LMAT,B1,GH,4,RapidSCAN,0.5889710075919841
2019-06-02_LMAT_00030.spu,2019-06-02,LMAT,B1,GH,5,Greenseeker,0.6228289652462515
2019-06-02_LMAT_00030.spu,2019-06-02,LMAT,B1,GH,5,MODIS,0.6344508002805878
2019-06-02_LMAT_00030.spu,2019-06-02,LMAT,B1,GH,5,RapidSCAN,0.6402135322549352
2019-06-02_LMAT_00031.spu,2019-06-02,LMAT,B1,GH-CT,1,Greenseeker,0.43870198882335354
2019-06-02_LMAT_00031.spu,2019-06-02,LMAT,B1,GH-CT,1,MODIS,0.475989515689417
2019-06-02_LMAT_00031.spu,2019-06-02,LMAT,B1,GH-CT,1,RapidSCAN,0.44343092833441505
2019-06-02_LMAT_00032.spu,2019-06-02,LMAT,B1,GH-CT,1.2,Greenseeker,0.5604945715920995
2019-06-02_LMAT_00032.spu,2019-06-02,LMAT,B1,GH-CT,1.2,MODIS,0.584234688381821
2019-06-02_LMAT_00032.spu,2019-06-02,LMAT,B1,GH-CT,1.2,RapidSCAN,0.5764761188330533
2019-06-02_LMAT_00033.spu,2019-06-02,LMAT,B1,GH-CT,1.4,Greenseeker,0.642045747736111
2019-06-02_LMAT_00033.spu,2019-06-02,LMAT,B1,GH-CT,1.4,MODIS,0.6597055851395466
2019-06-02_LMAT_00033.spu,2019-06-02,LMAT,B1,GH-CT,1.4,RapidSCAN,0.6636382559224445
2019-06-02_LMAT_00034.spu,2019-06-02,LMAT,B1,GH-CT,1.6,Greenseeker,0.6044670554092316
2019-06-02_LMAT_00034.spu,2019-06-02,LMAT,B1,GH-CT,1.6,MODIS,0.6269249680329357
2019-06-02_LMAT_00034.spu,2019-06-02,LMAT,B1,GH-CT,1.6,RapidSCAN,0.6224452789963718
2019-06-02_LMAT_00035.spu,2019-06-02,LMAT,B1,GH-CT,1.8,Greenseeker,0.6007646657023009
2019-06-02_LMAT_00035.spu,2019-06-02,LMAT,B1,GH-CT,1.8,MODIS,0.6240711090907576
2019-06-02_LMAT_00035.spu,2019-06-02,LMAT,B1,GH-CT,1.8,RapidSCAN,0.6177582448543963
2019-06-02_LMAT_00036.spu,2019-06-02,LMAT,B1,GH-CT,2,Greenseeker,0.5652322333590213
2019-06-02_LMAT_00036.spu,2019-06-02,LMAT,B1,GH-CT,2,MODIS,0.5896914039983567
2019-06-02_LMAT_00036.spu,2019-06-02,LMAT,B1,GH-CT,2,RapidSCAN,0.5805626448823775
2019-06-02_LMAT_00037.spu,2019-06-02,LMAT,B1,GH-CT,2.2,Greenseeker,0.5138123807659842
2019-06-02_LMAT_00037.spu,2019-06-02,LMAT,B1,GH-CT,2.2,MODIS,0.5393016768179689
2019-06-02_LMAT_00037.spu,2019-06-02,LMAT,B1,GH-CT,2.2,RapidSCAN,0.5238617363579146
2019-06-02_LMAT_00038.spu,2019-06-02,LMAT,B1,GH-CT,2.4,Greenseeker,0.3903461598499971
2019-06-02_LMAT_00038.spu,2019-06-02,LMAT,B1,GH-CT,2.4,MODIS,0.43349641761417657
2019-06-02_LMAT_00038.spu,2019-06-02,LMAT,B1,GH-CT,2.4,RapidSCAN,0.3934050113894376
2019-06-02_LMAT_00039.spu,2019-06-02,LMAT,B1,GH-CT,2.6,Greenseeker,0.296916545891619
2019-06-02_LMAT_00039.spu,2019-06-02,LMAT,B1,GH-CT,2.6,MODIS,0.3478293810047434
2019-06-02_LMAT_00039.spu,2019-06-02,LMAT,B1,GH-CT,2.6,RapidSCAN,0.2960684539974722
2019-06-02_LMAT_00040.spu,2019-06-02,LMAT,B1,GH-CT,2.8,Greenseeker,0.24303923947130554
2019-06-02_LMAT_00040.spu,2019-06-02,LMAT,B1,GH-CT,2.8,MODIS,0.29560615453587713
2019-06-02_LMAT_00040.spu,2019-06-02,LMAT,B1,GH-CT,2.8,RapidSCAN,0.23802111627138164
2019-06-02_LMAT_00041.spu,2019-06-02,LMAT,B1,GH-CT,3,Greenseeker,0.2647741314198882
2019-06-02_LMAT_00041.spu,2019-06-02,LMAT,B1,GH-CT,3,MODIS,0.3176115823605054
2019-06-02_LMAT_00041.spu,2019-06-02,LMAT,B1,GH-CT,3,RapidSCAN,0.25917990725992385
2019-06-02_LMAT_00042.spu,2019-06-02,LMAT,B1,GH-CT,3.2,Greenseeker,0.33383043328559986
2019-06-02_LMAT_00042.spu,2019-06-02,LMAT,B1,GH-CT,3.2,MODIS,0.384046389136542
2019-06-02_LMAT_00042.spu,2019-06-02,LMAT,B1,GH-CT,3.2,RapidSCAN,0.33398218016801107
2019-06-02_LMAT_00043.spu,2019-06-02,LMAT,B1,GH-CT,3.4,Greenseeker,0.39256204553465945
2019-06-02_LMAT_00043.spu,2019-06-02,LMAT,B1,GH-CT,3.4,MODIS,0.44338590283988444
2019-06-02_LMAT_00043.spu,2019-06-02,LMAT,B1,GH-CT,3.4,RapidSCAN,0.39453697372037017
2019-06-02_LMAT_00044.spu,2019-06-02,LMAT,B1,GH-CT,3.6,Greenseeker,0.4750562271318343
2019-06-02_LMAT_00044.spu,2019-06-02,LMAT,B1,GH-CT,3.6,MODIS,0.5200025761341964
2019-06-02_LMAT_00044.spu,2019-06-02,LMAT,B1,GH-CT,3.6,RapidSCAN,0.4828362375982508
2019-06-02_LMAT_00045.spu,2019-06-02,LMAT,B1,GH-CT,3.8,Greenseeker,0.3968263416439472
2019-06-02_LMAT_00045.spu,2019-06-02,LMAT,B1,GH-CT,3.8,MODIS,0.44460415953271715
2019-06-02_LMAT_00045.spu,2019-06-02,LMAT,B1,GH-CT,3.8,RapidSCAN,0.3978429658404671
2019-06-02_LMAT_00046.spu,2019-06-02,LMAT,B1,GH-CT,4,Greenseeker,0.3548796829885826
2019-06-02_LMAT_00046.spu,2019-06-02,LMAT,B1,GH-CT,4,MODIS,0.4118152526922184
2019-06-02_LMAT_00046.spu,2019-06-02,LMAT,B1,GH-CT,4,RapidSCAN,0.35287444151126685
2019-06-02_LMAT_00047.spu,2019-06-02,LMAT,B1,GH-CT,4.2,Greenseeker,0.36756730611363936
2019-06-02_LMAT_00047.spu,2019-06-02,LMAT,B1,GH-CT,4.2,MODIS,0.4138427969337918
2019-06-02_LMAT_00047.spu,2019-06-02,LMAT,B1,GH-CT,4.2,RapidSCAN,0.36810642319525094
2019-06-02_LMAT_00048.spu,2019-06-02,LMAT,B1,GH-CT,4.4,Greenseeker,0.5426033462824347
2019-06-02_LMAT_00048.spu,2019-06-02,LMAT,B1,GH-CT,4.4,MODIS,0.5649154190665089
2019-06-02_LMAT_00048.spu,2019-06-02,LMAT,B1,GH-CT,4.4,RapidSCAN,0.5564116726275183
2019-06-02_LMAT_00049.spu,2019-06-02,LMAT,B1,GH-CT,4.6,Greenseeker,0.5251842820377655
2019-06-02_LMAT_00049.spu,2019-06-02,LMAT,B1,GH-CT,4.6,MODIS,0.545777778144762
2019-06-02_LMAT_00049.spu,2019-06-02,LMAT,B1,GH-CT,4.6,RapidSCAN,0.5379298850609566
2019-06-02_LMAT_00050.spu,2019-06-02,LMAT,B1,GH-CT,4.8,Greenseeker,0.5122732225514444
2019-06-02_LMAT_00050.spu,2019-06-02,LMAT,B1,GH-CT,4.8,MODIS,0.5353855588652956
2019-06-02_LMAT_00050.spu,2019-06-02,LMAT,B1,GH-CT,4.8,RapidSCAN,0.5240912040571561
2019-06-02_LMAT_00051.spu,2019-06-02,LMAT,B1,GH-CT,5,Greenseeker,0.5126964008143668
2019-06-02_LMAT_00051.spu,2019-06-02,LMAT,B1,GH-CT,5,MODIS,0.5324986306598736
2019-06-02_LMAT_00051.spu,2019-06-02,LMAT,B1,GH-CT,5,RapidSCAN,0.5257529342341964
2019-06-02_LMAT_00052.spu,2019-06-02,LMAT,B1,F5,1,Greenseeker,0.5177828616726974
2019-06-02_LMAT_00052.spu,2019-06-02,LMAT,B1,F5,1,MODIS,0.5709369412093023
2019-06-02_LMAT_00052.spu,2019-06-02,LMAT,B1,F5,1,RapidSCAN,0.5243468946862924
2019-06-02_LMAT_00053.spu,2019-06-02,LMAT,B1,F5,1.2,Greenseeker,0.45103264491568545
2019-06-02_LMAT_00053.spu,2019-06-02,LMAT,B1,F5,1.2,MODIS,0.5147318115248156
2019-06-02_LMAT_00053.spu,2019-06-02,LMAT,B1,F5,1.2,RapidSCAN,0.45183512702182227
2019-06-02_LMAT_00054.spu,2019-06-02,LMAT,B1,F5,1.4,Greenseeker,0.4241666728111477
2019-06-02_LMAT_00054.spu,2019-06-02,LMAT,B1,F5,1.4,MODIS,0.4934006973539353
2019-06-02_LMAT_00054.spu,2019-06-02,LMAT,B1,F5,1.4,RapidSCAN,0.42633176895041847
