JUN28SHB100005.spu,JUN28SHB100004.spu,JUN28SHB100003.spu,
Wavelength,JUN28SHB100006.spu,JUN28SHB100007.spu,JUN28SHB100008.spu,JUN28SHB100009.spu,JUN28SHB100010.spu,JUN28SHB100011.spu,JUN28SHB100012.spu,JUN28SHB100013.spu,JUN28SHB100014.spu,JUN28SHB100015.spu,JUN28SHB100016.spu,JUN28SHB100017.spu,JUN28SHB100018.spu,JUN28SHB100019.spu,JUN28SHB100020.spu,JUN28SHB100021.spu,JUN28SHB100022.spu,JUN28SHB100023.spu,JUN28SHB100024.spu,JUN28SHB100025.spu
  (nm),6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 
  time  ,34:31 PM,34:50 PM,35:09 PM,35:26 PM,35:43 PM,36:22 PM,36:32 PM,36:56 PM,37:07 PM,37:18 PM,37:50 PM,37:59 PM,38:12 PM,38:28 PM,38:41 PM,39:11 PM,39:23 PM,39:32 PM,39:44 PM,39:57 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 336 , 0 , 0 , 0.002875 , 0 , 0 , 0.001835 , 0 , 0 , 0.008166 , 0 , 0.000402 , 0.00044 , 0 , 0.000723 , 0 , 0 , 0.000859 , 0 , 0 , 0 
 337 , 0 , 0 , 0.005119 , 0 , 0 , 0.003188 , 0 , 0 , 0.008311 , 0 , 0.000728 , 0.000727 , 0 , 0.00124 , 0 , 0 , 0.001416 , 0 , 0 , 0 
 338 , 0 , 0 , 0.007196 , 0 , 0 , 0.004373 , 0 , 0 , 0.008372 , 0 , 0.001042 , 0.000953 , 0 , 0.001681 , 0 , 0 , 0.001854 , 0 , 0 , 0 
 339 , 0.0006 , 0 , 0.008933 , 0 , 0 , 0.005307 , 0 , 0 , 0.009963 , 0.000475 , 0.001792 , 0.001667 , 0.000953 , 0.002663 , 0 , 0.000457 , 0.002597 , 0 , 0 , 0 
 340 , 0.001376 , 0 , 0.010485 , 0 , 0 , 0.00598 , 0 , 0 , 0.011644 , 0.001003 , 0.002413 , 0.002453 , 0.002142 , 0.003734 , 0 , 0.000956 , 0.003288 , 0 , 0 , 0 
 341 , 0.002192 , 0 , 0.011913 , 0 , 0 , 0.006457 , 0 , 0 , 0.013115 , 0.00147 , 0.002853 , 0.003188 , 0.003342 , 0.004759 , 0 , 0.001391 , 0.003856 , 0 , 0 , 0 
 342 , 0.002789 , 0.000227 , 0.012657 , 0.000555 , 0.000334 , 0.006905 , 0.000217 , 0.000205 , 0.014521 , 0.001816 , 0.00343 , 0.004135 , 0.00448 , 0.005532 , 0 , 0.00202 , 0.004526 , 0.000134 , 0.000454 , 0 
 343 , 0.003066 , 0.000651 , 0.012751 , 0.00168 , 0.001064 , 0.007391 , 0.000616 , 0.000581 , 0.015952 , 0.00205 , 0.004203 , 0.005199 , 0.005405 , 0.005996 , 0 , 0.002876 , 0.005316 , 0.000408 , 0.001338 , 0 
 344 , 0.003302 , 0.000988 , 0.012795 , 0.002676 , 0.001778 , 0.007805 , 0.000929 , 0.000875 , 0.017289 , 0.002261 , 0.00487 , 0.006042 , 0.006154 , 0.006381 , 0 , 0.003646 , 0.005978 , 0.000654 , 0.002083 , 0 
 345 , 0.003565 , 0.001297 , 0.012899 , 0.003533 , 0.002432 , 0.008211 , 0.001229 , 0.001161 , 0.018473 , 0.002479 , 0.005474 , 0.006726 , 0.006795 , 0.006753 , 0.000029 , 0.004327 , 0.006579 , 0.000912 , 0.002733 , 0 
