JUN18MAT200035.spu,JUN18MAT200034.spu,JUN18MAT200033.spu,JUN18MAT200032.spu,JUN18MAT200031.spu,
Wavelength,JUN18MAT200061.spu,JUN18MAT200062.spu,JUN18MAT200063.spu,JUN18MAT200064.spu,JUN18MAT200065.spu,JUN18MAT200066.spu,JUN18MAT200067.spu,JUN18MAT200068.spu,JUN18MAT200069.spu,JUN18MAT200070.spu,JUN18MAT200071.spu,JUN18MAT200072.spu,JUN18MAT200073.spu,JUN18MAT200074.spu,JUN18MAT200075.spu,JUN18MAT200076.spu,JUN18MAT200077.spu,JUN18MAT200078.spu,JUN18MAT200079.spu,JUN18MAT200080.spu
  (nm),6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 
  time  ,40:38 PM,40:52 PM,41:05 PM,41:14 PM,41:25 PM,42:13 PM,42:22 PM,42:31 PM,42:40 PM,42:51 PM,43:39 PM,43:49 PM,43:56 PM,44:06 PM,44:15 PM,44:54 PM,45:02 PM,45:12 PM,45:19 PM,45:27 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 376 , 0.031399 , 0.026436 , 0.024677 , 0.025521 , 0.018221 , 0.018453 , 0.013247 , 0.017641 , 0.013581 , 0.021697 , 0.018436 , 0.020491 , 0.018239 , 0.021173 , 0.021743 , 0.020553 , 0.021085 , 0.026626 , 0.023781 , 0.01928 
 377 , 0.03136 , 0.02563 , 0.02449 , 0.02496 , 0.017798 , 0.018275 , 0.013187 , 0.017378 , 0.01345 , 0.021369 , 0.018271 , 0.020115 , 0.017819 , 0.020801 , 0.021644 , 0.020375 , 0.020815 , 0.026075 , 0.023712 , 0.01874 
 378 , 0.031379 , 0.025025 , 0.024353 , 0.024572 , 0.01746 , 0.018186 , 0.013212 , 0.017224 , 0.013401 , 0.021155 , 0.018165 , 0.019887 , 0.017533 , 0.020504 , 0.021588 , 0.020337 , 0.020672 , 0.025746 , 0.02371 , 0.018343 
 379 , 0.031276 , 0.024629 , 0.024241 , 0.024185 , 0.017217 , 0.018114 , 0.01313 , 0.016995 , 0.013335 , 0.021012 , 0.018003 , 0.019688 , 0.017213 , 0.020165 , 0.021525 , 0.020297 , 0.020554 , 0.025567 , 0.023634 , 0.018043 
 380 , 0.031005 , 0.024549 , 0.024202 , 0.023752 , 0.017161 , 0.018034 , 0.012825 , 0.016615 , 0.013211 , 0.020978 , 0.017714 , 0.019507 , 0.016781 , 0.019802 , 0.021467 , 0.020154 , 0.020461 , 0.02555 , 0.023416 , 0.017902 
 381 , 0.030901 , 0.024561 , 0.024247 , 0.023449 , 0.017197 , 0.018004 , 0.012606 , 0.016354 , 0.013155 , 0.021029 , 0.017478 , 0.019437 , 0.016447 , 0.019591 , 0.021481 , 0.020045 , 0.020484 , 0.025611 , 0.023284 , 0.017874 
 382 , 0.030885 , 0.024623 , 0.024336 , 0.023212 , 0.017282 , 0.017999 , 0.012429 , 0.016154 , 0.013134 , 0.021127 , 0.017267 , 0.019426 , 0.016161 , 0.019457 , 0.021536 , 0.019954 , 0.020568 , 0.025716 , 0.023196 , 0.017905 
 383 , 0.030957 , 0.024705 , 0.024368 , 0.023379 , 0.017114 , 0.017863 , 0.012353 , 0.016215 , 0.013278 , 0.021082 , 0.017304 , 0.019512 , 0.016253 , 0.019412 , 0.02147 , 0.020251 , 0.020729 , 0.025737 , 0.023139 , 0.018087 
 384 , 0.031094 , 0.024828 , 0.024443 , 0.023617 , 0.016999 , 0.017771 , 0.012326 , 0.016318 , 0.013473 , 0.021086 , 0.017398 , 0.019665 , 0.016394 , 0.01943 , 0.021453 , 0.020627 , 0.020959 , 0.025822 , 0.023147 , 0.01831 
 385 , 0.031264 , 0.024974 , 0.024543 , 0.023886 , 0.01692 , 0.017707 , 0.012324 , 0.016437 , 0.013693 , 0.021121 , 0.017519 , 0.019853 , 0.016555 , 0.019481 , 0.021467 , 0.021041 , 0.021227 , 0.025945 , 0.023191 , 0.018552 
 386 , 0.031615 , 0.025156 , 0.024756 , 0.024162 , 0.017105 , 0.017848 , 0.012429 , 0.016642 , 0.0139 , 0.021364 , 0.017687 , 0.020068 , 0.016886 , 0.019666 , 0.021598 , 0.021435 , 0.021625 , 0.026097 , 0.023396 , 0.018774 
 387 , 0.03208 , 0.025355 , 0.02503 , 0.024429 , 0.017455 , 0.018122 , 0.012601 , 0.016897 , 0.014087 , 0.021734 , 0.017878 , 0.020287 , 0.017318 , 0.019931 , 0.0218 , 0.021795 , 0.022089 , 0.026264 , 0.023701 , 0.018979 
 388 , 0.032541 , 0.025547 , 0.02529 , 0.024684 , 0.017787 , 0.018389 , 0.012768 , 0.017145 , 0.014267 , 0.022095 , 0.018066 , 0.020493 , 0.017728 , 0.020186 , 0.021992 , 0.022143 , 0.022529 , 0.026434 , 0.024003 , 0.019182 
 389 , 0.03301 , 0.025799 , 0.025578 , 0.024957 , 0.018107 , 0.018661 , 0.012982 , 0.017416 , 0.014447 , 0.022432 , 0.018244 , 0.020668 , 0.018109 , 0.020408 , 0.02224 , 0.022472 , 0.022946 , 0.026702 , 0.024332 , 0.019401 
 390 , 0.033542 , 0.026282 , 0.025999 , 0.025313 , 0.018424 , 0.018971 , 0.013365 , 0.01779 , 0.014656 , 0.022721 , 0.018397 , 0.020753 , 0.018436 , 0.020544 , 0.022692 , 0.022771 , 0.02334 , 0.027304 , 0.024773 , 0.019695 
 391 , 0.034052 , 0.026744 , 0.026405 , 0.025655 , 0.018731 , 0.019271 , 0.013732 , 0.01815 , 0.014856 , 0.023002 , 0.01855 , 0.020837 , 0.018746 , 0.020679 , 0.023124 , 0.023062 , 0.02372 , 0.027883 , 0.025195 , 0.019978 
 392 , 0.034548 , 0.027191 , 0.0268 , 0.025988 , 0.019031 , 0.019559 , 0.014088 , 0.018496 , 0.015046 , 0.023272 , 0.018698 , 0.020918 , 0.019047 , 0.020813 , 0.023541 , 0.023342 , 0.024085 , 0.028437 , 0.0256 , 0.020253 
 393 , 0.035159 , 0.027572 , 0.027163 , 0.026366 , 0.019252 , 0.019839 , 0.014363 , 0.018841 , 0.015425 , 0.023687 , 0.01903 , 0.021296 , 0.019465 , 0.021024 , 0.023935 , 0.023897 , 0.024726 , 0.028778 , 0.02601 , 0.020776 
 394 , 0.035746 , 0.027915 , 0.0275 , 0.026731 , 0.019446 , 0.020099 , 0.014604 , 0.019161 , 0.01581 , 0.024097 , 0.019371 , 0.021701 , 0.019873 , 0.021236 , 0.024301 , 0.024458 , 0.025365 , 0.029061 , 0.026392 , 0.021302 
 395 , 0.03629 , 0.028236 , 0.027812 , 0.027066 , 0.019625 , 0.02034 , 0.014832 , 0.019458 , 0.016163 , 0.024474 , 0.019688 , 0.022073 , 0.02025 , 0.021434 , 0.024641 , 0.024979 , 0.025956 , 0.029323 , 0.026745 , 0.021792 
 396 , 0.036944 , 0.028692 , 0.028259 , 0.027614 , 0.02006 , 0.020775 , 0.015231 , 0.019891 , 0.016651 , 0.024981 , 0.020109 , 0.022601 , 0.020804 , 0.021801 , 0.025153 , 0.02565 , 0.026715 , 0.029767 , 0.027254 , 0.022386 
 397 , 0.037667 , 0.029252 , 0.028806 , 0.028326 , 0.020701 , 0.021365 , 0.015774 , 0.020431 , 0.017239 , 0.025584 , 0.020605 , 0.02324 , 0.021491 , 0.02231 , 0.025798 , 0.026432 , 0.027588 , 0.030359 , 0.027883 , 0.023048 
 398 , 0.038299 , 0.029736 , 0.029283 , 0.028946 , 0.021261 , 0.021882 , 0.016245 , 0.0209 , 0.017748 , 0.026108 , 0.021034 , 0.023799 , 0.022089 , 0.022752 , 0.026361 , 0.027113 , 0.028347 , 0.030878 , 0.028428 , 0.023623 
 399 , 0.03886 , 0.030159 , 0.029719 , 0.029477 , 0.02177 , 0.022345 , 0.016665 , 0.021319 , 0.018186 , 0.026571 , 0.021422 , 0.024281 , 0.02261 , 0.023141 , 0.026852 , 0.027715 , 0.029014 , 0.031351 , 0.028931 , 0.024147 
 400 , 0.039457 , 0.030497 , 0.030224 , 0.029842 , 0.022357 , 0.022833 , 0.017099 , 0.021736 , 0.018493 , 0.027014 , 0.021825 , 0.024633 , 0.023044 , 0.023516 , 0.027282 , 0.028282 , 0.029599 , 0.031923 , 0.029566 , 0.024739 
 401 , 0.039984 , 0.030793 , 0.030672 , 0.030169 , 0.022877 , 0.023264 , 0.017484 , 0.022105 , 0.018764 , 0.027411 , 0.022179 , 0.024942 , 0.023434 , 0.02385 , 0.02766 , 0.028782 , 0.030115 , 0.03243 , 0.030128 , 0.025262 
 402 , 0.040452 , 0.031059 , 0.031072 , 0.030462 , 0.02334 , 0.023654 , 0.017828 , 0.022433 , 0.019006 , 0.027763 , 0.022501 , 0.025221 , 0.023776 , 0.024145 , 0.028 , 0.029233 , 0.030581 , 0.032885 , 0.030631 , 0.025734 
 403 , 0.040833 , 0.031437 , 0.031403 , 0.030756 , 0.023594 , 0.023909 , 0.018144 , 0.022676 , 0.019282 , 0.028096 , 0.02271 , 0.025552 , 0.024146 , 0.024413 , 0.028341 , 0.029687 , 0.03104 , 0.033222 , 0.03095 , 0.026138 
 404 , 0.041172 , 0.031841 , 0.031705 , 0.031045 , 0.023769 , 0.024115 , 0.01844 , 0.022881 , 0.019552 , 0.028406 , 0.022885 , 0.025886 , 0.024508 , 0.024661 , 0.028669 , 0.030121 , 0.031486 , 0.033516 , 0.031206 , 0.026503 
 405 , 0.041494 , 0.032213 , 0.031983 , 0.031309 , 0.023939 , 0.024303 , 0.01872 , 0.023075 , 0.019811 , 0.028702 , 0.023044 , 0.026196 , 0.024848 , 0.024893 , 0.028981 , 0.030533 , 0.031903 , 0.033792 , 0.031442 , 0.026848 
 406 , 0.04181 , 0.032559 , 0.032276 , 0.031625 , 0.024164 , 0.02455 , 0.018952 , 0.023311 , 0.020079 , 0.02899 , 0.023235 , 0.026489 , 0.02517 , 0.025125 , 0.029295 , 0.030969 , 0.032352 , 0.034103 , 0.031755 , 0.027212 
 407 , 0.042143 , 0.032872 , 0.032596 , 0.032024 , 0.024496 , 0.02489 , 0.01913 , 0.02362 , 0.020377 , 0.029289 , 0.02348 , 0.026763 , 0.025475 , 0.025357 , 0.029648 , 0.031466 , 0.032877 , 0.034478 , 0.032197 , 0.027629 
 408 , 0.04246 , 0.033164 , 0.032903 , 0.032403 , 0.024806 , 0.025209 , 0.019293 , 0.023913 , 0.020662 , 0.029573 , 0.023712 , 0.027023 , 0.025768 , 0.02558 , 0.029981 , 0.031941 , 0.033374 , 0.034835 , 0.032614 , 0.028026 
 409 , 0.042759 , 0.033447 , 0.033193 , 0.032768 , 0.025102 , 0.025513 , 0.019455 , 0.024196 , 0.020933 , 0.029843 , 0.023933 , 0.027274 , 0.026044 , 0.02579 , 0.030296 , 0.032384 , 0.033845 , 0.035176 , 0.033013 , 0.028396 
 410 , 0.043135 , 0.033704 , 0.033495 , 0.033011 , 0.025382 , 0.025712 , 0.019712 , 0.024437 , 0.021123 , 0.030139 , 0.024069 , 0.027551 , 0.026564 , 0.026015 , 0.030632 , 0.032885 , 0.034384 , 0.035506 , 0.033425 , 0.028831 
 411 , 0.043492 , 0.033954 , 0.033781 , 0.033242 , 0.025648 , 0.025901 , 0.019958 , 0.024669 , 0.021303 , 0.03042 , 0.0242 , 0.027818 , 0.027054 , 0.026225 , 0.030954 , 0.033359 , 0.034891 , 0.035815 , 0.033809 , 0.029234 
 412 , 0.04383 , 0.034187 , 0.034055 , 0.03346 , 0.025902 , 0.026081 , 0.020188 , 0.024888 , 0.021472 , 0.030691 , 0.024321 , 0.028067 , 0.027515 , 0.026426 , 0.031257 , 0.033805 , 0.035371 , 0.036112 , 0.034173 , 0.02962 
 413 , 0.044143 , 0.034427 , 0.034313 , 0.033734 , 0.026188 , 0.026345 , 0.020443 , 0.02512 , 0.021649 , 0.030975 , 0.02455 , 0.028349 , 0.027893 , 0.026658 , 0.031602 , 0.03427 , 0.035856 , 0.036464 , 0.034555 , 0.030011 
 414 , 0.044431 , 0.034671 , 0.034561 , 0.034031 , 0.026488 , 0.026646 , 0.020703 , 0.025351 , 0.021821 , 0.03127 , 0.024826 , 0.028638 , 0.028218 , 0.026904 , 0.031968 , 0.034733 , 0.036334 , 0.036845 , 0.034944 , 0.030396 
 415 , 0.044707 , 0.034907 , 0.034801 , 0.034316 , 0.026773 , 0.026937 , 0.020951 , 0.025577 , 0.021988 , 0.031549 , 0.025097 , 0.028916 , 0.028527 , 0.027138 , 0.032312 , 0.035181 , 0.03679 , 0.037208 , 0.03531 , 0.030766 
 416 , 0.044973 , 0.035147 , 0.03506 , 0.034596 , 0.027042 , 0.027211 , 0.021184 , 0.025805 , 0.022165 , 0.031808 , 0.025331 , 0.029178 , 0.028854 , 0.027356 , 0.032639 , 0.035621 , 0.037274 , 0.037559 , 0.035684 , 0.03115 
 417 , 0.045248 , 0.035425 , 0.035396 , 0.0349 , 0.027285 , 0.027475 , 0.021386 , 0.02605 , 0.022369 , 0.032031 , 0.025505 , 0.029429 , 0.029249 , 0.027552 , 0.032931 , 0.036086 , 0.037861 , 0.0379 , 0.036101 , 0.031608 
 418 , 0.045513 , 0.035692 , 0.035716 , 0.035193 , 0.027518 , 0.027733 , 0.02158 , 0.026291 , 0.022563 , 0.032253 , 0.025674 , 0.029675 , 0.029631 , 0.027743 , 0.033217 , 0.036533 , 0.038436 , 0.038235 , 0.036508 , 0.032048 
 419 , 0.04577 , 0.035952 , 0.036031 , 0.035475 , 0.027747 , 0.027978 , 0.021771 , 0.026518 , 0.022755 , 0.032464 , 0.025834 , 0.029907 , 0.03 , 0.027924 , 0.033493 , 0.036965 , 0.038987 , 0.038559 , 0.036901 , 0.032469 
 420 , 0.046034 , 0.036175 , 0.036294 , 0.035764 , 0.028028 , 0.028186 , 0.021953 , 0.026732 , 0.022928 , 0.032772 , 0.026039 , 0.030175 , 0.030308 , 0.028102 , 0.03382 , 0.037357 , 0.039484 , 0.038866 , 0.037298 , 0.032831 
 421 , 0.046296 , 0.036392 , 0.036546 , 0.036049 , 0.028313 , 0.028383 , 0.022129 , 0.026941 , 0.023098 , 0.033086 , 0.026245 , 0.030441 , 0.030605 , 0.028279 , 0.03415 , 0.037735 , 0.039962 , 0.039166 , 0.037685 , 0.033181 
 422 , 0.046553 , 0.036606 , 0.03679 , 0.036331 , 0.028587 , 0.028577 , 0.022302 , 0.027143 , 0.023266 , 0.033393 , 0.026449 , 0.0307 , 0.030895 , 0.028447 , 0.034472 , 0.038104 , 0.040432 , 0.039463 , 0.038064 , 0.033518 
 423 , 0.046813 , 0.036844 , 0.03701 , 0.036598 , 0.028835 , 0.028765 , 0.022464 , 0.027333 , 0.023424 , 0.033639 , 0.026624 , 0.030955 , 0.031227 , 0.028654 , 0.034759 , 0.038502 , 0.040884 , 0.039844 , 0.038447 , 0.03387 
 424 , 0.047071 , 0.037105 , 0.037211 , 0.036862 , 0.029057 , 0.028956 , 0.022614 , 0.027501 , 0.023584 , 0.033828 , 0.026785 , 0.031207 , 0.031586 , 0.028895 , 0.035019 , 0.038932 , 0.041315 , 0.04029 , 0.038836 , 0.034232 
 425 , 0.047333 , 0.037364 , 0.03741 , 0.037121 , 0.029278 , 0.029146 , 0.022769 , 0.027675 , 0.023743 , 0.034016 , 0.026939 , 0.031454 , 0.031946 , 0.029136 , 0.035284 , 0.039358 , 0.041748 , 0.040738 , 0.039226 , 0.034589 
 426 , 0.047576 , 0.037605 , 0.03761 , 0.037365 , 0.029505 , 0.029337 , 0.022914 , 0.027843 , 0.023892 , 0.03421 , 0.027094 , 0.031692 , 0.032298 , 0.029357 , 0.035546 , 0.039782 , 0.042188 , 0.041148 , 0.039613 , 0.034949 
 427 , 0.047751 , 0.037771 , 0.037843 , 0.037562 , 0.029786 , 0.02952 , 0.023055 , 0.028011 , 0.024006 , 0.034446 , 0.02727 , 0.031868 , 0.032615 , 0.029479 , 0.035838 , 0.040201 , 0.042677 , 0.041403 , 0.040017 , 0.035311 
 428 , 0.047926 , 0.037937 , 0.038076 , 0.037757 , 0.030058 , 0.029704 , 0.023195 , 0.028174 , 0.024119 , 0.034683 , 0.02744 , 0.032045 , 0.032933 , 0.029601 , 0.03613 , 0.040622 , 0.043168 , 0.041658 , 0.040421 , 0.035679 
 429 , 0.048099 , 0.038097 , 0.038308 , 0.037948 , 0.030336 , 0.029882 , 0.023336 , 0.028337 , 0.024227 , 0.034919 , 0.027616 , 0.032215 , 0.033246 , 0.029723 , 0.036418 , 0.041038 , 0.043649 , 0.041914 , 0.040827 , 0.036037 
 430 , 0.048357 , 0.03839 , 0.038597 , 0.03824 , 0.030621 , 0.03014 , 0.023571 , 0.028593 , 0.024434 , 0.035188 , 0.027874 , 0.032581 , 0.033641 , 0.03001 , 0.036802 , 0.041571 , 0.04425 , 0.042383 , 0.041374 , 0.036491 
 431 , 0.048629 , 0.038713 , 0.038895 , 0.038552 , 0.030904 , 0.030409 , 0.023828 , 0.028859 , 0.024661 , 0.035461 , 0.028152 , 0.032985 , 0.034051 , 0.030326 , 0.037199 , 0.042126 , 0.044868 , 0.042901 , 0.041944 , 0.036954 
 432 , 0.048895 , 0.039022 , 0.039189 , 0.038855 , 0.031179 , 0.030671 , 0.024079 , 0.029128 , 0.024885 , 0.035731 , 0.028416 , 0.033376 , 0.034454 , 0.03064 , 0.037588 , 0.042664 , 0.045473 , 0.043407 , 0.042501 , 0.037411 
 433 , 0.049231 , 0.039353 , 0.039511 , 0.03919 , 0.031496 , 0.030975 , 0.024324 , 0.029418 , 0.025129 , 0.036033 , 0.028718 , 0.03377 , 0.034896 , 0.030944 , 0.038043 , 0.043232 , 0.046116 , 0.043948 , 0.043079 , 0.037896 
 434 , 0.049639 , 0.039711 , 0.039865 , 0.039557 , 0.031862 , 0.031327 , 0.024554 , 0.029752 , 0.025398 , 0.03637 , 0.029057 , 0.034153 , 0.035394 , 0.031231 , 0.038576 , 0.043837 , 0.046807 , 0.044527 , 0.043694 , 0.038422 
 435 , 0.050036 , 0.040056 , 0.040211 , 0.039911 , 0.032212 , 0.031667 , 0.02478 , 0.03007 , 0.025657 , 0.036695 , 0.029386 , 0.034531 , 0.035877 , 0.031518 , 0.039094 , 0.044426 , 0.047477 , 0.045089 , 0.044287 , 0.038934 
 436 , 0.05044 , 0.040418 , 0.040574 , 0.040278 , 0.032576 , 0.032016 , 0.025015 , 0.030401 , 0.025925 , 0.037041 , 0.029722 , 0.034914 , 0.036368 , 0.031817 , 0.039615 , 0.045028 , 0.048151 , 0.045663 , 0.044888 , 0.039454 
 437 , 0.051142 , 0.041137 , 0.04124 , 0.040896 , 0.033182 , 0.032597 , 0.025423 , 0.030951 , 0.026386 , 0.037703 , 0.03024 , 0.035522 , 0.037129 , 0.032405 , 0.04042 , 0.045953 , 0.049141 , 0.046566 , 0.04586 , 0.040316 
 438 , 0.051841 , 0.041855 , 0.04191 , 0.041505 , 0.033788 , 0.033172 , 0.025832 , 0.031496 , 0.026847 , 0.038365 , 0.030758 , 0.036129 , 0.037882 , 0.032989 , 0.041222 , 0.04687 , 0.050116 , 0.047458 , 0.04682 , 0.041178 
 439 , 0.052533 , 0.04256 , 0.042572 , 0.042116 , 0.034383 , 0.033741 , 0.026233 , 0.032041 , 0.027302 , 0.03902 , 0.03127 , 0.036735 , 0.038637 , 0.033572 , 0.042014 , 0.047789 , 0.051093 , 0.048352 , 0.047778 , 0.042026 
 440 , 0.053246 , 0.04324 , 0.043212 , 0.042749 , 0.03497 , 0.03424 , 0.0267 , 0.032562 , 0.027761 , 0.039605 , 0.031802 , 0.037333 , 0.039348 , 0.034125 , 0.042778 , 0.048668 , 0.05207 , 0.049216 , 0.048708 , 0.042955 
 441 , 0.053961 , 0.043899 , 0.043853 , 0.043402 , 0.03555 , 0.034717 , 0.027194 , 0.033081 , 0.028229 , 0.040152 , 0.032352 , 0.037938 , 0.040043 , 0.034671 , 0.043529 , 0.049543 , 0.053053 , 0.050081 , 0.049624 , 0.043922 
 442 , 0.054676 , 0.044561 , 0.044491 , 0.044051 , 0.036127 , 0.035195 , 0.027687 , 0.033596 , 0.028688 , 0.040707 , 0.032899 , 0.038546 , 0.040736 , 0.035213 , 0.044286 , 0.050412 , 0.054038 , 0.050939 , 0.050541 , 0.044883 
 443 , 0.055372 , 0.04521 , 0.045085 , 0.044652 , 0.03666 , 0.035676 , 0.028134 , 0.034075 , 0.02913 , 0.041237 , 0.033411 , 0.039144 , 0.041421 , 0.035747 , 0.045014 , 0.051269 , 0.054999 , 0.051791 , 0.051453 , 0.045726 
 444 , 0.056031 , 0.04584 , 0.045606 , 0.045175 , 0.037116 , 0.036164 , 0.028513 , 0.034492 , 0.029525 , 0.041742 , 0.033869 , 0.039746 , 0.042083 , 0.036265 , 0.045708 , 0.052089 , 0.055929 , 0.052622 , 0.052346 , 0.046343 
 445 , 0.056685 , 0.046473 , 0.046122 , 0.045698 , 0.037574 , 0.036654 , 0.028887 , 0.034904 , 0.029916 , 0.042247 , 0.034323 , 0.040347 , 0.04275 , 0.036775 , 0.0464 , 0.052907 , 0.05686 , 0.053452 , 0.05324 , 0.046963 
 446 , 0.05734 , 0.047103 , 0.046638 , 0.046216 , 0.038027 , 0.037146 , 0.029263 , 0.035318 , 0.030315 , 0.042754 , 0.034774 , 0.040944 , 0.043409 , 0.037287 , 0.04709 , 0.053726 , 0.057793 , 0.054282 , 0.054136 , 0.04758 
 447 , 0.05771 , 0.047444 , 0.047038 , 0.046595 , 0.038408 , 0.037442 , 0.029513 , 0.035671 , 0.030602 , 0.043132 , 0.035105 , 0.041354 , 0.04387 , 0.037682 , 0.047555 , 0.054352 , 0.058491 , 0.054868 , 0.054764 , 0.048127 
 448 , 0.058075 , 0.047789 , 0.04743 , 0.046967 , 0.038789 , 0.037738 , 0.029764 , 0.036019 , 0.030889 , 0.043505 , 0.035432 , 0.041756 , 0.044321 , 0.038072 , 0.048011 , 0.054972 , 0.059188 , 0.055448 , 0.055386 , 0.048673 
 449 , 0.05844 , 0.048129 , 0.047824 , 0.047346 , 0.039171 , 0.038035 , 0.030015 , 0.03637 , 0.031171 , 0.043886 , 0.035761 , 0.042166 , 0.044781 , 0.038457 , 0.04847 , 0.055595 , 0.059882 , 0.05603 , 0.056005 , 0.049216 
 450 , 0.058623 , 0.048381 , 0.048058 , 0.047566 , 0.039404 , 0.038246 , 0.030214 , 0.036565 , 0.031347 , 0.044104 , 0.035955 , 0.042442 , 0.045088 , 0.038706 , 0.048842 , 0.055996 , 0.060373 , 0.056413 , 0.05645 , 0.049614 
 451 , 0.058699 , 0.048582 , 0.04819 , 0.047686 , 0.039535 , 0.038409 , 0.030376 , 0.036673 , 0.031459 , 0.044233 , 0.036063 , 0.042634 , 0.045309 , 0.038869 , 0.049148 , 0.056266 , 0.060746 , 0.056677 , 0.056776 , 0.04992 
 452 , 0.058768 , 0.048788 , 0.048322 , 0.047812 , 0.039672 , 0.038572 , 0.030538 , 0.036781 , 0.03157 , 0.044361 , 0.036178 , 0.042825 , 0.04553 , 0.039032 , 0.049453 , 0.056536 , 0.061125 , 0.05694 , 0.057108 , 0.050224 
 453 , 0.058785 , 0.048921 , 0.048411 , 0.047883 , 0.03977 , 0.038689 , 0.030657 , 0.03685 , 0.031632 , 0.044429 , 0.036266 , 0.042963 , 0.045703 , 0.039149 , 0.049685 , 0.056754 , 0.061444 , 0.057145 , 0.057375 , 0.050474 
 454 , 0.05863 , 0.04884 , 0.048363 , 0.047801 , 0.039767 , 0.038678 , 0.030645 , 0.036829 , 0.031578 , 0.044337 , 0.036297 , 0.042946 , 0.045735 , 0.03913 , 0.049712 , 0.056836 , 0.061605 , 0.057164 , 0.057449 , 0.05059 
 455 , 0.058473 , 0.048764 , 0.048314 , 0.047723 , 0.039756 , 0.038666 , 0.030637 , 0.036807 , 0.031518 , 0.044244 , 0.036333 , 0.042927 , 0.045765 , 0.039103 , 0.049736 , 0.056915 , 0.061761 , 0.057186 , 0.057525 , 0.050709 
 456 , 0.058322 , 0.04868 , 0.048269 , 0.047644 , 0.039749 , 0.038652 , 0.030629 , 0.036783 , 0.031462 , 0.04415 , 0.03636 , 0.042906 , 0.045793 , 0.039087 , 0.049765 , 0.056998 , 0.061926 , 0.057206 , 0.057598 , 0.050819 
 457 , 0.05817 , 0.048638 , 0.048187 , 0.047528 , 0.039717 , 0.038564 , 0.030607 , 0.036709 , 0.031431 , 0.044068 , 0.036331 , 0.042897 , 0.045844 , 0.03904 , 0.049755 , 0.05701 , 0.061971 , 0.057212 , 0.05759 , 0.050853 
 458 , 0.058024 , 0.048597 , 0.048099 , 0.047412 , 0.039673 , 0.038464 , 0.030586 , 0.03663 , 0.031406 , 0.043992 , 0.03629 , 0.042893 , 0.045887 , 0.038999 , 0.049745 , 0.05701 , 0.062009 , 0.057217 , 0.057569 , 0.050875 
 459 , 0.057884 , 0.048553 , 0.048009 , 0.04729 , 0.039634 , 0.03837 , 0.030569 , 0.03655 , 0.031379 , 0.043915 , 0.036253 , 0.042881 , 0.045941 , 0.03895 , 0.049733 , 0.057013 , 0.062045 , 0.057219 , 0.057546 , 0.0509 
 460 , 0.057638 , 0.048432 , 0.047866 , 0.047126 , 0.039551 , 0.038227 , 0.030501 , 0.036416 , 0.031307 , 0.043769 , 0.036169 , 0.0428 , 0.045899 , 0.038859 , 0.049617 , 0.056958 , 0.062013 , 0.057121 , 0.05747 , 0.050887 
 461 , 0.057314 , 0.048245 , 0.047677 , 0.046917 , 0.039421 , 0.038034 , 0.030389 , 0.036245 , 0.03119 , 0.043561 , 0.036048 , 0.042652 , 0.045774 , 0.038734 , 0.049399 , 0.056853 , 0.061926 , 0.056943 , 0.05735 , 0.050847 
 462 , 0.056983 , 0.048057 , 0.04748 , 0.046707 , 0.039291 , 0.037846 , 0.030276 , 0.03608 , 0.031078 , 0.043353 , 0.035931 , 0.042508 , 0.045648 , 0.038601 , 0.049187 , 0.056751 , 0.061836 , 0.056757 , 0.057233 , 0.05081 
 463 , 0.056646 , 0.047873 , 0.047276 , 0.046489 , 0.039141 , 0.037651 , 0.030155 , 0.03589 , 0.030954 , 0.043132 , 0.035789 , 0.042357 , 0.045526 , 0.038461 , 0.048978 , 0.056622 , 0.06173 , 0.056569 , 0.057095 , 0.05074 
 464 , 0.056271 , 0.047685 , 0.047016 , 0.046223 , 0.038888 , 0.037449 , 0.029968 , 0.035629 , 0.030772 , 0.04284 , 0.035576 , 0.042159 , 0.045407 , 0.038271 , 0.048807 , 0.056394 , 0.061562 , 0.056353 , 0.05687 , 0.050504 
 465 , 0.05589 , 0.047501 , 0.046761 , 0.045961 , 0.038635 , 0.037246 , 0.02978 , 0.035362 , 0.030596 , 0.042549 , 0.035362 , 0.041971 , 0.045285 , 0.038086 , 0.048633 , 0.05617 , 0.061391 , 0.056141 , 0.056648 , 0.050272 
 466 , 0.055509 , 0.04731 , 0.046499 , 0.045694 , 0.038376 , 0.037043 , 0.029597 , 0.035102 , 0.030414 , 0.042258 , 0.035148 , 0.041777 , 0.045167 , 0.037895 , 0.048463 , 0.055944 , 0.061223 , 0.055927 , 0.056425 , 0.05004 
 467 , 0.055228 , 0.04718 , 0.046332 , 0.045502 , 0.03829 , 0.036882 , 0.029521 , 0.034944 , 0.030306 , 0.04208 , 0.035071 , 0.041694 , 0.04508 , 0.037759 , 0.048328 , 0.055875 , 0.061136 , 0.055788 , 0.05629 , 0.049996 
