JUN18MAT200005.spu,JUN18MAT200004.spu,JUN18MAT200003.spu,
Wavelength,JUN18MAT200007.spu,JUN18MAT200008.spu,JUN18MAT200009.spu,JUN18MAT200010.spu,JUN18MAT200011.spu,JUN18MAT200012.spu,JUN18MAT200013.spu,JUN18MAT200014.spu,JUN18MAT200015.spu,JUN18MAT200016.spu,JUN18MAT200017.spu,JUN18MAT200018.spu,JUN18MAT200019.spu,JUN18MAT200020.spu,JUN18MAT200021.spu,JUN18MAT200022.spu,JUN18MAT200023.spu,JUN18MAT200024.spu,JUN18MAT200025.spu,JUN18MAT200026.spu,JUN18MAT200027.spu,JUN18MAT200028.spu,JUN18MAT200029.spu,JUN18MAT200030.spu,JUN18MAT200006.spu
  (nm),6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 
  time  ,21:38 PM,21:48 PM,21:56 PM,22:06 PM,23:24 PM,23:35 PM,23:44 PM,23:53 PM,24:03 PM,25:02 PM,25:10 PM,25:18 PM,25:25 PM,25:31 PM,25:48 PM,25:57 PM,26:06 PM,26:14 PM,26:21 PM,27:14 PM,27:24 PM,27:33 PM,27:42 PM,27:55 PM,21:27 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 316 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 317 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 318 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 319 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 320 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 321 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 322 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000217 , 0.000484 , 0.000593 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000373 , 0 
 323 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000546 , 0.001215 , 0.001445 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000939 , 0 
 324 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000884 , 0.001958 , 0.002271 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00152 , 0 
 325 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000122 , 0.00013 , 0.001521 , 0.003088 , 0.003108 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002347 , 0 
 326 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000365 , 0.000434 , 0.00243 , 0.004514 , 0.003763 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00337 , 0 
 327 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000476 , 0.000618 , 0.002874 , 0.005204 , 0.003973 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003914 , 0 
 328 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000494 , 0.000694 , 0.00294 , 0.00528 , 0.00383 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.004033 , 0 
 329 , 0 , 0.001016 , 0.000733 , 0.000993 , 0.000145 , 0 , 0 , 0.000174 , 0 , 0.001721 , 0.002514 , 0.005095 , 0.007836 , 0.006087 , 0.000462 , 0.000191 , 0.000296 , 0.000067 , 0.000249 , 0.000338 , 0.000095 , 0.000317 , 0 , 0.006046 , 0 
 330 , 0 , 0.002059 , 0.001211 , 0.00234 , 0.000312 , 0 , 0 , 0.000382 , 0 , 0.003077 , 0.00453 , 0.007051 , 0.009868 , 0.008069 , 0.001048 , 0.000448 , 0.000638 , 0.000147 , 0.000531 , 0.00074 , 0.000211 , 0.000721 , 0 , 0.007673 , 0 
 331 , 0 , 0.002971 , 0.001525 , 0.003876 , 0.000473 , 0 , 0 , 0.000587 , 0 , 0.004386 , 0.006476 , 0.008753 , 0.011522 , 0.009796 , 0.001668 , 0.000735 , 0.000971 , 0.000226 , 0.000801 , 0.001142 , 0.00033 , 0.001149 , 0 , 0.009013 , 0 
 332 , 0.000705 , 0.004228 , 0.00234 , 0.005232 , 0.000992 , 0 , 0.000571 , 0.001541 , 0.000235 , 0.005597 , 0.008152 , 0.010559 , 0.01319 , 0.011397 , 0.00249 , 0.001813 , 0.001682 , 0.000557 , 0.00128 , 0.001838 , 0.000942 , 0.001903 , 0.000203 , 0.010266 , 0 
 333 , 0.001921 , 0.005784 , 0.004032 , 0.006315 , 0.001765 , 0 , 0.001496 , 0.002995 , 0.000617 , 0.006744 , 0.009609 , 0.012546 , 0.014893 , 0.012946 , 0.003427 , 0.003356 , 0.002615 , 0.001047 , 0.001924 , 0.002722 , 0.00191 , 0.002867 , 0.000563 , 0.011498 , 0 
 334 , 0.00312 , 0.007314 , 0.006866 , 0.007277 , 0.002515 , 0 , 0.002345 , 0.004377 , 0.000972 , 0.007844 , 0.010942 , 0.014562 , 0.016443 , 0.014424 , 0.004318 , 0.004773 , 0.003469 , 0.001504 , 0.002564 , 0.003557 , 0.002864 , 0.00379 , 0.00093 , 0.012661 , 0 
 335 , 0.004375 , 0.008947 , 0.011001 , 0.008246 , 0.003282 , 0.000144 , 0.00317 , 0.005629 , 0.001535 , 0.009003 , 0.012366 , 0.016418 , 0.017905 , 0.016016 , 0.005242 , 0.006011 , 0.00435 , 0.002117 , 0.003416 , 0.00447 , 0.003724 , 0.004728 , 0.001446 , 0.013949 , 0.000137 
 336 , 0.00592 , 0.01105 , 0.012383 , 0.009503 , 0.004185 , 0.000843 , 0.004065 , 0.006574 , 0.002917 , 0.010497 , 0.014399 , 0.017682 , 0.019378 , 0.018218 , 0.0064 , 0.006865 , 0.005556 , 0.003436 , 0.005099 , 0.005834 , 0.004276 , 0.005834 , 0.002481 , 0.01586 , 0.000794 
 337 , 0.007406 , 0.013033 , 0.013563 , 0.010583 , 0.005032 , 0.001504 , 0.004807 , 0.00739 , 0.004119 , 0.011911 , 0.016333 , 0.018763 , 0.020675 , 0.020243 , 0.007449 , 0.007691 , 0.006782 , 0.004724 , 0.006698 , 0.007201 , 0.004771 , 0.006903 , 0.003396 , 0.017665 , 0.001402 
