  time  ,02:24 PM,02:53 PM,03:10 PM,03:21 PM,03:31 PM,04:26 PM,04:34 PM,04:42 PM,04:50 PM,05:02 PM,05:44 PM,05:52 PM,05:58 PM,06:05 PM,06:12 PM,06:32 PM,06:38 PM,06:54 PM,07:02 PM,07:13 PM,09:05 PM,09:14 PM,09:23 PM,09:37 PM,09:49 PM,10:09 PM,10:19 PM,10:37 PM,10:48 PM,11:06 PM,11:35 PM,11:43 PM,11:51 PM,12:05 PM,12:13 PM,12:51 PM,13:02 PM,13:10 PM,13:18 PM,13:27 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 511 , 0.03039 , 0.02653 , 0.02759 , 0.03033 , 0.02464 , 0.06061 , 0.04944 , 0.06482 , 0.04728 , 0.06693 , 0.05261 , 0.04206 , 0.05182 , 0.03533 , 0.03064 , 0.06091 , 0.06427 , 0.0586 , 0.05194 , 0.05246 , 0.0246 , 0.0288 , 0.033 , 0.02595 , 0.03147 , 0.03146 , 0.03286 , 0.03377 , 0.03564 , 0.02446 , 0.03914 , 0.04015 , 0.02742 , 0.02182 , 0.0245 , 0.04422 , 0.05105 , 0.05684 , 0.05015 , 0.05035 
 512 , 0.03111 , 0.02721 , 0.02812 , 0.03099 , 0.02508 , 0.0611 , 0.04997 , 0.0654 , 0.04778 , 0.06747 , 0.05308 , 0.04244 , 0.05223 , 0.03565 , 0.03108 , 0.06125 , 0.06479 , 0.05905 , 0.05258 , 0.05316 , 0.02539 , 0.02941 , 0.03361 , 0.02654 , 0.03226 , 0.03163 , 0.03312 , 0.03402 , 0.03588 , 0.0246 , 0.03969 , 0.04048 , 0.02771 , 0.02209 , 0.02479 , 0.04465 , 0.0515 , 0.05732 , 0.05063 , 0.0515 
 513 , 0.03183 , 0.0279 , 0.02866 , 0.03164 , 0.02552 , 0.06158 , 0.05051 , 0.06599 , 0.04828 , 0.06801 , 0.05355 , 0.04283 , 0.05264 , 0.03597 , 0.03153 , 0.06158 , 0.06532 , 0.05951 , 0.05322 , 0.05386 , 0.02619 , 0.03001 , 0.03421 , 0.02714 , 0.03305 , 0.03181 , 0.03339 , 0.03426 , 0.03611 , 0.02475 , 0.04025 , 0.0408 , 0.028 , 0.02237 , 0.02509 , 0.04507 , 0.05195 , 0.05779 , 0.05112 , 0.05265 
 514 , 0.03278 , 0.0287 , 0.02928 , 0.03241 , 0.02603 , 0.06207 , 0.05106 , 0.06657 , 0.04883 , 0.06854 , 0.05397 , 0.04315 , 0.05305 , 0.03637 , 0.03202 , 0.0619 , 0.06586 , 0.06 , 0.05395 , 0.05465 , 0.02716 , 0.03075 , 0.03496 , 0.02794 , 0.03399 , 0.03205 , 0.03366 , 0.03448 , 0.03638 , 0.02492 , 0.04084 , 0.04118 , 0.02831 , 0.0227 , 0.02542 , 0.04558 , 0.0524 , 0.05828 , 0.05165 , 0.05389 
 515 , 0.03379 , 0.02953 , 0.02991 , 0.03321 , 0.02655 , 0.06255 , 0.05161 , 0.06713 , 0.0494 , 0.06908 , 0.05438 , 0.04345 , 0.05347 , 0.03679 , 0.03253 , 0.06222 , 0.06642 , 0.0605 , 0.0547 , 0.05546 , 0.02817 , 0.03152 , 0.03574 , 0.02878 , 0.03495 , 0.0323 , 0.03394 , 0.0347 , 0.03666 , 0.02511 , 0.04145 , 0.04157 , 0.02863 , 0.02304 , 0.02577 , 0.0461 , 0.05286 , 0.05877 , 0.05219 , 0.05515 
 516 , 0.0348 , 0.03036 , 0.03054 , 0.03401 , 0.02706 , 0.06304 , 0.05216 , 0.0677 , 0.04996 , 0.06961 , 0.05479 , 0.04376 , 0.05388 , 0.0372 , 0.03303 , 0.06254 , 0.06697 , 0.061 , 0.05545 , 0.05627 , 0.02918 , 0.03228 , 0.03651 , 0.02962 , 0.03592 , 0.03254 , 0.03421 , 0.03492 , 0.03694 , 0.02529 , 0.04205 , 0.04196 , 0.02894 , 0.02338 , 0.02612 , 0.04662 , 0.05331 , 0.05925 , 0.05274 , 0.05641 
 517 , 0.03595 , 0.03133 , 0.03128 , 0.0349 , 0.02763 , 0.06363 , 0.05281 , 0.0684 , 0.05059 , 0.07026 , 0.05533 , 0.0442 , 0.05438 , 0.03771 , 0.03364 , 0.06298 , 0.06766 , 0.06164 , 0.05636 , 0.05724 , 0.03034 , 0.03315 , 0.03742 , 0.03058 , 0.03704 , 0.03284 , 0.03455 , 0.03522 , 0.03729 , 0.02554 , 0.04279 , 0.04244 , 0.02934 , 0.02379 , 0.02652 , 0.04725 , 0.05389 , 0.05985 , 0.05338 , 0.05783 
 518 , 0.03718 , 0.03237 , 0.03207 , 0.0358 , 0.02819 , 0.06418 , 0.05341 , 0.06905 , 0.05116 , 0.07083 , 0.05586 , 0.04465 , 0.05482 , 0.0382 , 0.03428 , 0.06339 , 0.06831 , 0.06227 , 0.05729 , 0.05821 , 0.0316 , 0.03404 , 0.03836 , 0.03158 , 0.03824 , 0.03311 , 0.03486 , 0.03552 , 0.03761 , 0.0258 , 0.04356 , 0.0429 , 0.02973 , 0.02422 , 0.02691 , 0.04788 , 0.05446 , 0.06041 , 0.05398 , 0.05926 
 519 , 0.03839 , 0.03339 , 0.03284 , 0.03669 , 0.02874 , 0.06471 , 0.054 , 0.06969 , 0.05173 , 0.07139 , 0.05638 , 0.0451 , 0.05525 , 0.03868 , 0.03492 , 0.06378 , 0.06895 , 0.0629 , 0.0582 , 0.05917 , 0.03285 , 0.03491 , 0.03929 , 0.03256 , 0.03943 , 0.03336 , 0.03517 , 0.03581 , 0.03793 , 0.02606 , 0.04433 , 0.04335 , 0.03012 , 0.02464 , 0.02729 , 0.0485 , 0.05501 , 0.06096 , 0.05456 , 0.06066 
 520 , 0.03959 , 0.03443 , 0.03362 , 0.03759 , 0.0293 , 0.06527 , 0.05462 , 0.07036 , 0.0523 , 0.07198 , 0.05693 , 0.04556 , 0.05571 , 0.03917 , 0.03556 , 0.0642 , 0.06962 , 0.06354 , 0.05913 , 0.06016 , 0.0341 , 0.0358 , 0.04022 , 0.03356 , 0.04062 , 0.03363 , 0.0355 , 0.0361 , 0.03827 , 0.02632 , 0.04511 , 0.04382 , 0.03052 , 0.02507 , 0.02769 , 0.04914 , 0.05559 , 0.06153 , 0.05517 , 0.06209 
