LMAT_00005.spu,LMAT_00004.spu,LMAT_00003.spu,LMAT_00002.spu,LMAT_00001.spu,
Wavelength,LMAT_00160.spu,LMAT_00159.spu,LMAT_00158.spu,LMAT_00157.spu,LMAT_00156.spu,LMAT_00155.spu,LMAT_00154.spu,LMAT_00153.spu,LMAT_00152.spu,LMAT_00151.spu,LMAT_00150.spu,LMAT_00149.spu,LMAT_00148.spu,LMAT_00147.spu,LMAT_00146.spu,LMAT_00145.spu,LMAT_00144.spu,LMAT_00143.spu,LMAT_00142.spu,LMAT_00141.spu
  (nm),7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 
  time  ,:11:57 A,:11:48 A,:11:39 A,:11:29 A,:11:22 A,:10:47 A,:10:38 A,:10:30 A,:10:19 A,:10:10 A,:09:38 A,:09:28 A,:09:19 A,:09:09 A,:08:57 A,:08:25 A,:08:16 A,:08:09 A,:08:01 A,:07:51 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 345 , 0.010745 , 0.004705 , 0.005646 , 0.006335 , 0.01023 , 0.004834 , 0.006702 , 0.011108 , 0.00619 , 0.008911 , 0.00317 , 0.00409 , 0.000022 , 0.007144 , 0.005105 , 0.00801 , 0.003736 , 0.005592 , 0.007553 , 0.008374 
 346 , 0.011161 , 0.005366 , 0.006462 , 0.007305 , 0.010935 , 0.005465 , 0.007556 , 0.011369 , 0.006727 , 0.009927 , 0.003635 , 0.004911 , 0.000316 , 0.007907 , 0.005791 , 0.008783 , 0.004377 , 0.00604 , 0.008367 , 0.009031 
 347 , 0.011516 , 0.005922 , 0.007181 , 0.008161 , 0.011545 , 0.006017 , 0.008285 , 0.01158 , 0.007193 , 0.01081 , 0.004045 , 0.005625 , 0.000577 , 0.008591 , 0.006391 , 0.00947 , 0.004943 , 0.006433 , 0.009073 , 0.009617 
 348 , 0.01182 , 0.006394 , 0.007821 , 0.008923 , 0.012078 , 0.006504 , 0.008912 , 0.011753 , 0.007601 , 0.011582 , 0.00441 , 0.006251 , 0.00081 , 0.009211 , 0.006922 , 0.010087 , 0.005446 , 0.006779 , 0.009691 , 0.010144 
 349 , 0.01235 , 0.007022 , 0.008543 , 0.009633 , 0.012781 , 0.00712 , 0.009416 , 0.012279 , 0.008348 , 0.012333 , 0.005008 , 0.006887 , 0.001181 , 0.009872 , 0.007576 , 0.010684 , 0.005995 , 0.007372 , 0.010263 , 0.010703 
 350 , 0.012935 , 0.007683 , 0.009238 , 0.010274 , 0.013491 , 0.007748 , 0.009848 , 0.0129 , 0.009172 , 0.013037 , 0.005648 , 0.007487 , 0.001574 , 0.010494 , 0.008239 , 0.011228 , 0.006523 , 0.008018 , 0.010789 , 0.011232 
 351 , 0.013467 , 0.00829 , 0.009851 , 0.010844 , 0.014118 , 0.008317 , 0.010239 , 0.013457 , 0.009915 , 0.013677 , 0.006222 , 0.008023 , 0.00192 , 0.011042 , 0.00884 , 0.011712 , 0.006996 , 0.008599 , 0.011266 , 0.011702 
 352 , 0.013894 , 0.008715 , 0.010326 , 0.011249 , 0.014596 , 0.008777 , 0.010614 , 0.013943 , 0.010436 , 0.014091 , 0.006681 , 0.008443 , 0.002239 , 0.011446 , 0.00929 , 0.012113 , 0.007417 , 0.00911 , 0.011674 , 0.012086 
 353 , 0.014167 , 0.008834 , 0.010616 , 0.011405 , 0.014874 , 0.00908 , 0.011004 , 0.014357 , 0.010608 , 0.014128 , 0.006984 , 0.008701 , 0.002551 , 0.011645 , 0.009507 , 0.012418 , 0.007798 , 0.009551 , 0.011994 , 0.012365 
 354 , 0.014417 , 0.008941 , 0.010887 , 0.01155 , 0.015135 , 0.009362 , 0.011362 , 0.014744 , 0.010764 , 0.01416 , 0.007265 , 0.008942 , 0.002839 , 0.011828 , 0.009705 , 0.012701 , 0.008158 , 0.009961 , 0.012285 , 0.012625 
