NANT_00010.spu,NANT_00009.spu,NANT_00008.spu,NANT_00007.spu,NANT_00006.spu,
Wavelength,NANT_00016.spu,NANT_00017.spu,NANT_00018.spu,NANT_00019.spu,NANT_00020.spu,NANT_00021.spu,NANT_00022.spu,NANT_00023.spu,NANT_00024.spu,NANT_00025.spu,NANT_00026.spu,NANT_00027.spu,NANT_00028.spu,NANT_00029.spu,NANT_00030.spu,NANT_00031.spu,NANT_00032.spu,NANT_00033.spu,NANT_00034.spu,NANT_00035.spu,NANT_00036.spu,NANT_00037.spu,NANT_00038.spu,NANT_00039.spu,NANT_00040.spu,NANT_00041.spu,NANT_00042.spu,NANT_00043.spu,NANT_00044.spu,NANT_00045.spu,NANT_00046.spu,NANT_00047.spu,NANT_00048.spu,NANT_00049.spu,NANT_00050.spu,NANT_00051.spu,NANT_00052.spu,NANT_00053.spu,NANT_00054.spu,NANT_00055.spu,NANT_00056.spu,NANT_00057.spu,NANT_00058.spu,NANT_00059.spu,NANT_00060.spu,NANT_00061.spu,NANT_00062.spu,NANT_00063.spu,NANT_00064.spu,NANT_00065.spu,NANT_00066.spu,NANT_00067.spu,NANT_00068.spu,NANT_00069.spu,NANT_00070.spu,NANT_00071.spu,NANT_00072.spu,NANT_00073.spu,NANT_00074.spu,NANT_00075.spu
  (nm),7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 
  time  ,:01:07 A,:01:31 A,:01:46 A,:02:01 A,:02:12 A,:03:21 A,:03:36 A,:03:54 A,:04:08 A,:04:22 A,:04:57 A,:05:11 A,:05:26 A,:05:41 A,:05:55 A,:07:37 A,:07:48 A,:07:58 A,:08:15 A,:08:26 A,:10:45 A,:11:05 A,:11:19 A,:11:32 A,:11:47 A,:14:52 A,:15:08 A,:15:22 A,:15:35 A,:15:47 A,:17:29 A,:17:45 A,:17:58 A,:18:15 A,:18:29 A,:20:40 A,:20:53 A,:21:09 A,:21:22 A,:21:34 A,:24:04 A,:24:28 A,:24:46 A,:24:57 A,:25:15 A,:25:59 A,:26:14 A,:26:30 A,:26:47 A,:27:00 A,:27:52 A,:28:07 A,:28:24 A,:28:37 A,:28:58 A,:29:47 A,:30:07 A,:30:25 A,:30:38 A,:30:51 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 326 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000927 , 0 , 0 , 0 , 0 , 0 , 0.006349 , 0 , 0.003486 , 0.006152 , 0.001455 , 0 , 0.000733 , 0.005921 , 0.001476 , 0.002539 , 0 , 0 , 0 , 0 , 0.004656 , 0 , 0.002392 , 0.006793 , 0 , 0.002417 , 0.000521 , 0 , 0 , 0 , 0.004783 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000936 , 0 , 0.000611 , 0.000606 , 0.009151 , 0 , 0 , 0 , 0.005991 , 0 , 0 , 0.000778 , 0.00027 , 0.000911 
 327 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001471 , 0 , 0 , 0 , 0 , 0 , 0.008236 , 0 , 0.0056 , 0.008733 , 0.002329 , 0 , 0.001162 , 0.009415 , 0.002389 , 0.004076 , 0 , 0 , 0 , 0 , 0.00736 , 0 , 0.003811 , 0.010918 , 0 , 0.003878 , 0.000834 , 0 , 0 , 0 , 0.007699 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001497 , 0 , 0.000987 , 0.000965 , 0.011352 , 0 , 0 , 0 , 0.009596 , 0 , 0 , 0.001242 , 0.000434 , 0.001468 
 328 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001925 , 0 , 0 , 0 , 0 , 0 , 0.009823 , 0 , 0.007413 , 0.010935 , 0.003072 , 0 , 0.001519 , 0.012344 , 0.003185 , 0.005391 , 0 , 0 , 0 , 0 , 0.009597 , 0 , 0.005005 , 0.014455 , 0 , 0.005127 , 0.0011 , 0 , 0 , 0 , 0.010207 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001972 , 0 , 0.001315 , 0.001269 , 0.013235 , 0 , 0 , 0 , 0.012664 , 0 , 0 , 0.001633 , 0.000574 , 0.001949 
 329 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000933 , 0.00023 , 0 , 0.003013 , 0 , 0.00098 , 0.001181 , 0.000689 , 0 , 0.012397 , 0.000992 , 0.008478 , 0.011809 , 0.003702 , 0.000813 , 0.002638 , 0.0137 , 0.004405 , 0.006658 , 0 , 0 , 0 , 0 , 0.011261 , 0.001242 , 0.007274 , 0.016424 , 0.003408 , 0.007962 , 0.004089 , 0.001905 , 0.001132 , 0 , 0.012342 , 0 , 0.000333 , 0 , 0 , 0.000342 , 0.001649 , 0.003567 , 0.001406 , 0.002264 , 0.002851 , 0.014133 , 0.000634 , 0 , 0.000429 , 0.014008 , 0 , 0.00078 , 0.002962 , 0.001137 , 0.003856 
 330 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001763 , 0.000439 , 0 , 0.00395 , 0 , 0.001849 , 0.002229 , 0.001302 , 0 , 0.014676 , 0.001866 , 0.00937 , 0.012486 , 0.004246 , 0.001535 , 0.003656 , 0.014798 , 0.00543 , 0.007741 , 0 , 0 , 0 , 0 , 0.012687 , 0.002353 , 0.009198 , 0.017996 , 0.006109 , 0.010272 , 0.006612 , 0.00356 , 0.002125 , 0 , 0.014102 , 0 , 0.000631 , 0 , 0 , 0.00065 , 0.003099 , 0.004979 , 0.002653 , 0.003109 , 0.004261 , 0.01486 , 0.00119 , 0 , 0.000804 , 0.015096 , 0 , 0.001453 , 0.004094 , 0.00163 , 0.005538 
 331 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002477 , 0.000626 , 0 , 0.004743 , 0 , 0.002595 , 0.003129 , 0.00183 , 0 , 0.016677 , 0.00261 , 0.010138 , 0.013039 , 0.004719 , 0.002156 , 0.004563 , 0.015728 , 0.006283 , 0.008671 , 0 , 0 , 0 , 0 , 0.013931 , 0.003316 , 0.010808 , 0.019283 , 0.008189 , 0.012118 , 0.008679 , 0.004953 , 0.002969 , 0 , 0.015563 , 0 , 0.000891 , 0 , 0 , 0.00092 , 0.004331 , 0.006205 , 0.003726 , 0.003849 , 0.005486 , 0.01547 , 0.001663 , 0 , 0.001124 , 0.016023 , 0 , 0.002017 , 0.005038 , 0.002053 , 0.006986 
 332 , 0 , 0 , 0.000334 , 0 , 0 , 0.001191 , 0.003829 , 0.001119 , 0.000456 , 0.005935 , 0.001483 , 0.00391 , 0.00365 , 0.002607 , 0.000999 , 0.017851 , 0.003725 , 0.010762 , 0.01408 , 0.005396 , 0.003535 , 0.005689 , 0.017034 , 0.007369 , 0.009652 , 0 , 0.000507 , 0.000627 , 0.000533 , 0.015237 , 0.004701 , 0.012649 , 0.02113 , 0.010481 , 0.01366 , 0.010065 , 0.006534 , 0.004743 , 0.000535 , 0.016829 , 0.000322 , 0.002071 , 0 , 0.001141 , 0.001721 , 0.005643 , 0.007594 , 0.004958 , 0.005216 , 0.006773 , 0.016101 , 0.002568 , 0.000806 , 0.001484 , 0.017352 , 0.001131 , 0.003468 , 0.006177 , 0.002922 , 0.008459 
 333 , 0 , 0 , 0.000841 , 0 , 0 , 0.003012 , 0.005455 , 0.001758 , 0.001146 , 0.007328 , 0.003696 , 0.005483 , 0.003919 , 0.003499 , 0.002512 , 0.018459 , 0.004996 , 0.011262 , 0.015357 , 0.006147 , 0.005267 , 0.00686 , 0.018496 , 0.00853 , 0.010594 , 0 , 0.001266 , 0.001587 , 0.001361 , 0.016492 , 0.006253 , 0.014546 , 0.023228 , 0.012857 , 0.014959 , 0.011014 , 0.008152 , 0.006967 , 0.00134 , 0.017883 , 0.000814 , 0.003721 , 0 , 0.00289 , 0.002785 , 0.006956 , 0.008983 , 0.006208 , 0.006866 , 0.008036 , 0.016708 , 0.003695 , 0.00204 , 0.001844 , 0.018845 , 0.002855 , 0.005385 , 0.007397 , 0.004022 , 0.009879 
 334 , 0 , 0 , 0.001275 , 0 , 0 , 0.004585 , 0.006832 , 0.002304 , 0.001736 , 0.008567 , 0.005554 , 0.006838 , 0.004144 , 0.004285 , 0.003808 , 0.018957 , 0.00609 , 0.011676 , 0.016464 , 0.006789 , 0.006747 , 0.007854 , 0.019764 , 0.009518 , 0.011382 , 0 , 0.001903 , 0.002419 , 0.002094 , 0.017554 , 0.007586 , 0.016197 , 0.02506 , 0.01493 , 0.016052 , 0.011836 , 0.009553 , 0.008891 , 0.002022 , 0.018719 , 0.001243 , 0.005146 , 0 , 0.004409 , 0.003701 , 0.008115 , 0.010157 , 0.007273 , 0.008285 , 0.009142 , 0.017221 , 0.00469 , 0.00311 , 0.002148 , 0.020135 , 0.004344 , 0.007068 , 0.008477 , 0.004995 , 0.011122 
 335 , 0.000196 , 0.000159 , 0.001962 , 0 , 0 , 0.005709 , 0.007888 , 0.003023 , 0.00234 , 0.009716 , 0.007033 , 0.008065 , 0.00467 , 0.005084 , 0.004773 , 0.019582 , 0.00714 , 0.012249 , 0.017518 , 0.007411 , 0.007913 , 0.008877 , 0.020985 , 0.010404 , 0.012218 , 0.000166 , 0.002612 , 0.003102 , 0.002904 , 0.018581 , 0.008826 , 0.01769 , 0.026579 , 0.016642 , 0.017097 , 0.012791 , 0.010926 , 0.010539 , 0.002787 , 0.019525 , 0.001868 , 0.006482 , 0.000023 , 0.005624 , 0.004574 , 0.009114 , 0.011294 , 0.008226 , 0.009584 , 0.010226 , 0.017844 , 0.005719 , 0.004043 , 0.00274 , 0.02143 , 0.005668 , 0.008643 , 0.009666 , 0.005783 , 0.012124 
