  time  ,:18:03 P,:17:52 P,:17:40 P,:16:55 P,:16:46 P,:16:33 P,:16:22 P,:16:12 P,:15:45 P,:15:34 P,:15:23 P,:15:12 P,:15:02 P,:14:35 P,:14:27 P,:14:14 P,:14:04 P,:13:54 P,:13:29 P,:13:20 P,:13:12 P,:13:03 P,:12:53 P,:12:24 P,:12:13 P,:12:04 P,:11:49 P,:11:26 P,:10:55 P,:10:46 P,:10:32 P,:10:22 P,:10:11 P,:09:41 P,:09:31 P,:09:19 P,:09:10 P,:08:59 P,:08:36 P,:08:26 P,:08:16 P,:08:03 P,:07:55 P,:06:10 P,:05:57 P,:05:48 P,:05:37 P,:05:23 P
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 328 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 329 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 330 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 331 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 332 , 0 , 0 , 0 , 0 , 0 , 0.000165 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000079 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000685 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00017 , 0 
 333 , 0 , 0 , 0 , 0 , 0 , 0.000418 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000202 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001752 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000431 , 0 
 334 , 0 , 0 , 0 , 0 , 0 , 0.000639 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000308 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.0027 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000659 , 0 
 335 , 0.000082 , 0 , 0 , 0 , 0.000098 , 0.001014 , 0 , 0.000071 , 0.000228 , 0.00007 , 0.000138 , 0 , 0.000669 , 0.000208 , 0 , 0.000047 , 0 , 0 , 0.000025 , 0.000026 , 0.000106 , 0.000385 , 0.003784 , 0 , 0.000557 , 0 , 0.000249 , 0 , 0 , 0.000042 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000138 , 0.000118 , 0 , 0.000974 , 0.00014 
 336 , 0.000459 , 0 , 0 , 0 , 0.000546 , 0.002028 , 0 , 0.000396 , 0.001269 , 0.000388 , 0.000771 , 0 , 0.001966 , 0.001159 , 0 , 0.000259 , 0 , 0 , 0.000137 , 0.000142 , 0.000591 , 0.002108 , 0.0056 , 0 , 0.003083 , 0 , 0.001383 , 0 , 0 , 0.000235 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000775 , 0.000656 , 0 , 0.00167 , 0.000776 
 337 , 0.000783 , 0 , 0 , 0 , 0.000937 , 0.002924 , 0 , 0.00068 , 0.00217 , 0.000661 , 0.00132 , 0 , 0.003091 , 0.001981 , 0 , 0.000443 , 0 , 0 , 0.000235 , 0.000244 , 0.001012 , 0.00355 , 0.007151 , 0 , 0.005241 , 0 , 0.002366 , 0 , 0 , 0.000401 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001334 , 0.001122 , 0 , 0.002271 , 0.00132 
 338 , 0.001065 , 0 , 0 , 0 , 0.001281 , 0.003723 , 0 , 0.000931 , 0.002957 , 0.000897 , 0.001803 , 0 , 0.004076 , 0.0027 , 0 , 0.000602 , 0 , 0 , 0.00032 , 0.000334 , 0.001382 , 0.004771 , 0.008488 , 0 , 0.007104 , 0 , 0.003226 , 0 , 0 , 0.000545 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00183 , 0.001528 , 0 , 0.002796 , 0.001791 
 339 , 0.001873 , 0 , 0.000086 , 0 , 0.001931 , 0.004613 , 0.000801 , 0.00196 , 0.003861 , 0.001812 , 0.002795 , 0.001197 , 0.005185 , 0.003658 , 0.000733 , 0.001384 , 0.000524 , 0.000758 , 0.001786 , 0.001363 , 0.002268 , 0.006005 , 0.009476 , 0.000917 , 0.008414 , 0 , 0.004389 , 0.000551 , 0.000605 , 0.001442 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000902 , 0.00012 , 0.000958 , 0.001086 , 0.000478 , 0.002404 , 0.002089 , 0.000626 , 0.003824 , 0.002288 
 340 , 0.002665 , 0 , 0.000178 , 0 , 0.002553 , 0.005431 , 0.001647 , 0.003018 , 0.004698 , 0.002747 , 0.003761 , 0.002462 , 0.006197 , 0.004546 , 0.001507 , 0.00219 , 0.001082 , 0.001559 , 0.003351 , 0.002435 , 0.00315 , 0.007117 , 0.010293 , 0.001892 , 0.009509 , 0 , 0.00547 , 0.001143 , 0.001244 , 0.002357 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001839 , 0.000247 , 0.001974 , 0.002261 , 0.000986 , 0.002934 , 0.002621 , 0.00129 , 0.00482 , 0.002743 
 341 , 0.003343 , 0 , 0.000259 , 0 , 0.003088 , 0.006154 , 0.002384 , 0.003954 , 0.005445 , 0.003572 , 0.004604 , 0.003568 , 0.007086 , 0.005317 , 0.002181 , 0.0029 , 0.001573 , 0.002261 , 0.004746 , 0.003372 , 0.003927 , 0.008098 , 0.011 , 0.002748 , 0.010487 , 0 , 0.00641 , 0.00167 , 0.001801 , 0.003145 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002641 , 0.00036 , 0.002865 , 0.003316 , 0.00143 , 0.003403 , 0.003091 , 0.001873 , 0.005688 , 0.003148 
 342 , 0.003954 , 0.000273 , 0.000482 , 0.000171 , 0.003695 , 0.006841 , 0.00307 , 0.004429 , 0.005914 , 0.004158 , 0.005078 , 0.004198 , 0.00771 , 0.006042 , 0.002776 , 0.003456 , 0.00213 , 0.002835 , 0.005487 , 0.004052 , 0.00468 , 0.008658 , 0.0118 , 0.003501 , 0.011009 , 0.000272 , 0.007307 , 0.002425 , 0.002395 , 0.004016 , 0.000356 , 0 , 0.000647 , 0 , 0 , 0 , 0.000303 , 0.000047 , 0.003606 , 0.000618 , 0.003402 , 0.004228 , 0.001903 , 0.003896 , 0.003668 , 0.002391 , 0.00626 , 0.003693 
 343 , 0.004526 , 0.000828 , 0.000848 , 0.000517 , 0.004392 , 0.007487 , 0.00372 , 0.004439 , 0.006099 , 0.004509 , 0.005189 , 0.004361 , 0.008078 , 0.006748 , 0.003302 , 0.003862 , 0.002758 , 0.003287 , 0.005559 , 0.00449 , 0.005421 , 0.008796 , 0.012724 , 0.004158 , 0.011064 , 0.000823 , 0.008179 , 0.003392 , 0.003036 , 0.004967 , 0.001073 , 0 , 0.001959 , 0 , 0 , 0 , 0.000912 , 0.000141 , 0.004781 , 0.001025 , 0.003585 , 0.004982 , 0.002412 , 0.004416 , 0.004361 , 0.002854 , 0.006546 , 0.004388 
 344 , 0.005043 , 0.001319 , 0.001166 , 0.000825 , 0.005012 , 0.008047 , 0.004303 , 0.004447 , 0.006256 , 0.004819 , 0.005288 , 0.004507 , 0.00841 , 0.007388 , 0.003772 , 0.004223 , 0.003312 , 0.003683 , 0.005619 , 0.00488 , 0.00608 , 0.008922 , 0.013561 , 0.004738 , 0.011105 , 0.001314 , 0.008943 , 0.004221 , 0.003604 , 0.005774 , 0.001706 , 0 , 0.003121 , 0 , 0 , 0 , 0.001442 , 0.000223 , 0.005842 , 0.001384 , 0.003745 , 0.00564 , 0.002864 , 0.004871 , 0.004978 , 0.003266 , 0.006805 , 0.005009 
