WSG1_00031.spu,WSG1_00030.spu,
Wavelength,WSG1_00020.spu,WSG1_00021.spu
  (nm),7/13/2018 ,7/13/2018 
  time  ,:26:53 P,:27:14 P
temp C,SW,SW
,,
 492 , 0.039441 , 0.032399 
 493 , 0.039667 , 0.032563 
 494 , 0.039863 , 0.032733 
 495 , 0.04006 , 0.032899 
 496 , 0.04025 , 0.033059 
 497 , 0.040457 , 0.033236 
 498 , 0.040681 , 0.03343 
 499 , 0.040905 , 0.033623 
 500 , 0.04114 , 0.033824 
 501 , 0.041398 , 0.034053 
 502 , 0.041657 , 0.034281 
 503 , 0.041916 , 0.034504 
 504 , 0.042195 , 0.034713 
 505 , 0.042479 , 0.034916 
 506 , 0.042756 , 0.035114 
 507 , 0.043066 , 0.035351 
 508 , 0.043411 , 0.035623 
 509 , 0.04375 , 0.035894 
 510 , 0.044079 , 0.036161 
 511 , 0.044425 , 0.036436 
 512 , 0.044761 , 0.036717 
 513 , 0.045105 , 0.036992 
 514 , 0.045495 , 0.037297 
 515 , 0.045894 , 0.037613 
 516 , 0.046294 , 0.03793 
 517 , 0.046736 , 0.038287 
 518 , 0.047227 , 0.0387 
 519 , 0.047705 , 0.039108 
 520 , 0.048191 , 0.039519 
 521 , 0.048698 , 0.039957 
 522 , 0.049195 , 0.040392 
 523 , 0.049685 , 0.040821 
 524 , 0.050182 , 0.041244 
 525 , 0.050683 , 0.041667 
 526 , 0.051177 , 0.042083 
 527 , 0.051688 , 0.042523 
 528 , 0.052198 , 0.042972 
 529 , 0.0527 , 0.04342 
 530 , 0.053197 , 0.043857 
 531 , 0.053672 , 0.044296 
 532 , 0.054155 , 0.044732 
 533 , 0.054623 , 0.04516 
 534 , 0.055077 , 0.045573 
 535 , 0.055524 , 0.045967 
 536 , 0.055965 , 0.046368 
 537 , 0.056409 , 0.046757 
 538 , 0.056861 , 0.047141 
 539 , 0.057307 , 0.047525 
 540 , 0.057753 , 0.047904 
 541 , 0.058155 , 0.048273 
 542 , 0.058559 , 0.048651 
 543 , 0.058956 , 0.049022 
 544 , 0.059389 , 0.04941 
 545 , 0.059837 , 0.049801 
 546 , 0.060294 , 0.050191 
 547 , 0.060713 , 0.050557 
 548 , 0.061048 , 0.050851 
 549 , 0.06138 , 0.051144 
 550 , 0.06172 , 0.05143 
 551 , 0.062054 , 0.051726 
 552 , 0.06239 , 0.052025 
