WSG1_00034.spu,WSG1_00033.spu,WSG1_00032.spu,
Wavelength,WSG1_00022.spu,WSG1_00023.spu,WSG1_00024.spu
  (nm),7/13/2018 ,7/13/2018 ,7/13/2018 
  time  ,:27:36 P,:27:46 P,:27:57 P
temp C,SW,SW,SW
,,,
 779 , 0.182057 , 0.170274 , 0.200067 
 780 , 0.182455 , 0.170714 , 0.200414 
 781 , 0.18287 , 0.17113 , 0.200731 
 782 , 0.183318 , 0.171554 , 0.201073 
 783 , 0.183769 , 0.171982 , 0.201417 
 784 , 0.184236 , 0.172429 , 0.201769 
 785 , 0.184702 , 0.172883 , 0.202115 
 786 , 0.185184 , 0.173345 , 0.20246 
 787 , 0.185672 , 0.173805 , 0.202819 
 788 , 0.186177 , 0.174252 , 0.203201 
 789 , 0.186714 , 0.17473 , 0.203624 
 790 , 0.187267 , 0.175217 , 0.204049 
 791 , 0.187825 , 0.175683 , 0.204447 
 792 , 0.188358 , 0.176116 , 0.204806 
 793 , 0.1889 , 0.176559 , 0.205167 
 794 , 0.189416 , 0.176975 , 0.205514 
 795 , 0.189889 , 0.177387 , 0.205857 
 796 , 0.190374 , 0.177808 , 0.206211 
 797 , 0.190856 , 0.178232 , 0.206568 
 798 , 0.191299 , 0.178662 , 0.206933 
 799 , 0.191753 , 0.179092 , 0.207291 
 800 , 0.192213 , 0.179534 , 0.207653 
 801 , 0.19267 , 0.179998 , 0.208058 
 802 , 0.193152 , 0.180476 , 0.208479 
 803 , 0.193638 , 0.180972 , 0.208911 
 804 , 0.194092 , 0.181422 , 0.20928 
 805 , 0.194492 , 0.181805 , 0.20958 
 806 , 0.194891 , 0.182194 , 0.209883 
 807 , 0.195284 , 0.182571 , 0.21015 
 808 , 0.195658 , 0.182911 , 0.210327 
 809 , 0.196051 , 0.18328 , 0.21052 
 810 , 0.196455 , 0.183665 , 0.210718 
 811 , 0.196822 , 0.184001 , 0.21092 
 812 , 0.197235 , 0.184365 , 0.211158 
 813 , 0.197677 , 0.184748 , 0.211398 
 814 , 0.198125 , 0.185124 , 0.211674 
 815 , 0.198579 , 0.185504 , 0.211952 
 816 , 0.199044 , 0.185894 , 0.212236 
 817 , 0.199496 , 0.186303 , 0.212516 
 818 , 0.199947 , 0.186752 , 0.212845 
 819 , 0.20047 , 0.187248 , 0.213241 
 820 , 0.201 , 0.187754 , 0.213644 
 821 , 0.201555 , 0.188249 , 0.214101 
 822 , 0.202063 , 0.188712 , 0.214509 
 823 , 0.202576 , 0.189181 , 0.214915 
 824 , 0.203083 , 0.189668 , 0.215313 
 825 , 0.203595 , 0.190161 , 0.215693 
 826 , 0.204102 , 0.190655 , 0.216071 
 827 , 0.204608 , 0.191161 , 0.216455 
 828 , 0.205123 , 0.191667 , 0.216873 
 829 , 0.205648 , 0.192177 , 0.217299 
 830 , 0.206176 , 0.192685 , 0.21772 
 831 , 0.206708 , 0.193128 , 0.218129 
 832 , 0.207221 , 0.19357 , 0.218535 
 833 , 0.207729 , 0.194015 , 0.218936 
