  time  ,57:12 PM,57:28 PM,57:39 PM,57:50 PM,58:05 PM,58:35 PM,58:47 PM,58:58 PM,59:09 PM,59:19 PM,59:47 PM,59:57 PM,00:07 PM,00:25 PM,00:38 PM,01:05 PM,01:15 PM,01:26 PM,01:35 PM,01:44 PM,02:11 PM,02:21 PM,02:30 PM,02:41 PM,03:09 PM,03:28 PM,03:43 PM,03:58 PM,04:14 PM,04:26 PM,04:37 PM,04:56 PM,05:07 PM,05:23 PM,05:47 PM,06:30 PM,06:41 PM,06:53 PM,07:03 PM,07:11 PM,07:56 PM,08:12 PM,08:25 PM,08:38 PM,08:48 PM,09:04 PM,09:17 PM,09:30 PM,09:47 PM,09:59 PM,10:22 PM,10:38 PM,10:52 PM,11:04 PM,11:49 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 316 , 0.035954 , 0.030607 , 0.031575 , 0.032686 , 0.037937 , 0.049556 , 0.054929 , 0.033274 , 0.03925 , 0.059315 , 0.048907 , 0.043457 , 0.044004 , 0.043557 , 0.034608 , 0.03866 , 0.030259 , 0.045627 , 0.043685 , 0.04254 , 0.026333 , 0.026161 , 0.031649 , 0.027153 , 0.056173 , 0.03962 , 0.038956 , 0.033277 , 0.056663 , 0.044168 , 0.04274 , 0.041881 , 0.048572 , 0.036184 , 0.029143 , 0.043059 , 0.046784 , 0.036025 , 0.03764 , 0.034866 , 0.056845 , 0.068076 , 0.063577 , 0.058498 , 0.049318 , 0.069448 , 0.070495 , 0.065066 , 0.067718 , 0.055128 , 0.067176 , 0.072869 , 0.074453 , 0.067143 , 0.081736 
 317 , 0.031915 , 0.027671 , 0.025855 , 0.031028 , 0.036622 , 0.048425 , 0.052108 , 0.030843 , 0.035 , 0.055444 , 0.047082 , 0.0384 , 0.041474 , 0.041933 , 0.035183 , 0.035817 , 0.026276 , 0.0408 , 0.041198 , 0.039467 , 0.022027 , 0.02556 , 0.027535 , 0.022954 , 0.048935 , 0.032518 , 0.038084 , 0.026543 , 0.054787 , 0.042029 , 0.041572 , 0.035127 , 0.048858 , 0.033293 , 0.026307 , 0.034104 , 0.044057 , 0.035422 , 0.036856 , 0.030796 , 0.048846 , 0.063909 , 0.058312 , 0.053058 , 0.047419 , 0.065064 , 0.063357 , 0.059435 , 0.065128 , 0.051067 , 0.058956 , 0.066218 , 0.066059 , 0.060432 , 0.075784 
 318 , 0.028594 , 0.025351 , 0.021394 , 0.029285 , 0.034819 , 0.047296 , 0.049629 , 0.028827 , 0.031493 , 0.052264 , 0.045513 , 0.034566 , 0.03909 , 0.040062 , 0.035047 , 0.03342 , 0.023301 , 0.036954 , 0.038959 , 0.036675 , 0.01893 , 0.024651 , 0.024048 , 0.019662 , 0.043476 , 0.02722 , 0.036944 , 0.021417 , 0.053552 , 0.03953 , 0.039854 , 0.029538 , 0.048667 , 0.030712 , 0.023827 , 0.027759 , 0.042513 , 0.035017 , 0.035617 , 0.02736 , 0.042727 , 0.060361 , 0.053923 , 0.048732 , 0.045343 , 0.060908 , 0.057178 , 0.054067 , 0.062303 , 0.047519 , 0.052062 , 0.060788 , 0.058855 , 0.054515 , 0.070185 
 319 , 0.026338 , 0.024349 , 0.020288 , 0.02498 , 0.027898 , 0.04495 , 0.046662 , 0.027289 , 0.029061 , 0.05012 , 0.043703 , 0.033994 , 0.03486 , 0.034663 , 0.030202 , 0.031138 , 0.023065 , 0.035294 , 0.03558 , 0.032554 , 0.019938 , 0.020714 , 0.020288 , 0.018587 , 0.043011 , 0.02802 , 0.032549 , 0.020993 , 0.054883 , 0.031962 , 0.03256 , 0.025551 , 0.044736 , 0.027515 , 0.020765 , 0.029307 , 0.047002 , 0.035333 , 0.029995 , 0.024217 , 0.04225 , 0.056713 , 0.049235 , 0.046422 , 0.039772 , 0.053654 , 0.049518 , 0.044623 , 0.054629 , 0.04349 , 0.04579 , 0.056878 , 0.051935 , 0.047496 , 0.060838 
 320 , 0.024552 , 0.023547 , 0.019402 , 0.021632 , 0.022556 , 0.043029 , 0.044301 , 0.026046 , 0.027135 , 0.048354 , 0.042319 , 0.033551 , 0.031568 , 0.030471 , 0.02643 , 0.029351 , 0.022902 , 0.033948 , 0.03296 , 0.029345 , 0.020724 , 0.017664 , 0.017367 , 0.017744 , 0.042617 , 0.028586 , 0.029133 , 0.020664 , 0.056042 , 0.026113 , 0.026881 , 0.022452 , 0.041647 , 0.025018 , 0.018384 , 0.030779 , 0.050243 , 0.035542 , 0.025629 , 0.021775 , 0.041853 , 0.053855 , 0.04564 , 0.044676 , 0.035437 , 0.048005 , 0.043554 , 0.037314 , 0.048658 , 0.040315 , 0.040912 , 0.05387 , 0.046544 , 0.042037 , 0.053572 
 321 , 0.023092 , 0.022886 , 0.01867 , 0.018956 , 0.018317 , 0.04141 , 0.042366 , 0.025013 , 0.025567 , 0.046856 , 0.041236 , 0.033199 , 0.028933 , 0.027126 , 0.023407 , 0.027913 , 0.022788 , 0.032825 , 0.030873 , 0.026771 , 0.021357 , 0.015233 , 0.015031 , 0.017061 , 0.042276 , 0.028989 , 0.026399 , 0.020401 , 0.057083 , 0.021464 , 0.022337 , 0.019978 , 0.039147 , 0.023011 , 0.016479 , 0.032217 , 0.052619 , 0.035673 , 0.022146 , 0.019828 , 0.041513 , 0.051546 , 0.042813 , 0.043328 , 0.031968 , 0.043481 , 0.038777 , 0.031497 , 0.04388 , 0.037738 , 0.03701 , 0.051491 , 0.042225 , 0.037669 , 0.047768 
 322 , 0.022109 , 0.021663 , 0.018377 , 0.019313 , 0.018131 , 0.041356 , 0.041829 , 0.026373 , 0.026638 , 0.0482 , 0.040865 , 0.033147 , 0.029313 , 0.027255 , 0.02487 , 0.028151 , 0.023728 , 0.031698 , 0.031172 , 0.028366 , 0.022462 , 0.01607 , 0.016572 , 0.018128 , 0.04351 , 0.029488 , 0.026545 , 0.02245 , 0.054068 , 0.024898 , 0.023968 , 0.020344 , 0.037679 , 0.022437 , 0.017533 , 0.03355 , 0.050781 , 0.038194 , 0.0237 , 0.021386 , 0.039965 , 0.0503 , 0.040734 , 0.042675 , 0.031852 , 0.041237 , 0.038573 , 0.032401 , 0.044889 , 0.037839 , 0.035739 , 0.051196 , 0.040147 , 0.037142 , 0.044563 
 323 , 0.021422 , 0.020485 , 0.018234 , 0.020393 , 0.019025 , 0.041755 , 0.041762 , 0.028188 , 0.028235 , 0.050018 , 0.040719 , 0.033194 , 0.030443 , 0.028297 , 0.027226 , 0.028794 , 0.024742 , 0.030743 , 0.03208 , 0.030862 , 0.023487 , 0.017671 , 0.018935 , 0.019494 , 0.04485 , 0.029895 , 0.027435 , 0.02473 , 0.050452 , 0.029939 , 0.026996 , 0.021404 , 0.036718 , 0.02233 , 0.019223 , 0.03458 , 0.048096 , 0.040805 , 0.026315 , 0.023539 , 0.038338 , 0.049566 , 0.03922 , 0.042315 , 0.032653 , 0.039933 , 0.039679 , 0.034924 , 0.047335 , 0.038554 , 0.035425 , 0.051501 , 0.039034 , 0.037715 , 0.042587 
 324 , 0.020917 , 0.01955 , 0.018103 , 0.0212 , 0.019688 , 0.042121 , 0.041731 , 0.029668 , 0.029495 , 0.051372 , 0.040552 , 0.033244 , 0.031327 , 0.029136 , 0.028985 , 0.029291 , 0.025469 , 0.029983 , 0.032804 , 0.032878 , 0.024261 , 0.01896 , 0.020832 , 0.020575 , 0.045762 , 0.03017 , 0.028112 , 0.02646 , 0.047557 , 0.033905 , 0.029371 , 0.022232 , 0.035951 , 0.022236 , 0.020567 , 0.035321 , 0.045961 , 0.042701 , 0.02833 , 0.025113 , 0.037052 , 0.049026 , 0.038012 , 0.042008 , 0.033265 , 0.03885 , 0.040583 , 0.03687 , 0.049305 , 0.039016 , 0.035217 , 0.051713 , 0.038214 , 0.038137 , 0.041077 
 325 , 0.020149 , 0.018314 , 0.01752 , 0.02117 , 0.019282 , 0.041771 , 0.040985 , 0.029685 , 0.029677 , 0.051273 , 0.03997 , 0.032707 , 0.03116 , 0.029499 , 0.028747 , 0.028889 , 0.025014 , 0.029294 , 0.032378 , 0.033345 , 0.024233 , 0.019155 , 0.020744 , 0.020349 , 0.045609 , 0.029127 , 0.028142 , 0.026955 , 0.046101 , 0.034795 , 0.029384 , 0.022534 , 0.035092 , 0.021623 , 0.020863 , 0.034921 , 0.045425 , 0.043099 , 0.028329 , 0.024473 , 0.03531 , 0.047257 , 0.036511 , 0.041041 , 0.032801 , 0.037263 , 0.03961 , 0.036334 , 0.049956 , 0.03809 , 0.033994 , 0.050003 , 0.036614 , 0.037539 , 0.040011 
