  time  ,:08:30 A,:08:40 A,:08:51 A,:09:01 A,:09:18 A,:10:10 A,:10:22 A,:10:36 A,:10:47 A,:10:58 A,:11:38 A,:11:48 A,:12:01 A,:12:13 A,:12:22 A,:13:14 A,:13:23 A,:13:33 A,:13:43 A,:13:52 A,:14:12 A,:14:26 A,:14:34 A,:14:43 A,:14:53 A,:16:49 A,:17:01 A,:17:10 A,:17:20 A,:17:29 A,:18:47 A,:18:58 A,:19:08 A,:19:18 A,:19:29 A,:20:20 A,:20:35 A,:20:43 A,:20:52 A,:21:01 A,:21:53 A,:22:02 A,:22:11 A,:22:21 A,:22:29 A,:22:48 A,:22:57 A,:23:07 A,:23:16 A,:23:26 A,:24:10 A,:24:18 A,:24:28 A,:24:38 A,:24:46 A,:25:32 A,:25:42 A,:25:54 A,:26:09 A,:26:17 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 316 , 0.033612 , 0.021504 , 0.018827 , 0.016896 , 0.023356 , 0.020405 , 0.023446 , 0.033135 , 0.043096 , 0.043503 , 0.019096 , 0.021346 , 0.021193 , 0.023803 , 0.020764 , 0.023001 , 0.018873 , 0.036123 , 0.033091 , 0.019751 , 0.02129 , 0.01535 , 0.022351 , 0.016964 , 0.020707 , 0.016751 , 0.025659 , 0.026051 , 0.039854 , 0.028838 , 0.026495 , 0.039908 , 0.033488 , 0.029981 , 0.061207 , 0.02703 , 0.036281 , 0.03028 , 0.020096 , 0.014617 , 0.023466 , 0.021876 , 0.023387 , 0.025276 , 0.020885 , 0.027032 , 0.027056 , 0.026635 , 0.020512 , 0.023472 , 0.032362 , 0.044733 , 0.033982 , 0.054944 , 0.037509 , 0.033155 , 0.029398 , 0.025322 , 0.026112 , 0.024 
 317 , 0.033511 , 0.021674 , 0.021708 , 0.015869 , 0.020694 , 0.020261 , 0.021913 , 0.03128 , 0.039823 , 0.040185 , 0.019483 , 0.020329 , 0.021301 , 0.025493 , 0.019469 , 0.023093 , 0.019485 , 0.035064 , 0.032735 , 0.020678 , 0.021458 , 0.013829 , 0.023085 , 0.016595 , 0.02354 , 0.017252 , 0.026597 , 0.023597 , 0.038951 , 0.027503 , 0.025757 , 0.037928 , 0.031863 , 0.028391 , 0.057213 , 0.024921 , 0.035766 , 0.028674 , 0.019908 , 0.015571 , 0.025064 , 0.020887 , 0.022219 , 0.025234 , 0.022438 , 0.026724 , 0.026738 , 0.02686 , 0.018122 , 0.022492 , 0.031043 , 0.044174 , 0.032007 , 0.053924 , 0.035385 , 0.031552 , 0.027842 , 0.024986 , 0.026339 , 0.022248 
 318 , 0.032908 , 0.021523 , 0.023783 , 0.01539 , 0.019109 , 0.020021 , 0.020743 , 0.029739 , 0.037325 , 0.037561 , 0.019656 , 0.019563 , 0.021247 , 0.026493 , 0.018466 , 0.022988 , 0.020001 , 0.03423 , 0.032427 , 0.021227 , 0.021468 , 0.012945 , 0.023494 , 0.016137 , 0.025354 , 0.017485 , 0.027105 , 0.021642 , 0.037881 , 0.026703 , 0.025141 , 0.036363 , 0.030626 , 0.027143 , 0.05401 , 0.023306 , 0.035208 , 0.02728 , 0.019734 , 0.016223 , 0.026012 , 0.020133 , 0.021463 , 0.025075 , 0.023549 , 0.026314 , 0.026348 , 0.026853 , 0.016442 , 0.021695 , 0.030037 , 0.043433 , 0.030372 , 0.05264 , 0.033609 , 0.030238 , 0.026535 , 0.024463 , 0.026226 , 0.020836 
 319 , 0.028301 , 0.019061 , 0.023121 , 0.01792 , 0.02277 , 0.018838 , 0.020691 , 0.028377 , 0.036927 , 0.036023 , 0.01866 , 0.019475 , 0.020104 , 0.02417 , 0.018269 , 0.021452 , 0.020324 , 0.033787 , 0.032108 , 0.019971 , 0.020539 , 0.015089 , 0.022383 , 0.014556 , 0.022248 , 0.016366 , 0.025534 , 0.020643 , 0.034478 , 0.028299 , 0.024477 , 0.035741 , 0.030443 , 0.026585 , 0.052207 , 0.022862 , 0.033572 , 0.025641 , 0.019488 , 0.015566 , 0.023869 , 0.019984 , 0.022459 , 0.023885 , 0.022896 , 0.02473 , 0.024971 , 0.025373 , 0.017496 , 0.021149 , 0.029866 , 0.04061 , 0.028936 , 0.047935 , 0.032035 , 0.029241 , 0.025331 , 0.02226 , 0.023864 , 0.019942 
 320 , 0.024712 , 0.017138 , 0.022589 , 0.019778 , 0.025584 , 0.017903 , 0.020588 , 0.02731 , 0.036609 , 0.034872 , 0.017886 , 0.019427 , 0.019222 , 0.022357 , 0.018074 , 0.020247 , 0.020572 , 0.033452 , 0.031854 , 0.018989 , 0.019796 , 0.016791 , 0.021504 , 0.01332 , 0.019826 , 0.015498 , 0.0243 , 0.019847 , 0.031816 , 0.029657 , 0.023979 , 0.035199 , 0.030277 , 0.026158 , 0.050769 , 0.022543 , 0.032293 , 0.024352 , 0.019274 , 0.015044 , 0.022204 , 0.019873 , 0.023248 , 0.022961 , 0.022372 , 0.02348 , 0.023904 , 0.024215 , 0.018284 , 0.020703 , 0.029712 , 0.038381 , 0.027822 , 0.044261 , 0.030793 , 0.028458 , 0.024369 , 0.020535 , 0.022015 , 0.019236 
 321 , 0.021838 , 0.015597 , 0.02215 , 0.02117 , 0.027804 , 0.01714 , 0.020452 , 0.026449 , 0.036346 , 0.033996 , 0.017271 , 0.019404 , 0.018524 , 0.020901 , 0.017882 , 0.019274 , 0.020764 , 0.033192 , 0.031646 , 0.0182 , 0.019184 , 0.018184 , 0.02079 , 0.012327 , 0.017884 , 0.01481 , 0.023299 , 0.019195 , 0.029676 , 0.030846 , 0.023596 , 0.034714 , 0.030127 , 0.025822 , 0.049592 , 0.022316 , 0.031263 , 0.02331 , 0.019082 , 0.014619 , 0.020874 , 0.01979 , 0.023892 , 0.022227 , 0.02194 , 0.022463 , 0.023051 , 0.023285 , 0.018888 , 0.020324 , 0.029572 , 0.03657 , 0.026935 , 0.041311 , 0.029785 , 0.02783 , 0.023583 , 0.019146 , 0.02053 , 0.018662 
 322 , 0.021753 , 0.015686 , 0.021886 , 0.020336 , 0.026566 , 0.01668 , 0.019281 , 0.025794 , 0.035067 , 0.033516 , 0.016707 , 0.019875 , 0.018221 , 0.020153 , 0.017296 , 0.019493 , 0.020357 , 0.032247 , 0.031015 , 0.018155 , 0.018226 , 0.0176 , 0.019509 , 0.012283 , 0.016882 , 0.014599 , 0.021587 , 0.018803 , 0.029062 , 0.030246 , 0.023525 , 0.033896 , 0.028917 , 0.024417 , 0.048753 , 0.02162 , 0.030743 , 0.022643 , 0.018418 , 0.014279 , 0.020257 , 0.018799 , 0.022875 , 0.022241 , 0.021499 , 0.021468 , 0.021507 , 0.021587 , 0.018111 , 0.019422 , 0.028045 , 0.035073 , 0.025706 , 0.040165 , 0.028936 , 0.026502 , 0.022851 , 0.019078 , 0.01964 , 0.018338 
 323 , 0.022448 , 0.016211 , 0.021718 , 0.019036 , 0.02459 , 0.016366 , 0.018017 , 0.025289 , 0.033726 , 0.033213 , 0.016256 , 0.020408 , 0.018073 , 0.019715 , 0.016695 , 0.019993 , 0.019839 , 0.031265 , 0.030357 , 0.018321 , 0.017329 , 0.016572 , 0.01828 , 0.012497 , 0.016297 , 0.014552 , 0.019959 , 0.018538 , 0.02898 , 0.029234 , 0.023538 , 0.033123 , 0.027619 , 0.022951 , 0.048169 , 0.0209 , 0.030439 , 0.022175 , 0.017736 , 0.01401 , 0.01992 , 0.017722 , 0.021573 , 0.022411 , 0.021109 , 0.020636 , 0.020028 , 0.019959 , 0.017084 , 0.018521 , 0.026389 , 0.033904 , 0.02458 , 0.0397 , 0.028262 , 0.025195 , 0.022263 , 0.019388 , 0.019061 , 0.018134 
 324 , 0.023012 , 0.016626 , 0.021599 , 0.018022 , 0.023027 , 0.016106 , 0.017027 , 0.02487 , 0.032679 , 0.032946 , 0.015906 , 0.020831 , 0.017951 , 0.019363 , 0.016221 , 0.020379 , 0.01941 , 0.030481 , 0.029817 , 0.018455 , 0.016633 , 0.015749 , 0.017302 , 0.012663 , 0.01583 , 0.014509 , 0.018673 , 0.018325 , 0.028947 , 0.028386 , 0.023526 , 0.032531 , 0.026605 , 0.021789 , 0.047757 , 0.020303 , 0.03019 , 0.02179 , 0.017204 , 0.013795 , 0.019624 , 0.016868 , 0.020541 , 0.022479 , 0.020778 , 0.019984 , 0.018853 , 0.018673 , 0.01627 , 0.017806 , 0.025077 , 0.032996 , 0.023678 , 0.039338 , 0.027724 , 0.024145 , 0.021817 , 0.019648 , 0.018613 , 0.017978 
 325 , 0.022938 , 0.016811 , 0.021265 , 0.017632 , 0.022298 , 0.015912 , 0.016478 , 0.024306 , 0.031845 , 0.032117 , 0.015965 , 0.020779 , 0.018198 , 0.019303 , 0.016276 , 0.020876 , 0.01906 , 0.029961 , 0.029525 , 0.018814 , 0.016613 , 0.015431 , 0.017513 , 0.012797 , 0.015837 , 0.014559 , 0.018007 , 0.01841 , 0.028882 , 0.027934 , 0.023336 , 0.032218 , 0.025815 , 0.020871 , 0.046939 , 0.020064 , 0.030001 , 0.021698 , 0.017129 , 0.013908 , 0.019491 , 0.016762 , 0.020309 , 0.022379 , 0.020458 , 0.019525 , 0.018447 , 0.018003 , 0.015956 , 0.017664 , 0.024189 , 0.031968 , 0.023072 , 0.038579 , 0.027077 , 0.023431 , 0.021408 , 0.019791 , 0.018502 , 0.018245 
