  time  ,:33:12 A,:33:29 A,:33:38 A,:33:56 A,:34:17 A,:35:10 A,:35:20 A,:35:37 A,:35:51 A,:36:04 A,:37:05 A,:37:20 A,:37:33 A,:37:49 A,:37:58 A,:39:15 A,:39:25 A,:39:37 A,:39:51 A,:40:27 A,:40:48 A,:41:24 A,:41:50 A,:42:47 A,:43:17 A,:44:26 A,:44:54 A,:45:12 A,:45:58 A,:47:10 A,:48:34 A,:48:45 A,:49:04 A,:49:17 A,:49:30 A,:50:30 A,:50:45 A,:51:00 A,:51:19 A,:51:33 A,:52:14 A,:52:33 A,:52:49 A,:53:07 A,:53:21 A,:54:00 A,:54:24 A,:54:45 A,:55:03 A,:55:16 A,:56:08 A,:56:20 A,:56:36 A,:56:54 A,:57:17 A,:59:23 A,:59:43 A,:00:08 P,:00:25 P,:00:37 P
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 316 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.009063 , 0 , 0 , 0 , 0 , 0.001325 , 0 , 0 , 0.011309 , 0 , 0.003424 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001826 , 0 , 0.003585 , 0.001842 , 0.014106 , 0.009627 , 0.003188 , 0.003585 , 0.001826 , 0.010172 , 0 , 0.005519 , 0.005396 , 0.003754 , 0.001877 , 0.00554 , 0.013582 , 0.010823 , 0.013735 , 0.005491 , 0.006552 , 0.011146 , 0.01082 , 0.021926 , 0.015773 , 0.031768 , 0.02052 , 0.016539 , 0.01362 , 0.013006 , 0.022844 , 0.018888 , 0.020178 , 0.019204 , 0.021251 
 317 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.005324 , 0 , 0 , 0 , 0 , 0.00197 , 0 , 0 , 0.011037 , 0 , 0.00146 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000774 , 0 , 0.001521 , 0.000785 , 0.011888 , 0.008854 , 0.002854 , 0.001521 , 0.000774 , 0.007356 , 0 , 0.002288 , 0.002288 , 0.001601 , 0.0008 , 0.00239 , 0.010539 , 0.006287 , 0.009135 , 0.002356 , 0.005899 , 0.008529 , 0.009592 , 0.019796 , 0.012071 , 0.023984 , 0.016462 , 0.011106 , 0.014287 , 0.011778 , 0.020796 , 0.015641 , 0.016337 , 0.014522 , 0.017781 
 318 , 0 , 0 , 0 , 0 , 0.000209 , 0 , 0 , 0 , 0.002435 , 0 , 0 , 0.000074 , 0 , 0.002321 , 0 , 0.000144 , 0.011184 , 0 , 0.00022 , 0.00029 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000152 , 0.000236 , 0.01059 , 0.008431 , 0.002719 , 0 , 0 , 0.005473 , 0 , 0.000078 , 0.000236 , 0 , 0 , 0.000084 , 0.008533 , 0.00323 , 0.005584 , 0.00032 , 0.005409 , 0.006536 , 0.008704 , 0.017993 , 0.009387 , 0.018234 , 0.013402 , 0.006757 , 0.014457 , 0.010382 , 0.018985 , 0.012896 , 0.013308 , 0.010905 , 0.015383 
 319 , 0 , 0 , 0 , 0 , 0.00196 , 0 , 0 , 0 , 0.001467 , 0 , 0 , 0.000706 , 0 , 0.001384 , 0 , 0.001365 , 0.014183 , 0 , 0.002081 , 0.002735 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001428 , 0.002217 , 0.013462 , 0.00975 , 0.003641 , 0 , 0 , 0.006803 , 0 , 0.000744 , 0.002217 , 0 , 0 , 0.000786 , 0.01069 , 0.005372 , 0.004723 , 0.003027 , 0.005346 , 0.005727 , 0.008703 , 0.016045 , 0.009772 , 0.018866 , 0.012759 , 0.005153 , 0.011585 , 0.006217 , 0.016436 , 0.009956 , 0.011958 , 0.009342 , 0.016693 
 320 , 0 , 0 , 0 , 0 , 0.003259 , 0 , 0 , 0 , 0.000728 , 0 , 0 , 0.00118 , 0 , 0.000679 , 0 , 0.002285 , 0.016373 , 0 , 0.003484 , 0.004555 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002374 , 0.003682 , 0.015578 , 0.010665 , 0.004331 , 0 , 0 , 0.007841 , 0 , 0.00126 , 0.003682 , 0 , 0 , 0.001309 , 0.012284 , 0.006989 , 0.004071 , 0.00507 , 0.005294 , 0.005106 , 0.008713 , 0.014555 , 0.010058 , 0.019299 , 0.012276 , 0.003949 , 0.009372 , 0.003064 , 0.014486 , 0.007736 , 0.010924 , 0.00815 , 0.017726 
 321 , 0 , 0 , 0 , 0 , 0.004251 , 0 , 0 , 0 , 0.000142 , 0 , 0 , 0.001548 , 0 , 0.000132 , 0 , 0.003001 , 0.01802 , 0 , 0.004573 , 0.00595 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.0031 , 0.004801 , 0.017182 , 0.011316 , 0.004861 , 0 , 0 , 0.008676 , 0 , 0.001674 , 0.004801 , 0 , 0 , 0.001709 , 0.0135 , 0.008251 , 0.003558 , 0.00666 , 0.005249 , 0.004613 , 0.008728 , 0.013379 , 0.010276 , 0.019603 , 0.0119 , 0.003016 , 0.00761 , 0.000597 , 0.012946 , 0.006004 , 0.010108 , 0.007212 , 0.018569 
 322 , 0.002439 , 0.00407 , 0.002534 , 0.003668 , 0.009167 , 0.001126 , 0.00292 , 0.002322 , 0.004246 , 0.003105 , 0.003469 , 0.00513 , 0.004183 , 0.002346 , 0.00332 , 0.00586 , 0.02253 , 0.005073 , 0.010384 , 0.010829 , 0.002445 , 0.004658 , 0.00218 , 0.003217 , 0.002214 , 0.004189 , 0.004242 , 0.006614 , 0.008337 , 0.021422 , 0.015707 , 0.009508 , 0.002902 , 0.004477 , 0.012372 , 0.001941 , 0.005918 , 0.008163 , 0.005006 , 0.003433 , 0.006289 , 0.018329 , 0.014066 , 0.008966 , 0.010696 , 0.008247 , 0.008145 , 0.010263 , 0.015618 , 0.01286 , 0.0218 , 0.014092 , 0.006679 , 0.009908 , 0.003425 , 0.015579 , 0.009011 , 0.011803 , 0.009764 , 0.01951 
 323 , 0.00509 , 0.008524 , 0.005265 , 0.007684 , 0.014376 , 0.00234 , 0.006115 , 0.004843 , 0.00875 , 0.006531 , 0.007234 , 0.008882 , 0.008571 , 0.004955 , 0.006919 , 0.008798 , 0.026772 , 0.010623 , 0.016398 , 0.015798 , 0.005142 , 0.00962 , 0.004521 , 0.006637 , 0.004591 , 0.008725 , 0.008792 , 0.010232 , 0.011872 , 0.025734 , 0.020383 , 0.014447 , 0.006016 , 0.009414 , 0.015946 , 0.003985 , 0.010397 , 0.011682 , 0.010421 , 0.007214 , 0.010997 , 0.023281 , 0.020208 , 0.015123 , 0.014594 , 0.011467 , 0.011982 , 0.01191 , 0.018383 , 0.015607 , 0.024159 , 0.016523 , 0.010841 , 0.01285 , 0.007178 , 0.01891 , 0.012797 , 0.013858 , 0.012866 , 0.02029 
 324 , 0.007145 , 0.012005 , 0.007358 , 0.010824 , 0.018545 , 0.003269 , 0.008612 , 0.006793 , 0.01213 , 0.009238 , 0.010146 , 0.011744 , 0.011819 , 0.007038 , 0.009699 , 0.011093 , 0.029822 , 0.014957 , 0.021039 , 0.019678 , 0.007271 , 0.013362 , 0.006307 , 0.009213 , 0.006403 , 0.012219 , 0.012254 , 0.013022 , 0.014594 , 0.029214 , 0.024087 , 0.018302 , 0.008388 , 0.013308 , 0.018494 , 0.005506 , 0.013842 , 0.014581 , 0.014589 , 0.010197 , 0.014484 , 0.027142 , 0.02513 , 0.020046 , 0.017544 , 0.013909 , 0.01482 , 0.013163 , 0.020554 , 0.017729 , 0.02605 , 0.018345 , 0.014004 , 0.0151 , 0.010118 , 0.02156 , 0.015797 , 0.015449 , 0.015358 , 0.020868 
 325 , 0.008959 , 0.013054 , 0.00826 , 0.012039 , 0.020085 , 0.003756 , 0.009636 , 0.007556 , 0.012999 , 0.009929 , 0.011647 , 0.012707 , 0.013061 , 0.007989 , 0.010636 , 0.011898 , 0.031182 , 0.016813 , 0.023008 , 0.02148 , 0.008023 , 0.014905 , 0.007299 , 0.010078 , 0.007409 , 0.013581 , 0.013393 , 0.014089 , 0.015514 , 0.030694 , 0.025388 , 0.019189 , 0.008933 , 0.014574 , 0.019521 , 0.006 , 0.015111 , 0.01581 , 0.016205 , 0.0115 , 0.015678 , 0.028186 , 0.027098 , 0.022079 , 0.018426 , 0.014854 , 0.015861 , 0.013908 , 0.020951 , 0.018225 , 0.026016 , 0.018405 , 0.014587 , 0.015523 , 0.011472 , 0.022065 , 0.016644 , 0.015654 , 0.015845 , 0.020401 
