NANT_00015.spu,NANT_00014.spu,NANT_00013.spu,NANT_00012.spu,NANT_00011.spu,
Wavelength,MNAT_00000.spu,MNAT_00001.spu,MNAT_00002.spu,MNAT_00003.spu,MNAT_00004.spu,MNAT_00005.spu,MNAT_00006.spu,MNAT_00007.spu,MNAT_00008.spu,MNAT_00009.spu,MNAT_00010.spu,MNAT_00011.spu,MNAT_00012.spu,MNAT_00013.spu,MNAT_00014.spu,MNAT_00015.spu,MNAT_00016.spu,MNAT_00017.spu,MNAT_00018.spu,MNAT_00019.spu,MNAT_00020.spu,MNAT_00021.spu,MNAT_00022.spu,MNAT_00023.spu,MNAT_00024.spu,MNAT_00025.spu,MNAT_00026.spu,MNAT_00027.spu,MNAT_00028.spu,MNAT_00029.spu,MNAT_00030.spu,MNAT_00031.spu,MNAT_00032.spu,MNAT_00033.spu,MNAT_00034.spu,MNAT_00035.spu,MNAT_00036.spu,MNAT_00037.spu,MNAT_00038.spu,MNAT_00039.spu,MNAT_00040.spu,MNAT_00041.spu,MNAT_00042.spu,MNAT_00043.spu,MNAT_00044.spu,MNAT_00045.spu,MNAT_00046.spu,MNAT_00047.spu,MNAT_00048.spu,MNAT_00049.spu
  (nm),7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 
  time  ,:40:15 A,:40:32 A,:40:47 A,:41:01 A,:41:12 A,:42:01 A,:42:34 A,:42:51 A,:43:05 A,:43:29 A,:44:16 A,:44:32 A,:44:45 A,:44:56 A,:45:06 A,:45:49 A,:46:00 A,:46:10 A,:46:20 A,:46:32 A,:46:48 A,:46:59 A,:47:14 A,:47:29 A,:47:39 A,:48:34 A,:48:44 A,:48:53 A,:49:16 A,:50:01 A,:50:58 A,:51:14 A,:51:33 A,:51:53 A,:52:04 A,:53:05 A,:53:18 A,:53:36 A,:54:03 A,:54:17 A,:55:04 A,:55:18 A,:55:29 A,:55:41 A,:55:59 A,:56:26 A,:56:41 A,:56:58 A,:57:36 A,:57:47 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 442 , 0.022177 , 0.01877 , 0.024138 , 0.028779 , 0.031547 , 0.015627 , 0.022698 , 0.021913 , 0.024395 , 0.016515 , 0.022787 , 0.021861 , 0.022493 , 0.028933 , 0.02485 , 0.016302 , 0.041475 , 0.022082 , 0.046043 , 0.021553 , 0.018527 , 0.015561 , 0.016449 , 0.021369 , 0.026583 , 0.015179 , 0.034786 , 0.034668 , 0.045345 , 0.035432 , 0.030402 , 0.033163 , 0.021986 , 0.022596 , 0.053592 , 0.034984 , 0.027127 , 0.02225 , 0.030049 , 0.022933 , 0.03729 , 0.041189 , 0.041167 , 0.049898 , 0.037642 , 0.028874 , 0.028566 , 0.028566 , 0.026884 , 0.021509 
 443 , 0.022437 , 0.018995 , 0.024428 , 0.029064 , 0.031887 , 0.015789 , 0.022968 , 0.02215 , 0.024641 , 0.016666 , 0.023093 , 0.022113 , 0.022754 , 0.029263 , 0.025179 , 0.016504 , 0.041794 , 0.022334 , 0.046437 , 0.021796 , 0.018744 , 0.015759 , 0.016622 , 0.021634 , 0.026875 , 0.015339 , 0.035182 , 0.034998 , 0.045752 , 0.035764 , 0.030722 , 0.033464 , 0.022238 , 0.022865 , 0.054192 , 0.035373 , 0.027472 , 0.022518 , 0.030369 , 0.023182 , 0.037703 , 0.041514 , 0.04158 , 0.050639 , 0.038182 , 0.029204 , 0.02899 , 0.028931 , 0.027199 , 0.021737 
 444 , 0.022762 , 0.019257 , 0.024774 , 0.029388 , 0.03225 , 0.015988 , 0.023258 , 0.022451 , 0.024929 , 0.016853 , 0.023442 , 0.022422 , 0.023043 , 0.029647 , 0.025543 , 0.016728 , 0.042152 , 0.022614 , 0.046907 , 0.022052 , 0.018983 , 0.015973 , 0.016831 , 0.021919 , 0.027199 , 0.015515 , 0.035644 , 0.0354 , 0.046227 , 0.036147 , 0.031082 , 0.033825 , 0.022511 , 0.023191 , 0.054894 , 0.035844 , 0.027835 , 0.022829 , 0.030712 , 0.023465 , 0.038159 , 0.041915 , 0.042034 , 0.05144 , 0.03875 , 0.02958 , 0.029462 , 0.029292 , 0.027547 , 0.022 
 445 , 0.023087 , 0.019518 , 0.025112 , 0.029712 , 0.032612 , 0.016187 , 0.023554 , 0.022745 , 0.025216 , 0.017033 , 0.023784 , 0.022731 , 0.023324 , 0.030031 , 0.025898 , 0.016952 , 0.042501 , 0.022894 , 0.04736 , 0.022308 , 0.019214 , 0.016187 , 0.017041 , 0.022204 , 0.027523 , 0.015698 , 0.036099 , 0.035802 , 0.046693 , 0.036522 , 0.031425 , 0.034178 , 0.022783 , 0.02351 , 0.055588 , 0.036314 , 0.028191 , 0.023139 , 0.031062 , 0.02374 , 0.038599 , 0.042308 , 0.042486 , 0.052227 , 0.039311 , 0.029949 , 0.029927 , 0.029652 , 0.027894 , 0.022256 
 446 , 0.023404 , 0.019772 , 0.025443 , 0.030027 , 0.032974 , 0.016379 , 0.023835 , 0.023032 , 0.025495 , 0.01722 , 0.024118 , 0.023032 , 0.023605 , 0.030406 , 0.026247 , 0.017168 , 0.042841 , 0.023166 , 0.047812 , 0.022563 , 0.019445 , 0.016394 , 0.017242 , 0.022481 , 0.027847 , 0.015873 , 0.036546 , 0.036189 , 0.047158 , 0.036896 , 0.031768 , 0.034522 , 0.023047 , 0.023828 , 0.056274 , 0.036776 , 0.028546 , 0.023441 , 0.031404 , 0.024014 , 0.039039 , 0.0427 , 0.042931 , 0.053007 , 0.039872 , 0.030317 , 0.030384 , 0.030012 , 0.028233 , 0.022511 
 447 , 0.023728 , 0.020048 , 0.025751 , 0.030363 , 0.033356 , 0.016607 , 0.024079 , 0.023325 , 0.025818 , 0.017413 , 0.024482 , 0.023317 , 0.023892 , 0.030834 , 0.026602 , 0.017443 , 0.043224 , 0.023489 , 0.048269 , 0.022862 , 0.01972 , 0.016637 , 0.017473 , 0.022795 , 0.028191 , 0.016048 , 0.037006 , 0.036581 , 0.04765 , 0.037253 , 0.032147 , 0.034879 , 0.023362 , 0.024109 , 0.056905 , 0.037245 , 0.028923 , 0.023653 , 0.031737 , 0.024318 , 0.039492 , 0.043089 , 0.043358 , 0.053755 , 0.040425 , 0.030654 , 0.030796 , 0.030371 , 0.028557 , 0.02281 
 448 , 0.02405 , 0.020325 , 0.026055 , 0.0307 , 0.033745 , 0.016839 , 0.024319 , 0.023616 , 0.026137 , 0.017617 , 0.024843 , 0.023601 , 0.024185 , 0.031261 , 0.02696 , 0.017722 , 0.043612 , 0.023811 , 0.048729 , 0.023167 , 0.020003 , 0.016884 , 0.017707 , 0.023115 , 0.028546 , 0.016218 , 0.037463 , 0.036969 , 0.048145 , 0.037605 , 0.032518 , 0.035241 , 0.023684 , 0.024379 , 0.057533 , 0.03771 , 0.029302 , 0.023863 , 0.032077 , 0.024626 , 0.039946 , 0.043485 , 0.043791 , 0.054504 , 0.040979 , 0.030985 , 0.031202 , 0.030723 , 0.028883 , 0.0231 
 449 , 0.024373 , 0.020602 , 0.026352 , 0.03103 , 0.034127 , 0.017063 , 0.02456 , 0.023908 , 0.026457 , 0.017813 , 0.025205 , 0.023886 , 0.024478 , 0.03169 , 0.027312 , 0.017993 , 0.043993 , 0.024133 , 0.049188 , 0.023466 , 0.020287 , 0.017123 , 0.017933 , 0.023436 , 0.028886 , 0.016396 , 0.037928 , 0.037358 , 0.048633 , 0.037958 , 0.032897 , 0.035603 , 0.023998 , 0.02465 , 0.058162 , 0.038167 , 0.029681 , 0.024073 , 0.03241 , 0.024935 , 0.040402 , 0.043873 , 0.044218 , 0.055253 , 0.041534 , 0.031323 , 0.031608 , 0.031083 , 0.029208 , 0.023398 
 450 , 0.024681 , 0.020855 , 0.026666 , 0.03135 , 0.034515 , 0.017269 , 0.024839 , 0.024178 , 0.026764 , 0.017975 , 0.025561 , 0.02417 , 0.024772 , 0.032079 , 0.027643 , 0.018253 , 0.044378 , 0.024426 , 0.049641 , 0.023757 , 0.020546 , 0.017359 , 0.018156 , 0.023727 , 0.029222 , 0.016569 , 0.038379 , 0.037732 , 0.049107 , 0.038326 , 0.033252 , 0.035943 , 0.024275 , 0.024929 , 0.058783 , 0.038589 , 0.030019 , 0.024335 , 0.032748 , 0.025215 , 0.04083 , 0.044205 , 0.044641 , 0.055911 , 0.042018 , 0.031643 , 0.032004 , 0.031417 , 0.029523 , 0.023651 
 451 , 0.02499 , 0.021104 , 0.026994 , 0.031663 , 0.034917 , 0.017466 , 0.025141 , 0.024448 , 0.027062 , 0.018121 , 0.025902 , 0.024456 , 0.025073 , 0.032439 , 0.027973 , 0.018521 , 0.044761 , 0.024704 , 0.050094 , 0.024034 , 0.020788 , 0.017587 , 0.018377 , 0.023996 , 0.029547 , 0.016743 , 0.038834 , 0.038111 , 0.049574 , 0.038713 , 0.033592 , 0.036273 , 0.024546 , 0.025216 , 0.059403 , 0.038977 , 0.030345 , 0.024636 , 0.033079 , 0.02548 , 0.041236 , 0.04449 , 0.045062 , 0.056518 , 0.042472 , 0.031957 , 0.032387 , 0.031746 , 0.029826 , 0.023868 
 452 , 0.0253 , 0.021346 , 0.027315 , 0.031978 , 0.035321 , 0.017657 , 0.025451 , 0.024712 , 0.02736 , 0.018268 , 0.026251 , 0.02475 , 0.025383 , 0.032808 , 0.028303 , 0.018781 , 0.045153 , 0.024983 , 0.050548 , 0.024312 , 0.021037 , 0.017815 , 0.018607 , 0.024274 , 0.029881 , 0.016917 , 0.03929 , 0.03849 , 0.05005 , 0.039094 , 0.033933 , 0.036611 , 0.02481 , 0.025504 , 0.060033 , 0.039365 , 0.030665 , 0.024931 , 0.033412 , 0.025738 , 0.041644 , 0.044776 , 0.045485 , 0.057128 , 0.042927 , 0.032265 , 0.032778 , 0.032076 , 0.03013 , 0.024093 
 453 , 0.025603 , 0.021587 , 0.027623 , 0.032297 , 0.035716 , 0.01785 , 0.025739 , 0.024976 , 0.027653 , 0.01841 , 0.026579 , 0.025044 , 0.025664 , 0.033175 , 0.028629 , 0.01903 , 0.045534 , 0.025263 , 0.05098 , 0.02459 , 0.021277 , 0.01804 , 0.018819 , 0.024552 , 0.030202 , 0.017087 , 0.039748 , 0.038855 , 0.050511 , 0.039468 , 0.034264 , 0.036949 , 0.025074 , 0.025777 , 0.060639 , 0.039755 , 0.030981 , 0.02521 , 0.033727 , 0.025997 , 0.042032 , 0.045088 , 0.045882 , 0.057719 , 0.043371 , 0.032577 , 0.033144 , 0.032396 , 0.030421 , 0.02431 
 454 , 0.025879 , 0.02182 , 0.027856 , 0.032589 , 0.036073 , 0.018025 , 0.025962 , 0.025235 , 0.027924 , 0.018555 , 0.026864 , 0.025341 , 0.025887 , 0.033528 , 0.028939 , 0.019237 , 0.045888 , 0.025508 , 0.051357 , 0.024841 , 0.021494 , 0.01823 , 0.01901 , 0.024841 , 0.030499 , 0.017238 , 0.040163 , 0.039163 , 0.050917 , 0.039769 , 0.034536 , 0.037277 , 0.025319 , 0.026015 , 0.061187 , 0.040095 , 0.031249 , 0.025402 , 0.03396 , 0.026212 , 0.042314 , 0.045442 , 0.046184 , 0.058226 , 0.043722 , 0.032832 , 0.033422 , 0.032635 , 0.030658 , 0.024501 
 455 , 0.026155 , 0.022045 , 0.028089 , 0.032882 , 0.036439 , 0.018208 , 0.026193 , 0.025488 , 0.028195 , 0.018701 , 0.027141 , 0.025647 , 0.02611 , 0.033883 , 0.029249 , 0.019452 , 0.046236 , 0.025753 , 0.051734 , 0.025094 , 0.021704 , 0.01842 , 0.019201 , 0.025124 , 0.030796 , 0.017381 , 0.040587 , 0.03948 , 0.05134 , 0.040071 , 0.034816 , 0.037606 , 0.025564 , 0.026254 , 0.061737 , 0.040435 , 0.031524 , 0.025602 , 0.034186 , 0.026428 , 0.042604 , 0.045804 , 0.046487 , 0.058734 , 0.04409 , 0.033094 , 0.033709 , 0.032882 , 0.030895 , 0.024699 
 456 , 0.02644 , 0.022279 , 0.028331 , 0.033183 , 0.036805 , 0.018391 , 0.026425 , 0.025749 , 0.028475 , 0.018847 , 0.027427 , 0.025962 , 0.026334 , 0.034239 , 0.029561 , 0.019667 , 0.046601 , 0.026007 , 0.052113 , 0.025354 , 0.021922 , 0.018611 , 0.019393 , 0.025415 , 0.031102 , 0.017533 , 0.041012 , 0.039789 , 0.051756 , 0.040382 , 0.035097 , 0.037944 , 0.025817 , 0.026493 , 0.062296 , 0.040784 , 0.031801 , 0.025802 , 0.034428 , 0.026645 , 0.042903 , 0.046168 , 0.046798 , 0.059259 , 0.044459 , 0.033358 , 0.033996 , 0.033137 , 0.031133 , 0.024891 
 457 , 0.026709 , 0.022498 , 0.028586 , 0.033473 , 0.037152 , 0.018553 , 0.02664 , 0.025979 , 0.028746 , 0.018971 , 0.027697 , 0.0262 , 0.026557 , 0.034598 , 0.029848 , 0.019861 , 0.046927 , 0.026253 , 0.052506 , 0.025592 , 0.022133 , 0.018766 , 0.019572 , 0.02566 , 0.031391 , 0.017679 , 0.041401 , 0.040101 , 0.052171 , 0.040694 , 0.035389 , 0.038201 , 0.02604 , 0.026716 , 0.062797 , 0.041097 , 0.032037 , 0.025956 , 0.034674 , 0.026846 , 0.043195 , 0.046425 , 0.047094 , 0.059665 , 0.044776 , 0.033603 , 0.034264 , 0.03339 , 0.031338 , 0.025082 
 458 , 0.026984 , 0.022716 , 0.02884 , 0.033762 , 0.037497 , 0.018714 , 0.026862 , 0.026208 , 0.029015 , 0.019095 , 0.027965 , 0.026436 , 0.026771 , 0.034964 , 0.030126 , 0.020061 , 0.047258 , 0.026497 , 0.052895 , 0.025835 , 0.022343 , 0.01892 , 0.019757 , 0.025904 , 0.031678 , 0.017832 , 0.041796 , 0.040403 , 0.052591 , 0.041004 , 0.035687 , 0.038456 , 0.026269 , 0.026938 , 0.063287 , 0.041408 , 0.032271 , 0.026101 , 0.034926 , 0.027037 , 0.043477 , 0.046657 , 0.047387 , 0.060054 , 0.045074 , 0.033838 , 0.03453 , 0.033633 , 0.031541 , 0.025265 
 459 , 0.027252 , 0.022934 , 0.029102 , 0.034051 , 0.037851 , 0.018876 , 0.027084 , 0.026437 , 0.029285 , 0.019226 , 0.028234 , 0.026673 , 0.027001 , 0.035338 , 0.030412 , 0.020254 , 0.04759 , 0.026749 , 0.053293 , 0.026079 , 0.022554 , 0.019074 , 0.019942 , 0.026148 , 0.031973 , 0.017978 , 0.042191 , 0.040714 , 0.053011 , 0.041323 , 0.035986 , 0.038704 , 0.02649 , 0.02716 , 0.063786 , 0.041719 , 0.032498 , 0.026254 , 0.035178 , 0.027237 , 0.043767 , 0.046897 , 0.047689 , 0.06045 , 0.045389 , 0.034082 , 0.034798 , 0.033884 , 0.031737 , 0.025455 
 460 , 0.027512 , 0.023128 , 0.029342 , 0.034321 , 0.03818 , 0.019033 , 0.027314 , 0.02665 , 0.029533 , 0.01933 , 0.028473 , 0.026917 , 0.027215 , 0.035671 , 0.030677 , 0.020451 , 0.047895 , 0.026978 , 0.053652 , 0.026307 , 0.022762 , 0.019223 , 0.0201 , 0.026399 , 0.03224 , 0.018118 , 0.042572 , 0.041001 , 0.053415 , 0.041619 , 0.036251 , 0.038958 , 0.026681 , 0.027375 , 0.064266 , 0.041985 , 0.03272 , 0.026406 , 0.035389 , 0.027405 , 0.044021 , 0.047117 , 0.047948 , 0.060797 , 0.045668 , 0.034306 , 0.035046 , 0.034093 , 0.031935 , 0.025598 
 461 , 0.027752 , 0.023301 , 0.029569 , 0.03457 , 0.038486 , 0.019186 , 0.027546 , 0.026851 , 0.029752 , 0.019415 , 0.028668 , 0.027164 , 0.027424 , 0.035974 , 0.030913 , 0.020636 , 0.048167 , 0.027172 , 0.053962 , 0.026507 , 0.022942 , 0.019361 , 0.020232 , 0.02666 , 0.032485 , 0.018231 , 0.042922 , 0.04125 , 0.053771 , 0.041891 , 0.036471 , 0.039196 , 0.026828 , 0.027561 , 0.064703 , 0.042212 , 0.032913 , 0.026553 , 0.035562 , 0.02753 , 0.044227 , 0.047312 , 0.048152 , 0.061077 , 0.045899 , 0.034493 , 0.035264 , 0.034264 , 0.032119 , 0.025698 
 462 , 0.028 , 0.023475 , 0.029789 , 0.034819 , 0.038794 , 0.019332 , 0.027779 , 0.027052 , 0.029972 , 0.019492 , 0.028872 , 0.027412 , 0.027633 , 0.036279 , 0.031157 , 0.020822 , 0.048433 , 0.027373 , 0.054281 , 0.026716 , 0.023131 , 0.019508 , 0.020364 , 0.026922 , 0.032732 , 0.018346 , 0.043288 , 0.041507 , 0.054143 , 0.042172 , 0.036699 , 0.039436 , 0.026976 , 0.027748 , 0.065143 , 0.042432 , 0.033106 , 0.026701 , 0.035736 , 0.027664 , 0.044435 , 0.047508 , 0.048364 , 0.061359 , 0.04614 , 0.034689 , 0.035484 , 0.034437 , 0.032304 , 0.025799 
 463 , 0.028241 , 0.023648 , 0.030017 , 0.035077 , 0.039104 , 0.019491 , 0.028004 , 0.027261 , 0.030193 , 0.019583 , 0.029083 , 0.027667 , 0.027843 , 0.036593 , 0.031395 , 0.021007 , 0.048712 , 0.027575 , 0.054599 , 0.026924 , 0.023326 , 0.019652 , 0.020501 , 0.027177 , 0.03298 , 0.018465 , 0.043644 , 0.041768 , 0.054507 , 0.04245 , 0.036922 , 0.039678 , 0.027139 , 0.027935 , 0.065584 , 0.042664 , 0.033301 , 0.02684 , 0.035912 , 0.027797 , 0.044639 , 0.047716 , 0.048574 , 0.061634 , 0.046369 , 0.034878 , 0.035705 , 0.034603 , 0.032482 , 0.025914 
 464 , 0.028429 , 0.023799 , 0.030192 , 0.035312 , 0.039374 , 0.019637 , 0.028114 , 0.027432 , 0.030383 , 0.019668 , 0.029272 , 0.027884 , 0.027999 , 0.036891 , 0.03161 , 0.021147 , 0.048932 , 0.027777 , 0.054872 , 0.02711 , 0.023477 , 0.019775 , 0.020634 , 0.027348 , 0.033189 , 0.018556 , 0.043942 , 0.041957 , 0.05478 , 0.042678 , 0.037105 , 0.039865 , 0.027294 , 0.028045 , 0.065909 , 0.042877 , 0.033441 , 0.026926 , 0.036032 , 0.027923 , 0.044778 , 0.047882 , 0.048725 , 0.061755 , 0.046472 , 0.035013 , 0.035825 , 0.034706 , 0.032583 , 0.02603 
 465 , 0.028617 , 0.023951 , 0.030375 , 0.035555 , 0.039653 , 0.019784 , 0.028233 , 0.027604 , 0.030582 , 0.019753 , 0.029477 , 0.028111 , 0.028149 , 0.037189 , 0.031817 , 0.021288 , 0.049161 , 0.027973 , 0.055139 , 0.02729 , 0.023637 , 0.019907 , 0.020774 , 0.02752 , 0.033398 , 0.018656 , 0.044242 , 0.042154 , 0.055055 , 0.042914 , 0.037289 , 0.040052 , 0.027458 , 0.028157 , 0.066236 , 0.043098 , 0.03359 , 0.027006 , 0.036146 , 0.028042 , 0.044917 , 0.048056 , 0.048877 , 0.061885 , 0.046583 , 0.035156 , 0.035946 , 0.034818 , 0.032692 , 0.026146 
 466 , 0.028814 , 0.024104 , 0.030566 , 0.035799 , 0.039925 , 0.019939 , 0.028345 , 0.027777 , 0.030781 , 0.01984 , 0.029675 , 0.028338 , 0.028307 , 0.037497 , 0.032034 , 0.021438 , 0.049391 , 0.028176 , 0.055423 , 0.027485 , 0.023797 , 0.020039 , 0.020915 , 0.0277 , 0.033609 , 0.018748 , 0.044551 , 0.042353 , 0.055339 , 0.043144 , 0.037474 , 0.040248 , 0.027623 , 0.028269 , 0.066565 , 0.043313 , 0.033732 , 0.027093 , 0.036267 , 0.028169 , 0.045058 , 0.048231 , 0.049038 , 0.062008 , 0.046694 , 0.035292 , 0.036068 , 0.03493 , 0.032794 , 0.026263 
 467 , 0.029 , 0.024255 , 0.030715 , 0.03599 , 0.040189 , 0.020033 , 0.028477 , 0.027939 , 0.030976 , 0.019887 , 0.02983 , 0.028508 , 0.028446 , 0.037713 , 0.032214 , 0.021579 , 0.049571 , 0.028323 , 0.055623 , 0.027654 , 0.023932 , 0.020148 , 0.021048 , 0.027877 , 0.033806 , 0.018833 , 0.044811 , 0.042512 , 0.0556 , 0.043311 , 0.037667 , 0.040389 , 0.027746 , 0.028338 , 0.06682 , 0.04345 , 0.033837 , 0.027123 , 0.036352 , 0.028246 , 0.045134 , 0.048318 , 0.049125 , 0.062083 , 0.046795 , 0.035421 , 0.036183 , 0.035037 , 0.032883 , 0.026316 
 468 , 0.029185 , 0.024404 , 0.030847 , 0.036167 , 0.04044 , 0.020116 , 0.028607 , 0.028084 , 0.031163 , 0.019916 , 0.029978 , 0.028661 , 0.028584 , 0.037907 , 0.032379 , 0.021717 , 0.049724 , 0.028461 , 0.055783 , 0.027814 , 0.02405 , 0.020239 , 0.021163 , 0.028045 , 0.033988 , 0.018915 , 0.045059 , 0.042657 , 0.055836 , 0.043442 , 0.037845 , 0.040517 , 0.027853 , 0.028399 , 0.06703 , 0.04355 , 0.033927 , 0.027121 , 0.036421 , 0.028299 , 0.045174 , 0.048369 , 0.049177 , 0.062126 , 0.046883 , 0.035543 , 0.03629 , 0.035143 , 0.032965 , 0.026352 
 469 , 0.029362 , 0.024553 , 0.030981 , 0.036337 , 0.040699 , 0.020199 , 0.028738 , 0.028229 , 0.031351 , 0.019952 , 0.030118 , 0.028815 , 0.028715 , 0.038094 , 0.032537 , 0.021856 , 0.049885 , 0.028592 , 0.05595 , 0.027975 , 0.024176 , 0.020338 , 0.021286 , 0.028222 , 0.034179 , 0.018989 , 0.0453 , 0.042795 , 0.056089 , 0.043581 , 0.038032 , 0.040637 , 0.027967 , 0.028461 , 0.067248 , 0.04365 , 0.034009 , 0.027127 , 0.036491 , 0.02836 , 0.045215 , 0.048428 , 0.049238 , 0.062169 , 0.046972 , 0.035659 , 0.036398 , 0.035242 , 0.033046 , 0.026388 
 470 , 0.029526 , 0.024679 , 0.031106 , 0.036517 , 0.040925 , 0.020285 , 0.028864 , 0.028363 , 0.031515 , 0.019985 , 0.030251 , 0.028972 , 0.028848 , 0.03829 , 0.032702 , 0.021996 , 0.050051 , 0.028725 , 0.056124 , 0.028116 , 0.024293 , 0.020432 , 0.021403 , 0.028394 , 0.034351 , 0.019068 , 0.04555 , 0.042929 , 0.056317 , 0.043723 , 0.038189 , 0.040764 , 0.02807 , 0.028532 , 0.067469 , 0.043739 , 0.034089 , 0.027176 , 0.036563 , 0.028417 , 0.045249 , 0.048486 , 0.049311 , 0.062213 , 0.047045 , 0.035762 , 0.036502 , 0.035338 , 0.033133 , 0.026428 
 471 , 0.029667 , 0.024764 , 0.031217 , 0.036675 , 0.041109 , 0.020385 , 0.028973 , 0.02848 , 0.031633 , 0.020022 , 0.030361 , 0.029135 , 0.028973 , 0.038487 , 0.032851 , 0.022112 , 0.050214 , 0.028842 , 0.056297 , 0.028233 , 0.024401 , 0.020508 , 0.02151 , 0.028565 , 0.034486 , 0.019143 , 0.045781 , 0.043044 , 0.056505 , 0.043853 , 0.038287 , 0.040877 , 0.028141 , 0.028603 , 0.067653 , 0.043799 , 0.034139 , 0.027262 , 0.036637 , 0.028457 , 0.045241 , 0.048533 , 0.049373 , 0.062241 , 0.047068 , 0.035835 , 0.036591 , 0.035403 , 0.033214 , 0.026468 
 472 , 0.0298 , 0.024849 , 0.031328 , 0.036842 , 0.041292 , 0.020476 , 0.029083 , 0.02859 , 0.031744 , 0.020052 , 0.030471 , 0.029291 , 0.029099 , 0.038685 , 0.033009 , 0.022235 , 0.050377 , 0.02896 , 0.056462 , 0.028343 , 0.024502 , 0.020584 , 0.02161 , 0.028728 , 0.034621 , 0.019219 , 0.046012 , 0.043158 , 0.056686 , 0.043983 , 0.038392 , 0.040991 , 0.028219 , 0.028667 , 0.067845 , 0.043852 , 0.034189 , 0.027356 , 0.036711 , 0.028497 , 0.045241 , 0.048588 , 0.049444 , 0.062262 , 0.047092 , 0.035909 , 0.03668 , 0.035469 , 0.033294 , 0.026507 
 473 , 0.029941 , 0.024936 , 0.03143 , 0.036998 , 0.04148 , 0.02057 , 0.029193 , 0.028699 , 0.031869 , 0.020092 , 0.030589 , 0.029448 , 0.029224 , 0.03888 , 0.033157 , 0.022352 , 0.050534 , 0.029077 , 0.056635 , 0.02846 , 0.024612 , 0.020663 , 0.021712 , 0.028892 , 0.034754 , 0.01929 , 0.046238 , 0.043261 , 0.056874 , 0.044117 , 0.038495 , 0.041094 , 0.028298 , 0.028738 , 0.068027 , 0.043917 , 0.034237 , 0.027434 , 0.036775 , 0.028537 , 0.045236 , 0.048637 , 0.049501 , 0.062281 , 0.04711 , 0.035973 , 0.036767 , 0.035533 , 0.033373 , 0.026547 
 474 , 0.030028 , 0.02501 , 0.031477 , 0.037103 , 0.04162 , 0.020602 , 0.029234 , 0.028764 , 0.031978 , 0.020101 , 0.030675 , 0.029558 , 0.02928 , 0.03903 , 0.033234 , 0.022421 , 0.050591 , 0.029134 , 0.056718 , 0.02854 , 0.024679 , 0.020725 , 0.02175 , 0.02898 , 0.034853 , 0.019299 , 0.046375 , 0.0433 , 0.056957 , 0.044148 , 0.038552 , 0.041088 , 0.028324 , 0.028748 , 0.068094 , 0.043947 , 0.034228 , 0.027346 , 0.036741 , 0.028533 , 0.045188 , 0.048664 , 0.049458 , 0.062198 , 0.047038 , 0.035986 , 0.036779 , 0.035531 , 0.033373 , 0.026583 
 475 , 0.030113 , 0.025083 , 0.031515 , 0.0372 , 0.041745 , 0.02063 , 0.029266 , 0.028819 , 0.032085 , 0.020098 , 0.03076 , 0.029658 , 0.029327 , 0.039172 , 0.03331 , 0.022487 , 0.050635 , 0.029196 , 0.05679 , 0.028618 , 0.024736 , 0.020784 , 0.021785 , 0.029065 , 0.034951 , 0.019313 , 0.046514 , 0.043332 , 0.057037 , 0.04418 , 0.038602 , 0.041083 , 0.028341 , 0.028749 , 0.068145 , 0.043979 , 0.034219 , 0.027255 , 0.036707 , 0.028526 , 0.045135 , 0.048686 , 0.049403 , 0.062106 , 0.046961 , 0.035998 , 0.036792 , 0.035521 , 0.033364 , 0.026608 
