  time  ,28:22 AM,28:33 AM,28:45 AM,28:54 AM,29:05 AM,30:29 AM,30:42 AM,30:54 AM,31:04 AM,31:18 AM,32:22 AM,32:32 AM,32:43 AM,32:54 AM,33:03 AM,33:35 AM,33:45 AM,33:57 AM,34:06 AM,34:16 AM,35:44 AM,35:56 AM,36:07 AM,36:17 AM,36:25 AM,37:15 AM,37:28 AM,37:42 AM,37:54 AM,38:05 AM,38:53 AM,39:05 AM,39:18 AM,39:28 AM,39:42 AM,40:23 AM,40:33 AM,40:44 AM,40:56 AM,41:11 AM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 316 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 317 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 318 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 319 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 320 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 321 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 322 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 323 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 324 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 325 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 326 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 327 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 328 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 329 , 0 , 0 , 0.000473 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000512 , 0.00175 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001435 , 0.000745 , 0 , 0.002798 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 330 , 0 , 0 , 0.000891 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000955 , 0.003238 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002705 , 0.001391 , 0 , 0.00532 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 331 , 0 , 0 , 0.001251 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001326 , 0.004463 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003792 , 0.001934 , 0 , 0.007522 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 332 , 0 , 0 , 0.002224 , 0.00045 , 0.000337 , 0 , 0 , 0 , 0 , 0 , 0.000111 , 0.002091 , 0.005515 , 0.000459 , 0.000116 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000115 , 0 , 0.000337 , 0 , 0.000345 , 0 , 0.005185 , 0.002841 , 0.001182 , 0.008757 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 333 , 0 , 0 , 0.003506 , 0.001144 , 0.000853 , 0 , 0 , 0 , 0 , 0 , 0.000283 , 0.00303 , 0.00643 , 0.001152 , 0.00029 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000292 , 0 , 0.000853 , 0 , 0.00087 , 0 , 0.006685 , 0.003911 , 0.002966 , 0.00935 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 334 , 0 , 0 , 0.004618 , 0.001751 , 0.0013 , 0 , 0 , 0 , 0 , 0 , 0.000432 , 0.00382 , 0.007222 , 0.001744 , 0.000437 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000445 , 0 , 0.0013 , 0 , 0.001321 , 0 , 0.007983 , 0.004829 , 0.004484 , 0.009849 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 335 , 0.000129 , 0.000096 , 0.005572 , 0.002432 , 0.001745 , 0 , 0 , 0 , 0 , 0 , 0.000811 , 0.004614 , 0.007951 , 0.002434 , 0.000749 , 0.000356 , 0 , 0 , 0 , 0.000223 , 0.000062 , 0.000895 , 0 , 0.001809 , 0.000252 , 0.001927 , 0.000292 , 0.009081 , 0.005696 , 0.005707 , 0.010415 , 0 , 0 , 0 , 0.000097 , 0 , 0 , 0 , 0 , 0 
 336 , 0.000712 , 0.000528 , 0.006326 , 0.003557 , 0.002314 , 0 , 0 , 0 , 0 , 0 , 0.002045 , 0.00573 , 0.00872 , 0.00369 , 0.001703 , 0.001964 , 0 , 0 , 0 , 0.001228 , 0.000347 , 0.002441 , 0 , 0.002676 , 0.001396 , 0.003238 , 0.001633 , 0.009893 , 0.006701 , 0.006452 , 0.011413 , 0 , 0 , 0 , 0.000534 , 0 , 0 , 0 , 0 , 0 
 337 , 0.001209 , 0.000896 , 0.006972 , 0.004523 , 0.002791 , 0 , 0 , 0 , 0 , 0 , 0.003104 , 0.006678 , 0.009348 , 0.004769 , 0.002528 , 0.003332 , 0 , 0 , 0 , 0.002085 , 0.000593 , 0.003757 , 0 , 0.00342 , 0.002378 , 0.004363 , 0.002808 , 0.010586 , 0.007546 , 0.007082 , 0.012278 , 0 , 0 , 0 , 0.000906 , 0 , 0 , 0 , 0 , 0 
 338 , 0.001636 , 0.001213 , 0.007532 , 0.00536 , 0.003196 , 0 , 0 , 0 , 0 , 0 , 0.004023 , 0.007492 , 0.009867 , 0.005704 , 0.003249 , 0.004509 , 0 , 0 , 0 , 0.002822 , 0.000808 , 0.004888 , 0 , 0.004066 , 0.003229 , 0.005338 , 0.00385 , 0.011184 , 0.008264 , 0.007621 , 0.013035 , 0 , 0 , 0 , 0.001227 , 0 , 0 , 0 , 0 , 0 
 339 , 0.003247 , 0.002631 , 0.009263 , 0.006843 , 0.004768 , 0 , 0 , 0.000769 , 0.001556 , 0.000878 , 0.005577 , 0.009065 , 0.011635 , 0.006967 , 0.005319 , 0.006306 , 0.001454 , 0.000602 , 0 , 0.004522 , 0.002443 , 0.006557 , 0.000299 , 0.00548 , 0.004936 , 0.007037 , 0.005839 , 0.012951 , 0.00975 , 0.009314 , 0.014533 , 0.000698 , 0 , 0 , 0.002766 , 0.001171 , 0.00164 , 0.000683 , 0.000777 , 0.001631 
 340 , 0.004861 , 0.004072 , 0.011014 , 0.008226 , 0.006379 , 0 , 0 , 0.001583 , 0.003223 , 0.001813 , 0.00707 , 0.010607 , 0.013446 , 0.008149 , 0.00739 , 0.008012 , 0.003003 , 0.001235 , 0 , 0.00619 , 0.00415 , 0.008145 , 0.00061 , 0.006869 , 0.0066 , 0.008673 , 0.007753 , 0.014733 , 0.011174 , 0.011002 , 0.015994 , 0.001442 , 0 , 0 , 0.004342 , 0.00241 , 0.003409 , 0.001411 , 0.0016 , 0.003327 
 341 , 0.006255 , 0.005324 , 0.01256 , 0.009391 , 0.007802 , 0 , 0 , 0.002296 , 0.004704 , 0.002638 , 0.008377 , 0.011967 , 0.01506 , 0.009184 , 0.009204 , 0.009505 , 0.004369 , 0.001784 , 0 , 0.007639 , 0.005656 , 0.009547 , 0.000876 , 0.008086 , 0.008058 , 0.010106 , 0.009412 , 0.016304 , 0.01239 , 0.012468 , 0.017272 , 0.002097 , 0 , 0 , 0.005723 , 0.003495 , 0.004992 , 0.002053 , 0.00232 , 0.004784 
 342 , 0.007071 , 0.006162 , 0.013464 , 0.010201 , 0.008562 , 0 , 0 , 0.002659 , 0.005362 , 0.003082 , 0.00925 , 0.012695 , 0.015853 , 0.009913 , 0.010229 , 0.010281 , 0.005346 , 0.002294 , 0 , 0.008483 , 0.006601 , 0.010438 , 0.00119 , 0.008938 , 0.00893 , 0.010942 , 0.010372 , 0.017224 , 0.013266 , 0.013281 , 0.017939 , 0.002563 , 0 , 0.000089 , 0.006561 , 0.004131 , 0.006059 , 0.00259 , 0.002682 , 0.005635 
 343 , 0.007329 , 0.0066 , 0.013722 , 0.010695 , 0.008655 , 0 , 0 , 0.002672 , 0.005183 , 0.003142 , 0.00969 , 0.012783 , 0.015809 , 0.01034 , 0.01047 , 0.010342 , 0.005939 , 0.002765 , 0 , 0.008734 , 0.006982 , 0.010813 , 0.001556 , 0.009429 , 0.00922 , 0.011184 , 0.010641 , 0.017487 , 0.013836 , 0.013453 , 0.017999 , 0.002838 , 0 , 0.000266 , 0.006863 , 0.004322 , 0.006596 , 0.003015 , 0.002688 , 0.005905 
 344 , 0.007552 , 0.006989 , 0.013937 , 0.011131 , 0.008736 , 0 , 0 , 0.002684 , 0.005025 , 0.003192 , 0.010068 , 0.01285 , 0.015759 , 0.01071 , 0.010678 , 0.010392 , 0.006464 , 0.003171 , 0 , 0.008951 , 0.007313 , 0.011133 , 0.001874 , 0.009855 , 0.009467 , 0.011388 , 0.010852 , 0.017709 , 0.01435 , 0.013594 , 0.01805 , 0.003072 , 0 , 0.000419 , 0.007126 , 0.004487 , 0.007067 , 0.003376 , 0.002691 , 0.006144 
 345 , 0.007798 , 0.007368 , 0.014167 , 0.011557 , 0.008876 , 0.000005 , 0.00005 , 0.002761 , 0.004951 , 0.003296 , 0.010425 , 0.012974 , 0.015778 , 0.011094 , 0.01093 , 0.010505 , 0.006953 , 0.00357 , 0.00006 , 0.009202 , 0.007659 , 0.011459 , 0.002199 , 0.010282 , 0.009741 , 0.011641 , 0.011066 , 0.017948 , 0.014847 , 0.013778 , 0.018134 , 0.003324 , 0.000067 , 0.000597 , 0.007399 , 0.004685 , 0.007521 , 0.003738 , 0.002768 , 0.006399 
 346 , 0.008637 , 0.008094 , 0.014926 , 0.012403 , 0.009859 , 0.000076 , 0.00072 , 0.003669 , 0.005714 , 0.004154 , 0.011075 , 0.013985 , 0.01667 , 0.012163 , 0.012024 , 0.011497 , 0.007632 , 0.004495 , 0.000854 , 0.010189 , 0.008635 , 0.012367 , 0.003063 , 0.011291 , 0.010727 , 0.012813 , 0.011767 , 0.018763 , 0.015696 , 0.014759 , 0.018734 , 0.004138 , 0.000952 , 0.001309 , 0.008197 , 0.005525 , 0.008383 , 0.004707 , 0.00377 , 0.00716 
 347 , 0.009363 , 0.008717 , 0.015585 , 0.013148 , 0.01071 , 0.000139 , 0.001305 , 0.004455 , 0.006373 , 0.004893 , 0.011646 , 0.014858 , 0.017454 , 0.013087 , 0.01297 , 0.012339 , 0.008208 , 0.005296 , 0.001544 , 0.011011 , 0.009485 , 0.013151 , 0.003813 , 0.01217 , 0.011574 , 0.013858 , 0.012372 , 0.019454 , 0.016434 , 0.015583 , 0.019247 , 0.004848 , 0.001724 , 0.001933 , 0.008865 , 0.006248 , 0.009116 , 0.005553 , 0.00465 , 0.007815 
 348 , 0.009997 , 0.009255 , 0.016164 , 0.01381 , 0.011453 , 0.000195 , 0.001819 , 0.005143 , 0.006949 , 0.005536 , 0.012152 , 0.015618 , 0.018149 , 0.013892 , 0.013794 , 0.01306 , 0.008701 , 0.005997 , 0.002149 , 0.011701 , 0.010233 , 0.013833 , 0.004469 , 0.012943 , 0.012306 , 0.014799 , 0.012899 , 0.020044 , 0.017083 , 0.016282 , 0.019689 , 0.005472 , 0.002404 , 0.002485 , 0.00943 , 0.006874 , 0.009745 , 0.006299 , 0.005428 , 0.008383 
 349 , 0.010708 , 0.009968 , 0.017017 , 0.014557 , 0.012212 , 0.000829 , 0.002477 , 0.005883 , 0.007633 , 0.006302 , 0.013024 , 0.016279 , 0.018768 , 0.014733 , 0.014435 , 0.013859 , 0.009577 , 0.006858 , 0.002848 , 0.012406 , 0.011064 , 0.01453 , 0.00512 , 0.013764 , 0.012963 , 0.01555 , 0.013768 , 0.020658 , 0.017834 , 0.017073 , 0.020285 , 0.006117 , 0.003097 , 0.003209 , 0.010222 , 0.007705 , 0.010473 , 0.007043 , 0.006277 , 0.009144 
 350 , 0.011391 , 0.010703 , 0.01792 , 0.015286 , 0.012934 , 0.00163 , 0.003136 , 0.006594 , 0.008311 , 0.007059 , 0.013958 , 0.016849 , 0.019306 , 0.015543 , 0.014959 , 0.014637 , 0.010545 , 0.007717 , 0.003537 , 0.013081 , 0.011876 , 0.015183 , 0.005722 , 0.014539 , 0.013552 , 0.016163 , 0.014684 , 0.02122 , 0.018574 , 0.017856 , 0.0209 , 0.006717 , 0.003755 , 0.003936 , 0.011059 , 0.008561 , 0.01119 , 0.007727 , 0.007079 , 0.009927 
 351 , 0.01199 , 0.011367 , 0.018735 , 0.015939 , 0.013586 , 0.002347 , 0.00372 , 0.007231 , 0.008919 , 0.007728 , 0.014783 , 0.017346 , 0.019774 , 0.01628 , 0.015416 , 0.015334 , 0.011424 , 0.008483 , 0.004155 , 0.013692 , 0.012608 , 0.015763 , 0.006254 , 0.015222 , 0.014081 , 0.01669 , 0.015481 , 0.021695 , 0.019237 , 0.018566 , 0.02145 , 0.007244 , 0.004351 , 0.004574 , 0.01182 , 0.009333 , 0.011826 , 0.008328 , 0.007778 , 0.01063 
 352 , 0.012349 , 0.011802 , 0.019158 , 0.01632 , 0.014063 , 0.002777 , 0.004114 , 0.007584 , 0.009275 , 0.008066 , 0.015263 , 0.01764 , 0.020086 , 0.016685 , 0.015748 , 0.015774 , 0.011943 , 0.008874 , 0.004518 , 0.014129 , 0.013032 , 0.016186 , 0.006619 , 0.015682 , 0.014446 , 0.017022 , 0.015948 , 0.021935 , 0.019667 , 0.01905 , 0.021752 , 0.007621 , 0.004715 , 0.004961 , 0.012319 , 0.009763 , 0.012201 , 0.008709 , 0.008188 , 0.011087 
 353 , 0.012323 , 0.011861 , 0.018906 , 0.016243 , 0.014267 , 0.002728 , 0.004218 , 0.007462 , 0.00921 , 0.007845 , 0.015177 , 0.017613 , 0.020171 , 0.016507 , 0.015911 , 0.015795 , 0.011845 , 0.008635 , 0.004457 , 0.014289 , 0.012935 , 0.016377 , 0.006729 , 0.015798 , 0.014551 , 0.017059 , 0.015894 , 0.021806 , 0.019718 , 0.019165 , 0.021634 , 0.007784 , 0.004687 , 0.004946 , 0.012377 , 0.00961 , 0.012143 , 0.008744 , 0.00814 , 0.011143 
 354 , 0.012301 , 0.011914 , 0.018671 , 0.016169 , 0.014456 , 0.002682 , 0.004314 , 0.007348 , 0.009149 , 0.00764 , 0.015097 , 0.017586 , 0.020249 , 0.01634 , 0.016063 , 0.015811 , 0.011754 , 0.008414 , 0.0044 , 0.014435 , 0.012843 , 0.016553 , 0.006831 , 0.015909 , 0.014647 , 0.017094 , 0.015843 , 0.021685 , 0.019766 , 0.019273 , 0.021521 , 0.007937 , 0.00466 , 0.004931 , 0.012428 , 0.009467 , 0.012088 , 0.008776 , 0.008094 , 0.011194 
 355 , 0.01228 , 0.011962 , 0.018451 , 0.0161 , 0.014632 , 0.00264 , 0.004404 , 0.007242 , 0.00909 , 0.007449 , 0.015023 , 0.01756 , 0.02032 , 0.016184 , 0.016208 , 0.015824 , 0.011668 , 0.008209 , 0.004347 , 0.01457 , 0.012756 , 0.016714 , 0.006927 , 0.016013 , 0.014734 , 0.017126 , 0.015794 , 0.02157 , 0.01981 , 0.019373 , 0.021415 , 0.008081 , 0.004635 , 0.004917 , 0.012474 , 0.009335 , 0.012036 , 0.008806 , 0.00805 , 0.011242 
 356 , 0.012778 , 0.012591 , 0.019002 , 0.016575 , 0.015156 , 0.003099 , 0.004899 , 0.007738 , 0.009561 , 0.008117 , 0.01551 , 0.018165 , 0.020707 , 0.01677 , 0.016522 , 0.016396 , 0.012138 , 0.008883 , 0.004873 , 0.014999 , 0.013375 , 0.017207 , 0.007475 , 0.016539 , 0.01539 , 0.017738 , 0.016478 , 0.022384 , 0.020354 , 0.019962 , 0.021813 , 0.008471 , 0.005203 , 0.005561 , 0.012985 , 0.010063 , 0.012765 , 0.0094 , 0.0086 , 0.011874 
 357 , 0.013272 , 0.013218 , 0.019563 , 0.017048 , 0.015666 , 0.003554 , 0.00539 , 0.00824 , 0.010031 , 0.008791 , 0.015993 , 0.018775 , 0.02109 , 0.017359 , 0.016825 , 0.016968 , 0.012604 , 0.009575 , 0.005401 , 0.015421 , 0.013998 , 0.017689 , 0.008012 , 0.017055 , 0.01604 , 0.018345 , 0.017166 , 0.023212 , 0.02089 , 0.020543 , 0.02221 , 0.008852 , 0.005769 , 0.006201 , 0.013491 , 0.010797 , 0.013501 , 0.009997 , 0.009153 , 0.012507 
 358 , 0.013736 , 0.013815 , 0.020095 , 0.017492 , 0.016146 , 0.00398 , 0.005856 , 0.00872 , 0.010477 , 0.009429 , 0.016444 , 0.019357 , 0.021452 , 0.017916 , 0.017109 , 0.017514 , 0.013039 , 0.010239 , 0.005903 , 0.015824 , 0.014589 , 0.018145 , 0.008516 , 0.01754 , 0.016657 , 0.018918 , 0.017823 , 0.024007 , 0.021395 , 0.021092 , 0.02258 , 0.009212 , 0.006303 , 0.006807 , 0.01397 , 0.011494 , 0.014205 , 0.010565 , 0.009677 , 0.013109 
 359 , 0.014002 , 0.014195 , 0.020372 , 0.017814 , 0.016379 , 0.004267 , 0.006036 , 0.008943 , 0.010688 , 0.009714 , 0.016752 , 0.019788 , 0.021773 , 0.018291 , 0.017426 , 0.017787 , 0.013322 , 0.010607 , 0.006204 , 0.01613 , 0.014989 , 0.018337 , 0.008907 , 0.017757 , 0.016952 , 0.019261 , 0.018231 , 0.024272 , 0.021682 , 0.0214 , 0.022783 , 0.009432 , 0.006525 , 0.007141 , 0.014274 , 0.011788 , 0.014428 , 0.01093 , 0.010053 , 0.013444 
 360 , 0.014126 , 0.014413 , 0.020464 , 0.018048 , 0.016438 , 0.004458 , 0.006014 , 0.008981 , 0.010731 , 0.009749 , 0.016958 , 0.020098 , 0.022055 , 0.018532 , 0.01776 , 0.017863 , 0.013496 , 0.010756 , 0.006359 , 0.01636 , 0.015248 , 0.018341 , 0.009215 , 0.017784 , 0.017014 , 0.019436 , 0.018458 , 0.024156 , 0.021811 , 0.021537 , 0.022867 , 0.009549 , 0.006526 , 0.007284 , 0.014453 , 0.011796 , 0.01431 , 0.011145 , 0.010314 , 0.013585 
 361 , 0.014243 , 0.014616 , 0.020546 , 0.01827 , 0.016492 , 0.004637 , 0.005993 , 0.009018 , 0.010771 , 0.009781 , 0.017151 , 0.020386 , 0.022316 , 0.018757 , 0.018074 , 0.01793 , 0.013657 , 0.010893 , 0.006504 , 0.016573 , 0.015492 , 0.018343 , 0.009508 , 0.017807 , 0.017069 , 0.019598 , 0.018671 , 0.024042 , 0.021928 , 0.021664 , 0.022945 , 0.009655 , 0.006526 , 0.00742 , 0.014622 , 0.011804 , 0.014198 , 0.011348 , 0.010555 , 0.013718 
 362 , 0.014346 , 0.014754 , 0.020588 , 0.018419 , 0.016524 , 0.004726 , 0.005991 , 0.009045 , 0.010787 , 0.009797 , 0.017274 , 0.020607 , 0.022541 , 0.018931 , 0.018321 , 0.018034 , 0.013786 , 0.010965 , 0.006607 , 0.016738 , 0.015674 , 0.01837 , 0.009725 , 0.017859 , 0.017082 , 0.019724 , 0.018844 , 0.023968 , 0.022039 , 0.021786 , 0.022986 , 0.009722 , 0.006512 , 0.007533 , 0.014747 , 0.01182 , 0.014147 , 0.011482 , 0.010695 , 0.013803 
 363 , 0.014417 , 0.014674 , 0.020511 , 0.018312 , 0.016481 , 0.004495 , 0.006056 , 0.009043 , 0.010731 , 0.009757 , 0.017168 , 0.020635 , 0.022683 , 0.01895 , 0.018358 , 0.01831 , 0.013828 , 0.010814 , 0.006579 , 0.016759 , 0.015661 , 0.018504 , 0.009688 , 0.018042 , 0.016956 , 0.019745 , 0.018895 , 0.024057 , 0.022164 , 0.021913 , 0.022898 , 0.009667 , 0.006447 , 0.007568 , 0.01472 , 0.011866 , 0.014318 , 0.011383 , 0.010505 , 0.013725 
