  time  ,:28:33 A,:28:19 A,:28:09 A,:27:56 A,:27:47 A,:26:59 A,:26:46 A,:26:32 A,:26:20 A,:26:11 A,:25:25 A,:25:12 A,:25:01 A,:24:50 A,:24:41 A,:23:56 A,:23:46 A,:23:37 A,:23:25 A,:23:10 A,:21:43 A,:21:34 A,:21:25 A,:21:16 A,:21:06 A,:20:35 A,:20:25 A,:20:14 A,:19:52 A,:19:39 A,:18:46 A,:18:34 A,:18:26 A,:18:17 A,:18:07 A,:17:30 A,:17:19 A,:17:11 A,:17:03 A,:16:54 A,:13:54 A,:13:43 A,:13:29 A,:13:19 A,:13:09 A,:12:12 A,:12:01 A,:11:51 A,:11:41 A,:11:32 A,:10:37 A,:10:18 A,:10:07 A,:09:54 A,:09:41 A,:07:24 A,:07:01 A,:06:51 A,:06:41 A,:06:29 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 316 , 0 , 0 , 0 , 0 , 0 , 0.003672 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 317 , 0 , 0 , 0 , 0 , 0 , 0.003362 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 318 , 0 , 0 , 0 , 0 , 0 , 0.003688 , 0 , 0 , 0 , 0.000091 , 0 , 0 , 0.000095 , 0.000287 , 0.000195 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000227 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000084 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000075 , 0 , 0 , 0.00007 , 0 , 0.00007 
 319 , 0 , 0 , 0 , 0 , 0 , 0.008369 , 0 , 0 , 0 , 0.000849 , 0 , 0 , 0.000882 , 0.002662 , 0.001796 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.0021 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000801 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000705 , 0 , 0 , 0.000653 , 0 , 0.00066 
 320 , 0 , 0 , 0 , 0 , 0 , 0.011689 , 0 , 0 , 0 , 0.001402 , 0 , 0 , 0.001463 , 0.004368 , 0.002929 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003419 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001349 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001167 , 0 , 0 , 0.001082 , 0 , 0.001096 
 321 , 0 , 0 , 0 , 0 , 0 , 0.014097 , 0 , 0 , 0 , 0.001814 , 0 , 0 , 0.0019 , 0.005622 , 0.003752 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.004368 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001779 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001515 , 0 , 0 , 0.001408 , 0 , 0.001425 
 322 , 0.006072 , 0.002452 , 0.004632 , 0.005615 , 0.004701 , 0.019637 , 0.002128 , 0.005313 , 0.002858 , 0.007111 , 0.006426 , 0.005782 , 0.008644 , 0.013078 , 0.010598 , 0.004762 , 0.004769 , 0.002705 , 0.004963 , 0.003087 , 0.008034 , 0.00244 , 0.002805 , 0.003839 , 0.003749 , 0.007292 , 0.00708 , 0.007547 , 0.003091 , 0.002186 , 0.010158 , 0.001307 , 0.001312 , 0.003475 , 0.000433 , 0.004685 , 0.002913 , 0.005859 , 0.001628 , 0.002421 , 0.003507 , 0.008381 , 0.004835 , 0.003357 , 0.005843 , 0.002294 , 0.002642 , 0.003893 , 0.003301 , 0.00291 , 0.003706 , 0.002549 , 0.00327 , 0.003376 , 0.005718 , 0.003247 , 0.00432 , 0.006418 , 0.003181 , 0.005592 
 323 , 0.01259 , 0.005131 , 0.00973 , 0.01175 , 0.009874 , 0.025156 , 0.004451 , 0.011258 , 0.006005 , 0.012735 , 0.013558 , 0.012135 , 0.016004 , 0.020808 , 0.017846 , 0.00999 , 0.009815 , 0.005704 , 0.010509 , 0.006478 , 0.0171 , 0.005167 , 0.005942 , 0.008214 , 0.007782 , 0.015364 , 0.014996 , 0.01583 , 0.006471 , 0.004553 , 0.016187 , 0.002767 , 0.002792 , 0.007279 , 0.000914 , 0.009868 , 0.006201 , 0.012281 , 0.003413 , 0.005077 , 0.007307 , 0.015356 , 0.010118 , 0.007116 , 0.012435 , 0.004823 , 0.005601 , 0.008253 , 0.006969 , 0.006097 , 0.007885 , 0.005342 , 0.006824 , 0.007025 , 0.010333 , 0.006861 , 0.009066 , 0.011912 , 0.006653 , 0.010028 
 324 , 0.017544 , 0.007212 , 0.013729 , 0.016514 , 0.013929 , 0.029545 , 0.006255 , 0.016022 , 0.008474 , 0.01705 , 0.019212 , 0.017106 , 0.021833 , 0.026725 , 0.023459 , 0.014075 , 0.013579 , 0.008077 , 0.014946 , 0.009131 , 0.024442 , 0.007348 , 0.008452 , 0.011802 , 0.010852 , 0.021746 , 0.021331 , 0.022306 , 0.009105 , 0.006373 , 0.020819 , 0.003934 , 0.003991 , 0.010243 , 0.001292 , 0.01396 , 0.008863 , 0.017291 , 0.004806 , 0.007152 , 0.01023 , 0.020659 , 0.014225 , 0.010129 , 0.017774 , 0.006813 , 0.007973 , 0.01175 , 0.009882 , 0.00858 , 0.01127 , 0.007519 , 0.009566 , 0.009823 , 0.01404 , 0.009736 , 0.012779 , 0.016289 , 0.009345 , 0.013441 
 325 , 0.019854 , 0.008298 , 0.015383 , 0.018256 , 0.015457 , 0.032085 , 0.007197 , 0.017777 , 0.009673 , 0.019093 , 0.022156 , 0.019498 , 0.025069 , 0.029818 , 0.026139 , 0.016575 , 0.016008 , 0.009387 , 0.016725 , 0.010641 , 0.027872 , 0.009566 , 0.009883 , 0.012918 , 0.012285 , 0.024741 , 0.023639 , 0.024766 , 0.010708 , 0.007235 , 0.023586 , 0.004832 , 0.004432 , 0.011941 , 0.00159 , 0.015738 , 0.0099 , 0.019497 , 0.005369 , 0.00809 , 0.011716 , 0.023207 , 0.016343 , 0.011334 , 0.020711 , 0.007615 , 0.008996 , 0.01323 , 0.011094 , 0.009661 , 0.012977 , 0.008362 , 0.010717 , 0.010933 , 0.015962 , 0.011161 , 0.014606 , 0.018177 , 0.010568 , 0.01489 
