  time  ,:02:24 P,:02:54 P,:03:12 P,:03:39 P,:03:57 P,:04:47 P,:04:59 P,:05:16 P,:05:30 P,:05:44 P,:06:27 P,:06:46 P,:07:00 P,:07:18 P,:07:38 P,:07:56 P,:08:14 P,:08:30 P,:08:43 P,:08:53 P,:09:37 P,:09:57 P,:10:14 P,:10:27 P,:10:40 P,:11:28 P,:11:46 P,:12:07 P,:12:23 P,:12:43 P
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 320 , 0.014154 , 0.012159 , 0.010459 , 0.008749 , 0.012932 , 0.010998 , 0.014118 , 0.020503 , 0.016464 , 0.010016 , 0.014185 , 0.022628 , 0.015864 , 0.015478 , 0.020994 , 0.011725 , 0.016905 , 0.012492 , 0.01792 , 0.014546 , 0.024205 , 0.017814 , 0.013633 , 0.032467 , 0.033857 , 0.01656 , 0.018728 , 0.018102 , 0.016511 , 0.016724 
 321 , 0.01262 , 0.011249 , 0.00981 , 0.006975 , 0.011294 , 0.010689 , 0.011406 , 0.01876 , 0.014032 , 0.008125 , 0.012032 , 0.021797 , 0.014277 , 0.014926 , 0.019345 , 0.011884 , 0.015064 , 0.012882 , 0.016255 , 0.013381 , 0.022534 , 0.016311 , 0.012531 , 0.031106 , 0.032817 , 0.014899 , 0.017862 , 0.016576 , 0.015151 , 0.01446 
 322 , 0.014783 , 0.014591 , 0.012285 , 0.009154 , 0.014059 , 0.01247 , 0.012555 , 0.020801 , 0.015752 , 0.009541 , 0.014394 , 0.023073 , 0.01616 , 0.01685 , 0.020688 , 0.014131 , 0.016567 , 0.01413 , 0.018008 , 0.014859 , 0.023858 , 0.017408 , 0.01392 , 0.032793 , 0.034234 , 0.015956 , 0.018881 , 0.017199 , 0.016346 , 0.016069 
 323 , 0.017517 , 0.018501 , 0.015151 , 0.012062 , 0.017482 , 0.014474 , 0.014466 , 0.02357 , 0.018226 , 0.011602 , 0.017548 , 0.024708 , 0.018713 , 0.01914 , 0.022554 , 0.016543 , 0.018692 , 0.015389 , 0.020332 , 0.016766 , 0.025781 , 0.019043 , 0.015719 , 0.035061 , 0.036094 , 0.017559 , 0.020203 , 0.018292 , 0.018037 , 0.018427 
 324 , 0.019608 , 0.021568 , 0.017372 , 0.014398 , 0.020104 , 0.016008 , 0.015884 , 0.02582 , 0.020091 , 0.013223 , 0.02 , 0.026003 , 0.020779 , 0.020974 , 0.023954 , 0.018421 , 0.020348 , 0.016371 , 0.022091 , 0.018231 , 0.027309 , 0.020361 , 0.017107 , 0.036904 , 0.037583 , 0.018813 , 0.021202 , 0.01915 , 0.019382 , 0.02025 
 325 , 0.020179 , 0.022314 , 0.017622 , 0.015028 , 0.02069 , 0.016084 , 0.015893 , 0.02611 , 0.020345 , 0.013271 , 0.020459 , 0.025752 , 0.020776 , 0.021243 , 0.024096 , 0.018493 , 0.020778 , 0.01637 , 0.022467 , 0.018283 , 0.027422 , 0.020353 , 0.016902 , 0.037219 , 0.037883 , 0.01877 , 0.020657 , 0.019002 , 0.018976 , 0.020454 
 326 , 0.018745 , 0.019951 , 0.015181 , 0.013312 , 0.018556 , 0.014152 , 0.013984 , 0.023649 , 0.018467 , 0.011125 , 0.018252 , 0.023304 , 0.017865 , 0.019334 , 0.022533 , 0.016029 , 0.019566 , 0.014997 , 0.021022 , 0.016378 , 0.02555 , 0.018467 , 0.014471 , 0.035394 , 0.03654 , 0.016911 , 0.017905 , 0.017431 , 0.016086 , 0.018446 
 327 , 0.017592 , 0.018036 , 0.013198 , 0.01192 , 0.016823 , 0.012579 , 0.012429 , 0.021653 , 0.016944 , 0.00938 , 0.016466 , 0.02132 , 0.015516 , 0.017787 , 0.021282 , 0.014014 , 0.018591 , 0.013886 , 0.019855 , 0.01483 , 0.02404 , 0.016937 , 0.012499 , 0.033926 , 0.035467 , 0.015403 , 0.015669 , 0.016158 , 0.013751 , 0.016818 
 328 , 0.016645 , 0.016452 , 0.011556 , 0.010767 , 0.015383 , 0.011269 , 0.011136 , 0.019999 , 0.015684 , 0.007933 , 0.014993 , 0.019678 , 0.013585 , 0.016507 , 0.020259 , 0.012331 , 0.017792 , 0.012969 , 0.018892 , 0.013545 , 0.022797 , 0.015671 , 0.010868 , 0.032721 , 0.034588 , 0.014154 , 0.013813 , 0.015106 , 0.011829 , 0.015471 
 329 , 0.017235 , 0.016983 , 0.012496 , 0.011429 , 0.015491 , 0.011262 , 0.011694 , 0.019949 , 0.015566 , 0.008498 , 0.015985 , 0.019894 , 0.014405 , 0.017082 , 0.020377 , 0.013079 , 0.017252 , 0.013158 , 0.019313 , 0.01374 , 0.023133 , 0.01595 , 0.011631 , 0.033265 , 0.033812 , 0.0142 , 0.01404 , 0.015741 , 0.012735 , 0.015966 
