WSG1_00004.spu,WSG1_00003.spu,WSG1_00002.spu,WSG1_00001.spu,WSG1_00000.spu,
Wavelength,WSG1_00005.spu,WSG1_00006.spu,WSG1_00007.spu,WSG1_00008.spu,WSG1_00009.spu,WSG1_00010.spu,WSG1_00011.spu,WSG1_00012.spu,WSG1_00013.spu,WSG1_00014.spu,WSG1_00015.spu,WSG1_00016.spu,WSG1_00017.spu,WSG1_00018.spu,WSG1_00019.spu,WSG1_00020.spu,WSG1_00021.spu,WSG1_00022.spu,WSG1_00023.spu,WSG1_00024.spu,WSG1_00025.spu,WSG1_00026.spu,WSG1_00027.spu,WSG1_00028.spu,WSG1_00029.spu
  (nm),6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 
  time  ,31:56 PM,32:04 PM,32:14 PM,32:22 PM,32:37 PM,33:17 PM,33:26 PM,33:37 PM,33:44 PM,33:53 PM,34:50 PM,35:01 PM,35:09 PM,35:20 PM,35:28 PM,36:01 PM,36:10 PM,36:16 PM,36:23 PM,36:32 PM,37:08 PM,37:19 PM,37:35 PM,37:48 PM,37:57 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.053213 , 0.060472 , 0.064108 , 0.06794 , 0.07047 , 0.105296 , 0.080952 , 0.069461 , 0.083388 , 0.080244 , 0.085925 , 0.075418 , 0.064813 , 0.07309 , 0.075708 , 0.082027 , 0.062046 , 0.067695 , 0.067514 , 0.074786 , 0.074116 , 0.063501 , 0.06163 , 0.072822 , 0.070361 
 311 , 0.047729 , 0.056178 , 0.053514 , 0.060416 , 0.061046 , 0.104606 , 0.078051 , 0.056019 , 0.07932 , 0.074244 , 0.068127 , 0.064098 , 0.055684 , 0.070791 , 0.077226 , 0.073631 , 0.05473 , 0.061891 , 0.056649 , 0.070914 , 0.069525 , 0.052944 , 0.065761 , 0.062335 , 0.060658 
 312 , 0.04909 , 0.052849 , 0.054303 , 0.058421 , 0.061565 , 0.095172 , 0.072143 , 0.055159 , 0.073138 , 0.069409 , 0.068456 , 0.066896 , 0.056224 , 0.06198 , 0.065646 , 0.071979 , 0.054458 , 0.060111 , 0.053189 , 0.068787 , 0.064023 , 0.052752 , 0.064605 , 0.060117 , 0.060496 
 313 , 0.051078 , 0.050214 , 0.05644 , 0.057415 , 0.063193 , 0.086129 , 0.066888 , 0.056033 , 0.067788 , 0.065394 , 0.070904 , 0.071132 , 0.057775 , 0.054013 , 0.054325 , 0.071422 , 0.055049 , 0.059126 , 0.051181 , 0.067169 , 0.059274 , 0.053778 , 0.062958 , 0.059324 , 0.061515 
 314 , 0.052661 , 0.048003 , 0.058283 , 0.056415 , 0.064467 , 0.078591 , 0.062483 , 0.056704 , 0.063304 , 0.062047 , 0.072734 , 0.074829 , 0.058917 , 0.04748 , 0.044936 , 0.070892 , 0.055416 , 0.058172 , 0.049474 , 0.065827 , 0.055308 , 0.05449 , 0.061498 , 0.058461 , 0.062282 
 315 , 0.049844 , 0.044339 , 0.055914 , 0.052749 , 0.061544 , 0.070347 , 0.058765 , 0.055187 , 0.058341 , 0.058218 , 0.071611 , 0.071093 , 0.056467 , 0.044774 , 0.03989 , 0.066004 , 0.052184 , 0.054213 , 0.046773 , 0.06262 , 0.052059 , 0.053045 , 0.058666 , 0.05493 , 0.059923 
