  time  ,00:20 AM,00:10 AM,00:01 AM,59:48 AM,59:36 AM,58:57 AM,58:46 AM,58:27 AM,58:15 AM,58:02 AM,57:14 AM,57:04 AM,56:54 AM,56:45 AM,56:36 AM,56:17 AM,56:04 AM,55:52 AM,55:41 AM,55:17 AM,54:28 AM,54:17 AM,54:05 AM,53:51 AM,53:39 AM,52:58 AM,52:44 AM,52:31 AM,52:16 AM,52:05 AM,49:46 AM,49:35 AM,49:23 AM,49:08 AM,48:55 AM,47:49 AM,47:36 AM,47:15 AM,46:52 AM,46:40 AM,46:11 AM,46:00 AM,45:45 AM,45:28 AM,45:13 AM,44:12 AM,44:02 AM,43:51 AM,43:28 AM,43:11 AM,42:28 AM,42:12 AM,41:59 AM,41:43 AM,41:27 AM,40:39 AM,40:26 AM,40:15 AM,39:57 AM,39:40 AM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 316 , 0.06989 , 0.061805 , 0.069679 , 0.068123 , 0.069697 , 0.074357 , 0.088169 , 0.062542 , 0.074752 , 0.070639 , 0.059158 , 0.064674 , 0.068544 , 0.059199 , 0.061954 , 0.074608 , 0.063888 , 0.067047 , 0.066389 , 0.063888 , 0.053831 , 0.056724 , 0.066529 , 0.061533 , 0.057859 , 0.087458 , 0.065093 , 0.069413 , 0.083176 , 0.079596 , 0.070139 , 0.08162 , 0.078385 , 0.065859 , 0.061755 , 0.066813 , 0.059558 , 0.063572 , 0.064344 , 0.056938 , 0.071785 , 0.071241 , 0.054551 , 0.068603 , 0.070563 , 0.054083 , 0.064467 , 0.067351 , 0.064104 , 0.067597 , 0.070332 , 0.060682 , 0.069208 , 0.068878 , 0.063812 , 0.065616 , 0.060494 , 0.062103 , 0.060512 , 0.057736 
 317 , 0.067274 , 0.056633 , 0.065122 , 0.063591 , 0.063535 , 0.069033 , 0.083717 , 0.058998 , 0.068911 , 0.066596 , 0.056086 , 0.061643 , 0.06409 , 0.05587 , 0.058105 , 0.069857 , 0.060061 , 0.064252 , 0.063705 , 0.060061 , 0.050821 , 0.053317 , 0.0635 , 0.057335 , 0.050678 , 0.080461 , 0.061473 , 0.065568 , 0.07855 , 0.076916 , 0.069379 , 0.077742 , 0.074128 , 0.060561 , 0.058416 , 0.062467 , 0.056083 , 0.059283 , 0.058759 , 0.056678 , 0.071906 , 0.068234 , 0.055493 , 0.063538 , 0.063336 , 0.054401 , 0.058302 , 0.063447 , 0.058339 , 0.0632 , 0.066495 , 0.057521 , 0.063001 , 0.064117 , 0.058677 , 0.061002 , 0.0551 , 0.053712 , 0.056538 , 0.057555 
 318 , 0.06482 , 0.052592 , 0.061166 , 0.059679 , 0.058588 , 0.064541 , 0.079774 , 0.055711 , 0.064176 , 0.063153 , 0.053294 , 0.059076 , 0.060464 , 0.052806 , 0.054805 , 0.065836 , 0.056948 , 0.061776 , 0.061127 , 0.056909 , 0.048228 , 0.050621 , 0.060709 , 0.053828 , 0.04505 , 0.07468 , 0.058185 , 0.062048 , 0.074665 , 0.074505 , 0.067998 , 0.073892 , 0.07035 , 0.056316 , 0.055539 , 0.058787 , 0.052747 , 0.05577 , 0.054237 , 0.055806 , 0.070576 , 0.065797 , 0.055745 , 0.059174 , 0.0574 , 0.054086 , 0.053357 , 0.060031 , 0.053678 , 0.059448 , 0.063037 , 0.054798 , 0.057866 , 0.060031 , 0.054586 , 0.05707 , 0.050867 , 0.047157 , 0.053328 , 0.056839 
 319 , 0.060023 , 0.050536 , 0.055979 , 0.054692 , 0.055025 , 0.059492 , 0.074045 , 0.049949 , 0.060267 , 0.059054 , 0.048769 , 0.055733 , 0.057429 , 0.047498 , 0.050901 , 0.061421 , 0.054185 , 0.058124 , 0.055802 , 0.05392 , 0.045122 , 0.048786 , 0.055821 , 0.05031 , 0.042139 , 0.069393 , 0.052979 , 0.056091 , 0.070401 , 0.070649 , 0.060696 , 0.065215 , 0.064807 , 0.052983 , 0.051948 , 0.054874 , 0.046069 , 0.052951 , 0.051009 , 0.050364 , 0.058693 , 0.063825 , 0.051768 , 0.053629 , 0.052386 , 0.049149 , 0.049727 , 0.055424 , 0.050061 , 0.055059 , 0.057522 , 0.051205 , 0.053244 , 0.055182 , 0.051859 , 0.052597 , 0.048678 , 0.043842 , 0.050584 , 0.052012 
 320 , 0.056352 , 0.048966 , 0.051984 , 0.050854 , 0.05228 , 0.055616 , 0.069629 , 0.045501 , 0.057295 , 0.05591 , 0.045277 , 0.05325 , 0.055097 , 0.043405 , 0.04788 , 0.058006 , 0.052109 , 0.055318 , 0.051703 , 0.051639 , 0.042705 , 0.047442 , 0.052056 , 0.0476 , 0.0399 , 0.065309 , 0.048954 , 0.051497 , 0.067146 , 0.0677 , 0.055062 , 0.058517 , 0.060532 , 0.050456 , 0.049178 , 0.051832 , 0.040915 , 0.050743 , 0.048488 , 0.046154 , 0.049601 , 0.062334 , 0.048673 , 0.04935 , 0.0485 , 0.045342 , 0.046932 , 0.051863 , 0.04729 , 0.051678 , 0.05327 , 0.048467 , 0.049665 , 0.051432 , 0.04977 , 0.049133 , 0.047004 , 0.04132 , 0.048527 , 0.048255 
 321 , 0.05346 , 0.047732 , 0.048815 , 0.047809 , 0.050102 , 0.052553 , 0.066122 , 0.041964 , 0.054971 , 0.053426 , 0.042499 , 0.051363 , 0.053254 , 0.040152 , 0.045471 , 0.055278 , 0.050504 , 0.053097 , 0.048454 , 0.049849 , 0.040769 , 0.046435 , 0.049065 , 0.045453 , 0.038125 , 0.062057 , 0.045745 , 0.047846 , 0.064593 , 0.065371 , 0.050586 , 0.053188 , 0.057134 , 0.048484 , 0.046975 , 0.049394 , 0.036817 , 0.04896 , 0.046458 , 0.042802 , 0.042433 , 0.06117 , 0.046189 , 0.045948 , 0.0454 , 0.042314 , 0.044712 , 0.049027 , 0.045104 , 0.048995 , 0.049893 , 0.046321 , 0.046811 , 0.048441 , 0.048122 , 0.046371 , 0.045681 , 0.039349 , 0.046948 , 0.045239 
 322 , 0.049418 , 0.044512 , 0.045291 , 0.044451 , 0.04655 , 0.048703 , 0.059653 , 0.038304 , 0.050452 , 0.049569 , 0.039853 , 0.046826 , 0.049544 , 0.037508 , 0.043405 , 0.05298 , 0.047444 , 0.050354 , 0.045562 , 0.047019 , 0.038916 , 0.043884 , 0.045428 , 0.042999 , 0.035569 , 0.058961 , 0.042606 , 0.043874 , 0.061692 , 0.061024 , 0.048286 , 0.049558 , 0.053644 , 0.045541 , 0.043339 , 0.045711 , 0.03566 , 0.046719 , 0.043752 , 0.040708 , 0.041504 , 0.057447 , 0.041543 , 0.043168 , 0.043069 , 0.040209 , 0.041425 , 0.045127 , 0.042785 , 0.046421 , 0.045587 , 0.043678 , 0.043703 , 0.044742 , 0.045234 , 0.04449 , 0.04349 , 0.03841 , 0.043268 , 0.041192 
 323 , 0.045739 , 0.041283 , 0.042251 , 0.041552 , 0.043208 , 0.045283 , 0.053467 , 0.035211 , 0.046104 , 0.04598 , 0.037674 , 0.042368 , 0.045941 , 0.035456 , 0.041777 , 0.051162 , 0.0445 , 0.047916 , 0.043233 , 0.044375 , 0.03738 , 0.041338 , 0.042214 , 0.040854 , 0.033218 , 0.056388 , 0.039993 , 0.040468 , 0.059146 , 0.056842 , 0.046951 , 0.046977 , 0.050697 , 0.042824 , 0.039915 , 0.042285 , 0.035502 , 0.044703 , 0.04131 , 0.039295 , 0.042424 , 0.053649 , 0.037068 , 0.041009 , 0.041315 , 0.038698 , 0.038389 , 0.041578 , 0.040819 , 0.044269 , 0.041744 , 0.041335 , 0.041025 , 0.041449 , 0.042491 , 0.043141 , 0.041406 , 0.037904 , 0.039645 , 0.037502 
 324 , 0.042806 , 0.038725 , 0.039838 , 0.039223 , 0.040551 , 0.04258 , 0.048582 , 0.032769 , 0.042648 , 0.043145 , 0.035951 , 0.038826 , 0.043095 , 0.033814 , 0.040509 , 0.049717 , 0.042163 , 0.04597 , 0.041356 , 0.042271 , 0.036159 , 0.039305 , 0.039666 , 0.039133 , 0.031348 , 0.054315 , 0.037935 , 0.037759 , 0.05707 , 0.053514 , 0.045877 , 0.044915 , 0.048359 , 0.040658 , 0.037207 , 0.039555 , 0.035396 , 0.043095 , 0.039411 , 0.038194 , 0.043206 , 0.050651 , 0.03354 , 0.039306 , 0.039929 , 0.037505 , 0.035987 , 0.038799 , 0.039266 , 0.042508 , 0.038692 , 0.039461 , 0.038902 , 0.038835 , 0.040328 , 0.042058 , 0.039719 , 0.037484 , 0.036788 , 0.034616 
 325 , 0.040624 , 0.036619 , 0.038039 , 0.03746 , 0.038395 , 0.040195 , 0.0453 , 0.030682 , 0.040086 , 0.041008 , 0.03429 , 0.036269 , 0.040987 , 0.032116 , 0.038739 , 0.048218 , 0.04037 , 0.044236 , 0.039842 , 0.040652 , 0.034763 , 0.037486 , 0.037677 , 0.037418 , 0.029678 , 0.052586 , 0.035873 , 0.035639 , 0.055518 , 0.051224 , 0.044378 , 0.042869 , 0.046095 , 0.038868 , 0.035301 , 0.037357 , 0.034029 , 0.040971 , 0.03801 , 0.037062 , 0.042401 , 0.048615 , 0.03172 , 0.037543 , 0.038381 , 0.035974 , 0.034208 , 0.036602 , 0.037585 , 0.040775 , 0.036511 , 0.037564 , 0.037019 , 0.036905 , 0.038294 , 0.040896 , 0.038092 , 0.0361 , 0.034149 , 0.032813 
