  time  ,3:31 PM",3:44 PM",3:55 PM",4:05 PM",4:18 PM",5:02 PM",5:12 PM",5:29 PM",5:40 PM",5:49 PM",6:40 PM",6:49 PM",6:58 PM",7:09 PM",7:19 PM",7:42 PM",7:52 PM",8:08 PM",8:18 PM",8:27 PM",9:51 PM",0:04 PM",0:21 PM",0:30 PM",0:41 PM",1:06 PM",1:21 PM",1:34 PM",1:42 PM",1:51 PM",2:09 PM",2:19 PM",2:27 PM",2:43 PM",2:52 PM",3:34 PM",3:43 PM",3:52 PM",4:01 PM",4:08 PM"
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 321 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.013658 , 0.001924 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 322 , 0 , 0 , 0.003193 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000296 , 0 , 0.00118 , 0 , 0.002016 , 0.000358 , 0 , 0.0153 , 0.003771 , 0.001637 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000397 , 0 , 0.001119 , 0 , 0 , 0 , 0 , 0.001148 , 0 , 0 , 0.000993 , 0.00033 , 0 
 323 , 0 , 0 , 0.006692 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000615 , 0 , 0.002466 , 0 , 0.004153 , 0.000751 , 0 , 0.016426 , 0.005716 , 0.00343 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000832 , 0 , 0.00237 , 0 , 0 , 0 , 0 , 0.0024 , 0 , 0 , 0.002083 , 0.000689 , 0 
 324 , 0 , 0 , 0.009426 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000858 , 0 , 0.003464 , 0 , 0.005752 , 0.001058 , 0 , 0.017333 , 0.007281 , 0.00483 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001172 , 0 , 0.003373 , 0 , 0 , 0 , 0 , 0.003372 , 0 , 0 , 0.002937 , 0.000967 , 0 
 325 , 0 , 0 , 0.012644 , 0.000283 , 0.000144 , 0 , 0 , 0 , 0 , 0 , 0.000948 , 0 , 0.003464 , 0 , 0.006495 , 0.001646 , 0 , 0.018262 , 0.008772 , 0.005664 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001571 , 0 , 0.003401 , 0 , 0 , 0.000212 , 0 , 0.003869 , 0.000598 , 0.000442 , 0.003615 , 0.001181 , 0 
 326 , 0 , 0 , 0.017025 , 0.001003 , 0.000511 , 0 , 0 , 0 , 0 , 0 , 0.000847 , 0 , 0.002082 , 0 , 0.006222 , 0.002719 , 0 , 0.019322 , 0.010324 , 0.005835 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002112 , 0 , 0.002048 , 0 , 0 , 0.000746 , 0 , 0.003779 , 0.002099 , 0.001568 , 0.004149 , 0.00134 , 0 
 327 , 0 , 0 , 0.020633 , 0.001592 , 0.000811 , 0 , 0 , 0 , 0 , 0 , 0.000767 , 0 , 0.000962 , 0 , 0.006008 , 0.003607 , 0 , 0.020146 , 0.011587 , 0.005975 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002558 , 0 , 0.000947 , 0 , 0 , 0.001173 , 0 , 0.003711 , 0.003301 , 0.002491 , 0.004598 , 0.001468 , 0 
 328 , 0 , 0 , 0.023661 , 0.002085 , 0.001061 , 0 , 0 , 0 , 0 , 0 , 0.000699 , 0 , 0.000034 , 0 , 0.005835 , 0.004356 , 0 , 0.020799 , 0.012636 , 0.006089 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002934 , 0 , 0.000033 , 0 , 0 , 0.001524 , 0 , 0.003657 , 0.004282 , 0.003264 , 0.00498 , 0.001573 , 0 
 329 , 0.001413 , 0.001005 , 0.024725 , 0.005327 , 0.003665 , 0.000289 , 0 , 0 , 0.001006 , 0.001318 , 0.002248 , 0.001139 , 0.001885 , 0.00178 , 0.006534 , 0.005335 , 0.001621 , 0.022901 , 0.013944 , 0.008135 , 0 , 0 , 0 , 0 , 0 , 0.001366 , 0.000262 , 0.004939 , 0.000481 , 0.001175 , 0 , 0.001185 , 0.00281 , 0.000933 , 0.00438 , 0.003924 , 0.004551 , 0.006159 , 0.002656 , 0.001202 
 330 , 0.002645 , 0.001855 , 0.025459 , 0.008034 , 0.005844 , 0.000543 , 0 , 0 , 0.001827 , 0.002455 , 0.0036 , 0.002114 , 0.003538 , 0.00334 , 0.007122 , 0.006132 , 0.003022 , 0.024592 , 0.015044 , 0.009878 , 0 , 0 , 0 , 0 , 0 , 0.002566 , 0.000488 , 0.006649 , 0.000905 , 0.002172 , 0 , 0.002231 , 0.003943 , 0.001751 , 0.004978 , 0.003578 , 0.005647 , 0.007119 , 0.003599 , 0.002237 
