MNAT_00094.spu,MNAT_00093.spu,MNAT_00092.spu,MNAT_00091.spu,MNAT_00090.spu,
Wavelength,MNAT_00089.spu,MNAT_00088.spu,MNAT_00087.spu,MNAT_00086.spu,MNAT_00085.spu,MNAT_00084.spu,MNAT_00083.spu,MNAT_00082.spu,MNAT_00081.spu,MNAT_00080.spu,MNAT_00079.spu,MNAT_00078.spu,MNAT_00077.spu,MNAT_00076.spu,MNAT_00075.spu,MNAT_00074.spu,MNAT_00073.spu,MNAT_00072.spu,MNAT_00071.spu,MNAT_00070.spu,MNAT_00069.spu,MNAT_00068.spu,MNAT_00067.spu,MNAT_00066.spu,MNAT_00065.spu,MNAT_00064.spu,MNAT_00063.spu,MNAT_00062.spu,MNAT_00061.spu,MNAT_00060.spu
  (nm),6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 
  time  ,:37:46 A,:37:37 A,:37:27 A,:37:16 A,:37:07 A,:36:28 A,:36:18 A,:36:09 A,:36:01 A,:35:47 A,:34:50 A,:34:42 A,:34:34 A,:34:26 A,:34:18 A,:33:59 A,:33:48 A,:33:39 A,:33:25 A,:33:14 A,:32:36 A,:32:26 A,:32:17 A,:32:09 A,:32:01 A,:31:21 A,:31:09 A,:30:56 A,:30:47 A,:30:39 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.022725 , 0.032012 , 0.02199 , 0.038826 , 0.025221 , 0.035283 , 0.031856 , 0.037473 , 0.038531 , 0.042061 , 0.033398 , 0.035819 , 0.022756 , 0.032666 , 0.029388 , 0.039738 , 0.042356 , 0.033286 , 0.029303 , 0.031103 , 0.071787 , 0.065583 , 0.069587 , 0.077788 , 0.06956 , 0.037155 , 0.032666 , 0.029679 , 0.041878 , 0.041898 
 311 , 0.023782 , 0.027412 , 0.02241 , 0.034079 , 0.023837 , 0.037873 , 0.030027 , 0.03756 , 0.039297 , 0.04263 , 0.030478 , 0.036035 , 0.020569 , 0.032754 , 0.030034 , 0.040145 , 0.040416 , 0.030472 , 0.026563 , 0.02942 , 0.072406 , 0.064391 , 0.069879 , 0.07476 , 0.068616 , 0.033279 , 0.032754 , 0.030054 , 0.040714 , 0.039623 
 312 , 0.023281 , 0.02912 , 0.019855 , 0.032519 , 0.022325 , 0.037174 , 0.027368 , 0.036497 , 0.037603 , 0.040185 , 0.029748 , 0.035806 , 0.020089 , 0.029859 , 0.028191 , 0.038974 , 0.039581 , 0.02921 , 0.027686 , 0.026752 , 0.068538 , 0.06004 , 0.066549 , 0.07096 , 0.064526 , 0.033002 , 0.033002 , 0.027494 , 0.041669 , 0.037931 
 313 , 0.022671 , 0.031372 , 0.0173 , 0.031618 , 0.021039 , 0.036148 , 0.025003 , 0.035455 , 0.035862 , 0.037757 , 0.029397 , 0.035558 , 0.019898 , 0.027048 , 0.026347 , 0.037757 , 0.039026 , 0.028347 , 0.029095 , 0.024377 , 0.064691 , 0.056009 , 0.063287 , 0.067669 , 0.060669 , 0.033222 , 0.033222 , 0.02497 , 0.042729 , 0.036571 
 314 , 0.022126 , 0.03326 , 0.015152 , 0.030825 , 0.019944 , 0.035261 , 0.023013 , 0.034541 , 0.034382 , 0.035688 , 0.029075 , 0.035303 , 0.019723 , 0.024687 , 0.024785 , 0.036702 , 0.038513 , 0.027614 , 0.030238 , 0.022375 , 0.061433 , 0.0526 , 0.060533 , 0.064867 , 0.057413 , 0.033389 , 0.033389 , 0.022848 , 0.043567 , 0.03539 
 315 , 0.022227 , 0.03211 , 0.015275 , 0.029486 , 0.019255 , 0.03465 , 0.022307 , 0.032869 , 0.032256 , 0.034201 , 0.028626 , 0.032585 , 0.019147 , 0.023542 , 0.023888 , 0.035134 , 0.037239 , 0.027259 , 0.030698 , 0.021802 , 0.058 , 0.049815 , 0.056696 , 0.061448 , 0.054393 , 0.032524 , 0.032284 , 0.022227 , 0.042426 , 0.033684 
