  time  ,21:28 PM,21:54 PM,22:08 PM,22:23 PM,22:45 PM,23:39 PM,24:04 PM,24:26 PM,24:48 PM,25:06 PM,26:03 PM,26:18 PM,26:32 PM,26:47 PM,27:15 PM,27:57 PM,28:27 PM,28:46 PM,29:02 PM,29:21 PM,31:05 PM,31:17 PM,31:32 PM,31:51 PM,32:05 PM,32:34 PM,32:46 PM,32:58 PM,33:09 PM,33:19 PM,33:42 PM,33:53 PM,34:06 PM,34:25 PM,34:38 PM,35:21 PM,35:33 PM,35:44 PM,36:01 PM,36:16 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 320 , 0 , 0.001406 , 0.005923 , 0.006343 , 0 , 0 , 0 , 0.005377 , 0.005012 , 0.008436 , 0 , 0 , 0.00101 , 0 , 0.00114 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 321 , 0 , 0.001875 , 0.007002 , 0.006044 , 0 , 0 , 0 , 0.005145 , 0.005073 , 0.00915 , 0 , 0 , 0.000911 , 0 , 0.001518 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 322 , 0.002042 , 0.002885 , 0.008537 , 0.007043 , 0.000647 , 0.000202 , 0.000183 , 0.006266 , 0.007057 , 0.009579 , 0.000872 , 0.00101 , 0.002625 , 0.0014 , 0.002787 , 0 , 0.003155 , 0.001356 , 0.001998 , 0.000407 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000387 
 323 , 0.004249 , 0.003842 , 0.009885 , 0.008214 , 0.001346 , 0.000418 , 0.000378 , 0.007525 , 0.009151 , 0.00984 , 0.001808 , 0.002089 , 0.004522 , 0.002917 , 0.004035 , 0 , 0.006568 , 0.00284 , 0.004159 , 0.000844 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000797 
 324 , 0.00595 , 0.004568 , 0.010895 , 0.009127 , 0.001884 , 0.00058 , 0.000525 , 0.008476 , 0.010725 , 0.010018 , 0.002522 , 0.002908 , 0.006003 , 0.004086 , 0.004972 , 0 , 0.009199 , 0.004003 , 0.005825 , 0.001179 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001104 
 325 , 0.006874 , 0.005599 , 0.011775 , 0.009935 , 0.002516 , 0.001222 , 0.001336 , 0.009747 , 0.011795 , 0.010584 , 0.003274 , 0.003745 , 0.007105 , 0.004976 , 0.005696 , 0 , 0.011332 , 0.005211 , 0.007255 , 0.002162 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000395 , 0.00061 , 0.000266 , 0.00021 , 0.000272 , 0.000341 , 0.000208 , 0 , 0 , 0.000493 , 0.000187 , 0 , 0.00012 , 0.001837 
 326 , 0.006869 , 0.007275 , 0.012655 , 0.010725 , 0.003393 , 0.002672 , 0.003224 , 0.011722 , 0.012381 , 0.011817 , 0.004224 , 0.004779 , 0.007855 , 0.005631 , 0.006279 , 0 , 0.013144 , 0.006685 , 0.008623 , 0.004242 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001429 , 0.00221 , 0.000956 , 0.000758 , 0.000985 , 0.001211 , 0.000746 , 0 , 0 , 0.001777 , 0.000672 , 0 , 0.000438 , 0.003318 
 327 , 0.006887 , 0.008727 , 0.01345 , 0.01141 , 0.00413 , 0.003906 , 0.004808 , 0.013431 , 0.012921 , 0.012905 , 0.005033 , 0.005673 , 0.008506 , 0.00619 , 0.006793 , 0 , 0.014701 , 0.00794 , 0.009813 , 0.006 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002311 , 0.003586 , 0.001537 , 0.001225 , 0.001593 , 0.001929 , 0.001203 , 0 , 0 , 0.002871 , 0.001083 , 0 , 0.000714 , 0.004574 
 328 , 0.006918 , 0.010007 , 0.014175 , 0.012011 , 0.004761 , 0.004976 , 0.006163 , 0.014934 , 0.013422 , 0.013879 , 0.005733 , 0.00646 , 0.009079 , 0.006676 , 0.007253 , 0 , 0.01606 , 0.009028 , 0.010864 , 0.007514 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003081 , 0.00479 , 0.002036 , 0.001631 , 0.002121 , 0.002534 , 0.001598 , 0 , 0 , 0.003819 , 0.001437 , 0 , 0.000958 , 0.005659 
 329 , 0.007103 , 0.009615 , 0.014335 , 0.010993 , 0.004698 , 0.004711 , 0.005101 , 0.014278 , 0.013282 , 0.013321 , 0.005826 , 0.006295 , 0.008688 , 0.006421 , 0.007 , 0 , 0.01582 , 0.009253 , 0.010802 , 0.006673 , 0 , 0.000134 , 0 , 0 , 0 , 0.0011 , 0.002592 , 0.005095 , 0.002463 , 0.002325 , 0.002518 , 0.002647 , 0.001739 , 0 , 0 , 0.004042 , 0.001447 , 0 , 0.001001 , 0.005224 
