JUL21WSG100005.spu,
Wavelength,JUL21WSG100006.spu,JUL21WSG100007.spu,JUL21WSG100008.spu,JUL21WSG100009.spu,JUL21WSG100010.spu,JUL21WSG100011.spu,JUL21WSG100012.spu,JUL21WSG100013.spu,JUL21WSG100014.spu,JUL21WSG100015.spu,JUL21WSG100016.spu,JUL21WSG100017.spu,JUL21WSG100018.spu,JUL21WSG100019.spu,JUL21WSG100020.spu,JUL21WSG100021.spu,JUL21WSG100022.spu,JUL21WSG100023.spu,JUL21WSG100024.spu,JUL21WSG100025.spu
  (nm),7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 
  time  ,:53:59 A,:54:10 A,:54:22 A,:54:31 A,:54:40 A,:55:04 A,:55:14 A,:55:21 A,:55:29 A,:55:35 A,:55:59 A,:56:04 A,:56:10 A,:56:17 A,:56:32 A,:57:16 A,:57:23 A,:57:28 A,:57:34 A,:57:40 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 338 , 0.005579 , 0 , 0.002654 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003807 , 0.005094 , 0.00221 , 0 , 0.00397 
 339 , 0.006816 , 0.000134 , 0.004732 , 0 , 0 , 0 , 0.000668 , 0 , 0.000047 , 0.000509 , 0 , 0 , 0 , 0.001008 , 0 , 0.005305 , 0.006221 , 0.003394 , 0.000485 , 0.00525 
 340 , 0.00778 , 0.00027 , 0.007099 , 0 , 0 , 0 , 0.001444 , 0 , 0.0001 , 0.001054 , 0 , 0 , 0 , 0.002165 , 0 , 0.006478 , 0.007072 , 0.004742 , 0.001038 , 0.006563 
 341 , 0.008644 , 0.000383 , 0.009268 , 0 , 0 , 0 , 0.002178 , 0 , 0.000148 , 0.001535 , 0 , 0 , 0 , 0.003253 , 0 , 0.007388 , 0.007795 , 0.006088 , 0.001554 , 0.007663 
 342 , 0.009901 , 0.000957 , 0.010378 , 0.00058 , 0.000145 , 0 , 0.002773 , 0.000288 , 0.000671 , 0.001923 , 0.000096 , 0.000068 , 0.000376 , 0.004308 , 0 , 0.007736 , 0.008688 , 0.007718 , 0.002237 , 0.00863 
 343 , 0.011663 , 0.001967 , 0.010418 , 0.001799 , 0.000448 , 0 , 0.003169 , 0.000785 , 0.001766 , 0.002182 , 0.000265 , 0.000211 , 0.0012 , 0.005334 , 0 , 0.007615 , 0.009791 , 0.009732 , 0.003096 , 0.009474 
 344 , 0.013364 , 0.00282 , 0.010447 , 0.00293 , 0.00073 , 0 , 0.003483 , 0.00115 , 0.00284 , 0.00237 , 0.000393 , 0.000344 , 0.00201 , 0.006289 , 0 , 0.007521 , 0.010794 , 0.011786 , 0.003877 , 0.010184 
 345 , 0.014859 , 0.003537 , 0.010513 , 0.004015 , 0.001015 , 0.000099 , 0.003754 , 0.001497 , 0.003827 , 0.002593 , 0.00053 , 0.000518 , 0.002822 , 0.007181 , 0.000018 , 0.007565 , 0.011664 , 0.013622 , 0.004577 , 0.010904 
 346 , 0.014735 , 0.003972 , 0.011052 , 0.00543 , 0.001569 , 0.00136 , 0.004141 , 0.002636 , 0.003981 , 0.003734 , 0.00113 , 0.001276 , 0.003799 , 0.008049 , 0.000243 , 0.00896 , 0.011999 , 0.013004 , 0.005045 , 0.012843 
 347 , 0.014621 , 0.004402 , 0.011475 , 0.006758 , 0.002018 , 0.00239 , 0.004491 , 0.003704 , 0.004098 , 0.004712 , 0.001688 , 0.001932 , 0.004725 , 0.008761 , 0.00042 , 0.010247 , 0.012269 , 0.012544 , 0.00546 , 0.014928 
