 310 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 311 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 312 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 313 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 320 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 
 321 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 
 322 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 
 323 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 
 324 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 
 325 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 
 326 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 
 327 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 
 328 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 0 , 1.913371 , 1.913371 , 1.913371 , 1.913371 
 329 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 0.039405 , 3.788449 , 3.788449 , 3.788449 , 3.788449 
 330 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 0.047178 , 4.421191 , 4.421191 , 4.421191 , 4.421191 
