  time  ,45:09 PM,45:17 PM,45:23 PM,45:31 PM,45:36 PM,46:51 PM,46:58 PM,47:04 PM,47:10 PM,47:21 PM,47:42 PM,47:48 PM,47:55 PM,48:03 PM,48:10 PM,48:58 PM,49:04 PM,49:11 PM,49:17 PM,49:25 PM,49:54 PM,50:00 PM,50:06 PM,50:12 PM,50:22 PM,50:54 PM,51:01 PM,51:08 PM,51:17 PM,51:24 PM,52:31 PM,52:37 PM,52:43 PM,52:49 PM,52:56 PM,53:31 PM,53:38 PM,53:46 PM,53:52 PM,53:59 PM,55:01 PM,55:07 PM,55:16 PM,55:22 PM,55:28 PM,55:45 PM,55:52 PM,55:59 PM,56:05 PM,56:11 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 316 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 
 317 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 
 318 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 
 319 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 
 320 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 
 321 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 
 322 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 
 323 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 
 324 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 
 325 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 
