JUL12DH00005.spu,JUL12DH00004.spu,JUL12DH00003.spu,
Wavelength,JUL12DH00066.spu,JUL12DH00067.spu,JUL12DH00068.spu,JUL12DH00069.spu,JUL12DH00070.spu,JUL12DH00071.spu,JUL12DH00072.spu,JUL12DH00073.spu,JUL12DH00074.spu,JUL12DH00075.spu,JUL12DH00076.spu,JUL12DH00077.spu,JUL12DH00078.spu,JUL12DH00079.spu,JUL12DH00080.spu,JUL12DH00081.spu,JUL12DH00082.spu,JUL12DH00083.spu,JUL12DH00084.spu,JUL12DH00085.spu,JUL12DH00086.spu,JUL12DH00087.spu,JUL12DH00088.spu,JUL12DH00089.spu,JUL12DH00090.spu,JUL12DH00091.spu,JUL12DH00092.spu,JUL12DH00093.spu,JUL12DH00094.spu,JUL12DH00095.spu,JUL12DH00096.spu,JUL12DH00097.spu,JUL12DH00098.spu,JUL12DH00099.spu,JUL12DH00100.spu
 316 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 
 317 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 
 318 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 
 319 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 
 320 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 
 321 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 , 0.485217 
 322 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 , 0.546198 
 323 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 , 1.100003 
 324 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 , 1.531718 
 325 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 0 , 0 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 0 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 , 2.382978 
 326 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 0 , 0 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 0 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 
 327 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 0 , 0 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 0 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 
 328 , 0 , 1.913371 , 0 , 1.913371 , 0 , 0 , 0 , 0 , 0 , 1.913371 , 0 , 0 , 0 , 1.913371 , 0 , 0 , 1.913371 , 1.913371 , 1.913371 , 0 , 0 , 1.913371 , 0 , 0 , 0 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 0 , 1.913371 , 1.913371 , 0 , 1.913371 
 329 , 0 , 3.788449 , 0.060735 , 3.788449 , 0.00241 , 0.010701 , 0 , 0 , 0 , 3.788449 , 0 , 0 , 0 , 3.788449 , 0 , 0 , 3.788449 , 3.788449 , 3.788449 , 0 , 0 , 3.788449 , 0.06435 , 0 , 0 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 0 , 3.788449 , 3.788449 , 0.142799 , 3.788449 
 330 , 0 , 4.421191 , 0.072715 , 4.421191 , 0.002886 , 0.012812 , 0 , 0 , 0 , 4.421191 , 0 , 0 , 0 , 4.421191 , 0 , 0 , 4.421191 , 4.421191 , 4.421191 , 0 , 0 , 4.421191 , 0.077044 , 0 , 0 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 0 , 4.421191 , 4.421191 , 0.170968 , 4.421191 
 331 , 0 , 4.626559 , 0.076738 , 4.626559 , 0.003045 , 0.01352 , 0 , 0 , 0 , 4.626559 , 0 , 0 , 0 , 4.626559 , 0 , 0 , 4.626559 , 4.626559 , 4.626559 , 0 , 0 , 4.626559 , 0.081306 , 0 , 0 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 0 , 4.626559 , 4.626559 , 0.180426 , 4.626559 
 332 , 0.001789 , 0.029228 , 0.056985 , 0 , 0.009604 , 0.015692 , 0 , 0.002191 , 0.002723 , 0.00248 , 0.001883 , 0 , 0 , 0.01374 , 0.006381 , 0.003268 , 0.027436 , 0.007861 , 0.025201 , 0.001282 , 0.00176 , 0 , 0.118348 , 0 , 0 , 0 , 0 , 4.937911 , 0 , 0.002774 , 0 , 0 , 0 , 0.200816 , 0.603881 
 333 , 0.004407 , 0.019156 , 0.048666 , 0 , 0.016946 , 0.018178 , 0 , 0.00335 , 0.004387 , 0.002767 , 0.003905 , 0 , 0 , 0.015331 , 0.00712 , 0.00665 , 0.030614 , 0.008771 , 0.02812 , 0.003292 , 0.004254 , 0 , 0.182698 , 0 , 0 , 0 , 0 , 5.284958 , 0 , 0.003096 , 0 , 0 , 0 , 0.224846 , 0.28181 
 334 , 0.006532 , 0.017077 , 0.045945 , 0 , 0.021749 , 0.019864 , 0 , 0.003887 , 0.005189 , 0.00293 , 0.005188 , 0 , 0 , 0.01623 , 0.007538 , 0.008744 , 0.032408 , 0.009286 , 0.029768 , 0.005035 , 0.00622 , 0 , 0.250307 , 0 , 0 , 0 , 0 , 5.54123 , 0 , 0.003277 , 0 , 0 , 0 , 0.242681 , 0.205034 
 335 , 0.008794 , 0.018033 , 0.043239 , 0.000366 , 0.024748 , 0.022503 , 0 , 0.005127 , 0.006493 , 0.003966 , 0.006644 , 0.001573 , 0.000521 , 0.016767 , 0.00867 , 0.010575 , 0.028132 , 0.010379 , 0.023176 , 0.007264 , 0.008157 , 0.00017 , 0.163344 , 0.00098 , 0.000851 , 0 , 0 , 0 , 0 , 0.004363 , 0.000337 , 0 , 0 , 0.186915 , 0.158314 
 336 , 0.012805 , 0.025235 , 0.038253 , 0.002344 , 0.025661 , 0.029573 , 0 , 0.0083 , 0.010328 , 0.007748 , 0.009922 , 0.006704 , 0.002729 , 0.017066 , 0.011764 , 0.013045 , 0.019709 , 0.013313 , 0.015384 , 0.011667 , 0.010764 , 0.001005 , 0.068382 , 0.005377 , 0.004869 , 0 , 0 , 0 , 0 , 0.007454 , 0.001363 , 0 , 0 , 0.098865 , 0.117777 
 337 , 0.016912 , 0.032925 , 0.035157 , 0.004482 , 0.026094 , 0.036682 , 0 , 0.009959 , 0.013518 , 0.010445 , 0.013082 , 0.009511 , 0.00439 , 0.017187 , 0.013444 , 0.014479 , 0.016796 , 0.015156 , 0.013403 , 0.015088 , 0.012422 , 0.001784 , 0.049592 , 0.008956 , 0.008387 , 0 , 0 , 0 , 0 , 0.00901 , 0.001885 , 0 , 0 , 0.072775 , 0.09876 
 338 , 0.021037 , 0.041068 , 0.032901 , 0.006708 , 0.026203 , 0.043764 , 0 , 0.010919 , 0.01611 , 0.012379 , 0.016047 , 0.011216 , 0.005637 , 0.017155 , 0.014419 , 0.015331 , 0.015229 , 0.016329 , 0.012435 , 0.017707 , 0.013493 , 0.002486 , 0.041267 , 0.011814 , 0.011374 , 0 , 0 , 0 , 0 , 0.009893 , 0.002189 , 0 , 0 , 0.059823 , 0.08722 
 339 , 0.021555 , 0.038145 , 0.033202 , 0.008148 , 0.028208 , 0.034193 , 0.002374 , 0.012798 , 0.015687 , 0.013601 , 0.015796 , 0.012107 , 0.007255 , 0.01918 , 0.016584 , 0.016202 , 0.01709 , 0.015608 , 0.014433 , 0.018964 , 0.015123 , 0.003994 , 0.043512 , 0.009007 , 0.012378 , 0.001476 , 0.00297 , 0.003104 , 0.001605 , 0.011771 , 0.003755 , 0.001252 , 0.001007 , 0.060708 , 0.079714 
 340 , 0.021266 , 0.034685 , 0.033372 , 0.008805 , 0.030005 , 0.027533 , 0.004402 , 0.014714 , 0.014906 , 0.01438 , 0.015122 , 0.012524 , 0.00838 , 0.021053 , 0.018138 , 0.016751 , 0.018789 , 0.014791 , 0.016187 , 0.019578 , 0.016386 , 0.005032 , 0.046346 , 0.008259 , 0.012664 , 0.002939 , 0.004822 , 0.00443 , 0.002914 , 0.013276 , 0.005279 , 0.002117 , 0.001935 , 0.062341 , 0.073639 
 341 , 0.020764 , 0.031933 , 0.033049 , 0.009049 , 0.031255 , 0.023352 , 0.005796 , 0.016466 , 0.014164 , 0.014832 , 0.014453 , 0.012636 , 0.009044 , 0.022408 , 0.018992 , 0.016991 , 0.019858 , 0.014038 , 0.017307 , 0.019788 , 0.017188 , 0.005634 , 0.048406 , 0.007793 , 0.012641 , 0.004101 , 0.005798 , 0.00496 , 0.003775 , 0.014263 , 0.006497 , 0.002611 , 0.002619 , 0.063001 , 0.068332 
 342 , 0.020373 , 0.031436 , 0.032579 , 0.009832 , 0.0308 , 0.022812 , 0.00697 , 0.01709 , 0.014491 , 0.015704 , 0.015009 , 0.01298 , 0.009852 , 0.023697 , 0.019666 , 0.017147 , 0.020181 , 0.014056 , 0.01795 , 0.01972 , 0.017649 , 0.006453 , 0.044918 , 0.008084 , 0.013654 , 0.004732 , 0.006482 , 0.005816 , 0.004879 , 0.015374 , 0.007766 , 0.003241 , 0.003717 , 0.063484 , 0.066214 
 343 , 0.020252 , 0.032962 , 0.032307 , 0.011481 , 0.029291 , 0.025216 , 0.008218 , 0.016714 , 0.015957 , 0.017198 , 0.01697 , 0.013678 , 0.011054 , 0.025183 , 0.02045 , 0.017401 , 0.020097 , 0.014835 , 0.01839 , 0.01965 , 0.017984 , 0.007603 , 0.038526 , 0.009026 , 0.015981 , 0.004929 , 0.007115 , 0.007126 , 0.006221 , 0.01685 , 0.009212 , 0.004057 , 0.005345 , 0.06435 , 0.067133 
 344 , 0.020147 , 0.034285 , 0.03208 , 0.013224 , 0.028167 , 0.027532 , 0.00937 , 0.016427 , 0.017344 , 0.018567 , 0.018957 , 0.01426 , 0.012205 , 0.026518 , 0.021126 , 0.017598 , 0.020023 , 0.015517 , 0.018755 , 0.01959 , 0.018264 , 0.008542 , 0.034309 , 0.00982 , 0.018248 , 0.00507 , 0.007599 , 0.008167 , 0.007217 , 0.018155 , 0.010491 , 0.004683 , 0.00679 , 0.065078 , 0.067912 
 345 , 0.020185 , 0.035057 , 0.031819 , 0.014806 , 0.027303 , 0.029409 , 0.01039 , 0.016288 , 0.018558 , 0.01964 , 0.020792 , 0.014688 , 0.013224 , 0.027558 , 0.021567 , 0.017845 , 0.020021 , 0.016111 , 0.018992 , 0.019456 , 0.018506 , 0.009395 , 0.03165 , 0.01054 , 0.020207 , 0.005228 , 0.00802 , 0.009 , 0.008031 , 0.019093 , 0.011606 , 0.005237 , 0.008066 , 0.064487 , 0.068177 
 346 , 0.021619 , 0.032369 , 0.030974 , 0.014167 , 0.026793 , 0.027846 , 0.010906 , 0.017112 , 0.018732 , 0.01904 , 0.020931 , 0.014626 , 0.013459 , 0.027182 , 0.020792 , 0.018989 , 0.020673 , 0.016661 , 0.018607 , 0.018588 , 0.018917 , 0.010918 , 0.033039 , 0.011643 , 0.019749 , 0.00594 , 0.008813 , 0.009532 , 0.009193 , 0.017874 , 0.012369 , 0.006369 , 0.009106 , 0.054839 , 0.064984 
 347 , 0.022895 , 0.030324 , 0.030231 , 0.013667 , 0.026323 , 0.026585 , 0.011288 , 0.017779 , 0.018844 , 0.018532 , 0.020986 , 0.014522 , 0.013601 , 0.026807 , 0.02015 , 0.01998 , 0.021196 , 0.017079 , 0.018257 , 0.017876 , 0.019207 , 0.012332 , 0.034165 , 0.012619 , 0.01934 , 0.006498 , 0.009447 , 0.009951 , 0.010147 , 0.016925 , 0.012979 , 0.007309 , 0.009876 , 0.048535 , 0.062358 
 348 , 0.024039 , 0.028707 , 0.029571 , 0.013258 , 0.02589 , 0.025541 , 0.011572 , 0.018325 , 0.018912 , 0.018093 , 0.020984 , 0.014399 , 0.013681 , 0.026444 , 0.019603 , 0.020843 , 0.021619 , 0.017399 , 0.017938 , 0.017279 , 0.019412 , 0.01365 , 0.035088 , 0.013488 , 0.018972 , 0.006942 , 0.00996 , 0.010286 , 0.010937 , 0.016161 , 0.013472 , 0.008098 , 0.010457 , 0.044072 , 0.060149 
 349 , 0.024443 , 0.02852 , 0.029873 , 0.013516 , 0.026395 , 0.027293 , 0.011607 , 0.021103 , 0.019358 , 0.017879 , 0.021263 , 0.015036 , 0.014168 , 0.025695 , 0.019969 , 0.021552 , 0.02222 , 0.01801 , 0.018217 , 0.018518 , 0.019407 , 0.014078 , 0.036212 , 0.013788 , 0.018795 , 0.007566 , 0.010405 , 0.010841 , 0.011154 , 0.01662 , 0.01397 , 0.00878 , 0.010942 , 0.043391 , 0.060469 
 350 , 0.024524 , 0.028757 , 0.030425 , 0.013946 , 0.027134 , 0.030104 , 0.011563 , 0.025299 , 0.019872 , 0.017731 , 0.021587 , 0.015868 , 0.014737 , 0.024933 , 0.020576 , 0.022116 , 0.022802 , 0.018651 , 0.018647 , 0.020414 , 0.019342 , 0.014158 , 0.037265 , 0.013851 , 0.018695 , 0.008223 , 0.010777 , 0.011414 , 0.011161 , 0.017423 , 0.014411 , 0.009372 , 0.011345 , 0.043786 , 0.061475 
 351 , 0.024567 , 0.028927 , 0.030862 , 0.014306 , 0.027744 , 0.032877 , 0.011522 , 0.030201 , 0.020292 , 0.017586 , 0.021842 , 0.016584 , 0.015216 , 0.024307 , 0.02108 , 0.022578 , 0.02328 , 0.019186 , 0.018995 , 0.022231 , 0.019281 , 0.014224 , 0.038145 , 0.013891 , 0.018604 , 0.008815 , 0.011084 , 0.0119 , 0.011163 , 0.018107 , 0.014774 , 0.009888 , 0.011679 , 0.044064 , 0.062259 
 352 , 0.024885 , 0.02956 , 0.031422 , 0.014618 , 0.028115 , 0.034671 , 0.011733 , 0.031622 , 0.020935 , 0.017829 , 0.022191 , 0.017109 , 0.015878 , 0.024303 , 0.021463 , 0.022923 , 0.023467 , 0.019818 , 0.019429 , 0.023413 , 0.01944 , 0.01409 , 0.038495 , 0.013959 , 0.018758 , 0.009471 , 0.01134 , 0.012309 , 0.011334 , 0.018653 , 0.015109 , 0.010356 , 0.012077 , 0.04476 , 0.06336 
 353 , 0.025779 , 0.031205 , 0.03234 , 0.014917 , 0.028164 , 0.034539 , 0.012435 , 0.026544 , 0.02214 , 0.018843 , 0.022789 , 0.017384 , 0.017033 , 0.025362 , 0.021727 , 0.02315 , 0.023234 , 0.020768 , 0.020115 , 0.023429 , 0.020011 , 0.013625 , 0.038058 , 0.014102 , 0.019372 , 0.010349 , 0.011568 , 0.012662 , 0.011836 , 0.019061 , 0.01547 , 0.010813 , 0.012682 , 0.04641 , 0.065333 
 354 , 0.026628 , 0.032854 , 0.033215 , 0.015193 , 0.028213 , 0.034429 , 0.013115 , 0.023283 , 0.02333 , 0.019824 , 0.023356 , 0.01764 , 0.018176 , 0.026387 , 0.021971 , 0.023362 , 0.02304 , 0.021705 , 0.020776 , 0.023451 , 0.020559 , 0.013241 , 0.037683 , 0.014236 , 0.019956 , 0.011206 , 0.011776 , 0.012993 , 0.012306 , 0.019437 , 0.015804 , 0.011234 , 0.013257 , 0.048004 , 0.067229 
 355 , 0.027434 , 0.034506 , 0.03405 , 0.01545 , 0.028261 , 0.034336 , 0.013774 , 0.021015 , 0.024504 , 0.020775 , 0.023894 , 0.017881 , 0.019305 , 0.027381 , 0.022199 , 0.023559 , 0.022878 , 0.022627 , 0.021411 , 0.023478 , 0.021085 , 0.01292 , 0.037359 , 0.01436 , 0.020512 , 0.012043 , 0.011969 , 0.013303 , 0.012745 , 0.019786 , 0.016116 , 0.011624 , 0.013806 , 0.049545 , 0.069051 
 356 , 0.026594 , 0.032325 , 0.033005 , 0.015778 , 0.028665 , 0.03332 , 0.013469 , 0.020466 , 0.023559 , 0.020539 , 0.023708 , 0.017324 , 0.018204 , 0.025853 , 0.021507 , 0.023701 , 0.022123 , 0.021863 , 0.021456 , 0.02244 , 0.021497 , 0.013018 , 0.03623 , 0.014151 , 0.019284 , 0.011687 , 0.011619 , 0.01335 , 0.011992 , 0.019123 , 0.015711 , 0.011438 , 0.013356 , 0.047483 , 0.062655 
 357 , 0.025704 , 0.030276 , 0.031904 , 0.016062 , 0.028999 , 0.032283 , 0.013116 , 0.01998 , 0.022568 , 0.020214 , 0.02344 , 0.016748 , 0.017145 , 0.024372 , 0.020797 , 0.023781 , 0.02137 , 0.021061 , 0.021411 , 0.021448 , 0.021826 , 0.013101 , 0.035097 , 0.01391 , 0.018131 , 0.011285 , 0.011254 , 0.013344 , 0.011279 , 0.018423 , 0.015276 , 0.011213 , 0.012889 , 0.045396 , 0.057113 
 358 , 0.024844 , 0.028489 , 0.030841 , 0.016297 , 0.029248 , 0.031273 , 0.012765 , 0.019488 , 0.021636 , 0.019863 , 0.023134 , 0.016191 , 0.016211 , 0.023039 , 0.020113 , 0.023803 , 0.020647 , 0.020303 , 0.02131 , 0.02054 , 0.022083 , 0.013149 , 0.034 , 0.013654 , 0.017114 , 0.010898 , 0.010901 , 0.013302 , 0.010646 , 0.01774 , 0.014846 , 0.010978 , 0.01245 , 0.04345 , 0.052516 
 359 , 0.024304 , 0.02801 , 0.030733 , 0.016456 , 0.029048 , 0.030708 , 0.012899 , 0.019215 , 0.021006 , 0.019812 , 0.023098 , 0.016241 , 0.015969 , 0.022306 , 0.020116 , 0.023716 , 0.020789 , 0.020101 , 0.021283 , 0.020686 , 0.021746 , 0.013097 , 0.033733 , 0.013639 , 0.01719 , 0.010856 , 0.010829 , 0.013291 , 0.010791 , 0.017709 , 0.014737 , 0.010994 , 0.012401 , 0.042388 , 0.051121 
 360 , 0.024001 , 0.028351 , 0.031261 , 0.016558 , 0.028592 , 0.030477 , 0.013367 , 0.019102 , 0.020606 , 0.019966 , 0.023249 , 0.016694 , 0.016163 , 0.021981 , 0.020581 , 0.023569 , 0.021521 , 0.020265 , 0.021315 , 0.021554 , 0.02107 , 0.012993 , 0.03402 , 0.013786 , 0.017994 , 0.011044 , 0.010946 , 0.013305 , 0.01146 , 0.018114 , 0.014845 , 0.011178 , 0.012607 , 0.041929 , 0.051655 
 361 , 0.023714 , 0.028636 , 0.031719 , 0.016634 , 0.028178 , 0.030261 , 0.013799 , 0.018982 , 0.020242 , 0.020089 , 0.023364 , 0.017097 , 0.016325 , 0.021682 , 0.020998 , 0.023417 , 0.022195 , 0.020394 , 0.021326 , 0.022379 , 0.020467 , 0.012895 , 0.034247 , 0.013907 , 0.018755 , 0.011207 , 0.011042 , 0.013302 , 0.012098 , 0.018469 , 0.014931 , 0.011336 , 0.012784 , 0.041479 , 0.052092 
 362 , 0.023663 , 0.029046 , 0.0321 , 0.016747 , 0.02809 , 0.030189 , 0.014193 , 0.018923 , 0.020149 , 0.02028 , 0.023506 , 0.017503 , 0.01651 , 0.021588 , 0.02136 , 0.023407 , 0.022691 , 0.020573 , 0.021425 , 0.02297 , 0.020174 , 0.012874 , 0.034316 , 0.01408 , 0.019289 , 0.011309 , 0.011184 , 0.013358 , 0.012641 , 0.018666 , 0.015086 , 0.01145 , 0.012951 , 0.041365 , 0.052387 
