  time  ,46:53 PM,47:03 PM,47:09 PM,47:16 PM,47:24 PM,48:47 PM,49:17 PM,49:27 PM,49:32 PM,49:38 PM,50:45 PM,50:51 PM,50:57 PM,51:03 PM,51:09 PM,51:56 PM,52:02 PM,52:08 PM,52:14 PM,52:22 PM,53:18 PM,53:24 PM,53:31 PM,53:38 PM,53:46 PM,54:50 PM,54:59 PM,55:05 PM,55:11 PM,55:16 PM,56:06 PM,56:11 PM,56:17 PM,56:23 PM,56:29 PM,57:14 PM,57:20 PM,57:25 PM,57:31 PM,57:37 PM,58:20 PM,58:26 PM,58:32 PM,58:39 PM,58:45 PM,59:47 PM,59:58 PM,00:03 PM,00:10 PM,00:18 PM,01:44 PM,01:52 PM,01:59 PM,02:06 PM,02:13 PM,03:29 PM,03:36 PM,03:42 PM,03:48 PM,03:55 PM,04:37 PM,04:45 PM,04:50 PM,04:59 PM,05:05 PM,05:56 PM,06:02 PM,06:07 PM,06:13 PM,06:19 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 316 , 0 , 2.266045 , 2.266045 , 0 , 0 , 2.266045 , 2.266045 , 0 , 2.266045 , 2.266045 , 0 , 2.266045 , 2.266045 , 0 , 0 , 2.266045 , 2.266045 , 2.266045 , 2.266045 , 2.266045 , 0 , 0 , 0 , 0 , 0 , 0 , 2.266045 , 2.266045 , 2.266045 , 2.266045 , 2.266045 , 2.266045 , 2.266045 , 2.266045 , 2.266045 , 2.266045 , 0 , 2.266045 , 2.266045 , 2.266045 , 2.266045 , 2.266045 , 2.266045 , 2.266045 , 2.266045 , 2.266045 , 2.266045 , 2.266045 , 2.266045 , 2.266045 , 2.266045 , 2.266045 , 2.266045 , 2.266045 , 2.266045 , 0 , 2.266045 , 2.266045 , 2.266045 , 2.266045 , 2.266045 , 2.266045 , 2.266045 , 2.266045 , 2.266045 , 2.266045 , 2.266045 , 2.266045 , 2.266045 , 2.266045 
 317 , 0 , 2.394972 , 2.394972 , 0 , 0 , 2.394972 , 2.394972 , 0 , 2.394972 , 2.394972 , 0 , 2.394972 , 2.394972 , 0 , 0 , 2.394972 , 2.394972 , 2.394972 , 2.394972 , 2.394972 , 0 , 0 , 0 , 0 , 0 , 0 , 2.394972 , 2.394972 , 2.394972 , 2.394972 , 2.394972 , 2.394972 , 2.394972 , 2.394972 , 2.394972 , 2.394972 , 0 , 2.394972 , 2.394972 , 2.394972 , 2.394972 , 2.394972 , 2.394972 , 2.394972 , 2.394972 , 2.394972 , 2.394972 , 2.394972 , 2.394972 , 2.394972 , 2.394972 , 2.394972 , 2.394972 , 2.394972 , 2.394972 , 0 , 2.394972 , 2.394972 , 2.394972 , 2.394972 , 2.394972 , 2.394972 , 2.394972 , 2.394972 , 2.394972 , 2.394972 , 2.394972 , 2.394972 , 2.394972 , 2.394972 
 318 , 0 , 0 , 0 , 0 , 0 , 0.315105 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.315105 , 0.315105 , 0.315105 , 0 , 0.315105 , 0 , 0.315105 , 0.315105 , 0.315105 , 0 , 0 , 0.315105 , 0 , 0.315105 , 0.315105 , 0 , 0 , 0.315105 , 0.315105 , 0 , 0 , 0.315105 , 0.315105 , 0 , 0 , 0.315105 , 0.315105 , 0.315105 , 0 , 0.315105 , 0.315105 , 0.315105 , 0.315105 , 0 , 0.315105 , 0 , 0.315105 , 0.315105 , 0 , 0.315105 , 0.315105 , 0.315105 , 0 
 319 , 0 , 0 , 0 , 0 , 0 , 1.74758 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.74758 , 1.74758 , 1.74758 , 0 , 1.74758 , 0 , 1.74758 , 1.74758 , 1.74758 , 0 , 0 , 1.74758 , 0 , 1.74758 , 1.74758 , 0 , 0 , 1.74758 , 1.74758 , 0 , 0 , 1.74758 , 1.74758 , 0 , 0 , 1.74758 , 1.74758 , 1.74758 , 0 , 1.74758 , 1.74758 , 1.74758 , 1.74758 , 0 , 1.74758 , 0 , 1.74758 , 1.74758 , 0 , 1.74758 , 1.74758 , 1.74758 , 0 
 320 , 0 , 0 , 0 , 0 , 0 , 2.572695 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.572695 , 2.572695 , 2.572695 , 0 , 2.572695 , 0 , 2.572695 , 2.572695 , 2.572695 , 0 , 0 , 2.572695 , 0 , 2.572695 , 2.572695 , 0 , 0 , 2.572695 , 2.572695 , 0 , 0 , 2.572695 , 2.572695 , 0 , 0 , 2.572695 , 2.572695 , 2.572695 , 0 , 2.572695 , 2.572695 , 2.572695 , 2.572695 , 0 , 2.572695 , 0 , 2.572695 , 2.572695 , 0 , 2.572695 , 2.572695 , 2.572695 , 0 
 321 , 0 , 0 , 0 , 0 , 0 , 3.018027 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3.018027 , 3.018027 , 3.018027 , 0 , 3.018027 , 0 , 3.018027 , 3.018027 , 3.018027 , 0 , 0 , 3.018027 , 0 , 3.018027 , 3.018027 , 0 , 0 , 3.018027 , 3.018027 , 0 , 0 , 3.018027 , 3.018027 , 0 , 0 , 3.018027 , 3.018027 , 3.018027 , 0 , 3.018027 , 3.018027 , 3.018027 , 3.018027 , 0 , 3.018027 , 0 , 3.018027 , 3.018027 , 0 , 3.018027 , 3.018027 , 3.018027 , 0 
 322 , 0 , 0 , 0 , 0 , 0 , 4.841694 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001882 , 0 , 0 , 0 , 0 , 0 , 0 , 4.841694 , 0 , 0 , 0 , 4.841694 , 0 , 0 , 4.841694 , 0 , 0 , 0 , 0 , 4.841694 , 0 , 0 , 4.841694 , 0 , 0 , 0 , 0 , 4.841694 , 0 , 0 , 4.841694 , 0 , 4.841694 , 0 , 0 , 4.841694 , 0 , 4.841694 , 0 , 4.841694 , 0 , 4.841694 , 0 , 0 , 4.841694 , 4.841694 , 0 , 0 
 323 , 0 , 0 , 0 , 0 , 0 , 5.78194 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003175 , 0 , 0 , 0 , 0 , 0 , 0 , 5.78194 , 0 , 0 , 0 , 5.78194 , 0 , 0 , 5.78194 , 0 , 0 , 0 , 0 , 5.78194 , 0 , 0 , 5.78194 , 0 , 0 , 0 , 0 , 5.78194 , 0 , 0 , 5.78194 , 0 , 5.78194 , 0 , 0 , 5.78194 , 0 , 5.78194 , 0 , 5.78194 , 0 , 5.78194 , 0 , 0 , 5.78194 , 5.78194 , 0 , 0 
 324 , 0 , 0 , 0 , 0 , 0 , 6.235192 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003843 , 0 , 0 , 0 , 0 , 0 , 0 , 6.235192 , 0 , 0 , 0 , 6.235192 , 0 , 0 , 6.235192 , 0 , 0 , 0 , 0 , 6.235192 , 0 , 0 , 6.235192 , 0 , 0 , 0 , 0 , 6.235192 , 0 , 0 , 6.235192 , 0 , 6.235192 , 0 , 0 , 6.235192 , 0 , 6.235192 , 0 , 6.235192 , 0 , 6.235192 , 0 , 0 , 6.235192 , 6.235192 , 0 , 0 
 325 , 0 , 0 , 0 , 0.000768 , 0.00009 , 6.113325 , 0.000179 , 0 , 0 , 0 , 0.00069 , 0.001239 , 0 , 0.00005 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001409 , 0.001656 , 0.008669 , 0 , 0 , 0.000517 , 0.000605 , 0.001357 , 0 , 0.01163 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.087236 , 0 , 0 , 0 , 0 , 6.113325 , 0 , 0 , 6.113325 , 0 , 0 , 0 , 0 , 6.113325 , 0 , 6.113325 , 0 , 6.113325 , 0.002314 , 0.003468 , 0 , 0.00079 , 0.012804 , 6.113325 , 0 , 6.113325 
