AUG5MAT00005.spu,AUG5MAT00004.spu,AUG5MAT00003.spu,
Wavelength,AUG5MAT00006.spu,AUG5MAT00007.spu,AUG5MAT00008.spu,AUG5MAT00009.spu,AUG5MAT00010.spu,AUG5MAT00011.spu,AUG5MAT00012.spu,AUG5MAT00013.spu,AUG5MAT00014.spu,AUG5MAT00015.spu,AUG5MAT00016.spu,AUG5MAT00017.spu,AUG5MAT00018.spu,AUG5MAT00019.spu,AUG5MAT00020.spu,AUG5MAT00021.spu,AUG5MAT00022.spu,AUG5MAT00023.spu,AUG5MAT00024.spu,AUG5MAT00025.spu,AUG5MAT00026.spu,AUG5MAT00027.spu,AUG5MAT00028.spu,AUG5MAT00029.spu,AUG5MAT00030.spu,AUG5MAT00031.spu,AUG5MAT00032.spu,AUG5MAT00033.spu,AUG5MAT00034.spu,AUG5MAT00035.spu,AUG5MAT00036.spu,AUG5MAT00037.spu,AUG5MAT00038.spu,AUG5MAT00039.spu,AUG5MAT00040.spu,AUG5MAT00041.spu,AUG5MAT00042.spu,AUG5MAT00043.spu,AUG5MAT00044.spu,AUG5MAT00045.spu,AUG5MAT00046.spu,AUG5MAT00047.spu,AUG5MAT00048.spu,AUG5MAT00049.spu,AUG5MAT00050.spu,AUG5MAT00051.spu,AUG5MAT00052.spu,AUG5MAT00053.spu,AUG5MAT00054.spu,AUG5MAT00055.spu,AUG5MAT00056.spu,AUG5MAT00057.spu,AUG5MAT00058.spu,AUG5MAT00059.spu,AUG5MAT00060.spu,AUG5MAT00061.spu,AUG5MAT00062.spu,AUG5MAT00063.spu,AUG5MAT00064.spu,AUG5MAT00065.spu,AUG5MAT00066.spu,AUG5MAT00067.spu,AUG5MAT00068.spu,AUG5MAT00069.spu,AUG5MAT00070.spu,AUG5MAT00071.spu,AUG5MAT00072.spu,AUG5MAT00073.spu,AUG5MAT00074.spu,AUG5MAT00075.spu,AUG5MAT00076.spu,AUG5MAT00077.spu,AUG5MAT00078.spu,AUG5MAT00079.spu,AUG5MAT00080.spu,AUG5MAT00081.spu,AUG5MAT00082.spu,AUG5MAT00083.spu,AUG5MAT00084.spu,AUG5MAT00085.spu
 486 , 0.027083 , 0.023105 , 0.021152 , 0.021723 , 0.022784 , 0.028523 , 0.03501 , 0.026608 , 0.027246 , 0.030212 , 0.02536 , 0.052352 , 0.027601 , 0.028743 , 0.029444 , 0.047688 , 0.039775 , 0.038264 , 0.039391 , 0.025058 , 0.041172 , 0.034276 , 0.050116 , 0.030183 , 0.024281 , 0.048446 , 0.021325 , 0.028211 , 0.02655 , 0.025855 , 0.026435 , 0.021814 , 0.026901 , 0.0274 , 0.028 , 0.018527 , 0.030197 , 0.017572 , 0.014708 , 0.033057 , 0.027716 , 0.025562 , 0.024746 , 0.02037 , 0.0225 , 0.029142 , 0.038225 , 0.020499 , 0.022064 , 0.026042 , 0.031056 , 0.011497 , 0.028983 , 0.020926 , 0.018023 , 0.028431 , 0.025207 , 0.032812 , 0.038412 , 0.024295 , 0.042712 , 0.022831 , 0.040197 , 0.023494 , 0.018143 , 0.022078 , 0.019089 , 0.017419 , 0.019991 , 0.020898 , 0.040097 , 0.02561 , 0.0306 , 0.031085 , 0.021531 , 0.068235 , 0.017054 , 0.050495 , 0.027318 , 0.028494 
 487 , 0.02719 , 0.023144 , 0.021174 , 0.021792 , 0.022871 , 0.028633 , 0.035157 , 0.026668 , 0.02732 , 0.030335 , 0.025436 , 0.052434 , 0.027655 , 0.02883 , 0.029515 , 0.04777 , 0.039793 , 0.038326 , 0.039481 , 0.025138 , 0.041332 , 0.034376 , 0.050358 , 0.030277 , 0.024362 , 0.048657 , 0.021371 , 0.028317 , 0.026639 , 0.025949 , 0.026519 , 0.021879 , 0.027018 , 0.027473 , 0.028053 , 0.018566 , 0.030277 , 0.017588 , 0.014674 , 0.033106 , 0.027789 , 0.025671 , 0.024803 , 0.020402 , 0.022545 , 0.029242 , 0.038393 , 0.020565 , 0.022152 , 0.026121 , 0.031116 , 0.011524 , 0.02906 , 0.020982 , 0.018068 , 0.028537 , 0.025287 , 0.032914 , 0.038575 , 0.024371 , 0.042751 , 0.022842 , 0.040248 , 0.023518 , 0.018216 , 0.022123 , 0.019118 , 0.017468 , 0.020047 , 0.020968 , 0.040268 , 0.025675 , 0.030747 , 0.031188 , 0.021581 , 0.068541 , 0.017109 , 0.050656 , 0.027439 , 0.028595 
 488 , 0.027366 , 0.023234 , 0.021255 , 0.021956 , 0.022979 , 0.028812 , 0.035423 , 0.026799 , 0.0275 , 0.030503 , 0.02555 , 0.052579 , 0.02775 , 0.028999 , 0.029634 , 0.047982 , 0.039867 , 0.038517 , 0.03968 , 0.025257 , 0.041616 , 0.034572 , 0.05072 , 0.030465 , 0.024512 , 0.048986 , 0.021447 , 0.028485 , 0.026794 , 0.026112 , 0.026664 , 0.022004 , 0.027236 , 0.027587 , 0.028154 , 0.018646 , 0.030446 , 0.017632 , 0.014634 , 0.033237 , 0.027933 , 0.025862 , 0.02494 , 0.020457 , 0.022638 , 0.029417 , 0.038651 , 0.020669 , 0.022288 , 0.026242 , 0.031257 , 0.011583 , 0.029211 , 0.021115 , 0.01817 , 0.028697 , 0.02542 , 0.033078 , 0.038829 , 0.024488 , 0.042908 , 0.022907 , 0.040376 , 0.023623 , 0.018334 , 0.022216 , 0.019184 , 0.017555 , 0.020164 , 0.021101 , 0.040525 , 0.0258 , 0.031008 , 0.031334 , 0.021668 , 0.069006 , 0.01719 , 0.050936 , 0.027635 , 0.028764 
 489 , 0.027542 , 0.023329 , 0.021331 , 0.02212 , 0.023093 , 0.028987 , 0.035689 , 0.026931 , 0.027677 , 0.030672 , 0.025659 , 0.052729 , 0.027845 , 0.029174 , 0.029752 , 0.048194 , 0.039941 , 0.038703 , 0.039883 , 0.02537 , 0.041896 , 0.034774 , 0.051083 , 0.030653 , 0.024663 , 0.049311 , 0.021523 , 0.028649 , 0.026945 , 0.026276 , 0.026815 , 0.022125 , 0.027455 , 0.027701 , 0.02825 , 0.018726 , 0.030619 , 0.017676 , 0.014594 , 0.033363 , 0.028076 , 0.026049 , 0.025082 , 0.020512 , 0.022732 , 0.029588 , 0.038915 , 0.020777 , 0.022428 , 0.026358 , 0.031394 , 0.011643 , 0.029357 , 0.021249 , 0.018273 , 0.028861 , 0.025553 , 0.033238 , 0.039084 , 0.024605 , 0.043066 , 0.022973 , 0.040504 , 0.023724 , 0.018451 , 0.022313 , 0.019255 , 0.017637 , 0.020281 , 0.021234 , 0.040788 , 0.025924 , 0.031269 , 0.031481 , 0.021754 , 0.069471 , 0.017272 , 0.051218 , 0.027831 , 0.028934 
 490 , 0.027762 , 0.023456 , 0.021486 , 0.022317 , 0.023253 , 0.029229 , 0.035993 , 0.027134 , 0.027926 , 0.030895 , 0.025841 , 0.053014 , 0.028008 , 0.029398 , 0.029934 , 0.048466 , 0.040115 , 0.038947 , 0.040139 , 0.025532 , 0.042254 , 0.035042 , 0.051541 , 0.03089 , 0.024856 , 0.049721 , 0.02166 , 0.028877 , 0.027154 , 0.026492 , 0.027028 , 0.022293 , 0.027709 , 0.027887 , 0.028418 , 0.018851 , 0.030856 , 0.017765 , 0.014617 , 0.033574 , 0.028278 , 0.02628 , 0.025266 , 0.020627 , 0.022867 , 0.029823 , 0.039237 , 0.020931 , 0.022611 , 0.026541 , 0.031605 , 0.011726 , 0.029567 , 0.021414 , 0.018411 , 0.029085 , 0.025749 , 0.033473 , 0.039415 , 0.024774 , 0.043301 , 0.023099 , 0.040733 , 0.023866 , 0.018605 , 0.022457 , 0.019372 , 0.01776 , 0.020439 , 0.021409 , 0.041138 , 0.026121 , 0.031561 , 0.031706 , 0.021906 , 0.070083 , 0.017383 , 0.051594 , 0.028076 , 0.029157 
 491 , 0.028082 , 0.023669 , 0.021822 , 0.022605 , 0.023543 , 0.029623 , 0.036388 , 0.027513 , 0.02834 , 0.031256 , 0.026167 , 0.053598 , 0.02834 , 0.029734 , 0.030264 , 0.048898 , 0.040529 , 0.039319 , 0.040534 , 0.025793 , 0.042789 , 0.035455 , 0.052227 , 0.031261 , 0.025161 , 0.050317 , 0.021924 , 0.029234 , 0.027494 , 0.026843 , 0.027392 , 0.022566 , 0.028033 , 0.028238 , 0.028748 , 0.019071 , 0.031236 , 0.017944 , 0.014785 , 0.033987 , 0.028617 , 0.026614 , 0.025564 , 0.02087 , 0.023105 , 0.030206 , 0.039703 , 0.02121 , 0.022906 , 0.026872 , 0.03196 , 0.011854 , 0.029924 , 0.021662 , 0.018644 , 0.029457 , 0.02607 , 0.03388 , 0.039926 , 0.025064 , 0.043732 , 0.023348 , 0.041185 , 0.024102 , 0.018828 , 0.022716 , 0.019601 , 0.017978 , 0.020685 , 0.021681 , 0.041695 , 0.026488 , 0.031931 , 0.032116 , 0.022211 , 0.071056 , 0.01755 , 0.052193 , 0.028442 , 0.029511 
 492 , 0.028404 , 0.023888 , 0.02216 , 0.022889 , 0.023834 , 0.030014 , 0.036781 , 0.02789 , 0.028751 , 0.031614 , 0.026491 , 0.05419 , 0.028668 , 0.030077 , 0.030596 , 0.049326 , 0.040945 , 0.039687 , 0.040925 , 0.026055 , 0.043327 , 0.035871 , 0.052913 , 0.031628 , 0.025468 , 0.050917 , 0.02219 , 0.029588 , 0.027831 , 0.027195 , 0.027753 , 0.022836 , 0.028355 , 0.028585 , 0.029079 , 0.019293 , 0.031619 , 0.018124 , 0.014948 , 0.034398 , 0.028952 , 0.026951 , 0.025864 , 0.021113 , 0.02334 , 0.030586 , 0.040167 , 0.021485 , 0.023198 , 0.027205 , 0.032318 , 0.011983 , 0.030283 , 0.021906 , 0.018877 , 0.029828 , 0.026393 , 0.03429 , 0.040441 , 0.025356 , 0.044164 , 0.023604 , 0.041639 , 0.024333 , 0.019053 , 0.022978 , 0.019826 , 0.018197 , 0.020927 , 0.021945 , 0.042251 , 0.026863 , 0.032304 , 0.032529 , 0.022518 , 0.07203 , 0.017722 , 0.052791 , 0.028805 , 0.029867 
 493 , 0.028723 , 0.024102 , 0.022496 , 0.023176 , 0.024122 , 0.030407 , 0.03718 , 0.028265 , 0.029161 , 0.031969 , 0.026816 , 0.054775 , 0.028994 , 0.030417 , 0.030924 , 0.049756 , 0.041362 , 0.040057 , 0.041318 , 0.026319 , 0.043865 , 0.036289 , 0.053598 , 0.031998 , 0.025772 , 0.051515 , 0.022457 , 0.029949 , 0.028166 , 0.027545 , 0.028117 , 0.023107 , 0.028678 , 0.02893 , 0.029412 , 0.019516 , 0.032003 , 0.018304 , 0.015117 , 0.034811 , 0.029284 , 0.027284 , 0.026161 , 0.021358 , 0.023575 , 0.030969 , 0.040633 , 0.021762 , 0.023486 , 0.027535 , 0.032673 , 0.012118 , 0.030639 , 0.022156 , 0.019112 , 0.030195 , 0.026718 , 0.034698 , 0.040949 , 0.025644 , 0.044594 , 0.023856 , 0.042091 , 0.024565 , 0.019275 , 0.023235 , 0.020058 , 0.018413 , 0.021176 , 0.022216 , 0.042811 , 0.02723 , 0.032673 , 0.032944 , 0.022826 , 0.073001 , 0.017891 , 0.053391 , 0.029171 , 0.03022 
 494 , 0.029062 , 0.024411 , 0.022647 , 0.023341 , 0.024406 , 0.030682 , 0.037527 , 0.028562 , 0.029429 , 0.032341 , 0.027056 , 0.055206 , 0.029315 , 0.030652 , 0.031232 , 0.050184 , 0.041718 , 0.040395 , 0.041708 , 0.02656 , 0.044329 , 0.036646 , 0.05424 , 0.032346 , 0.026045 , 0.052145 , 0.022707 , 0.030281 , 0.028497 , 0.027843 , 0.028433 , 0.023336 , 0.029017 , 0.02925 , 0.029671 , 0.019705 , 0.032366 , 0.018491 , 0.015252 , 0.035105 , 0.029552 , 0.027611 , 0.026456 , 0.021538 , 0.023826 , 0.03135 , 0.041124 , 0.022028 , 0.023752 , 0.027824 , 0.03299 , 0.01223 , 0.030994 , 0.022405 , 0.019338 , 0.030538 , 0.026967 , 0.035046 , 0.041361 , 0.025902 , 0.044992 , 0.024039 , 0.042471 , 0.024752 , 0.019522 , 0.023474 , 0.020275 , 0.018615 , 0.021394 , 0.022484 , 0.043343 , 0.027561 , 0.033049 , 0.033312 , 0.023058 , 0.073782 , 0.01809 , 0.053958 , 0.029537 , 0.030533 
 495 , 0.029405 , 0.02473 , 0.022788 , 0.0235 , 0.024685 , 0.030949 , 0.037874 , 0.028853 , 0.029679 , 0.032711 , 0.027294 , 0.055624 , 0.029634 , 0.030884 , 0.031541 , 0.050605 , 0.042071 , 0.040727 , 0.042096 , 0.026801 , 0.04479 , 0.036998 , 0.054882 , 0.032691 , 0.026318 , 0.052776 , 0.022958 , 0.030615 , 0.028828 , 0.028141 , 0.028743 , 0.023565 , 0.029355 , 0.029564 , 0.029928 , 0.019896 , 0.032726 , 0.018681 , 0.01538 , 0.03539 , 0.029818 , 0.027941 , 0.026746 , 0.021713 , 0.024078 , 0.031735 , 0.041618 , 0.02229 , 0.024018 , 0.028111 , 0.033299 , 0.012348 , 0.031352 , 0.022654 , 0.019567 , 0.030874 , 0.027205 , 0.03539 , 0.041768 , 0.026154 , 0.045392 , 0.024217 , 0.042848 , 0.024929 , 0.019761 , 0.023709 , 0.020493 , 0.018815 , 0.021608 , 0.022748 , 0.043869 , 0.027892 , 0.033423 , 0.033672 , 0.023286 , 0.074549 , 0.018297 , 0.054524 , 0.029898 , 0.030839 
 496 , 0.029745 , 0.025046 , 0.02293 , 0.023655 , 0.024966 , 0.031217 , 0.038223 , 0.02914 , 0.029936 , 0.033083 , 0.027528 , 0.056043 , 0.029956 , 0.031117 , 0.031847 , 0.051029 , 0.042426 , 0.04106 , 0.042486 , 0.027038 , 0.045249 , 0.037352 , 0.055517 , 0.033033 , 0.026588 , 0.053406 , 0.023205 , 0.030951 , 0.02916 , 0.028434 , 0.02906 , 0.023795 , 0.029695 , 0.029875 , 0.030181 , 0.020082 , 0.033088 , 0.018866 , 0.015508 , 0.035675 , 0.030081 , 0.028264 , 0.027043 , 0.021889 , 0.024326 , 0.032117 , 0.042111 , 0.022554 , 0.024281 , 0.028394 , 0.033609 , 0.012461 , 0.031707 , 0.022905 , 0.019792 , 0.031212 , 0.027448 , 0.035735 , 0.042171 , 0.026408 , 0.045794 , 0.024396 , 0.043222 , 0.025111 , 0.020007 , 0.023945 , 0.020713 , 0.019011 , 0.021824 , 0.023015 , 0.044398 , 0.028219 , 0.033799 , 0.034039 , 0.023515 , 0.075314 , 0.018501 , 0.055087 , 0.030266 , 0.031152 
 497 , 0.030073 , 0.025354 , 0.023137 , 0.023856 , 0.025173 , 0.031525 , 0.038541 , 0.029444 , 0.030244 , 0.03342 , 0.027766 , 0.056406 , 0.030223 , 0.03142 , 0.032188 , 0.051416 , 0.042732 , 0.041375 , 0.042868 , 0.027354 , 0.045737 , 0.037727 , 0.05613 , 0.033374 , 0.026897 , 0.053984 , 0.023439 , 0.031279 , 0.029485 , 0.028746 , 0.029384 , 0.024052 , 0.030027 , 0.030213 , 0.030455 , 0.020293 , 0.03347 , 0.019042 , 0.015584 , 0.035983 , 0.030374 , 0.02861 , 0.027329 , 0.022082 , 0.024585 , 0.032455 , 0.042591 , 0.022841 , 0.024585 , 0.028711 , 0.033922 , 0.012599 , 0.032028 , 0.023173 , 0.020027 , 0.03154 , 0.027721 , 0.036103 , 0.042601 , 0.026665 , 0.046164 , 0.02457 , 0.043561 , 0.025278 , 0.020268 , 0.024188 , 0.020946 , 0.019238 , 0.022052 , 0.023328 , 0.044918 , 0.028525 , 0.034199 , 0.03439 , 0.023766 , 0.076036 , 0.0187 , 0.055617 , 0.030631 , 0.03145 
 498 , 0.030388 , 0.025656 , 0.023398 , 0.024084 , 0.025333 , 0.031859 , 0.038839 , 0.029748 , 0.03059 , 0.033734 , 0.027994 , 0.056724 , 0.030458 , 0.031769 , 0.032545 , 0.05178 , 0.043007 , 0.041681 , 0.043244 , 0.027722 , 0.046242 , 0.038118 , 0.056724 , 0.033709 , 0.027228 , 0.054522 , 0.023665 , 0.031607 , 0.029808 , 0.029063 , 0.029718 , 0.024331 , 0.030358 , 0.030559 , 0.030736 , 0.020511 , 0.03386 , 0.01921 , 0.015622 , 0.036299 , 0.03068 , 0.028967 , 0.027606 , 0.02229 , 0.02485 , 0.032762 , 0.043057 , 0.023146 , 0.024915 , 0.029047 , 0.034238 , 0.012755 , 0.032313 , 0.023444 , 0.020269 , 0.031859 , 0.028019 , 0.036491 , 0.043047 , 0.026921 , 0.046514 , 0.024749 , 0.043879 , 0.025439 , 0.020551 , 0.024426 , 0.021201 , 0.019483 , 0.022284 , 0.023675 , 0.045421 , 0.028816 , 0.034621 , 0.034727 , 0.024028 , 0.076731 , 0.018888 , 0.056119 , 0.031003 , 0.031739 
 499 , 0.030705 , 0.025959 , 0.023655 , 0.024307 , 0.025489 , 0.0322 , 0.039134 , 0.030058 , 0.030932 , 0.034045 , 0.028223 , 0.057043 , 0.030694 , 0.03212 , 0.032903 , 0.052146 , 0.043277 , 0.041984 , 0.043616 , 0.028087 , 0.046749 , 0.038512 , 0.057316 , 0.03405 , 0.027556 , 0.055062 , 0.023893 , 0.031938 , 0.030134 , 0.029381 , 0.030053 , 0.024605 , 0.030689 , 0.030902 , 0.031018 , 0.020734 , 0.034252 , 0.01938 , 0.015661 , 0.036617 , 0.030993 , 0.02932 , 0.027885 , 0.022493 , 0.025115 , 0.03307 , 0.043525 , 0.023448 , 0.025247 , 0.029381 , 0.03455 , 0.012911 , 0.0326 , 0.023721 , 0.020507 , 0.03218 , 0.028314 , 0.036875 , 0.043495 , 0.027177 , 0.046865 , 0.024923 , 0.044192 , 0.025596 , 0.02083 , 0.024671 , 0.021457 , 0.019729 , 0.022518 , 0.024019 , 0.04593 , 0.029103 , 0.03504 , 0.035066 , 0.024287 , 0.077418 , 0.019077 , 0.056624 , 0.031372 , 0.032034 
 500 , 0.031079 , 0.026275 , 0.023934 , 0.024547 , 0.025692 , 0.032569 , 0.039496 , 0.03039 , 0.031292 , 0.034419 , 0.02849 , 0.057405 , 0.030968 , 0.032483 , 0.033299 , 0.05255 , 0.043581 , 0.042293 , 0.044027 , 0.028484 , 0.04729 , 0.038939 , 0.057957 , 0.034419 , 0.027917 , 0.055651 , 0.024147 , 0.032285 , 0.030496 , 0.029731 , 0.030425 , 0.024892 , 0.031038 , 0.031287 , 0.031307 , 0.020985 , 0.034692 , 0.019561 , 0.01573 , 0.036967 , 0.031322 , 0.029696 , 0.028191 , 0.022723 , 0.025398 , 0.033435 , 0.044032 , 0.023767 , 0.025596 , 0.029736 , 0.0349 , 0.013064 , 0.032949 , 0.024005 , 0.020767 , 0.032528 , 0.028631 , 0.037292 , 0.043966 , 0.027471 , 0.047255 , 0.02514 , 0.044548 , 0.025773 , 0.021137 , 0.024937 , 0.021735 , 0.020007 , 0.022778 , 0.02439 , 0.046499 , 0.029432 , 0.035483 , 0.035437 , 0.024567 , 0.078166 , 0.019282 , 0.057156 , 0.031768 , 0.032361 
 501 , 0.031638 , 0.026639 , 0.024297 , 0.024826 , 0.026043 , 0.033059 , 0.040085 , 0.030798 , 0.031689 , 0.034994 , 0.028879 , 0.057926 , 0.031364 , 0.032901 , 0.033828 , 0.053079 , 0.043985 , 0.042626 , 0.04454 , 0.028986 , 0.047967 , 0.03949 , 0.058771 , 0.034907 , 0.028375 , 0.056414 , 0.0245 , 0.032733 , 0.030977 , 0.030198 , 0.030921 , 0.025223 , 0.03147 , 0.031786 , 0.031613 , 0.021354 , 0.035304 , 0.019755 , 0.015896 , 0.037422 , 0.031735 , 0.030131 , 0.028604 , 0.023039 , 0.025737 , 0.033991 , 0.044678 , 0.024129 , 0.025997 , 0.030172 , 0.035355 , 0.013192 , 0.033487 , 0.024332 , 0.021094 , 0.032983 , 0.029011 , 0.037804 , 0.044535 , 0.027871 , 0.047779 , 0.025473 , 0.045039 , 0.026028 , 0.021532 , 0.025279 , 0.022107 , 0.020396 , 0.023136 , 0.024836 , 0.047269 , 0.029897 , 0.036002 , 0.03591 , 0.024887 , 0.079112 , 0.019551 , 0.057814 , 0.032249 , 0.032825 
 502 , 0.032197 , 0.027 , 0.024657 , 0.025102 , 0.026401 , 0.033548 , 0.040679 , 0.03121 , 0.032085 , 0.035568 , 0.029271 , 0.058445 , 0.031757 , 0.033323 , 0.034356 , 0.053611 , 0.044383 , 0.042955 , 0.045058 , 0.029491 , 0.048639 , 0.040039 , 0.059591 , 0.035395 , 0.028831 , 0.057182 , 0.024857 , 0.033174 , 0.03145 , 0.030663 , 0.03141 , 0.025552 , 0.031906 , 0.032284 , 0.031921 , 0.021726 , 0.035911 , 0.019956 , 0.016063 , 0.037881 , 0.032146 , 0.030571 , 0.029015 , 0.023347 , 0.026079 , 0.034545 , 0.045324 , 0.024493 , 0.026396 , 0.030606 , 0.035809 , 0.013321 , 0.034024 , 0.024657 , 0.021419 , 0.033435 , 0.029394 , 0.038316 , 0.045104 , 0.028269 , 0.048301 , 0.025808 , 0.045534 , 0.026279 , 0.021925 , 0.025624 , 0.022478 , 0.02079 , 0.023491 , 0.025286 , 0.04804 , 0.030366 , 0.03652 , 0.036382 , 0.025209 , 0.080059 , 0.019818 , 0.058471 , 0.032734 , 0.033282 
 503 , 0.032755 , 0.027358 , 0.025015 , 0.025385 , 0.026757 , 0.034035 , 0.041271 , 0.031619 , 0.032477 , 0.036147 , 0.029661 , 0.058967 , 0.032154 , 0.033742 , 0.034888 , 0.054146 , 0.044787 , 0.043291 , 0.045573 , 0.029995 , 0.049315 , 0.040588 , 0.060406 , 0.035885 , 0.029286 , 0.057949 , 0.025215 , 0.033618 , 0.031933 , 0.031126 , 0.031907 , 0.025883 , 0.032339 , 0.032786 , 0.032231 , 0.02209 , 0.036522 , 0.020158 , 0.016231 , 0.038337 , 0.032554 , 0.031007 , 0.029424 , 0.023663 , 0.026418 , 0.035099 , 0.045964 , 0.024855 , 0.026793 , 0.031038 , 0.036265 , 0.013456 , 0.034559 , 0.024984 , 0.021741 , 0.033891 , 0.029774 , 0.03883 , 0.045671 , 0.028669 , 0.048821 , 0.02614 , 0.046025 , 0.026531 , 0.022316 , 0.025971 , 0.022851 , 0.02118 , 0.023848 , 0.025734 , 0.048811 , 0.030838 , 0.037041 , 0.036856 , 0.025529 , 0.081001 , 0.020081 , 0.059126 , 0.033212 , 0.033742 
 504 , 0.033569 , 0.027898 , 0.025406 , 0.02584 , 0.02721 , 0.034629 , 0.042007 , 0.032132 , 0.033104 , 0.0368 , 0.030084 , 0.059595 , 0.032695 , 0.034314 , 0.035529 , 0.054911 , 0.045259 , 0.043852 , 0.046256 , 0.030591 , 0.050201 , 0.041329 , 0.061446 , 0.036532 , 0.029826 , 0.058944 , 0.025643 , 0.03421 , 0.032597 , 0.031739 , 0.03254 , 0.026321 , 0.032975 , 0.033476 , 0.032716 , 0.022562 , 0.037343 , 0.020504 , 0.016441 , 0.038982 , 0.033124 , 0.031635 , 0.029991 , 0.024061 , 0.026833 , 0.035772 , 0.046773 , 0.025359 , 0.027355 , 0.03162 , 0.036831 , 0.013695 , 0.035249 , 0.025514 , 0.022236 , 0.034495 , 0.030312 , 0.039525 , 0.046453 , 0.029144 , 0.049555 , 0.026502 , 0.046675 , 0.026884 , 0.022867 , 0.026445 , 0.023363 , 0.021668 , 0.024335 , 0.026383 , 0.049762 , 0.031434 , 0.037731 , 0.037457 , 0.026 , 0.082178 , 0.020437 , 0.060009 , 0.033864 , 0.034355 
 505 , 0.034422 , 0.028463 , 0.025804 , 0.026314 , 0.027682 , 0.035239 , 0.04276 , 0.032663 , 0.033766 , 0.037467 , 0.030514 , 0.060236 , 0.033267 , 0.034906 , 0.036186 , 0.055713 , 0.045742 , 0.044446 , 0.046959 , 0.031201 , 0.051118 , 0.042099 , 0.062516 , 0.037201 , 0.030373 , 0.059981 , 0.02609 , 0.034823 , 0.033287 , 0.032371 , 0.033199 , 0.026772 , 0.033641 , 0.034198 , 0.033225 , 0.023045 , 0.0382 , 0.020875 , 0.016654 , 0.039658 , 0.033719 , 0.032293 , 0.030576 , 0.024476 , 0.027256 , 0.036457 , 0.047605 , 0.025882 , 0.027943 , 0.032221 , 0.037415 , 0.013958 , 0.035963 , 0.026069 , 0.022759 , 0.035114 , 0.030878 , 0.040251 , 0.047261 , 0.029629 , 0.050311 , 0.02687 , 0.047339 , 0.027256 , 0.023446 , 0.026943 , 0.023893 , 0.022166 , 0.024846 , 0.027058 , 0.050743 , 0.032054 , 0.038445 , 0.038076 , 0.026496 , 0.08339 , 0.020807 , 0.060928 , 0.034542 , 0.034989 
 506 , 0.035273 , 0.029028 , 0.026199 , 0.026796 , 0.028148 , 0.035849 , 0.043513 , 0.033193 , 0.034424 , 0.038128 , 0.03094 , 0.060875 , 0.033832 , 0.035498 , 0.036844 , 0.056516 , 0.046222 , 0.045043 , 0.047668 , 0.031815 , 0.052037 , 0.042869 , 0.063583 , 0.037871 , 0.030925 , 0.061011 , 0.026535 , 0.035435 , 0.033979 , 0.033004 , 0.033858 , 0.027221 , 0.034309 , 0.034917 , 0.033738 , 0.023527 , 0.03905 , 0.021249 , 0.016874 , 0.040328 , 0.034314 , 0.032947 , 0.03116 , 0.024895 , 0.027682 , 0.037148 , 0.048433 , 0.026404 , 0.028531 , 0.032826 , 0.037992 , 0.014218 , 0.036677 , 0.026629 , 0.023286 , 0.035739 , 0.031443 , 0.040973 , 0.048071 , 0.030113 , 0.051068 , 0.027237 , 0.048008 , 0.027619 , 0.02402 , 0.027441 , 0.024423 , 0.022663 , 0.025356 , 0.027734 , 0.051723 , 0.032669 , 0.039155 , 0.038694 , 0.02699 , 0.084601 , 0.02118 , 0.061849 , 0.03522 , 0.035624 
 507 , 0.036131 , 0.029593 , 0.026646 , 0.027242 , 0.028607 , 0.0365 , 0.044218 , 0.033779 , 0.035087 , 0.038825 , 0.031417 , 0.06149 , 0.034423 , 0.036094 , 0.037533 , 0.057278 , 0.046707 , 0.04561 , 0.048362 , 0.032488 , 0.052954 , 0.043628 , 0.064669 , 0.038577 , 0.031507 , 0.062044 , 0.02701 , 0.036062 , 0.034702 , 0.033637 , 0.034581 , 0.02769 , 0.034966 , 0.035651 , 0.034233 , 0.024031 , 0.039937 , 0.0216 , 0.017066 , 0.041002 , 0.034902 , 0.033611 , 0.031776 , 0.025323 , 0.02817 , 0.037865 , 0.049259 , 0.026973 , 0.029134 , 0.033474 , 0.038609 , 0.014467 , 0.037433 , 0.0272 , 0.023788 , 0.036357 , 0.032003 , 0.041709 , 0.048879 , 0.030637 , 0.051842 , 0.027621 , 0.048684 , 0.027948 , 0.024616 , 0.027948 , 0.024969 , 0.023177 , 0.025876 , 0.028428 , 0.052749 , 0.033321 , 0.039879 , 0.03931 , 0.027521 , 0.085753 , 0.021553 , 0.062756 , 0.03592 , 0.036273 
