AUG5MAT00005.spu,AUG5MAT00004.spu,AUG5MAT00003.spu,
Wavelength,AUG5MAT00006.spu,AUG5MAT00007.spu,AUG5MAT00008.spu,AUG5MAT00009.spu,AUG5MAT00010.spu,AUG5MAT00011.spu,AUG5MAT00012.spu,AUG5MAT00013.spu,AUG5MAT00014.spu,AUG5MAT00015.spu,AUG5MAT00016.spu,AUG5MAT00017.spu,AUG5MAT00018.spu,AUG5MAT00019.spu,AUG5MAT00020.spu,AUG5MAT00021.spu,AUG5MAT00022.spu,AUG5MAT00023.spu,AUG5MAT00024.spu,AUG5MAT00025.spu,AUG5MAT00026.spu,AUG5MAT00027.spu,AUG5MAT00028.spu,AUG5MAT00029.spu,AUG5MAT00030.spu,AUG5MAT00031.spu,AUG5MAT00032.spu,AUG5MAT00033.spu,AUG5MAT00034.spu,AUG5MAT00035.spu,AUG5MAT00036.spu,AUG5MAT00037.spu,AUG5MAT00038.spu,AUG5MAT00039.spu,AUG5MAT00040.spu,AUG5MAT00041.spu,AUG5MAT00042.spu,AUG5MAT00043.spu,AUG5MAT00044.spu,AUG5MAT00045.spu,AUG5MAT00046.spu,AUG5MAT00047.spu,AUG5MAT00048.spu,AUG5MAT00049.spu,AUG5MAT00050.spu,AUG5MAT00051.spu,AUG5MAT00052.spu,AUG5MAT00053.spu,AUG5MAT00054.spu,AUG5MAT00055.spu,AUG5MAT00056.spu,AUG5MAT00057.spu,AUG5MAT00058.spu,AUG5MAT00059.spu,AUG5MAT00060.spu,AUG5MAT00061.spu,AUG5MAT00062.spu,AUG5MAT00063.spu,AUG5MAT00064.spu,AUG5MAT00065.spu,AUG5MAT00066.spu,AUG5MAT00067.spu,AUG5MAT00068.spu,AUG5MAT00069.spu,AUG5MAT00070.spu,AUG5MAT00071.spu,AUG5MAT00072.spu,AUG5MAT00073.spu,AUG5MAT00074.spu,AUG5MAT00075.spu,AUG5MAT00076.spu,AUG5MAT00077.spu,AUG5MAT00078.spu,AUG5MAT00079.spu,AUG5MAT00080.spu,AUG5MAT00081.spu,AUG5MAT00082.spu,AUG5MAT00083.spu,AUG5MAT00084.spu,AUG5MAT00085.spu
 316 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 317 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 318 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 319 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 320 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 321 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 322 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 323 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 324 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 325 , 0.112155 , 0.112155 , 0 , 0.112155 , 0 , 0.112155 , 0 , 0.112155 , 0 , 0 , 0 , 0.112155 , 0.112155 , 0.112155 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.112155 , 0.112155 , 0.112155 , 0.112155 , 0.112155 , 0.112155 , 0.112155 , 0.112155 , 0 , 0 , 0.112155 , 0 , 0 , 0 , 0.112155 , 0.112155 , 0.112155 , 0.112155 , 0 , 0.112155 , 0 , 0.112155 , 0.112155 , 0.112155 , 0.112155 , 0.112155 , 0.112155 , 0.112155 , 0.112155 , 0.112155 , 0.112155 , 0 , 0 , 0.112155 , 0.112155 , 0.112155 , 0.112155 , 0.112155 , 0.112155 , 0.112155 , 0.112155 , 0.112155 , 0.112155 , 0.112155 , 0.112155 , 0.112155 , 0.112155 , 0.112155 , 0.112155 , 0.112155 , 0.112155 , 0.112155 , 0.112155 , 0.112155 , 0.112155 , 0.112155 , 0.112155 , 0.112155 , 0 
