JUL8WSG100005.spu,JUL8WSG100004.spu,JUL8WSG100003.spu,
Wavelength,JUL8WSG100006.spu,JUL8WSG100007.spu,JUL8WSG100008.spu,JUL8WSG100009.spu,JUL8WSG100010.spu,JUL8WSG100011.spu,JUL8WSG100012.spu,JUL8WSG100013.spu,JUL8WSG100014.spu,JUL8WSG100015.spu,JUL8WSG100016.spu,JUL8WSG100017.spu,JUL8WSG100018.spu,JUL8WSG100019.spu,JUL8WSG100020.spu,JUL8WSG100021.spu,JUL8WSG100022.spu,JUL8WSG100023.spu,JUL8WSG100024.spu,JUL8WSG100025.spu
  (nm),7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3
  time  ,7:48 PM",7:56 PM",8:03 PM",8:10 PM",8:18 PM",8:43 PM",8:49 PM",8:56 PM",9:04 PM",9:14 PM",9:32 PM",9:36 PM",9:42 PM",9:48 PM",9:54 PM",0:24 PM",0:29 PM",0:37 PM",0:43 PM",0:49 PM"
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 354 , 0.033083 , 0.023986 , 0.015015 , 0.022909 , 0.010834 , 0.012539 , 0.013005 , 0.0111 , 0.02123 , 0.012405 , 0.012196 , 0.010921 , 0.015487 , 0.008262 , 0.006877 , 0.025313 , 0.052795 , 0.021794 , 0.018072 , 0.027819 
 355 , 0.035375 , 0.024646 , 0.014842 , 0.024567 , 0.011938 , 0.01364 , 0.013092 , 0.011299 , 0.021549 , 0.011774 , 0.013372 , 0.011086 , 0.016013 , 0.009088 , 0.007251 , 0.024772 , 0.059318 , 0.022054 , 0.020432 , 0.027068 
 356 , 0.033222 , 0.024697 , 0.015842 , 0.02303 , 0.011657 , 0.013254 , 0.013095 , 0.011815 , 0.019736 , 0.012224 , 0.012407 , 0.011651 , 0.016126 , 0.009371 , 0.00755 , 0.025659 , 0.046201 , 0.021767 , 0.020375 , 0.027802 
 357 , 0.031215 , 0.02467 , 0.016865 , 0.021673 , 0.011397 , 0.01285 , 0.01307 , 0.012301 , 0.018199 , 0.012672 , 0.011529 , 0.012175 , 0.016217 , 0.009597 , 0.007806 , 0.026561 , 0.038113 , 0.021476 , 0.020198 , 0.028528 
 358 , 0.029504 , 0.024603 , 0.017849 , 0.020568 , 0.0112 , 0.012492 , 0.013027 , 0.012743 , 0.016945 , 0.013073 , 0.0108 , 0.012642 , 0.016302 , 0.009798 , 0.008028 , 0.027413 , 0.032924 , 0.021206 , 0.020031 , 0.029175 
 359 , 0.028145 , 0.024851 , 0.018361 , 0.021188 , 0.011079 , 0.012651 , 0.013552 , 0.013535 , 0.016757 , 0.013374 , 0.010776 , 0.012801 , 0.016193 , 0.009764 , 0.008484 , 0.027938 , 0.032205 , 0.02098 , 0.019673 , 0.030666 
 360 , 0.027046 , 0.02529 , 0.018503 , 0.023036 , 0.010981 , 0.013142 , 0.014489 , 0.014593 , 0.017211 , 0.013591 , 0.011177 , 0.012743 , 0.015931 , 0.009571 , 0.009138 , 0.028187 , 0.033863 , 0.020787 , 0.019227 , 0.032839 
 361 , 0.026079 , 0.025657 , 0.018608 , 0.02493 , 0.010872 , 0.01359 , 0.015394 , 0.015626 , 0.017612 , 0.013775 , 0.011528 , 0.012674 , 0.015659 , 0.009388 , 0.0098 , 0.028377 , 0.035436 , 0.020602 , 0.018843 , 0.035028 
 362 , 0.025618 , 0.025929 , 0.0188 , 0.026351 , 0.010833 , 0.013968 , 0.01612 , 0.016469 , 0.018123 , 0.013931 , 0.011683 , 0.012696 , 0.015267 , 0.009383 , 0.010399 , 0.028322 , 0.035983 , 0.020447 , 0.018453 , 0.036209 
 363 , 0.026854 , 0.026056 , 0.019468 , 0.025659 , 0.011096 , 0.014205 , 0.016213 , 0.016605 , 0.01925 , 0.014071 , 0.011247 , 0.013105 , 0.014493 , 0.010019 , 0.010646 , 0.027537 , 0.033041 , 0.020416 , 0.017941 , 0.033528 
 364 , 0.028041 , 0.026166 , 0.020101 , 0.025063 , 0.011342 , 0.014422 , 0.016303 , 0.016733 , 0.020338 , 0.0142 , 0.01087 , 0.013487 , 0.013898 , 0.010594 , 0.010877 , 0.026912 , 0.030773 , 0.020399 , 0.017535 , 0.031488 
 365 , 0.029183 , 0.026262 , 0.020703 , 0.024544 , 0.011572 , 0.014622 , 0.01639 , 0.016854 , 0.021389 , 0.014319 , 0.010541 , 0.013847 , 0.013429 , 0.011119 , 0.011094 , 0.026407 , 0.028968 , 0.020393 , 0.017205 , 0.029886 
