  time  ,36:42 PM,36:53 PM,37:04 PM,37:12 PM,37:24 PM,37:50 PM,37:55 PM,38:01 PM,38:10 PM,38:19 PM,38:40 PM,38:48 PM,39:08 PM,39:18 PM,39:28 PM,40:06 PM,40:15 PM,40:24 PM,40:36 PM,40:44 PM,41:49 PM,41:56 PM,42:05 PM,42:12 PM,42:21 PM,42:49 PM,42:57 PM,43:03 PM,43:10 PM,43:19 PM,44:01 PM,44:10 PM,44:17 PM,44:24 PM,44:31 PM,44:57 PM,45:06 PM,45:13 PM,45:21 PM,45:29 PM,46:49 PM,47:14 PM,47:26 PM,47:33 PM,47:40 PM,47:47 PM,48:34 PM,48:42 PM,48:50 PM,49:00 PM,49:07 PM,49:45 PM,49:53 PM,50:00 PM,50:08 PM,50:16 PM,50:51 PM,50:59 PM,51:08 PM,51:17 PM,51:24 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 572 , 0.10295 , 0.07394 , 0.10807 , 0.11929 , 0.10495 , 0.07641 , 0.08273 , 0.08608 , 0.07346 , 0.06094 , 0.07512 , 0.08959 , 0.07351 , 0.07096 , 0.06085 , 0.08803 , 0.08711 , 0.08499 , 0.07633 , 0.10076 , 0.08413 , 0.09867 , 0.11502 , 0.09349 , 0.09843 , 0.07098 , 0.06809 , 0.06887 , 0.0765 , 0.08 , 0.09484 , 0.10391 , 0.09703 , 0.10532 , 0.10224 , 0.09842 , 0.07177 , 0.07682 , 0.08419 , 0.08145 , 0.09056 , 0.08914 , 0.0921 , 0.1118 , 0.11998 , 0.10576 , 0.10658 , 0.11383 , 0.11102 , 0.09666 , 0.08776 , 0.07871 , 0.06189 , 0.06701 , 0.06014 , 0.06342 , 0.09052 , 0.07942 , 0.075 , 0.0821 , 0.09108 
 573 , 0.10334 , 0.07416 , 0.10844 , 0.11981 , 0.10537 , 0.07639 , 0.08247 , 0.086 , 0.07344 , 0.06087 , 0.07516 , 0.08876 , 0.07254 , 0.07008 , 0.06068 , 0.0883 , 0.08736 , 0.08531 , 0.07627 , 0.10131 , 0.08433 , 0.09903 , 0.11567 , 0.09386 , 0.09898 , 0.07083 , 0.0678 , 0.06869 , 0.07622 , 0.07973 , 0.09508 , 0.10417 , 0.09721 , 0.1057 , 0.10263 , 0.09857 , 0.07162 , 0.07685 , 0.08424 , 0.08157 , 0.09088 , 0.08951 , 0.09243 , 0.11234 , 0.12051 , 0.10621 , 0.1069 , 0.1142 , 0.11158 , 0.09705 , 0.08813 , 0.07786 , 0.06147 , 0.06681 , 0.05993 , 0.06329 , 0.09079 , 0.07956 , 0.07525 , 0.08226 , 0.0914 
 574 , 0.10374 , 0.07439 , 0.10882 , 0.12034 , 0.10581 , 0.07638 , 0.08221 , 0.08595 , 0.07343 , 0.06082 , 0.07522 , 0.08797 , 0.07162 , 0.06926 , 0.06052 , 0.08861 , 0.08761 , 0.08564 , 0.07624 , 0.10187 , 0.08455 , 0.09941 , 0.11633 , 0.09425 , 0.09953 , 0.07068 , 0.06752 , 0.06855 , 0.07595 , 0.07949 , 0.09531 , 0.10444 , 0.0974 , 0.10608 , 0.10301 , 0.09874 , 0.07149 , 0.07689 , 0.08429 , 0.0817 , 0.0912 , 0.08988 , 0.09274 , 0.11287 , 0.12106 , 0.10666 , 0.10722 , 0.11456 , 0.11212 , 0.09748 , 0.08853 , 0.07707 , 0.06107 , 0.06664 , 0.05978 , 0.06318 , 0.09111 , 0.07972 , 0.07552 , 0.08243 , 0.09171 
 575 , 0.10417 , 0.07464 , 0.10923 , 0.12089 , 0.10628 , 0.07638 , 0.08198 , 0.08591 , 0.07346 , 0.06077 , 0.07529 , 0.08724 , 0.07076 , 0.0685 , 0.06037 , 0.08895 , 0.08786 , 0.08599 , 0.07625 , 0.10245 , 0.0848 , 0.0998 , 0.117 , 0.09467 , 0.10011 , 0.07052 , 0.06724 , 0.06848 , 0.07571 , 0.07929 , 0.09551 , 0.1047 , 0.09761 , 0.10648 , 0.10342 , 0.09895 , 0.07136 , 0.07693 , 0.08436 , 0.08185 , 0.09151 , 0.09027 , 0.09307 , 0.11338 , 0.12161 , 0.10715 , 0.10754 , 0.1149 , 0.11262 , 0.09796 , 0.08897 , 0.07634 , 0.06072 , 0.0665 , 0.05971 , 0.06312 , 0.09149 , 0.07992 , 0.07582 , 0.0826 , 0.09202 
 576 , 0.1046 , 0.07489 , 0.10965 , 0.12145 , 0.10675 , 0.07637 , 0.08175 , 0.08588 , 0.07349 , 0.06073 , 0.07537 , 0.08649 , 0.06988 , 0.06774 , 0.06022 , 0.0893 , 0.08812 , 0.08635 , 0.07626 , 0.10303 , 0.08505 , 0.10019 , 0.11769 , 0.09509 , 0.10069 , 0.07036 , 0.06696 , 0.0684 , 0.07546 , 0.07909 , 0.09573 , 0.10497 , 0.09783 , 0.10688 , 0.10384 , 0.09917 , 0.07124 , 0.07697 , 0.08443 , 0.082 , 0.09183 , 0.09066 , 0.09341 , 0.1139 , 0.12217 , 0.10763 , 0.10786 , 0.11524 , 0.11313 , 0.09846 , 0.08941 , 0.0756 , 0.06036 , 0.06635 , 0.05963 , 0.06306 , 0.09188 , 0.08011 , 0.07613 , 0.08277 , 0.09233 
 577 , 0.10501 , 0.07513 , 0.11006 , 0.12199 , 0.10721 , 0.07635 , 0.0815 , 0.08584 , 0.07351 , 0.06069 , 0.07542 , 0.08575 , 0.069 , 0.06698 , 0.06006 , 0.08962 , 0.08837 , 0.08669 , 0.07626 , 0.10361 , 0.08529 , 0.10056 , 0.11835 , 0.0955 , 0.10126 , 0.07019 , 0.06667 , 0.06831 , 0.0752 , 0.07889 , 0.09592 , 0.10521 , 0.09802 , 0.10728 , 0.10424 , 0.09937 , 0.07111 , 0.07701 , 0.08449 , 0.08214 , 0.09213 , 0.09104 , 0.09373 , 0.1144 , 0.1227 , 0.1081 , 0.10816 , 0.11557 , 0.11362 , 0.09894 , 0.08984 , 0.07487 , 0.06001 , 0.06621 , 0.05954 , 0.06298 , 0.09224 , 0.0803 , 0.07643 , 0.08294 , 0.09263 
 578 , 0.10528 , 0.07527 , 0.11036 , 0.12237 , 0.10752 , 0.07626 , 0.08118 , 0.08573 , 0.07346 , 0.06062 , 0.07529 , 0.08507 , 0.06817 , 0.06632 , 0.05986 , 0.08977 , 0.08852 , 0.08688 , 0.07617 , 0.10401 , 0.08548 , 0.10082 , 0.11883 , 0.0958 , 0.10167 , 0.07001 , 0.06632 , 0.06813 , 0.0749 , 0.07867 , 0.09604 , 0.10536 , 0.09809 , 0.10759 , 0.10451 , 0.0995 , 0.07094 , 0.07702 , 0.08449 , 0.0822 , 0.09233 , 0.09133 , 0.09398 , 0.11481 , 0.12309 , 0.10845 , 0.10834 , 0.11578 , 0.11402 , 0.09928 , 0.09008 , 0.07423 , 0.05969 , 0.06603 , 0.05938 , 0.06282 , 0.09245 , 0.08041 , 0.07661 , 0.08306 , 0.0928 
 579 , 0.10555 , 0.07542 , 0.11066 , 0.12275 , 0.10782 , 0.07616 , 0.08086 , 0.08562 , 0.07341 , 0.06055 , 0.07516 , 0.08437 , 0.06731 , 0.06565 , 0.05964 , 0.08992 , 0.08866 , 0.08705 , 0.07607 , 0.1044 , 0.08568 , 0.10108 , 0.11933 , 0.0961 , 0.10207 , 0.06983 , 0.06596 , 0.06793 , 0.07457 , 0.07844 , 0.09617 , 0.10553 , 0.09817 , 0.10791 , 0.10479 , 0.09963 , 0.07077 , 0.07703 , 0.0845 , 0.08227 , 0.09254 , 0.09162 , 0.09424 , 0.11523 , 0.12349 , 0.10881 , 0.10854 , 0.11601 , 0.11443 , 0.09962 , 0.09032 , 0.07356 , 0.05936 , 0.06584 , 0.05921 , 0.06265 , 0.09266 , 0.08051 , 0.07679 , 0.08317 , 0.09298 
 580 , 0.10582 , 0.07556 , 0.11097 , 0.12313 , 0.10812 , 0.07606 , 0.08052 , 0.0855 , 0.07336 , 0.06048 , 0.07502 , 0.08366 , 0.06644 , 0.06496 , 0.05941 , 0.09007 , 0.08881 , 0.08723 , 0.07596 , 0.1048 , 0.08588 , 0.10135 , 0.11983 , 0.0964 , 0.10248 , 0.06964 , 0.0656 , 0.06774 , 0.07424 , 0.07821 , 0.0963 , 0.10569 , 0.09825 , 0.10824 , 0.10508 , 0.09976 , 0.07061 , 0.07705 , 0.0845 , 0.08234 , 0.09275 , 0.09191 , 0.09449 , 0.11565 , 0.1239 , 0.10917 , 0.10874 , 0.11624 , 0.11485 , 0.09996 , 0.09056 , 0.07288 , 0.05902 , 0.06565 , 0.05903 , 0.06248 , 0.09287 , 0.08061 , 0.07697 , 0.08328 , 0.09315 
 581 , 0.10589 , 0.07554 , 0.11097 , 0.12322 , 0.10817 , 0.07581 , 0.0801 , 0.08524 , 0.07313 , 0.06031 , 0.07476 , 0.08289 , 0.06558 , 0.06419 , 0.05912 , 0.09003 , 0.08878 , 0.08725 , 0.07576 , 0.10495 , 0.08589 , 0.10139 , 0.12007 , 0.09649 , 0.10265 , 0.06935 , 0.06521 , 0.06743 , 0.07381 , 0.07786 , 0.0962 , 0.1056 , 0.09814 , 0.1083 , 0.10515 , 0.09968 , 0.07032 , 0.07689 , 0.08433 , 0.08222 , 0.09273 , 0.09197 , 0.09458 , 0.11579 , 0.12404 , 0.1093 , 0.10867 , 0.1162 , 0.11496 , 0.10007 , 0.09061 , 0.07218 , 0.05859 , 0.06538 , 0.05875 , 0.06224 , 0.09287 , 0.08057 , 0.077 , 0.08321 , 0.09316 
