
Wavelength,SHB2_00006_B2_NP.spu,SHB2_00007_B2_NP.spu,SHB2_00008_B2_NP.spu,SHB2_00009_B2_NP.spu,SHB2_00010_B2_NP.spu,SHB2_00011_B2_CT1.spu,SHB2_00012_B2_CT1.spu,SHB2_00013_B2_CT1.spu,SHB2_00014_B2_CT1.spu,SHB2_00015_B2_CT1.spu,SHB2_00016_B2_N.spu,SHB2_00017_B2_N.spu,SHB2_00018_B2_N.spu,SHB2_00019_B2_N.spu,SHB2_00020_B2_N.spu,SHB2_00021_B2_P.spu,SHB2_00022_B2_P.spu,SHB2_00023_B2_P.spu,SHB2_00024_B2_P.spu,SHB2_00025_B2_P.spu
  (nm),6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 
  time  ,26:11 AM,26:32 AM,26:46 AM,26:58 AM,27:13 AM,29:20 AM,30:01 AM,30:24 AM,30:46 AM,31:20 AM,32:19 AM,32:33 AM,32:44 AM,33:04 AM,33:17 AM,34:32 AM,34:40 AM,34:49 AM,34:58 AM,35:06 AM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 310 , 0.09343 , 0.03748 , 0.03857 , 0.01943 , 0.06829 , 0.03816 , 0 , 0 , 0.04152 , 0.04755 , 0.04236 , 0.01494 , 0.06745 , 0.06486 , 0.05952 , 0.06441 , 0.08074 , 0.14585 , 0.1199 , 0.10075 
 311 , 0.12163 , 0.05332 , 0.05484 , 0.02672 , 0.0835 , 0.05338 , 0 , 0 , 0.04784 , 0.06635 , 0.06049 , 0.02132 , 0.08786 , 0.08228 , 0.06443 , 0.08225 , 0.08613 , 0.15134 , 0.12892 , 0.09198 
 312 , 0.09302 , 0.04111 , 0.04195 , 0.02087 , 0.06292 , 0.04174 , 0 , 0 , 0.03613 , 0.05115 , 0.05738 , 0.01667 , 0.06513 , 0.06888 , 0.05933 , 0.06888 , 0.09802 , 0.14491 , 0.11797 , 0.09434 
 313 , 0.05569 , 0.02459 , 0.02489 , 0.01269 , 0.03733 , 0.02539 , 0 , 0 , 0.02164 , 0.03064 , 0.05101 , 0.01012 , 0.03779 , 0.05066 , 0.0526 , 0.05066 , 0.11088 , 0.13682 , 0.10394 , 0.09833 
 314 , 0.01891 , 0.00835 , 0.00838 , 0.00438 , 0.01257 , 0.00876 , 0 , 0 , 0.00735 , 0.01041 , 0.0448 , 0.00349 , 0.01245 , 0.03266 , 0.04596 , 0.03266 , 0.12375 , 0.12893 , 0.09025 , 0.10212 
 315 , 0.00982 , 0.01058 , 0.01076 , 0 , 0.01085 , 0.00391 , 0 , 0.00331 , 0.00326 , 0 , 0.04333 , 0.00309 , 0.00565 , 0.02819 , 0.03543 , 0.03971 , 0.13158 , 0.11926 , 0.09241 , 0.10723 
