  time  ,43:20 PM,43:36 PM,43:46 PM,43:59 PM,44:08 PM,45:32 PM,45:47 PM,45:59 PM,46:13 PM,46:25 PM,47:26 PM,47:37 PM,47:47 PM,47:56 PM,48:06 PM,48:43 PM,48:54 PM,49:04 PM,49:14 PM,49:26 PM,51:21 PM,51:33 PM,51:46 PM,51:59 PM,52:12 PM,53:19 PM,53:29 PM,53:40 PM,53:51 PM,54:04 PM,54:33 PM,54:43 PM,55:01 PM,55:15 PM,55:27 PM,56:16 PM,56:26 PM,56:36 PM,56:50 PM,57:00 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 1082 , 0.35118 , 0.43781 , 0.32548 , 0.36752 , 0.35145 , 0.31308 , 0.27736 , 0.19553 , 0.20615 , 0.31184 , 0.22631 , 0.23183 , 0.2274 , 0.26294 , 0.25138 , 0.34442 , 0.30344 , 0.29542 , 0.23391 , 0.26773 , 0.33238 , 0.24474 , 0.28205 , 0.29827 , 0.36824 , 0.17308 , 0.17888 , 0.19235 , 0.19563 , 0.23653 , 0.26196 , 0.20205 , 0.14594 , 0.18166 , 0.17981 , 0.23356 , 0.25243 , 0.26479 , 0.20847 , 0.32607 
 1083 , 0.34578 , 0.43201 , 0.31952 , 0.36638 , 0.3437 , 0.31259 , 0.27586 , 0.1921 , 0.20296 , 0.30675 , 0.22551 , 0.22955 , 0.22434 , 0.26103 , 0.25025 , 0.34102 , 0.30001 , 0.29411 , 0.23302 , 0.2663 , 0.32533 , 0.24205 , 0.27902 , 0.29169 , 0.3605 , 0.17029 , 0.17391 , 0.191 , 0.19537 , 0.23416 , 0.25964 , 0.19917 , 0.14531 , 0.18001 , 0.17717 , 0.23161 , 0.24693 , 0.26203 , 0.20227 , 0.32643 
 1084 , 0.34136 , 0.42485 , 0.31415 , 0.36462 , 0.3358 , 0.31153 , 0.27404 , 0.18927 , 0.1992 , 0.3016 , 0.22348 , 0.22675 , 0.2212 , 0.2592 , 0.24848 , 0.33716 , 0.29509 , 0.2924 , 0.23161 , 0.26434 , 0.31834 , 0.23862 , 0.27497 , 0.28472 , 0.35325 , 0.16764 , 0.16926 , 0.18825 , 0.19436 , 0.23159 , 0.25692 , 0.19598 , 0.14411 , 0.17752 , 0.17415 , 0.22936 , 0.24115 , 0.25797 , 0.197 , 0.32523 
 1085 , 0.34062 , 0.4136 , 0.31117 , 0.3609 , 0.32783 , 0.30866 , 0.27139 , 0.18873 , 0.19389 , 0.29672 , 0.21751 , 0.22242 , 0.21808 , 0.25784 , 0.24467 , 0.33207 , 0.28558 , 0.28952 , 0.22855 , 0.26072 , 0.31206 , 0.23297 , 0.26784 , 0.2769 , 0.34828 , 0.16566 , 0.16603 , 0.18102 , 0.19095 , 0.22861 , 0.25315 , 0.19206 , 0.14113 , 0.17238 , 0.17011 , 0.22633 , 0.23482 , 0.24987 , 0.19534 , 0.31891 
 1086 , 0.33842 , 0.40378 , 0.30806 , 0.35049 , 0.32065 , 0.30442 , 0.26554 , 0.18713 , 0.18708 , 0.28891 , 0.20893 , 0.21826 , 0.21416 , 0.25171 , 0.23877 , 0.32578 , 0.27442 , 0.2829 , 0.22364 , 0.25541 , 0.30511 , 0.22747 , 0.25959 , 0.26845 , 0.3415 , 0.16312 , 0.16217 , 0.17243 , 0.1862 , 0.22325 , 0.24496 , 0.18608 , 0.13685 , 0.16676 , 0.1645 , 0.22053 , 0.22826 , 0.24292 , 0.19244 , 0.30976 
 1087 , 0.33591 , 0.39388 , 0.30483 , 0.33889 , 0.3134 , 0.29983 , 0.25901 , 0.1853 , 0.17991 , 0.2805 , 0.1998 , 0.21398 , 0.21 , 0.24471 , 0.23241 , 0.3191 , 0.26274 , 0.2756 , 0.21835 , 0.24971 , 0.29788 , 0.22183 , 0.25088 , 0.25972 , 0.33426 , 0.16041 , 0.15809 , 0.16347 , 0.18112 , 0.21739 , 0.23591 , 0.17964 , 0.13227 , 0.1609 , 0.15851 , 0.21421 , 0.22145 , 0.23592 , 0.18927 , 0.29993 
 1088 , 0.33107 , 0.39585 , 0.30581 , 0.33008 , 0.3133 , 0.29603 , 0.25667 , 0.18055 , 0.17939 , 0.27602 , 0.1955 , 0.21267 , 0.20677 , 0.24269 , 0.22993 , 0.31468 , 0.25834 , 0.26983 , 0.21832 , 0.24817 , 0.29182 , 0.21862 , 0.2492 , 0.25921 , 0.32894 , 0.15916 , 0.15423 , 0.15931 , 0.18066 , 0.21567 , 0.23262 , 0.17667 , 0.12947 , 0.15784 , 0.15643 , 0.21115 , 0.21931 , 0.23347 , 0.18669 , 0.29651 
 1089 , 0.32471 , 0.39681 , 0.30605 , 0.32459 , 0.31283 , 0.29105 , 0.25494 , 0.17555 , 0.17999 , 0.27287 , 0.19241 , 0.21122 , 0.20347 , 0.24194 , 0.22857 , 0.30989 , 0.25442 , 0.26632 , 0.21965 , 0.24703 , 0.28655 , 0.21495 , 0.24671 , 0.25985 , 0.32389 , 0.15794 , 0.15026 , 0.1556 , 0.18079 , 0.21434 , 0.23244 , 0.17457 , 0.12695 , 0.1548 , 0.15501 , 0.2093 , 0.21641 , 0.2299 , 0.18382 , 0.29327 
 1090 , 0.31725 , 0.39658 , 0.30557 , 0.32146 , 0.31183 , 0.28513 , 0.25353 , 0.17039 , 0.18125 , 0.27057 , 0.19005 , 0.20954 , 0.20006 , 0.24199 , 0.22793 , 0.3047 , 0.2506 , 0.26444 , 0.22192 , 0.24605 , 0.28176 , 0.21082 , 0.24336 , 0.26113 , 0.31894 , 0.15667 , 0.14615 , 0.15204 , 0.18123 , 0.21315 , 0.23457 , 0.173 , 0.12457 , 0.15166 , 0.15395 , 0.20825 , 0.21278 , 0.2253 , 0.18068 , 0.28994 
 1091 , 0.30647 , 0.3925 , 0.30507 , 0.3232 , 0.30547 , 0.28023 , 0.25121 , 0.16742 , 0.18198 , 0.26853 , 0.1897 , 0.2061 , 0.1976 , 0.24024 , 0.22823 , 0.2958 , 0.248 , 0.26061 , 0.22141 , 0.24352 , 0.27898 , 0.20695 , 0.23953 , 0.25783 , 0.31316 , 0.15511 , 0.14428 , 0.15168 , 0.17868 , 0.21094 , 0.23744 , 0.1728 , 0.12082 , 0.15434 , 0.15343 , 0.20634 , 0.20955 , 0.224 , 0.17965 , 0.28634 
