
Wavelength,SHB2_00006_B2_NP.spu,SHB2_00007_B2_NP.spu,SHB2_00008_B2_NP.spu,SHB2_00009_B2_NP.spu,SHB2_00010_B2_NP.spu,SHB2_00011_B2_CT1.spu,SHB2_00012_B2_CT1.spu,SHB2_00013_B2_CT1.spu,SHB2_00014_B2_CT1.spu,SHB2_00015_B2_CT1.spu,SHB2_00016_B2_N.spu,SHB2_00017_B2_N.spu,SHB2_00018_B2_N.spu,SHB2_00019_B2_N.spu,SHB2_00020_B2_N.spu,SHB2_00021_B2_P.spu,SHB2_00022_B2_P.spu,SHB2_00023_B2_P.spu,SHB2_00024_B2_P.spu,SHB2_00025_B2_P.spu
  (nm),7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1
  time  ,11:19 AM,12:14 AM,12:44 AM,13:16 AM,13:47 AM,15:23 AM,15:59 AM,16:23 AM,16:56 AM,17:22 AM,18:17 AM,19:20 AM,20:04 AM,20:44 AM,21:10 AM,23:21 AM,23:38 AM,23:56 AM,24:17 AM,24:34 AM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 310 , 0.01783 , 0.02454 , 0.03311 , 0.00864 , 0.05163 , 0.04059 , 0.05028 , 0.0509 , 0.0419 , 0.03316 , 0.08482 , 0.05244 , 0.05497 , 0.03782 , 0.07018 , 0.07831 , 0.13017 , 0.12249 , 0.11947 , 0.12603 
 311 , 0.01389 , 0.03563 , 0.04736 , 0.01245 , 0.07353 , 0.05871 , 0.06128 , 0.06133 , 0.04899 , 0.04851 , 0.10045 , 0.07033 , 0.06226 , 0.03796 , 0.07358 , 0.10144 , 0.14488 , 0.13308 , 0.12843 , 0.14935 
 312 , 0.02259 , 0.04664 , 0.05236 , 0.00948 , 0.06666 , 0.05446 , 0.06526 , 0.0716 , 0.05017 , 0.04957 , 0.09107 , 0.06554 , 0.06808 , 0.04351 , 0.07593 , 0.10731 , 0.14575 , 0.13394 , 0.13266 , 0.14973 
 313 , 0.03287 , 0.05751 , 0.05582 , 0.00559 , 0.05538 , 0.04685 , 0.0681 , 0.0816 , 0.05036 , 0.0485 , 0.07852 , 0.05751 , 0.07351 , 0.04975 , 0.07812 , 0.11035 , 0.14455 , 0.13359 , 0.13605 , 0.14684 
 314 , 0.04261 , 0.06821 , 0.05921 , 0.00187 , 0.04436 , 0.03945 , 0.07083 , 0.09132 , 0.05055 , 0.04748 , 0.0666 , 0.0498 , 0.07869 , 0.05574 , 0.08024 , 0.11335 , 0.14337 , 0.13326 , 0.13941 , 0.14407 
 315 , 0.05773 , 0.07626 , 0.06004 , 0.0017 , 0.04154 , 0.03873 , 0.07622 , 0.09692 , 0.05149 , 0.05317 , 0.06676 , 0.04906 , 0.08438 , 0.06804 , 0.0885 , 0.11551 , 0.14609 , 0.1342 , 0.14386 , 0.14373 
 316 , 0.07873 , 0.08153 , 0.05838 , 0.00519 , 0.04727 , 0.04492 , 0.08435 , 0.09839 , 0.0534 , 0.06574 , 0.07923 , 0.05546 , 0.09062 , 0.08689 , 0.10307 , 0.11691 , 0.15299 , 0.13613 , 0.1497 , 0.1457 
 317 , 0.09943 , 0.08651 , 0.05681 , 0.00861 , 0.05271 , 0.05091 , 0.09209 , 0.09978 , 0.0552 , 0.07797 , 0.09145 , 0.06178 , 0.09677 , 0.10511 , 0.11706 , 0.11827 , 0.15962 , 0.13803 , 0.15523 , 0.14763 
 318 , 0.11657 , 0.09086 , 0.05753 , 0.01264 , 0.05877 , 0.05681 , 0.09963 , 0.10242 , 0.05752 , 0.08846 , 0.10177 , 0.06786 , 0.10233 , 0.12075 , 0.13016 , 0.12095 , 0.16574 , 0.14159 , 0.16088 , 0.15068 
 319 , 0.10491 , 0.09056 , 0.07718 , 0.02271 , 0.07178 , 0.06325 , 0.10689 , 0.11538 , 0.06447 , 0.08547 , 0.0974 , 0.07304 , 0.10395 , 0.11741 , 0.1378 , 0.13539 , 0.16825 , 0.15984 , 0.16756 , 0.16452 
 320 , 0.09357 , 0.09026 , 0.09697 , 0.03258 , 0.0847 , 0.06964 , 0.11419 , 0.12835 , 0.07146 , 0.08248 , 0.09314 , 0.07803 , 0.10551 , 0.11409 , 0.14555 , 0.14955 , 0.17073 , 0.17798 , 0.17424 , 0.1779 
 321 , 0.08253 , 0.08996 , 0.11689 , 0.04225 , 0.09754 , 0.07599 , 0.12155 , 0.14131 , 0.07849 , 0.07949 , 0.089 , 0.08282 , 0.10703 , 0.11079 , 0.15339 , 0.16345 , 0.17318 , 0.19601 , 0.18093 , 0.19086 
 322 , 0.08658 , 0.08772 , 0.11823 , 0.03786 , 0.10191 , 0.07342 , 0.12183 , 0.14279 , 0.08491 , 0.07665 , 0.08835 , 0.07375 , 0.10549 , 0.11223 , 0.15319 , 0.15885 , 0.17348 , 0.20129 , 0.18692 , 0.19064 
 323 , 0.09632 , 0.08467 , 0.11227 , 0.02796 , 0.10294 , 0.06725 , 0.11928 , 0.1398 , 0.09106 , 0.0738 , 0.08894 , 0.05894 , 0.10263 , 0.11548 , 0.1499 , 0.14701 , 0.17293 , 0.20161 , 0.19265 , 0.18511 
 324 , 0.10599 , 0.0816 , 0.10627 , 0.01798 , 0.10399 , 0.06101 , 0.1167 , 0.13681 , 0.09713 , 0.07092 , 0.08952 , 0.04384 , 0.09975 , 0.11873 , 0.14661 , 0.13518 , 0.17238 , 0.20192 , 0.19835 , 0.17955 
 325 , 0.11344 , 0.08539 , 0.10916 , 0.01568 , 0.10777 , 0.06177 , 0.12147 , 0.13875 , 0.10584 , 0.07365 , 0.09445 , 0.03969 , 0.10023 , 0.12393 , 0.14748 , 0.13343 , 0.18322 , 0.20667 , 0.20879 , 0.18357 
