
Wavelength,SHB2_00005.spu,SHB2_00006.spu,SHB2_00007.spu,SHB2_00008.spu,SHB2_00009.spu,SHB2_00010.spu,SHB2_00011.spu,SHB2_00012.spu,SHB2_00013.spu,SHB2_00014.spu,SHB2_00015.spu,SHB2_00016.spu,SHB2_00017.spu,SHB2_00018.spu,SHB2_00019.spu,SHB2_00020.spu,SHB2_00021.spu,SHB2_00022.spu,SHB2_00023.spu,SHB2_00024.spu
  (nm),7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 
  time  ,:49:13 A,:49:43 A,:50:11 A,:50:40 A,:51:06 A,:52:25 A,:52:45 A,:53:08 A,:53:25 A,:53:44 A,:54:29 A,:54:48 A,:55:08 A,:55:26 A,:55:50 A,:57:07 A,:57:20 A,:57:35 A,:57:51 A,:58:07 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 310 , 0.07657 , 0.04683 , 0.02109 , 0.03164 , 0.01883 , 0.06018 , 0.07062 , 0.06311 , 0.09009 , 0.09071 , 0.07823 , 0.04659 , 0.05176 , 0.07837 , 0.06844 , 0.07854 , 0.10051 , 0.06895 , 0.07657 , 0.05178 
 311 , 0.07535 , 0.0529 , 0.02964 , 0.03988 , 0.02136 , 0.06215 , 0.07611 , 0.06554 , 0.09497 , 0.09501 , 0.06835 , 0.0426 , 0.05399 , 0.08261 , 0.07367 , 0.0742 , 0.10455 , 0.07444 , 0.07535 , 0.05453 
 312 , 0.07211 , 0.04731 , 0.02563 , 0.03545 , 0.01859 , 0.0545 , 0.0783 , 0.0568 , 0.09464 , 0.09223 , 0.06576 , 0.03654 , 0.05082 , 0.08045 , 0.06806 , 0.07506 , 0.09083 , 0.07353 , 0.07396 , 0.05381 
 313 , 0.06851 , 0.04021 , 0.01961 , 0.02917 , 0.0151 , 0.04534 , 0.07997 , 0.04665 , 0.09348 , 0.08829 , 0.06441 , 0.03016 , 0.04691 , 0.07714 , 0.06091 , 0.07672 , 0.07464 , 0.07175 , 0.0726 , 0.05264 
 314 , 0.06496 , 0.03339 , 0.01362 , 0.02308 , 0.01177 , 0.03629 , 0.08157 , 0.03687 , 0.09235 , 0.08441 , 0.06311 , 0.02386 , 0.04312 , 0.07385 , 0.05398 , 0.07832 , 0.05894 , 0.07006 , 0.07129 , 0.05152 
 315 , 0.07138 , 0.03526 , 0.01619 , 0.0282 , 0.01694 , 0.04259 , 0.09022 , 0.0386 , 0.09974 , 0.09297 , 0.06602 , 0.03047 , 0.04939 , 0.07737 , 0.05982 , 0.08569 , 0.06708 , 0.07572 , 0.07996 , 0.05774 
 316 , 0.08824 , 0.04603 , 0.0277 , 0.04501 , 0.03078 , 0.06497 , 0.10612 , 0.05216 , 0.11604 , 0.11438 , 0.07329 , 0.05058 , 0.06601 , 0.08811 , 0.07885 , 0.09911 , 0.09995 , 0.08895 , 0.09895 , 0.07158 
 317 , 0.10459 , 0.05649 , 0.03881 , 0.06144 , 0.04407 , 0.08671 , 0.12146 , 0.06523 , 0.13196 , 0.13491 , 0.08027 , 0.0701 , 0.08205 , 0.09861 , 0.09722 , 0.1123 , 0.13189 , 0.10187 , 0.11739 , 0.0851 
 318 , 0.12007 , 0.06728 , 0.05042 , 0.0776 , 0.05673 , 0.10628 , 0.1362 , 0.07778 , 0.14703 , 0.1532 , 0.08867 , 0.08741 , 0.09775 , 0.10947 , 0.11479 , 0.12643 , 0.16116 , 0.11492 , 0.13524 , 0.09833 
 319 , 0.13112 , 0.08323 , 0.06965 , 0.09412 , 0.06751 , 0.11135 , 0.14926 , 0.08875 , 0.15726 , 0.15633 , 0.11132 , 0.08956 , 0.11431 , 0.12555 , 0.12925 , 0.15071 , 0.17271 , 0.13108 , 0.15143 , 0.11152 
 320 , 0.14204 , 0.09882 , 0.08824 , 0.11045 , 0.07817 , 0.11633 , 0.1621 , 0.0996 , 0.16731 , 0.15946 , 0.13384 , 0.09166 , 0.13069 , 0.14127 , 0.14379 , 0.1746 , 0.18426 , 0.14705 , 0.16745 , 0.12441 
 321 , 0.15284 , 0.11407 , 0.1062 , 0.12661 , 0.08871 , 0.12123 , 0.17473 , 0.11032 , 0.17719 , 0.16259 , 0.15623 , 0.09372 , 0.14688 , 0.15662 , 0.15841 , 0.19808 , 0.19581 , 0.16285 , 0.18328 , 0.13701 
 322 , 0.15815 , 0.12512 , 0.11442 , 0.13363 , 0.10089 , 0.12855 , 0.18515 , 0.11834 , 0.19247 , 0.18057 , 0.16535 , 0.09846 , 0.1615 , 0.1729 , 0.16812 , 0.21676 , 0.20717 , 0.17856 , 0.20499 , 0.14702 
 323 , 0.16139 , 0.13444 , 0.11888 , 0.13715 , 0.11357 , 0.13664 , 0.19462 , 0.12523 , 0.20937 , 0.2037 , 0.16936 , 0.10411 , 0.17526 , 0.18922 , 0.17587 , 0.23339 , 0.21833 , 0.19394 , 0.22849 , 0.15592 
 324 , 0.16452 , 0.14356 , 0.12323 , 0.14055 , 0.12605 , 0.14443 , 0.20394 , 0.13194 , 0.22547 , 0.22583 , 0.17329 , 0.1095 , 0.18858 , 0.205 , 0.18334 , 0.24967 , 0.22895 , 0.20874 , 0.25124 , 0.16457 
 325 , 0.17107 , 0.15112 , 0.12741 , 0.14495 , 0.13543 , 0.15281 , 0.21496 , 0.13838 , 0.24141 , 0.24277 , 0.1786 , 0.11578 , 0.19776 , 0.21677 , 0.19143 , 0.25884 , 0.24165 , 0.22128 , 0.27044 , 0.17516 
 326 , 0.18412 , 0.15579 , 0.13132 , 0.15125 , 0.13916 , 0.16241 , 0.22949 , 0.14448 , 0.25752 , 0.25066 , 0.18669 , 0.12383 , 0.19962 , 0.22146 , 0.20094 , 0.25505 , 0.25844 , 0.22984 , 0.2835 , 0.18959 
 327 , 0.19676 , 0.16042 , 0.13516 , 0.15743 , 0.14278 , 0.17191 , 0.24349 , 0.15041 , 0.27339 , 0.25838 , 0.19456 , 0.13191 , 0.20141 , 0.22601 , 0.2101 , 0.25138 , 0.27506 , 0.23828 , 0.29629 , 0.2038 
