  time  ,5:31 PM",5:39 PM",5:52 PM",6:03 PM",6:12 PM",6:54 PM",7:00 PM",7:06 PM",7:13 PM",7:19 PM",8:14 PM",8:21 PM",8:28 PM",8:34 PM",8:41 PM",9:47 PM",9:53 PM",0:00 PM",0:07 PM",0:15 PM",1:29 PM",1:34 PM",1:40 PM",1:45 PM",1:58 PM",2:59 PM",3:05 PM",3:11 PM",3:17 PM",3:23 PM",4:12 PM",4:17 PM",4:23 PM",4:29 PM",4:35 PM",5:26 PM",5:32 PM",5:37 PM",5:44 PM",5:51 PM",7:06 PM",7:11 PM",7:17 PM",7:22 PM",7:31 PM",8:59 PM",9:05 PM",9:11 PM",9:18 PM",9:25 PM",0:08 PM",0:13 PM",0:20 PM",0:27 PM",0:34 PM",1:15 PM",1:20 PM",1:27 PM",1:33 PM",1:40 PM"
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 316 , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 0 , 0 , 1 , 0 , 0 , 1 , 1 , 1 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 317 , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 0 , 0 , 1 , 0 , 0 , 1 , 1 , 1 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 318 , 0.415215 , 0 , 0 , 0.415215 , 0 , 0 , 0 , 0 , 0.415215 , 0 , 0 , 0.415215 , 0 , 0 , 0 , 0 , 0.415215 , 0.415215 , 0 , 0 , 0.415215 , 0.415215 , 0.415215 , 0.415215 , 0.415215 , 0.415215 , 0.415215 , 0.415215 , 0.415215 , 0.415215 , 0.415215 , 0.415215 , 0 , 0.415215 , 0.415215 , 0 , 0.415215 , 0.415215 , 0.415215 , 0.415215 , 0.415215 , 0.415215 , 0.415215 , 0.415215 , 0.415215 , 0.415215 , 0.415215 , 0.415215 , 0 , 0.415215 , 0.415215 , 0.415215 , 0.415215 , 0.415215 , 0.415215 , 0.415215 , 0 , 0.415215 , 0.415215 , 0.415215 
 319 , 2.628489 , 0 , 0 , 2.628489 , 0 , 0 , 0 , 0 , 2.628489 , 0 , 0 , 2.628489 , 0 , 0 , 0 , 0 , 2.628489 , 2.628489 , 0 , 0 , 2.628489 , 2.628489 , 2.628489 , 2.628489 , 2.628489 , 2.628489 , 2.628489 , 2.628489 , 2.628489 , 2.628489 , 2.628489 , 2.628489 , 0 , 2.628489 , 2.628489 , 0 , 2.628489 , 2.628489 , 2.628489 , 2.628489 , 2.628489 , 2.628489 , 2.628489 , 2.628489 , 2.628489 , 2.628489 , 2.628489 , 2.628489 , 0 , 2.628489 , 2.628489 , 2.628489 , 2.628489 , 2.628489 , 2.628489 , 2.628489 , 0 , 2.628489 , 2.628489 , 2.628489 
 320 , 4.343508 , 0 , 0 , 4.343508 , 0 , 0 , 0 , 0 , 4.343508 , 0 , 0 , 4.343508 , 0 , 0 , 0 , 0 , 4.343508 , 4.343508 , 0 , 0 , 4.343508 , 4.343508 , 4.343508 , 4.343508 , 4.343508 , 4.343508 , 4.343508 , 4.343508 , 4.343508 , 4.343508 , 4.343508 , 4.343508 , 0 , 4.343508 , 4.343508 , 0 , 4.343508 , 4.343508 , 4.343508 , 4.343508 , 4.343508 , 4.343508 , 4.343508 , 4.343508 , 4.343508 , 4.343508 , 4.343508 , 4.343508 , 0 , 4.343508 , 4.343508 , 4.343508 , 4.343508 , 4.343508 , 4.343508 , 4.343508 , 0 , 4.343508 , 4.343508 , 4.343508 
 321 , 5.711501 , 0 , 0 , 5.711501 , 0 , 0 , 0 , 0 , 5.711501 , 0 , 0 , 5.711501 , 0 , 0 , 0 , 0 , 5.711501 , 5.711501 , 0 , 0 , 5.711501 , 5.711501 , 5.711501 , 5.711501 , 5.711501 , 5.711501 , 5.711501 , 5.711501 , 5.711501 , 5.711501 , 5.711501 , 5.711501 , 0 , 5.711501 , 5.711501 , 0 , 5.711501 , 5.711501 , 5.711501 , 5.711501 , 5.711501 , 5.711501 , 5.711501 , 5.711501 , 5.711501 , 5.711501 , 5.711501 , 5.711501 , 0 , 5.711501 , 5.711501 , 5.711501 , 5.711501 , 5.711501 , 5.711501 , 5.711501 , 0 , 5.711501 , 5.711501 , 5.711501 
 322 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 5.622812 , 0 , 0 , 0 , 0 , 0 , 5.622812 , 5.622812 , 5.622812 , 0 , 0 , 5.622812 , 0 , 0.012556 , 0 , 0 , 5.622812 , 0 , 5.622812 , 0 , 5.622812 , 5.622812 , 0 , 0 , 5.622812 , 0 , 0 , 0 , 0 , 5.622812 , 0 , 5.622812 , 5.622812 , 5.622812 , 0 , 0 , 0 , 5.622812 , 0 , 5.622812 
 323 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 5.080118 , 0 , 0 , 0 , 0 , 0 , 5.080118 , 5.080118 , 5.080118 , 0 , 0 , 5.080118 , 0 , 0.011789 , 0 , 0 , 5.080118 , 0 , 5.080118 , 0 , 5.080118 , 5.080118 , 0 , 0 , 5.080118 , 0 , 0 , 0 , 0 , 5.080118 , 0 , 5.080118 , 5.080118 , 5.080118 , 0 , 0 , 0 , 5.080118 , 0 , 5.080118 
 324 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 4.428167 , 0 , 0 , 0 , 0 , 0 , 4.428167 , 4.428167 , 4.428167 , 0 , 0 , 4.428167 , 0 , 0.010384 , 0 , 0 , 4.428167 , 0 , 4.428167 , 0 , 4.428167 , 4.428167 , 0 , 0 , 4.428167 , 0 , 0 , 0 , 0 , 4.428167 , 0 , 4.428167 , 4.428167 , 4.428167 , 0 , 0 , 0 , 4.428167 , 0 , 4.428167 
 325 , 0 , 0 , 0 , 0 , 0 , 0.000607 , 0 , 0 , 0 , 0.000861 , 0 , 0 , 0 , 0 , 0 , 0.00079 , 0.000351 , 0.000515 , 0 , 0.000238 , 0.003422 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.005022 , 0.012853 , 0.001007 , 0 , 3.957537 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000472 , 0 , 0 , 0 , 0 , 0 , 3.957537 , 0.015591 , 0.001727 , 0 , 0 , 0 , 0 , 0 , 3.957537 
 326 , 0 , 0 , 0 , 0 , 0 , 0.001833 , 0 , 0 , 0 , 0.003663 , 0 , 0 , 0 , 0 , 0 , 0.002605 , 0.00106 , 0.002055 , 0 , 0.001108 , 0.003666 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.007877 , 0.023936 , 0.00316 , 0 , 3.83363 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001512 , 0 , 0 , 0 , 0 , 0 , 3.83363 , 0.0167 , 0.00185 , 0 , 0 , 0 , 0 , 0 , 3.83363 
 327 , 0 , 0 , 0 , 0 , 0 , 0.002483 , 0 , 0 , 0 , 0.006779 , 0 , 0 , 0 , 0 , 0 , 0.003755 , 0.001436 , 0.003527 , 0 , 0.002331 , 0.003494 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.008124 , 0.03717 , 0.004396 , 0 , 3.598243 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002135 , 0 , 0 , 0 , 0 , 0 , 3.598243 , 0.01592 , 0.001763 , 0 , 0 , 0 , 0 , 0 , 3.598243 
 328 , 0 , 0 , 0 , 0 , 0 , 0.002806 , 0 , 0 , 0 , 0.01007 , 0 , 0 , 0 , 0 , 0 , 0.004442 , 0.00162 , 0.00489 , 0 , 0.004258 , 0.003271 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.007859 , 0.0535 , 0.005053 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002483 , 0 , 0 , 0 , 0 , 0 , 0 , 0.014839 , 0.001641 , 0 , 0 , 0 , 0 , 0 , 0 
 329 , 0 , 0 , 0 , 0 , 0 , 0.004625 , 0.000331 , 0 , 0.002738 , 0.006002 , 0 , 0 , 0 , 0.001231 , 0 , 0.007084 , 0.004371 , 0.008479 , 0 , 0.00902 , 0.007207 , 0.001796 , 0.001667 , 0 , 0.00046 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.012678 , 0.039896 , 0.00885 , 0 , 0.008664 , 0 , 0.00211 , 0.001848 , 0 , 0 , 0 , 0 , 0 , 0.004774 , 0 , 0 , 0 , 0.002655 , 0 , 0.002775 , 0.018147 , 0.007252 , 0 , 0.005952 , 0.004643 , 0.002384 , 0 , 0.006613 
 330 , 0 , 0 , 0 , 0 , 0 , 0.006657 , 0.000715 , 0 , 0.007317 , 0.005524 , 0 , 0 , 0 , 0.001473 , 0 , 0.010012 , 0.007133 , 0.012102 , 0 , 0.012348 , 0.012082 , 0.003079 , 0.003824 , 0 , 0.00094 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.017508 , 0.035895 , 0.012562 , 0 , 0.010364 , 0 , 0.004933 , 0.004144 , 0 , 0 , 0 , 0 , 0 , 0.007197 , 0 , 0 , 0 , 0.006015 , 0 , 0.003319 , 0.020823 , 0.011433 , 0 , 0.008667 , 0.009907 , 0.003801 , 0 , 0.00791 
 331 , 0 , 0 , 0 , 0 , 0 , 0.008855 , 0.001105 , 0 , 0.01408 , 0.005477 , 0 , 0 , 0 , 0.001661 , 0 , 0.013208 , 0.00969 , 0.015563 , 0 , 0.014897 , 0.01762 , 0.004063 , 0.006229 , 0 , 0.001392 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.022159 , 0.034224 , 0.016003 , 0 , 0.011686 , 0 , 0.008184 , 0.006614 , 0 , 0 , 0 , 0 , 0 , 0.00958 , 0 , 0 , 0 , 0.009688 , 0 , 0.003742 , 0.023045 , 0.014697 , 0 , 0.010541 , 0.015156 , 0.004824 , 0 , 0.008919 
 332 , 0.000409 , 0 , 0 , 0.000207 , 0.001168 , 0.012071 , 0.002851 , 0.000957 , 0.018984 , 0.007992 , 0.000952 , 0.000357 , 0.000487 , 0.005626 , 0.001736 , 0.017503 , 0.012424 , 0.018863 , 0.000265 , 0.017825 , 0.02227 , 0.005794 , 0.008672 , 0.001158 , 0.002593 , 0.000052 , 0 , 0 , 0 , 0.001057 , 0 , 0.001796 , 0.025193 , 0.035288 , 0.019977 , 0.001503 , 0.015006 , 0 , 0.011858 , 0.008939 , 0.001047 , 0 , 0.000063 , 0.002773 , 0 , 0.012833 , 0 , 0.001052 , 0.001701 , 0.012465 , 0.001099 , 0.006149 , 0.027813 , 0.018569 , 0.000234 , 0.013422 , 0.020084 , 0.007605 , 0.002969 , 0.010484 
 333 , 0.001071 , 0 , 0 , 0.00046 , 0.002661 , 0.015685 , 0.005734 , 0.002518 , 0.021135 , 0.013525 , 0.002643 , 0.00094 , 0.001309 , 0.012066 , 0.004436 , 0.022301 , 0.015058 , 0.021655 , 0.000763 , 0.020611 , 0.025532 , 0.00794 , 0.010795 , 0.003145 , 0.004423 , 0.000133 , 0 , 0 , 0 , 0.003204 , 0 , 0.004363 , 0.026919 , 0.037082 , 0.023905 , 0.003353 , 0.019278 , 0 , 0.01532 , 0.010743 , 0.002727 , 0 , 0.000176 , 0.008054 , 0 , 0.016571 , 0 , 0.002936 , 0.003669 , 0.014229 , 0.002664 , 0.009068 , 0.033981 , 0.022434 , 0.000657 , 0.016689 , 0.024276 , 0.011296 , 0.006194 , 0.012085 
 334 , 0.001666 , 0 , 0 , 0.000639 , 0.003757 , 0.018922 , 0.008684 , 0.003933 , 0.022823 , 0.021723 , 0.004313 , 0.001469 , 0.002079 , 0.018007 , 0.00677 , 0.026861 , 0.01737 , 0.023916 , 0.001287 , 0.022764 , 0.028158 , 0.009847 , 0.012598 , 0.005036 , 0.006281 , 0.000202 , 0 , 0 , 0 , 0.005683 , 0 , 0.006424 , 0.028282 , 0.038445 , 0.027263 , 0.004675 , 0.023049 , 0 , 0.018322 , 0.012136 , 0.004223 , 0 , 0.000289 , 0.013693 , 0 , 0.02011 , 0 , 0.004814 , 0.005017 , 0.01561 , 0.003915 , 0.011241 , 0.039848 , 0.025602 , 0.001082 , 0.019473 , 0.027845 , 0.014473 , 0.008315 , 0.013278 
 335 , 0.002183 , 0.000015 , 0 , 0.000937 , 0.00478 , 0.02133 , 0.011054 , 0.004972 , 0.02334 , 0.030594 , 0.00596 , 0.002394 , 0.003431 , 0.020687 , 0.008244 , 0.029948 , 0.019577 , 0.026088 , 0.002115 , 0.024502 , 0.029151 , 0.011581 , 0.014154 , 0.006753 , 0.007966 , 0.000563 , 0.000247 , 0.00038 , 0.000283 , 0.008039 , 0.000056 , 0.007962 , 0.029927 , 0.040408 , 0.02916 , 0.005823 , 0.025504 , 0 , 0.020347 , 0.013662 , 0.005602 , 0 , 0.00069 , 0.016818 , 0.000633 , 0.02316 , 0.000138 , 0.006845 , 0.006445 , 0.016864 , 0.005037 , 0.013362 , 0.043931 , 0.027665 , 0.002065 , 0.021074 , 0.030373 , 0.016626 , 0.009981 , 0.014464 
 336 , 0.002579 , 0.000086 , 0 , 0.001794 , 0.00618 , 0.021701 , 0.011471 , 0.005117 , 0.021258 , 0.02885 , 0.00754 , 0.004606 , 0.007276 , 0.015132 , 0.007651 , 0.029175 , 0.022036 , 0.028689 , 0.003931 , 0.02553 , 0.026572 , 0.013203 , 0.015479 , 0.00811 , 0.008967 , 0.001937 , 0.001312 , 0.001933 , 0.001517 , 0.008995 , 0.00032 , 0.00865 , 0.032792 , 0.044696 , 0.027908 , 0.007129 , 0.025024 , 0 , 0.020193 , 0.016232 , 0.006967 , 0 , 0.002036 , 0.013952 , 0.00276 , 0.024884 , 0.000625 , 0.009426 , 0.008999 , 0.018184 , 0.006242 , 0.016484 , 0.043174 , 0.027372 , 0.004472 , 0.0201 , 0.030707 , 0.016571 , 0.011525 , 0.016029 
