  time  ,52:17 PM,52:24 PM,52:30 PM,52:43 PM,52:51 PM,53:25 PM,53:35 PM,53:41 PM,53:47 PM,53:55 PM,54:46 PM,54:52 PM,56:35 PM,56:42 PM,56:50 PM,57:33 PM,57:47 PM,57:57 PM,58:07 PM,58:20 PM,02:57 PM,03:06 PM,03:12 PM,03:18 PM,03:22 PM,03:30 PM,03:37 PM,03:45 PM,03:52 PM,04:01 PM,04:59 PM,05:09 PM,05:19 PM,05:29 PM,05:38 PM,06:58 PM,07:05 PM,07:15 PM,07:26 PM,07:37 PM,09:08 PM,09:14 PM,09:22 PM,09:29 PM,09:39 PM,10:34 PM,10:41 PM,10:49 PM,10:55 PM,11:02 PM,11:44 PM,11:52 PM,11:58 PM,12:04 PM,12:09 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 316 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 19.993716 , 19.993716 , 19.993716 , 19.993716 , 19.993716 , 0 , 0 , 19.993716 , 19.993716 , 0 , 0 , 0 , 19.993716 , 19.993716 , 19.993716 , 19.993716 , 19.993716 , 0 , 0 , 19.993716 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 19.993716 , 19.993716 
 317 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 17.108575 , 17.108575 , 17.108575 , 17.108575 , 17.108575 , 0 , 0 , 17.108575 , 17.108575 , 0 , 0 , 0 , 17.108575 , 17.108575 , 17.108575 , 17.108575 , 17.108575 , 0 , 0 , 17.108575 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 17.108575 , 17.108575 
 318 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 15.095851 , 15.095851 , 15.095851 , 15.095851 , 15.095851 , 0 , 0 , 15.095851 , 15.095851 , 0 , 0 , 0 , 15.095851 , 15.095851 , 15.095851 , 15.095851 , 15.095851 , 0 , 0 , 15.095851 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 15.095851 , 15.095851 
 319 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 14.873166 , 14.873166 , 14.873166 , 14.873166 , 14.873166 , 0 , 0 , 14.873166 , 14.873166 , 0 , 0 , 0 , 14.873166 , 14.873166 , 14.873166 , 14.873166 , 14.873166 , 0 , 0 , 14.873166 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 14.873166 , 14.873166 
 320 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 14.694396 , 14.694396 , 14.694396 , 14.694396 , 14.694396 , 0 , 0 , 14.694396 , 14.694396 , 0 , 0 , 0 , 14.694396 , 14.694396 , 14.694396 , 14.694396 , 14.694396 , 0 , 0 , 14.694396 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 14.694396 , 14.694396 
 321 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 14.54792 , 14.54792 , 14.54792 , 14.54792 , 14.54792 , 0 , 0 , 14.54792 , 14.54792 , 0 , 0 , 0 , 14.54792 , 14.54792 , 14.54792 , 14.54792 , 14.54792 , 0 , 0 , 14.54792 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 14.54792 , 14.54792 
 322 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 12.567 , 0 , 12.567 , 12.567 , 12.567 , 0 , 0 , 12.567 , 12.567 , 0 , 0 , 0 , 12.567 , 12.567 , 12.567 , 12.567 , 12.567 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 12.567 , 12.567 
 323 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 10.532072 , 0 , 10.532072 , 10.532072 , 10.532072 , 0 , 0 , 10.532072 , 10.532072 , 0 , 0 , 0 , 10.532072 , 10.532072 , 10.532072 , 10.532072 , 10.532072 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 10.532072 , 10.532072 
 324 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 8.928505 , 0 , 8.928505 , 8.928505 , 8.928505 , 0 , 0 , 8.928505 , 8.928505 , 0 , 0 , 0 , 8.928505 , 8.928505 , 8.928505 , 8.928505 , 8.928505 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 8.928505 , 8.928505 
 325 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 8.353943 , 0 , 8.353943 , 8.353943 , 8.353943 , 0 , 0 , 8.353943 , 8.353943 , 0 , 0 , 0 , 8.353943 , 8.353943 , 8.353943 , 8.353943 , 8.353943 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 8.353943 , 8.353943 
