JUN28LOF00160.spu,JUN28LOF00159.spu,JUN28LOF00158.spu,JUN28LOF00157.spu,JUN28LOF00156.spu,
Wavelength,JUN28LOF00161.spu,JUN28LOF00162.spu,JUN28LOF00163.spu,JUN28LOF00164.spu,JUN28LOF00165.spu,JUN28LOF00166.spu,JUN28LOF00167.spu,JUN28LOF00168.spu,JUN28LOF00169.spu,JUN28LOF00170.spu,JUN28LOF00171.spu,JUN28LOF00172.spu,JUN28LOF00173.spu,JUN28LOF00174.spu,JUN28LOF00175.spu,JUN28LOF00176.spu,JUN28LOF00177.spu,JUN28LOF00178.spu,JUN28LOF00179.spu,JUN28LOF00180.spu,JUN28LOF00181.spu,JUN28LOF00182.spu,JUN28LOF00183.spu,JUN28LOF00184.spu,JUN28LOF00185.spu,JUN28LOF00186.spu,JUN28LOF00187.spu,JUN28LOF00188.spu,JUN28LOF00189.spu,JUN28LOF00190.spu,JUN28LOF00191.spu,JUN28LOF00192.spu,JUN28LOF00193.spu,JUN28LOF00194.spu,JUN28LOF00195.spu,JUN28LOF00196.spu,JUN28LOF00197.spu,JUN28LOF00198.spu,JUN28LOF00199.spu,JUN28LOF00200.spu,JUN28LOF00201.spu,JUN28LOF00202.spu,JUN28LOF00203.spu,JUN28LOF00204.spu,JUN28LOF00205.spu,JUN28LOF00206.spu,JUN28LOF00207.spu,JUN28LOF00208.spu,JUN28LOF00209.spu,JUN28LOF00210.spu
  (nm),6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 
  time  ,:16:32 A,:16:43 A,:16:51 A,:16:59 A,:17:06 A,:17:37 A,:17:45 A,:17:50 A,:17:56 A,:18:02 A,:18:45 A,:18:53 A,:18:59 A,:19:07 A,:19:15 A,:19:53 A,:19:59 A,:20:07 A,:20:16 A,:20:23 A,:21:00 A,:21:09 A,:21:16 A,:21:24 A,:21:34 A,:22:11 A,:22:20 A,:22:26 A,:22:35 A,:22:44 A,:23:24 A,:23:31 A,:23:37 A,:23:45 A,:23:52 A,:24:27 A,:24:34 A,:24:42 A,:24:50 A,:24:56 A,:25:34 A,:25:40 A,:25:45 A,:25:54 A,:26:01 A,:26:37 A,:26:46 A,:26:54 A,:27:00 A,:27:06 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 327 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3.107782 , 0 , 0 , 0 , 0 , 3.107782 , 0 , 3.107782 , 0 , 3.107782 , 0 , 3.107782 , 0 , 0 , 0 , 3.107782 , 0 
 328 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 329 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000354 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001327 , 0 , 0 , 0 , 0.000341 , 0 , 0 , 0 , 0.002117 , 0 , 0 , 0 , 0.000415 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000404 , 0.016795 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 330 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000705 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002533 , 0 , 0 , 0 , 0.000521 , 0 , 0 , 0 , 0.004178 , 0 , 0 , 0 , 0.000798 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000763 , 0.018315 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 331 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001025 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003557 , 0 , 0 , 0 , 0.000632 , 0 , 0 , 0 , 0.006028 , 0 , 0 , 0 , 0.001127 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001062 , 0.019244 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 332 , 0 , 0 , 0.000046 , 0 , 0.000793 , 0.000086 , 0 , 0 , 0 , 0 , 0.000212 , 0.001802 , 0.001282 , 0 , 0 , 0.000195 , 0 , 0 , 0 , 0 , 0 , 0 , 0.004725 , 0 , 0.000251 , 0 , 0.001859 , 0 , 0.00023 , 0.000293 , 0.006914 , 0 , 0 , 0.001427 , 0.001614 , 0 , 0 , 0 , 0 , 0 , 0.000772 , 0.003737 , 0.020312 , 0 , 0.000924 , 0 , 0 , 0.00033 , 0.000596 , 0.000769 
 333 , 0 , 0 , 0.000119 , 0 , 0.001967 , 0.000218 , 0 , 0 , 0 , 0 , 0.000536 , 0.002937 , 0.003024 , 0 , 0 , 0.000499 , 0 , 0 , 0 , 0 , 0 , 0 , 0.006009 , 0 , 0.000759 , 0 , 0.004055 , 0 , 0.000608 , 0.000682 , 0.007274 , 0 , 0 , 0.002581 , 0.002193 , 0 , 0 , 0 , 0 , 0 , 0.002187 , 0.008203 , 0.021665 , 0 , 0.002179 , 0 , 0 , 0.000778 , 0.001535 , 0.002144 
 334 , 0 , 0 , 0.000183 , 0 , 0.002944 , 0.000331 , 0 , 0 , 0 , 0 , 0.000811 , 0.004058 , 0.00437 , 0 , 0 , 0.000765 , 0 , 0 , 0 , 0 , 0 , 0 , 0.007234 , 0 , 0.001351 , 0 , 0.006362 , 0 , 0.000955 , 0.000976 , 0.007585 , 0 , 0 , 0.003227 , 0.002716 , 0 , 0 , 0 , 0 , 0 , 0.003647 , 0.012578 , 0.022814 , 0 , 0.003149 , 0 , 0 , 0.001124 , 0.002362 , 0.003527 
 335 , 0.000368 , 0.000027 , 0.000479 , 0.000139 , 0.004017 , 0.000789 , 0.000441 , 0 , 0.000186 , 0.00027 , 0.001205 , 0.00532 , 0.005746 , 0.00071 , 0.000108 , 0.001361 , 0.000309 , 0.000474 , 0.000437 , 0.000057 , 0.000042 , 0 , 0.008699 , 0.000119 , 0.002234 , 0.000279 , 0.008573 , 0.000074 , 0.001445 , 0.001631 , 0.00846 , 0.000249 , 0.000087 , 0.004235 , 0.003665 , 0.000051 , 0 , 0.000499 , 0.000402 , 0.000542 , 0.005264 , 0.01668 , 0.023578 , 0.000448 , 0.004304 , 0.000507 , 0.000503 , 0.001782 , 0.003596 , 0.005184 
 336 , 0.002239 , 0.000168 , 0.001623 , 0.000846 , 0.006102 , 0.002656 , 0.002658 , 0 , 0.001181 , 0.001608 , 0.002243 , 0.007107 , 0.008161 , 0.00355 , 0.000567 , 0.003179 , 0.001941 , 0.002257 , 0.002429 , 0.0003 , 0.000236 , 0 , 0.011238 , 0.000746 , 0.003966 , 0.001714 , 0.010162 , 0.000415 , 0.002658 , 0.004042 , 0.01153 , 0.001572 , 0.000653 , 0.00717 , 0.006552 , 0.000309 , 0 , 0.002761 , 0.002147 , 0.003061 , 0.00715 , 0.020062 , 0.023958 , 0.002595 , 0.006674 , 0.002624 , 0.002935 , 0.003901 , 0.006925 , 0.007862 
 337 , 0.004127 , 0.00032 , 0.002611 , 0.001561 , 0.008594 , 0.004473 , 0.004858 , 0 , 0.002281 , 0.002904 , 0.003369 , 0.008558 , 0.010824 , 0.005577 , 0.000925 , 0.004682 , 0.003694 , 0.003433 , 0.004133 , 0.000487 , 0.000406 , 0 , 0.013578 , 0.001423 , 0.005574 , 0.003196 , 0.01152 , 0.000713 , 0.00399 , 0.006642 , 0.0147 , 0.003012 , 0.001573 , 0.00984 , 0.009588 , 0.000569 , 0 , 0.004678 , 0.00354 , 0.005271 , 0.008419 , 0.022482 , 0.024225 , 0.004571 , 0.008761 , 0.004224 , 0.005203 , 0.005985 , 0.010544 , 0.010226 
 338 , 0.006002 , 0.000482 , 0.003463 , 0.002273 , 0.011596 , 0.006216 , 0.007005 , 0 , 0.00348 , 0.004141 , 0.004577 , 0.009747 , 0.013748 , 0.007088 , 0.001209 , 0.005932 , 0.005548 , 0.004264 , 0.005591 , 0.000635 , 0.000555 , 0 , 0.015718 , 0.002143 , 0.007052 , 0.004702 , 0.012681 , 0.000973 , 0.005439 , 0.009409 , 0.017947 , 0.004555 , 0.003265 , 0.012247 , 0.01274 , 0.000825 , 0 , 0.006306 , 0.004666 , 0.007203 , 0.009325 , 0.024275 , 0.024401 , 0.00637 , 0.01059 , 0.005466 , 0.007295 , 0.008007 , 0.014437 , 0.012305 
 339 , 0.006978 , 0.000828 , 0.005212 , 0.003626 , 0.012124 , 0.007584 , 0.008622 , 0.001674 , 0.00454 , 0.004104 , 0.005779 , 0.011674 , 0.015146 , 0.008342 , 0.002421 , 0.007569 , 0.007221 , 0.005902 , 0.006684 , 0.001657 , 0.001588 , 0.0006 , 0.01678 , 0.00379 , 0.008407 , 0.006152 , 0.014682 , 0.001882 , 0.007046 , 0.010842 , 0.019311 , 0.005895 , 0.004215 , 0.013632 , 0.015813 , 0.002773 , 0.000211 , 0.007426 , 0.006016 , 0.008603 , 0.010559 , 0.023941 , 0.028163 , 0.006904 , 0.012513 , 0.006692 , 0.00951 , 0.009651 , 0.015446 , 0.014461 
 340 , 0.007702 , 0.00116 , 0.007418 , 0.004898 , 0.012161 , 0.008793 , 0.010009 , 0.003215 , 0.005367 , 0.003895 , 0.006801 , 0.013617 , 0.016077 , 0.009483 , 0.003596 , 0.009176 , 0.008648 , 0.007542 , 0.007495 , 0.002897 , 0.002818 , 0.001286 , 0.017494 , 0.005406 , 0.009502 , 0.007412 , 0.016659 , 0.002937 , 0.008574 , 0.011883 , 0.02014 , 0.006929 , 0.004758 , 0.014634 , 0.018835 , 0.004649 , 0.000434 , 0.008299 , 0.007256 , 0.009666 , 0.011745 , 0.023373 , 0.032729 , 0.007137 , 0.014151 , 0.007656 , 0.011501 , 0.011082 , 0.01579 , 0.016481 
 341 , 0.008353 , 0.001443 , 0.009987 , 0.005971 , 0.01217 , 0.009907 , 0.011262 , 0.004398 , 0.006019 , 0.00373 , 0.007653 , 0.015421 , 0.016849 , 0.010547 , 0.004568 , 0.010655 , 0.009875 , 0.009005 , 0.008116 , 0.004168 , 0.004053 , 0.001928 , 0.018057 , 0.00681 , 0.010373 , 0.008495 , 0.018439 , 0.003993 , 0.009986 , 0.012808 , 0.020792 , 0.007738 , 0.00518 , 0.015447 , 0.021825 , 0.006171 , 0.000629 , 0.00902 , 0.008329 , 0.010507 , 0.012828 , 0.022894 , 0.037609 , 0.007297 , 0.01549 , 0.008389 , 0.01323 , 0.012366 , 0.016041 , 0.018333 
