  time  ,48:41 PM,48:58 PM,49:29 PM,49:41 PM,49:52 PM,51:01 PM,51:10 PM,51:19 PM,51:27 PM,51:39 PM,53:35 PM,53:45 PM,53:53 PM,54:01 PM,54:09 PM,55:37 PM,55:48 PM,55:56 PM,56:05 PM,56:11 PM,58:27 PM,58:39 PM,58:44 PM,58:52 PM,59:01 PM,59:56 PM,00:04 PM,00:13 PM,00:21 PM,00:31 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 489 , 0.035858 , 0.031048 , 0.057618 , 0.036751 , 0.040101 , 0.059151 , 0.048177 , 0.061876 , 0.058384 , 0.059277 , 0.059246 , 0.04102 , 0.042963 , 0.037596 , 0.053186 , 0.060921 , 0.066376 , 0.059193 , 0.068561 , 0.062596 , 0.044695 , 0.049253 , 0.04197 , 0.058169 , 0.061272 , 0.057455 , 0.058589 , 0.045877 , 0.043362 , 0.042543 
 490 , 0.036057 , 0.031169 , 0.057808 , 0.036938 , 0.040336 , 0.05935 , 0.048369 , 0.06205 , 0.058558 , 0.059512 , 0.05947 , 0.041259 , 0.043204 , 0.037871 , 0.053456 , 0.061211 , 0.066712 , 0.059429 , 0.068857 , 0.062811 , 0.044919 , 0.049486 , 0.042239 , 0.058458 , 0.061615 , 0.057745 , 0.058836 , 0.046099 , 0.043587 , 0.042806 
 491 , 0.036276 , 0.031331 , 0.058059 , 0.037005 , 0.040566 , 0.059679 , 0.048568 , 0.062301 , 0.05873 , 0.059758 , 0.059831 , 0.04162 , 0.043497 , 0.038211 , 0.053827 , 0.061577 , 0.067089 , 0.059684 , 0.069202 , 0.063093 , 0.045206 , 0.049805 , 0.042595 , 0.058767 , 0.06206 , 0.058054 , 0.059134 , 0.046334 , 0.043806 , 0.043114 
 492 , 0.036496 , 0.031493 , 0.058309 , 0.037073 , 0.04079 , 0.060003 , 0.048766 , 0.062546 , 0.058897 , 0.059998 , 0.060192 , 0.041975 , 0.043784 , 0.038546 , 0.054193 , 0.061938 , 0.06746 , 0.05993 , 0.069541 , 0.063369 , 0.045483 , 0.050124 , 0.042951 , 0.059064 , 0.062494 , 0.058362 , 0.059426 , 0.046558 , 0.044026 , 0.043417 
 493 , 0.03671 , 0.031655 , 0.05856 , 0.037135 , 0.041015 , 0.060327 , 0.048964 , 0.062786 , 0.059058 , 0.060238 , 0.060542 , 0.042331 , 0.044067 , 0.038876 , 0.054554 , 0.062293 , 0.067825 , 0.060175 , 0.069876 , 0.063641 , 0.04576 , 0.050438 , 0.043296 , 0.059362 , 0.062928 , 0.058665 , 0.059714 , 0.046788 , 0.044235 , 0.043716 
 494 , 0.037004 , 0.031974 , 0.05894 , 0.037418 , 0.041189 , 0.060608 , 0.04928 , 0.063141 , 0.059266 , 0.060529 , 0.060912 , 0.042657 , 0.04444 , 0.039364 , 0.054971 , 0.062632 , 0.068212 , 0.060514 , 0.070242 , 0.063902 , 0.046081 , 0.050786 , 0.04368 , 0.059801 , 0.063335 , 0.058972 , 0.060094 , 0.047109 , 0.044513 , 0.04401 
 495 , 0.037304 , 0.032297 , 0.05933 , 0.037713 , 0.041362 , 0.060877 , 0.049594 , 0.063498 , 0.059466 , 0.060829 , 0.061275 , 0.042977 , 0.044817 , 0.039857 , 0.055382 , 0.062974 , 0.068594 , 0.060856 , 0.070602 , 0.064159 , 0.046401 , 0.05113 , 0.044052 , 0.060237 , 0.063734 , 0.059267 , 0.060473 , 0.047434 , 0.044791 , 0.044298 
 496 , 0.037599 , 0.032619 , 0.059714 , 0.038003 , 0.04153 , 0.06115 , 0.049912 , 0.06385 , 0.059667 , 0.061124 , 0.061632 , 0.043297 , 0.045189 , 0.040351 , 0.055798 , 0.063304 , 0.068976 , 0.061197 , 0.070963 , 0.064411 , 0.04672 , 0.051469 , 0.044429 , 0.060673 , 0.064133 , 0.059557 , 0.060851 , 0.047757 , 0.045068 , 0.044586 
 497 , 0.037992 , 0.033011 , 0.060129 , 0.038338 , 0.04182 , 0.06144 , 0.050141 , 0.064182 , 0.059977 , 0.061314 , 0.062106 , 0.043734 , 0.045658 , 0.040892 , 0.056307 , 0.063684 , 0.069452 , 0.061545 , 0.071334 , 0.064738 , 0.047032 , 0.051882 , 0.044872 , 0.061162 , 0.064644 , 0.059883 , 0.061204 , 0.048091 , 0.045375 , 0.044934 
 498 , 0.03846 , 0.033444 , 0.06056 , 0.038707 , 0.042187 , 0.06175 , 0.050318 , 0.064487 , 0.060372 , 0.06142 , 0.062662 , 0.044258 , 0.046192 , 0.041474 , 0.056891 , 0.064093 , 0.069991 , 0.061908 , 0.071715 , 0.065121 , 0.047335 , 0.052357 , 0.04538 , 0.061687 , 0.065231 , 0.06023 , 0.061541 , 0.048425 , 0.045694 , 0.045332 
 499 , 0.038923 , 0.033876 , 0.060986 , 0.039075 , 0.04256 , 0.062061 , 0.050489 , 0.064796 , 0.060766 , 0.061531 , 0.063214 , 0.044782 , 0.046731 , 0.042051 , 0.05747 , 0.064497 , 0.07053 , 0.062265 , 0.072097 , 0.065504 , 0.047638 , 0.052832 , 0.045882 , 0.062213 , 0.065818 , 0.060583 , 0.061872 , 0.048765 , 0.046019 , 0.04573 
 500 , 0.03941 , 0.034309 , 0.061475 , 0.039447 , 0.042935 , 0.062402 , 0.050718 , 0.065141 , 0.06115 , 0.061716 , 0.0638 , 0.045355 , 0.047303 , 0.042694 , 0.058092 , 0.064932 , 0.071049 , 0.062638 , 0.072515 , 0.065906 , 0.047994 , 0.053315 , 0.046402 , 0.062763 , 0.066429 , 0.060941 , 0.062234 , 0.04912 , 0.04636 , 0.046135 
 501 , 0.039988 , 0.034758 , 0.062171 , 0.039873 , 0.043349 , 0.062846 , 0.051135 , 0.065647 , 0.061522 , 0.062181 , 0.064485 , 0.046119 , 0.04802 , 0.043548 , 0.058873 , 0.065448 , 0.071511 , 0.063056 , 0.073076 , 0.06638 , 0.048538 , 0.053826 , 0.046967 , 0.063396 , 0.067113 , 0.061338 , 0.062684 , 0.049554 , 0.046789 , 0.046575 
 502 , 0.040561 , 0.035202 , 0.062868 , 0.040289 , 0.043765 , 0.063292 , 0.051547 , 0.066144 , 0.061884 , 0.062648 , 0.065165 , 0.046873 , 0.048726 , 0.044393 , 0.059649 , 0.065961 , 0.071969 , 0.063464 , 0.073633 , 0.066845 , 0.049072 , 0.054337 , 0.047533 , 0.064024 , 0.067798 , 0.061732 , 0.063129 , 0.049982 , 0.047214 , 0.047009 
 503 , 0.041129 , 0.035641 , 0.063554 , 0.040705 , 0.044174 , 0.063731 , 0.051959 , 0.066635 , 0.062251 , 0.063104 , 0.065835 , 0.047622 , 0.049427 , 0.045231 , 0.060414 , 0.066468 , 0.072422 , 0.063873 , 0.074185 , 0.067305 , 0.0496 , 0.054842 , 0.048088 , 0.064647 , 0.068472 , 0.062125 , 0.063575 , 0.050411 , 0.047633 , 0.047444 
 504 , 0.041983 , 0.036389 , 0.064375 , 0.041313 , 0.044898 , 0.064312 , 0.052527 , 0.067127 , 0.062679 , 0.063637 , 0.066651 , 0.048608 , 0.05034 , 0.046316 , 0.061444 , 0.067148 , 0.073271 , 0.0645 , 0.074877 , 0.067807 , 0.050288 , 0.055667 , 0.048964 , 0.065489 , 0.069419 , 0.062705 , 0.064144 , 0.050942 , 0.048174 , 0.04808 
 505 , 0.042873 , 0.03718 , 0.065199 , 0.041946 , 0.045654 , 0.064917 , 0.053112 , 0.067614 , 0.063104 , 0.064178 , 0.067478 , 0.049624 , 0.051268 , 0.047424 , 0.062507 , 0.067844 , 0.074166 , 0.065147 , 0.075585 , 0.06831 , 0.050996 , 0.056526 , 0.04988 , 0.066352 , 0.070405 , 0.063303 , 0.064728 , 0.051478 , 0.048728 , 0.048739 
 506 , 0.043758 , 0.037966 , 0.066014 , 0.042568 , 0.0464 , 0.065511 , 0.053691 , 0.068095 , 0.063525 , 0.064709 , 0.068295 , 0.050619 , 0.052192 , 0.048523 , 0.063561 , 0.068536 , 0.075051 , 0.065789 , 0.076283 , 0.068808 , 0.051694 , 0.057376 , 0.050787 , 0.067204 , 0.071382 , 0.063897 , 0.065307 , 0.052014 , 0.049278 , 0.049393 
 507 , 0.044721 , 0.038818 , 0.066903 , 0.043236 , 0.047209 , 0.066111 , 0.054256 , 0.068667 , 0.064028 , 0.065203 , 0.069218 , 0.051727 , 0.053202 , 0.049728 , 0.064657 , 0.06927 , 0.075898 , 0.066452 , 0.077011 , 0.069359 , 0.05243 , 0.058218 , 0.051774 , 0.068126 , 0.072393 , 0.064484 , 0.065922 , 0.052582 , 0.049874 , 0.050084 
 508 , 0.045765 , 0.039734 , 0.067862 , 0.043942 , 0.048082 , 0.066722 , 0.054817 , 0.069322 , 0.06461 , 0.06566 , 0.070236 , 0.05292 , 0.054302 , 0.051029 , 0.065787 , 0.070047 , 0.076704 , 0.067121 , 0.07777 , 0.069958 , 0.053209 , 0.059051 , 0.052836 , 0.069107 , 0.07342 , 0.065056 , 0.066575 , 0.053188 , 0.050525 , 0.050824 
 509 , 0.046794 , 0.040646 , 0.068816 , 0.044643 , 0.048951 , 0.067322 , 0.055378 , 0.069968 , 0.065187 , 0.066118 , 0.071246 , 0.054105 , 0.055388 , 0.052322 , 0.066907 , 0.07082 , 0.077499 , 0.06779 , 0.07852 , 0.070557 , 0.053979 , 0.05988 , 0.053884 , 0.070078 , 0.074444 , 0.065623 , 0.067217 , 0.053784 , 0.051165 , 0.051554 
 510 , 0.047867 , 0.041598 , 0.069802 , 0.045365 , 0.049812 , 0.067926 , 0.055929 , 0.070618 , 0.06575 , 0.066593 , 0.072252 , 0.055297 , 0.056493 , 0.053626 , 0.068058 , 0.071593 , 0.078306 , 0.068458 , 0.079275 , 0.071161 , 0.05477 , 0.060729 , 0.054943 , 0.071066 , 0.075481 , 0.066187 , 0.067868 , 0.05439 , 0.051814 , 0.052299 
 511 , 0.049191 , 0.042793 , 0.071028 , 0.046237 , 0.050668 , 0.068575 , 0.05648 , 0.071307 , 0.066223 , 0.067193 , 0.073259 , 0.056607 , 0.057725 , 0.055046 , 0.069398 , 0.072394 , 0.079161 , 0.069182 , 0.080095 , 0.071819 , 0.055652 , 0.06175 , 0.056106 , 0.072162 , 0.07664 , 0.066761 , 0.068575 , 0.055041 , 0.052488 , 0.053142 
 512 , 0.050513 , 0.043989 , 0.072248 , 0.047108 , 0.051526 , 0.069219 , 0.057031 , 0.07199 , 0.06669 , 0.067794 , 0.074265 , 0.057907 , 0.058958 , 0.056466 , 0.070733 , 0.073193 , 0.080013 , 0.069894 , 0.08091 , 0.072481 , 0.05654 , 0.062769 , 0.057258 , 0.073256 , 0.077796 , 0.067329 , 0.069282 , 0.055696 , 0.053157 , 0.05398 
 513 , 0.051831 , 0.045181 , 0.07347 , 0.04798 , 0.05238 , 0.069863 , 0.057577 , 0.072673 , 0.067159 , 0.068395 , 0.075266 , 0.059209 , 0.060187 , 0.057884 , 0.072071 , 0.073988 , 0.08087 , 0.070613 , 0.081721 , 0.073143 , 0.057424 , 0.063783 , 0.058412 , 0.074347 , 0.078953 , 0.067898 , 0.06999 , 0.056347 , 0.053827 , 0.05482 
 514 , 0.05343 , 0.046567 , 0.074768 , 0.048994 , 0.053493 , 0.070491 , 0.058151 , 0.073383 , 0.067821 , 0.068905 , 0.07647 , 0.060673 , 0.061535 , 0.059526 , 0.073599 , 0.074884 , 0.081847 , 0.071379 , 0.082577 , 0.073811 , 0.058363 , 0.06495 , 0.059822 , 0.075529 , 0.080224 , 0.068582 , 0.070776 , 0.057083 , 0.054614 , 0.055767 
 515 , 0.055101 , 0.047999 , 0.076087 , 0.050047 , 0.054667 , 0.071117 , 0.058732 , 0.074107 , 0.068534 , 0.069402 , 0.077733 , 0.062172 , 0.062919 , 0.061225 , 0.075176 , 0.075811 , 0.082856 , 0.072154 , 0.083443 , 0.074483 , 0.059314 , 0.066147 , 0.061299 , 0.076732 , 0.081527 , 0.069286 , 0.071588 , 0.057848 , 0.05543 , 0.056742 
 516 , 0.056776 , 0.049433 , 0.077408 , 0.051097 , 0.055844 , 0.071739 , 0.059314 , 0.074828 , 0.069249 , 0.0699 , 0.078992 , 0.063675 , 0.064295 , 0.062928 , 0.076756 , 0.07674 , 0.083867 , 0.072936 , 0.084306 , 0.075156 , 0.060268 , 0.067346 , 0.062779 , 0.077938 , 0.082833 , 0.06999 , 0.072396 , 0.05861 , 0.056247 , 0.057714 
 517 , 0.058642 , 0.050994 , 0.078944 , 0.052298 , 0.057125 , 0.072547 , 0.060052 , 0.075682 , 0.070023 , 0.070569 , 0.080391 , 0.065393 , 0.065849 , 0.064794 , 0.078509 , 0.077787 , 0.085037 , 0.073868 , 0.08534 , 0.075958 , 0.061383 , 0.068665 , 0.064428 , 0.079325 , 0.084321 , 0.070781 , 0.073327 , 0.059464 , 0.057194 , 0.058779 
 518 , 0.060711 , 0.052687 , 0.080724 , 0.053672 , 0.058533 , 0.073584 , 0.060966 , 0.076677 , 0.070869 , 0.071423 , 0.081948 , 0.067355 , 0.067605 , 0.06686 , 0.080474 , 0.078993 , 0.08641 , 0.074984 , 0.086575 , 0.076928 , 0.062691 , 0.070118 , 0.066269 , 0.080921 , 0.086032 , 0.071668 , 0.074415 , 0.060434 , 0.058299 , 0.059965 
 519 , 0.062771 , 0.054375 , 0.082498 , 0.055038 , 0.059933 , 0.07462 , 0.061879 , 0.077672 , 0.071707 , 0.072274 , 0.083492 , 0.069307 , 0.069361 , 0.068912 , 0.082423 , 0.080194 , 0.087767 , 0.0761 , 0.087805 , 0.077891 , 0.063995 , 0.071557 , 0.0681 , 0.082514 , 0.08773 , 0.072546 , 0.075491 , 0.061398 , 0.059399 , 0.061141 
 520 , 0.064858 , 0.056082 , 0.084287 , 0.056409 , 0.061366 , 0.075661 , 0.062809 , 0.078671 , 0.07255 , 0.073151 , 0.085049 , 0.071273 , 0.071123 , 0.070984 , 0.084399 , 0.081417 , 0.089147 , 0.077228 , 0.089056 , 0.078869 , 0.065308 , 0.073022 , 0.069943 , 0.084115 , 0.089447 , 0.073457 , 0.076595 , 0.06238 , 0.060508 , 0.062337 
 521 , 0.067223 , 0.058045 , 0.086318 , 0.057894 , 0.063101 , 0.076833 , 0.063937 , 0.079768 , 0.073439 , 0.074264 , 0.08676 , 0.073406 , 0.073045 , 0.073266 , 0.086669 , 0.082881 , 0.090732 , 0.078527 , 0.090548 , 0.080043 , 0.06677 , 0.074739 , 0.072014 , 0.085897 , 0.091406 , 0.074637 , 0.077944 , 0.06356 , 0.061757 , 0.063711 
 522 , 0.069574 , 0.059994 , 0.08833 , 0.059375 , 0.064822 , 0.078001 , 0.065061 , 0.080858 , 0.07432 , 0.075373 , 0.08846 , 0.07552 , 0.07495 , 0.075525 , 0.088922 , 0.084322 , 0.09231 , 0.07981 , 0.092028 , 0.081205 , 0.068216 , 0.076443 , 0.07407 , 0.087668 , 0.093348 , 0.075808 , 0.079278 , 0.06473 , 0.062992 , 0.065077 
 523 , 0.071907 , 0.061933 , 0.090334 , 0.06084 , 0.066529 , 0.079159 , 0.066174 , 0.08194 , 0.075197 , 0.076475 , 0.090148 , 0.077618 , 0.076847 , 0.077765 , 0.091154 , 0.085755 , 0.09387 , 0.081088 , 0.093498 , 0.082361 , 0.069655 , 0.078137 , 0.076109 , 0.089422 , 0.095275 , 0.076967 , 0.080601 , 0.06589 , 0.064223 , 0.066436 
 524 , 0.074401 , 0.063992 , 0.09241 , 0.062439 , 0.068282 , 0.080487 , 0.067313 , 0.08324 , 0.07629 , 0.077623 , 0.092086 , 0.079848 , 0.078856 , 0.0802 , 0.093556 , 0.087377 , 0.095621 , 0.082552 , 0.09512 , 0.083648 , 0.071251 , 0.079941 , 0.078355 , 0.091386 , 0.097367 , 0.078196 , 0.082062 , 0.067126 , 0.0656 , 0.067968 
 525 , 0.076946 , 0.066088 , 0.094514 , 0.064072 , 0.070048 , 0.081873 , 0.068465 , 0.084616 , 0.077468 , 0.078774 , 0.094103 , 0.082117 , 0.080901 , 0.082695 , 0.096013 , 0.08906 , 0.097435 , 0.084089 , 0.096797 , 0.084983 , 0.072897 , 0.081784 , 0.080673 , 0.093414 , 0.099513 , 0.079446 , 0.083578 , 0.068382 , 0.067027 , 0.069554 
 526 , 0.079488 , 0.068175 , 0.096608 , 0.065699 , 0.071804 , 0.083251 , 0.069608 , 0.085995 , 0.078642 , 0.07993 , 0.096115 , 0.084377 , 0.082937 , 0.085183 , 0.098462 , 0.090739 , 0.099246 , 0.085614 , 0.098462 , 0.086314 , 0.074537 , 0.083615 , 0.082977 , 0.095443 , 0.101643 , 0.080686 , 0.085082 , 0.069636 , 0.068455 , 0.071137 
 527 , 0.082029 , 0.070287 , 0.098788 , 0.067349 , 0.073519 , 0.084617 , 0.07075 , 0.087419 , 0.079791 , 0.081108 , 0.09811 , 0.086611 , 0.084984 , 0.087719 , 0.100958 , 0.092454 , 0.101094 , 0.087176 , 0.100173 , 0.087679 , 0.076169 , 0.085476 , 0.085278 , 0.097466 , 0.103823 , 0.082012 , 0.086628 , 0.070942 , 0.069897 , 0.0727 
 528 , 0.084581 , 0.072434 , 0.101126 , 0.069039 , 0.075184 , 0.085956 , 0.071886 , 0.088928 , 0.080906 , 0.08235 , 0.100099 , 0.088808 , 0.087045 , 0.090349 , 0.103539 , 0.094234 , 0.102997 , 0.088791 , 0.101959 , 0.089128 , 0.077808 , 0.087388 , 0.087564 , 0.099506 , 0.106072 , 0.083479 , 0.08826 , 0.072343 , 0.071373 , 0.074248 
 529 , 0.087137 , 0.07458 , 0.103461 , 0.070732 , 0.07685 , 0.087298 , 0.073025 , 0.090437 , 0.082028 , 0.083594 , 0.10209 , 0.091002 , 0.089107 , 0.092977 , 0.106122 , 0.096007 , 0.104901 , 0.090408 , 0.103743 , 0.090576 , 0.079453 , 0.089303 , 0.089856 , 0.101548 , 0.108322 , 0.084948 , 0.089896 , 0.073745 , 0.072846 , 0.075795 
 530 , 0.089686 , 0.076719 , 0.105781 , 0.072422 , 0.07851 , 0.088633 , 0.074161 , 0.091936 , 0.08315 , 0.08483 , 0.104071 , 0.093192 , 0.091157 , 0.095599 , 0.108694 , 0.09778 , 0.106798 , 0.092012 , 0.105525 , 0.092012 , 0.081086 , 0.091198 , 0.09214 , 0.103589 , 0.11056 , 0.086406 , 0.091517 , 0.075137 , 0.074323 , 0.077341 
 531 , 0.092008 , 0.078582 , 0.107763 , 0.074001 , 0.080171 , 0.089815 , 0.075285 , 0.093217 , 0.084424 , 0.085967 , 0.105945 , 0.095217 , 0.093017 , 0.098091 , 0.111101 , 0.099428 , 0.108626 , 0.093428 , 0.107189 , 0.09331 , 0.082606 , 0.092882 , 0.094284 , 0.105523 , 0.112673 , 0.08775 , 0.093052 , 0.076417 , 0.075714 , 0.078834 
 532 , 0.094328 , 0.08044 , 0.109749 , 0.075577 , 0.081835 , 0.091004 , 0.076423 , 0.094494 , 0.085692 , 0.0871 , 0.107821 , 0.09725 , 0.094878 , 0.10058 , 0.113505 , 0.101083 , 0.110459 , 0.094849 , 0.10885 , 0.0946 , 0.084131 , 0.094559 , 0.096434 , 0.107454 , 0.114783 , 0.089099 , 0.094583 , 0.077695 , 0.077103 , 0.080327 
 533 , 0.09665 , 0.0823 , 0.111729 , 0.077158 , 0.083499 , 0.092195 , 0.077552 , 0.095774 , 0.08697 , 0.088234 , 0.109701 , 0.099281 , 0.096734 , 0.103074 , 0.11591 , 0.102734 , 0.11229 , 0.096263 , 0.110518 , 0.095893 , 0.085652 , 0.096239 , 0.098583 , 0.109391 , 0.116894 , 0.090441 , 0.09612 , 0.078971 , 0.078494 , 0.081817 
 534 , 0.098592 , 0.083746 , 0.11339 , 0.078363 , 0.084834 , 0.093263 , 0.078507 , 0.096844 , 0.087922 , 0.089189 , 0.111233 , 0.100995 , 0.098316 , 0.105249 , 0.117986 , 0.104137 , 0.113852 , 0.097504 , 0.111912 , 0.096964 , 0.08687 , 0.097655 , 0.100436 , 0.110962 , 0.118677 , 0.091593 , 0.097366 , 0.079997 , 0.079685 , 0.083037 
 535 , 0.100362 , 0.085016 , 0.114898 , 0.079398 , 0.086025 , 0.094272 , 0.079379 , 0.097812 , 0.088732 , 0.090049 , 0.112602 , 0.102555 , 0.099764 , 0.107291 , 0.119924 , 0.105431 , 0.115272 , 0.098658 , 0.11317 , 0.097939 , 0.087958 , 0.098948 , 0.102144 , 0.112366 , 0.120317 , 0.092647 , 0.098489 , 0.080908 , 0.080781 , 0.084128 
 536 , 0.102126 , 0.086283 , 0.116409 , 0.080427 , 0.087212 , 0.095286 , 0.080257 , 0.098785 , 0.089539 , 0.090912 , 0.113973 , 0.104119 , 0.101209 , 0.109331 , 0.121864 , 0.106719 , 0.1167 , 0.099812 , 0.114434 , 0.098913 , 0.089041 , 0.100237 , 0.103852 , 0.113772 , 0.121955 , 0.093707 , 0.099611 , 0.081824 , 0.081879 , 0.08522 
 537 , 0.103794 , 0.087516 , 0.117787 , 0.08142 , 0.088334 , 0.09625 , 0.081084 , 0.099708 , 0.090289 , 0.091737 , 0.115228 , 0.105577 , 0.102578 , 0.111282 , 0.123724 , 0.107953 , 0.118044 , 0.100911 , 0.115637 , 0.099842 , 0.090081 , 0.101455 , 0.105474 , 0.115124 , 0.123486 , 0.094723 , 0.100679 , 0.082703 , 0.082917 , 0.086282 
 538 , 0.105255 , 0.088694 , 0.118926 , 0.082325 , 0.08932 , 0.097101 , 0.08181 , 0.100537 , 0.090909 , 0.092486 , 0.116263 , 0.106826 , 0.103783 , 0.113029 , 0.125424 , 0.109072 , 0.119251 , 0.101887 , 0.116735 , 0.10069 , 0.091026 , 0.102506 , 0.106918 , 0.11638 , 0.124798 , 0.095634 , 0.101641 , 0.083528 , 0.083829 , 0.087271 
 539 , 0.106719 , 0.089874 , 0.120057 , 0.083229 , 0.090311 , 0.097954 , 0.082533 , 0.101363 , 0.091532 , 0.093239 , 0.117302 , 0.108075 , 0.104981 , 0.114775 , 0.127121 , 0.110189 , 0.120458 , 0.102854 , 0.117832 , 0.101535 , 0.091975 , 0.103557 , 0.108359 , 0.117635 , 0.126116 , 0.096549 , 0.102608 , 0.084357 , 0.084733 , 0.088265 
 540 , 0.10818 , 0.091047 , 0.121194 , 0.084131 , 0.091301 , 0.098812 , 0.083258 , 0.102192 , 0.092156 , 0.093995 , 0.118346 , 0.109325 , 0.10618 , 0.11652 , 0.128822 , 0.111306 , 0.121665 , 0.103827 , 0.118934 , 0.102378 , 0.092923 , 0.104607 , 0.109802 , 0.118891 , 0.127429 , 0.097462 , 0.103567 , 0.085184 , 0.085642 , 0.089258 
 541 , 0.109464 , 0.091978 , 0.122254 , 0.084955 , 0.092264 , 0.099561 , 0.083904 , 0.103001 , 0.092936 , 0.094672 , 0.119417 , 0.110472 , 0.10725 , 0.118192 , 0.13039 , 0.112431 , 0.122901 , 0.104761 , 0.120021 , 0.103225 , 0.093788 , 0.105601 , 0.111125 , 0.120077 , 0.128717 , 0.098348 , 0.1045 , 0.08595 , 0.08656 , 0.090162 
 542 , 0.110749 , 0.092905 , 0.123311 , 0.085768 , 0.093224 , 0.100311 , 0.084543 , 0.103805 , 0.09373 , 0.095343 , 0.120492 , 0.111611 , 0.10833 , 0.119874 , 0.131961 , 0.113555 , 0.124136 , 0.105693 , 0.121099 , 0.104068 , 0.094655 , 0.106586 , 0.112443 , 0.121255 , 0.129999 , 0.09923 , 0.105424 , 0.086718 , 0.08748 , 0.091062 
 543 , 0.112028 , 0.093825 , 0.124367 , 0.086585 , 0.094182 , 0.101065 , 0.085191 , 0.104612 , 0.094522 , 0.096016 , 0.121573 , 0.112757 , 0.109403 , 0.121554 , 0.133528 , 0.114684 , 0.125365 , 0.106622 , 0.122175 , 0.104907 , 0.095514 , 0.107576 , 0.113761 , 0.122439 , 0.131287 , 0.100116 , 0.106352 , 0.087483 , 0.088399 , 0.09196 
 544 , 0.11323 , 0.094743 , 0.125439 , 0.087342 , 0.094977 , 0.101841 , 0.085853 , 0.105513 , 0.095279 , 0.096705 , 0.122644 , 0.113829 , 0.110466 , 0.123186 , 0.135067 , 0.115773 , 0.126556 , 0.107558 , 0.123262 , 0.105753 , 0.096339 , 0.108523 , 0.115072 , 0.123559 , 0.132556 , 0.101034 , 0.107305 , 0.088251 , 0.08926 , 0.092882 
 545 , 0.114389 , 0.095679 , 0.126515 , 0.088062 , 0.095673 , 0.102643 , 0.08654 , 0.106486 , 0.096022 , 0.097398 , 0.123718 , 0.114871 , 0.111516 , 0.124796 , 0.136586 , 0.116843 , 0.127726 , 0.108509 , 0.124359 , 0.106594 , 0.09715 , 0.109454 , 0.116386 , 0.124663 , 0.133834 , 0.101971 , 0.108287 , 0.08902 , 0.090098 , 0.09384 
 546 , 0.115547 , 0.096619 , 0.127602 , 0.088791 , 0.096364 , 0.103441 , 0.087223 , 0.107457 , 0.09676 , 0.098092 , 0.12479 , 0.11591 , 0.11257 , 0.126403 , 0.138108 , 0.117918 , 0.12889 , 0.109459 , 0.125453 , 0.107438 , 0.097952 , 0.110389 , 0.117695 , 0.125759 , 0.135112 , 0.102911 , 0.109267 , 0.089785 , 0.090926 , 0.09479 
 547 , 0.116612 , 0.097478 , 0.128556 , 0.089468 , 0.097042 , 0.10418 , 0.087859 , 0.108326 , 0.097471 , 0.09874 , 0.125775 , 0.116862 , 0.113523 , 0.127915 , 0.13952 , 0.118912 , 0.130004 , 0.110338 , 0.126474 , 0.108237 , 0.098708 , 0.111268 , 0.118912 , 0.126794 , 0.136303 , 0.103796 , 0.110185 , 0.090519 , 0.09173 , 0.095703 
 548 , 0.117433 , 0.098106 , 0.129223 , 0.09001 , 0.097662 , 0.104754 , 0.088362 , 0.108899 , 0.098106 , 0.099323 , 0.126539 , 0.117606 , 0.114221 , 0.129146 , 0.140672 , 0.119743 , 0.130967 , 0.111055 , 0.127292 , 0.108918 , 0.099348 , 0.111982 , 0.119865 , 0.127653 , 0.137274 , 0.104529 , 0.11092 , 0.091136 , 0.092468 , 0.09651 
 549 , 0.118253 , 0.09874 , 0.129893 , 0.090551 , 0.098275 , 0.105326 , 0.088871 , 0.109469 , 0.098747 , 0.099903 , 0.127301 , 0.118356 , 0.114918 , 0.130372 , 0.141831 , 0.120573 , 0.131929 , 0.111777 , 0.128116 , 0.109605 , 0.099988 , 0.112701 , 0.120819 , 0.128504 , 0.13825 , 0.105262 , 0.111654 , 0.09176 , 0.093214 , 0.097318 
 550 , 0.11907 , 0.099376 , 0.130559 , 0.091094 , 0.098896 , 0.105906 , 0.089374 , 0.110041 , 0.099389 , 0.100486 , 0.128066 , 0.119102 , 0.11561 , 0.131604 , 0.142982 , 0.121406 , 0.132895 , 0.112494 , 0.128936 , 0.110287 , 0.100629 , 0.113423 , 0.12177 , 0.129358 , 0.139224 , 0.105997 , 0.112391 , 0.092379 , 0.093956 , 0.09813 
 551 , 0.119479 , 0.099541 , 0.130974 , 0.091313 , 0.099202 , 0.106369 , 0.089712 , 0.110431 , 0.099736 , 0.100869 , 0.12856 , 0.11959 , 0.116016 , 0.132348 , 0.143661 , 0.121933 , 0.133546 , 0.112905 , 0.129471 , 0.110678 , 0.100992 , 0.113738 , 0.122278 , 0.129829 , 0.139892 , 0.106499 , 0.112787 , 0.092732 , 0.094353 , 0.098623 
