  time  ,48:41 PM,48:58 PM,49:29 PM,49:41 PM,49:52 PM,51:01 PM,51:10 PM,51:19 PM,51:27 PM,51:39 PM,53:35 PM,53:45 PM,53:53 PM,54:01 PM,54:09 PM,55:37 PM,55:48 PM,55:56 PM,56:05 PM,56:11 PM,58:27 PM,58:39 PM,58:44 PM,58:52 PM,59:01 PM,59:56 PM,00:04 PM,00:13 PM,00:21 PM,00:31 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 316 , 0.025187 , 159.293813 , 159.293813 , 159.293813 , 159.293813 , 159.293813 , 159.293813 , 159.293813 , 159.293813 , 159.293813 , 159.293813 , 159.293813 , 159.293813 , 159.293813 , 159.293813 , 159.293813 , 159.293813 , 159.293813 , 159.293813 , 159.293813 , 159.293813 , 159.293813 , 159.293813 , 159.293813 , 159.293813 , 159.293813 , 159.293813 , 159.293813 , 159.293813 , 159.293813 
 317 , 0.02693 , 146.20475 , 146.20475 , 146.20475 , 146.20475 , 146.20475 , 146.20475 , 146.20475 , 146.20475 , 146.20475 , 146.20475 , 146.20475 , 146.20475 , 146.20475 , 146.20475 , 146.20475 , 146.20475 , 146.20475 , 146.20475 , 146.20475 , 146.20475 , 146.20475 , 146.20475 , 146.20475 , 146.20475 , 146.20475 , 146.20475 , 146.20475 , 146.20475 , 146.20475 
 318 , 0.028178 , 134.825213 , 134.825213 , 134.825213 , 134.825213 , 134.825213 , 134.825213 , 134.825213 , 134.825213 , 134.825213 , 134.825213 , 134.825213 , 134.825213 , 134.825213 , 134.825213 , 134.825213 , 134.825213 , 134.825213 , 134.825213 , 134.825213 , 134.825213 , 134.825213 , 134.825213 , 134.825213 , 134.825213 , 134.825213 , 134.825213 , 134.825213 , 134.825213 , 134.825213 
 319 , 0.027209 , 120.883478 , 120.883478 , 120.883478 , 120.883478 , 120.883478 , 120.883478 , 120.883478 , 120.883478 , 120.883478 , 120.883478 , 120.883478 , 120.883478 , 120.883478 , 120.883478 , 120.883478 , 120.883478 , 120.883478 , 120.883478 , 120.883478 , 120.883478 , 120.883478 , 120.883478 , 120.883478 , 120.883478 , 120.883478 , 120.883478 , 120.883478 , 120.883478 , 120.883478 
 320 , 0.026439 , 109.992025 , 109.992025 , 109.992025 , 109.992025 , 109.992025 , 109.992025 , 109.992025 , 109.992025 , 109.992025 , 109.992025 , 109.992025 , 109.992025 , 109.992025 , 109.992025 , 109.992025 , 109.992025 , 109.992025 , 109.992025 , 109.992025 , 109.992025 , 109.992025 , 109.992025 , 109.992025 , 109.992025 , 109.992025 , 109.992025 , 109.992025 , 109.992025 , 109.992025 
 321 , 0.025808 , 101.246819 , 101.246819 , 101.246819 , 101.246819 , 101.246819 , 101.246819 , 101.246819 , 101.246819 , 101.246819 , 101.246819 , 101.246819 , 101.246819 , 101.246819 , 101.246819 , 101.246819 , 101.246819 , 101.246819 , 101.246819 , 101.246819 , 101.246819 , 101.246819 , 101.246819 , 101.246819 , 101.246819 , 101.246819 , 101.246819 , 101.246819 , 101.246819 , 101.246819 
 322 , 0.024917 , 89.879432 , 89.879432 , 89.879432 , 89.879432 , 89.879432 , 89.879432 , 89.879432 , 89.879432 , 89.879432 , 89.879432 , 89.879432 , 89.879432 , 89.879432 , 89.879432 , 89.879432 , 89.879432 , 89.879432 , 89.879432 , 89.879432 , 89.879432 , 89.879432 , 89.879432 , 89.879432 , 89.879432 , 89.879432 , 89.879432 , 89.879432 , 89.879432 , 89.879432 
 323 , 0.024143 , 79.746939 , 79.746939 , 79.746939 , 79.746939 , 79.746939 , 79.746939 , 79.746939 , 79.746939 , 79.746939 , 79.746939 , 79.746939 , 79.746939 , 79.746939 , 79.746939 , 79.746939 , 79.746939 , 79.746939 , 79.746939 , 79.746939 , 79.746939 , 79.746939 , 79.746939 , 79.746939 , 79.746939 , 79.746939 , 79.746939 , 79.746939 , 79.746939 , 79.746939 
 324 , 0.023613 , 71.744873 , 71.744873 , 71.744873 , 71.744873 , 71.744873 , 71.744873 , 71.744873 , 71.744873 , 71.744873 , 71.744873 , 71.744873 , 71.744873 , 71.744873 , 71.744873 , 71.744873 , 71.744873 , 71.744873 , 71.744873 , 71.744873 , 71.744873 , 71.744873 , 71.744873 , 71.744873 , 71.744873 , 71.744873 , 71.744873 , 71.744873 , 71.744873 , 71.744873 
 325 , 0.023486 , 65.153675 , 65.153675 , 65.153675 , 65.153675 , 65.153675 , 65.153675 , 65.153675 , 65.153675 , 65.153675 , 65.153675 , 65.153675 , 65.153675 , 65.153675 , 65.153675 , 65.153675 , 65.153675 , 65.153675 , 65.153675 , 65.153675 , 65.153675 , 65.153675 , 65.153675 , 65.153675 , 65.153675 , 65.153675 , 65.153675 , 65.153675 , 65.153675 , 65.153675 
