AUG5HIST00005.spu,AUG5HIST00004.spu,
Wavelength,AUG5HIST00006.spu,AUG5HIST00007.spu,AUG5HIST00008.spu,AUG5HIST00009.spu,AUG5HIST00010.spu,AUG5HIST00011.spu,AUG5HIST00012.spu,AUG5HIST00013.spu,AUG5HIST00014.spu,AUG5HIST00015.spu,AUG5HIST00016.spu,AUG5HIST00017.spu,AUG5HIST00018.spu,AUG5HIST00019.spu,AUG5HIST00020.spu,AUG5HIST00021.spu,AUG5HIST00022.spu,AUG5HIST00023.spu,AUG5HIST00024.spu,AUG5HIST00025.spu,AUG5HIST00026.spu,AUG5HIST00027.spu,AUG5HIST00028.spu,AUG5HIST00029.spu,AUG5HIST00030.spu,AUG5HIST00031.spu,AUG5HIST00032.spu,AUG5HIST00033.spu,AUG5HIST00034.spu,AUG5HIST00035.spu,AUG5HIST00036.spu,AUG5HIST00037.spu,AUG5HIST00038.spu,AUG5HIST00039.spu,AUG5HIST00040.spu,AUG5HIST00041.spu,AUG5HIST00042.spu,AUG5HIST00043.spu,AUG5HIST00044.spu,AUG5HIST00045.spu,AUG5HIST00046.spu,AUG5HIST00047.spu,AUG5HIST00048.spu,AUG5HIST00049.spu,AUG5HIST00050.spu,AUG5HIST00051.spu,AUG5HIST00052.spu,AUG5HIST00053.spu,AUG5HIST00054.spu,AUG5HIST00055.spu,AUG5HIST00056.spu,AUG5HIST00057.spu,AUG5HIST00058.spu,AUG5HIST00059.spu,AUG5HIST00060.spu,AUG5HIST00061.spu,AUG5HIST00062.spu,AUG5HIST00063.spu,AUG5HIST00064.spu,AUG5HIST00065.spu,AUG5HIST00066.spu,AUG5HIST00067.spu,AUG5HIST00068.spu,AUG5HIST00069.spu,AUG5HIST00070.spu,AUG5HIST00071.spu,AUG5HIST00072.spu,AUG5HIST00073.spu,AUG5HIST00074.spu,AUG5HIST00075.spu,AUG5HIST00076.spu,AUG5HIST00077.spu,AUG5HIST00078.spu,AUG5HIST00079.spu,AUG5HIST00080.spu,AUG5HIST00081.spu,AUG5HIST00082.spu,AUG5HIST00083.spu,AUG5HIST00084.spu,AUG5HIST00085.spu
 316 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 317 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 318 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 319 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 320 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 321 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 322 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 323 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 324 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 325 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 , 0.398338 
 326 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 , 0.880126 
 327 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 , 1.096547 
 328 , 1.217629 , 0 , 0 , 1.217629 , 0 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 0 , 0 , 0 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 0 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 0 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 1.217629 , 1.217629 
 329 , 1.12071 , 0 , 0 , 1.12071 , 0 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 0 , 0 , 0 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 0 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 0 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 1.12071 , 1.12071 
 330 , 1.01951 , 0 , 0 , 1.01951 , 0 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 0 , 0 , 0 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 0 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 0 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 1.01951 , 1.01951 
 331 , 0.91393 , 0 , 0 , 0.91393 , 0 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0 , 0 , 0 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0.91393 , 0.91393 
 332 , 0 , 0 , 0 , 0.799007 , 0 , 0 , 0.799007 , 0.799007 , 0.799007 , 0 , 0 , 0.000907 , 0 , 0.799007 , 0.799007 , 0.799007 , 0.799007 , 0 , 0.799007 , 0 , 0 , 0 , 0 , 0.799007 , 0.799007 , 0 , 0.799007 , 0 , 0 , 0.799007 , 0 , 0.799007 , 0 , 0.799007 , 0 , 0 , 0.799007 , 0 , 0.799007 , 0.799007 , 0.799007 , 0.799007 , 0.799007 , 0.799007 , 0.799007 , 0 , 0.799007 , 0.799007 , 0.799007 , 0 , 0.799007 , 0.799007 , 0.799007 , 0.799007 , 0.799007 , 0.799007 , 0.799007 , 0.799007 , 0.799007 , 0.799007 , 0.799007 , 0.799007 , 0.799007 , 0 , 0.799007 , 0 , 0.799007 , 0 , 0 , 0.799007 , 0.799007 , 0.799007 , 0.799007 , 0.799007 , 0.799007 , 0.799007 , 0.799007 , 0.799007 , 0.799007 , 0.799007 
 333 , 0 , 0 , 0 , 0.677324 , 0 , 0 , 0.677324 , 0.677324 , 0.677324 , 0 , 0 , 0.00282 , 0 , 0.677324 , 0.677324 , 0.677324 , 0.677324 , 0 , 0.677324 , 0 , 0 , 0 , 0 , 0.677324 , 0.677324 , 0 , 0.677324 , 0 , 0 , 0.677324 , 0 , 0.677324 , 0 , 0.677324 , 0 , 0 , 0.677324 , 0 , 0.677324 , 0.677324 , 0.677324 , 0.677324 , 0.677324 , 0.677324 , 0.677324 , 0 , 0.677324 , 0.677324 , 0.677324 , 0 , 0.677324 , 0.677324 , 0.677324 , 0.677324 , 0.677324 , 0.677324 , 0.677324 , 0.677324 , 0.677324 , 0.677324 , 0.677324 , 0.677324 , 0.677324 , 0 , 0.677324 , 0 , 0.677324 , 0 , 0 , 0.677324 , 0.677324 , 0.677324 , 0.677324 , 0.677324 , 0.677324 , 0.677324 , 0.677324 , 0.677324 , 0.677324 , 0.677324 
 334 , 0 , 0 , 0 , 0.552527 , 0 , 0 , 0.552527 , 0.552527 , 0.552527 , 0 , 0 , 0.005748 , 0 , 0.552527 , 0.552527 , 0.552527 , 0.552527 , 0 , 0.552527 , 0 , 0 , 0 , 0 , 0.552527 , 0.552527 , 0 , 0.552527 , 0 , 0 , 0.552527 , 0 , 0.552527 , 0 , 0.552527 , 0 , 0 , 0.552527 , 0 , 0.552527 , 0.552527 , 0.552527 , 0.552527 , 0.552527 , 0.552527 , 0.552527 , 0 , 0.552527 , 0.552527 , 0.552527 , 0 , 0.552527 , 0.552527 , 0.552527 , 0.552527 , 0.552527 , 0.552527 , 0.552527 , 0.552527 , 0.552527 , 0.552527 , 0.552527 , 0.552527 , 0.552527 , 0 , 0.552527 , 0 , 0.552527 , 0 , 0 , 0.552527 , 0.552527 , 0.552527 , 0.552527 , 0.552527 , 0.552527 , 0.552527 , 0.552527 , 0.552527 , 0.552527 , 0.552527 
