  time  ,52:23 PM,52:38 PM,52:47 PM,52:54 PM,53:00 PM,53:19 PM,53:27 PM,53:35 PM,53:42 PM,53:50 PM,54:21 PM,54:29 PM,54:38 PM,54:46 PM,54:54 PM,55:16 PM,55:26 PM,55:33 PM,55:43 PM,55:51 PM,56:58 PM,57:05 PM,57:12 PM,57:20 PM,57:27 PM,57:44 PM,57:51 PM,58:00 PM,58:09 PM,58:17 PM,58:47 PM,58:56 PM,59:04 PM,59:11 PM,59:18 PM,59:37 PM,59:45 PM,59:53 PM,00:01 PM,00:09 PM,00:56 PM,01:03 PM,01:10 PM,01:17 PM,01:23 PM,01:40 PM,01:50 PM,01:57 PM,02:06 PM,02:13 PM,02:51 PM,02:58 PM,03:06 PM,03:16 PM,03:23 PM,03:48 PM,04:00 PM,04:13 PM,04:23 PM,04:34 PM,05:19 PM,05:27 PM,05:34 PM,05:41 PM,05:50 PM,06:15 PM,06:22 PM,06:29 PM,06:39 PM,06:47 PM,07:17 PM,07:24 PM,07:31 PM,07:39 PM,07:48 PM,08:10 PM,08:18 PM,08:27 PM,08:35 PM,08:43 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 316 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 
 317 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 
 318 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 319 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 320 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 321 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 322 , 0 , 0 , 0.930727 , 0 , 0.930727 , 0.930727 , 0 , 0.930727 , 0.930727 , 0.930727 , 0.930727 , 0.930727 , 0.930727 , 0.930727 , 0 , 0.930727 , 0 , 0.930727 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 323 , 0 , 0 , 1.425862 , 0 , 1.425862 , 1.425862 , 0 , 1.425862 , 1.425862 , 1.425862 , 1.425862 , 1.425862 , 1.425862 , 1.425862 , 0 , 1.425862 , 0 , 1.425862 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 324 , 0 , 0 , 1.673313 , 0 , 1.673313 , 1.673313 , 0 , 1.673313 , 1.673313 , 1.673313 , 1.673313 , 1.673313 , 1.673313 , 1.673313 , 0 , 1.673313 , 0 , 1.673313 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 325 , 0.000155 , 0 , 1.737289 , 0 , 0 , 1.737289 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 326 , 0.000692 , 0 , 1.550709 , 0 , 0 , 1.550709 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 327 , 0.001207 , 0 , 1.127103 , 0 , 0 , 1.127103 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 328 , 0.000034 , 0 , 0 , 0 , 0 , 0 , 0.014199 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 329 , 0.003211 , 0.000731 , 0 , 0.002512 , 0 , 0 , 1.18317 , 0 , 0 , 0 , 0.000352 , 0.000174 , 0 , 0.000274 , 0.000848 , 0.000193 , 0 , 0.000187 , 0 , 0.000135 , 0.000174 , 0.000222 , 0.000137 , 0.000331 , 0 , 0.000317 , 0 , 0.000021 , 0 , 0 , 0 , 0 , 0.00004 , 0.000338 , 0.000096 , 0.000324 , 0.00005 , 0.000017 , 0.000039 , 0.000207 , 0 , 0 , 0.000042 , 0 , 0.000057 , 0 , 0.000146 , 0 , 0 , 0 , 0 , 0.000218 , 0.000258 , 0.000014 , 0.000117 , 0.000024 , 0.000085 , 0.000099 , 0.000104 , 0.000061 , 0 , 0.00005 , 0.000062 , 0 , 0 , 0 , 0 , 0 , 0.000042 , 0 , 0.000184 , 0.000565 , 0.000325 , 0.000091 , 0 , 0.000304 , 0.000295 , 0.000186 , 0.000234 , 0 
 330 , 0.005798 , 0.003098 , 0 , 0.004421 , 0 , 0 , 2.029611 , 0 , 0 , 0 , 0.001308 , 0.000526 , 0 , 0.00063 , 0.001736 , 0.000514 , 0 , 0.000456 , 0 , 0.000401 , 0.000551 , 0.000701 , 0.000408 , 0.001059 , 0 , 0.001003 , 0 , 0.000068 , 0 , 0 , 0 , 0 , 0.000127 , 0.001044 , 0.000362 , 0.000967 , 0.00015 , 0.000055 , 0.000129 , 0.000631 , 0 , 0 , 0.000131 , 0 , 0.000157 , 0 , 0.000477 , 0 , 0 , 0 , 0 , 0.0007 , 0.000772 , 0.000041 , 0.000377 , 0.000076 , 0.000265 , 0.000335 , 0.00036 , 0.000267 , 0 , 0.00015 , 0.0002 , 0 , 0 , 0 , 0 , 0 , 0.000131 , 0 , 0.000625 , 0.001766 , 0.001067 , 0.00031 , 0 , 0.000982 , 0.000981 , 0.000537 , 0.000727 , 0 
 331 , 0.007881 , 0.007843 , 0 , 0.005907 , 0 , 0 , 2.689167 , 0 , 0 , 0 , 0.002786 , 0.000929 , 0 , 0.000939 , 0.002455 , 0.00083 , 0 , 0.0007 , 0 , 0.000696 , 0.001005 , 0.001276 , 0.000711 , 0.001951 , 0 , 0.001832 , 0 , 0.000127 , 0 , 0 , 0 , 0 , 0.000232 , 0.001868 , 0.000787 , 0.001688 , 0.000264 , 0.000105 , 0.000248 , 0.001118 , 0 , 0 , 0.000237 , 0 , 0.00026 , 0 , 0.000895 , 0 , 0 , 0 , 0 , 0.001294 , 0.001347 , 0.000071 , 0.000697 , 0.000139 , 0.000479 , 0.00065 , 0.000711 , 0.000709 , 0 , 0.000264 , 0.000372 , 0 , 0 , 0 , 0 , 0 , 0.000237 , 0 , 0.001215 , 0.003189 , 0.002011 , 0.000607 , 0 , 0.001822 , 0.001869 , 0.000914 , 0.001306 , 0 
 332 , 0.010272 , 0.008012 , 0.003716 , 0.005567 , 0.000993 , 0.001181 , 0.001767 , 0.001149 , 0.000765 , 0 , 0.003242 , 0.002435 , 0.000754 , 0.001695 , 0.003319 , 0.00138 , 0.000395 , 0.001493 , 0.000369 , 0.001282 , 0.001547 , 0.002208 , 0.001193 , 0.00286 , 0.000306 , 0.002585 , 0.000393 , 0.000652 , 0 , 0 , 0.000343 , 0.000083 , 0.000615 , 0.002826 , 0.001917 , 0.002609 , 0.000721 , 0.000364 , 0.000462 , 0.002009 , 0.00015 , 0.000169 , 0.000792 , 0.00078 , 0.000798 , 0.000517 , 0.001298 , 0.000407 , 0.000212 , 0.000132 , 0.00041 , 0.002091 , 0.001962 , 0.000319 , 0.001115 , 0.000461 , 0.001147 , 0.001189 , 0.00132 , 0.001528 , 0.000175 , 0.00065 , 0.000849 , 0.000256 , 0.000287 , 0.000196 , 0.000061 , 0.000097 , 0.000634 , 0 , 0.001808 , 0.004268 , 0.002911 , 0.00115 , 0.000296 , 0.002465 , 0.002795 , 0.001589 , 0.001811 , 0.000344 
 333 , 0.012612 , 0.005795 , 0.007013 , 0.005262 , 0.003203 , 0.003146 , 0.001952 , 0.002222 , 0.002271 , 0 , 0.003109 , 0.004417 , 0.001707 , 0.002979 , 0.004324 , 0.002123 , 0.001175 , 0.002272 , 0.000924 , 0.002102 , 0.002124 , 0.003352 , 0.001832 , 0.00369 , 0.000743 , 0.003217 , 0.00108 , 0.001375 , 0 , 0 , 0.000897 , 0.000225 , 0.001115 , 0.003872 , 0.003481 , 0.003697 , 0.001449 , 0.000762 , 0.000738 , 0.003052 , 0.00041 , 0.000445 , 0.001735 , 0.002052 , 0.001727 , 0.001327 , 0.001627 , 0.001103 , 0.000601 , 0.000391 , 0.001024 , 0.002995 , 0.002591 , 0.000744 , 0.001562 , 0.000986 , 0.002078 , 0.001869 , 0.002029 , 0.002392 , 0.000463 , 0.001191 , 0.001491 , 0.000695 , 0.000719 , 0.000519 , 0.000169 , 0.000267 , 0.001299 , 0 , 0.002335 , 0.004988 , 0.003721 , 0.001826 , 0.000813 , 0.002876 , 0.003619 , 0.00253 , 0.002215 , 0.000874 
 334 , 0.014451 , 0.004597 , 0.008873 , 0.005201 , 0.006182 , 0.004973 , 0.002056 , 0.002845 , 0.00398 , 0 , 0.003067 , 0.006052 , 0.00239 , 0.004526 , 0.005304 , 0.002863 , 0.002066 , 0.002776 , 0.00139 , 0.002927 , 0.002667 , 0.004428 , 0.002489 , 0.004429 , 0.001092 , 0.003785 , 0.001756 , 0.001958 , 0 , 0 , 0.001397 , 0.000364 , 0.001527 , 0.004896 , 0.004988 , 0.004792 , 0.002185 , 0.001137 , 0.001005 , 0.003929 , 0.000663 , 0.000697 , 0.002726 , 0.003211 , 0.00272 , 0.002035 , 0.001896 , 0.001772 , 0.001003 , 0.000686 , 0.001537 , 0.00385 , 0.003188 , 0.001181 , 0.001965 , 0.001516 , 0.002917 , 0.002527 , 0.002658 , 0.003185 , 0.000729 , 0.001673 , 0.002063 , 0.001117 , 0.001082 , 0.000817 , 0.000275 , 0.000436 , 0.002022 , 0 , 0.002818 , 0.005592 , 0.004504 , 0.002457 , 0.001318 , 0.003207 , 0.004332 , 0.003502 , 0.002567 , 0.00133 
 335 , 0.015911 , 0.004267 , 0.00968 , 0.005635 , 0.009414 , 0.006322 , 0.002516 , 0.003436 , 0.006089 , 0.000276 , 0.003489 , 0.00772 , 0.002978 , 0.006009 , 0.006517 , 0.003787 , 0.003225 , 0.003395 , 0.001983 , 0.00385 , 0.003278 , 0.005529 , 0.003335 , 0.005359 , 0.001535 , 0.004596 , 0.002447 , 0.002536 , 0.000131 , 0.000154 , 0.001981 , 0.000601 , 0.002033 , 0.005974 , 0.00635 , 0.006001 , 0.003031 , 0.00163 , 0.001444 , 0.004816 , 0.000987 , 0.001065 , 0.003752 , 0.004223 , 0.00382 , 0.002761 , 0.002329 , 0.002534 , 0.00144 , 0.001124 , 0.00211 , 0.004711 , 0.003829 , 0.001706 , 0.002484 , 0.002183 , 0.00376 , 0.003243 , 0.003312 , 0.003985 , 0.001065 , 0.002221 , 0.002708 , 0.001669 , 0.001491 , 0.001194 , 0.000603 , 0.000674 , 0.002822 , 0.000106 , 0.003436 , 0.006328 , 0.005462 , 0.003185 , 0.001942 , 0.003689 , 0.005037 , 0.004544 , 0.003109 , 0.001907 
