  time  ,:33:22 A,:33:41 A,:33:49 A,:33:56 A,:34:03 A,:34:38 A,:34:45 A,:34:51 A,:34:58 A,:35:05 A,:35:39 A,:35:47 A,:35:55 A,:36:03 A,:36:08 A,:36:46 A,:36:54 A,:37:02 A,:37:11 A,:37:19 A,:38:00 A,:38:07 A,:38:13 A,:38:20 A,:38:28 A,:40:17 A,:40:26 A,:40:33 A,:40:41 A,:40:48 A,:41:34 A,:41:43 A,:41:51 A,:42:02 A,:42:09 A,:42:49 A,:42:56 A,:43:02 A,:43:09 A,:43:17 A,:44:02 A,:44:09 A,:44:17 A,:44:25 A,:44:33 A,:45:26 A,:45:34 A,:45:42 A,:45:51 A,:46:03 A,:46:54 A,:47:02 A,:47:09 A,:47:17 A,:47:25 A,:48:21 A,:48:29 A,:48:35 A,:48:43 A,:48:52 A,:49:38 A,:49:46 A,:49:54 A,:50:04 A,:50:12 A,:51:02 A,:51:09 A,:51:17 A,:51:26 A,:51:34 A,:51:43 A,:51:51 A,:51:59 A,:52:07 A,:52:15 A,:53:05 A,:53:15 A,:53:24 A,:53:31 A,:53:38 A,:54:59 A,:55:07 A,:55:15 A,:55:22 A,:55:31 A,:57:31 A,:57:36 A,:57:43 A,:57:52 A,:57:58 A,:00:41 A,:00:47 A,:00:54 A,:01:00 A,:01:07 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 461 , 0.044649 , 0.04015 , 0.035414 , 0.055748 , 0.042886 , 0.077186 , 0.052485 , 0.078011 , 0.034892 , 0.050647 , 0.053169 , 0.039431 , 0.029913 , 0.033798 , 0.046822 , 0.023115 , 0.04515 , 0.041169 , 0.027547 , 0.035632 , 0.057855 , 0.040404 , 0.035404 , 0.054111 , 0.044704 , 0.03321 , 0.044593 , 0.038823 , 0.048326 , 0.058498 , 0.028403 , 0.034558 , 0.03856 , 0.043296 , 0.035303 , 0.038752 , 0.034568 , 0.041457 , 0.032907 , 0.044993 , 0.031291 , 0.046665 , 0.053868 , 0.037319 , 0.026483 , 0.044902 , 0.038995 , 0.055347 , 0.034376 , 0.048088 , 0.031691 , 0.034056 , 0.041493 , 0.044542 , 0.045231 , 0.057404 , 0.056816 , 0.045611 , 0.0386 , 0.069628 , 0.017193 , 0.029421 , 0.04279 , 0.035865 , 0.034517 , 0.047536 , 0.048534 , 0.044477 , 0.032299 , 0.033915 , 0.036235 , 0.04397 , 0.030369 , 0.033084 , 0.031716 , 0.028575 , 0.024325 , 0.046994 , 0.038681 , 0.021281 , 0.041792 , 0.042704 , 0.036508 , 0.034386 , 0.039163 , 0.03433 , 0.053883 , 0.04009 , 0.054851 , 0.041908 , 0.03627 , 0.051503 , 0.04627 , 0.071932 , 0.035105 
 462 , 0.044671 , 0.040142 , 0.035481 , 0.055777 , 0.042927 , 0.077281 , 0.052547 , 0.077998 , 0.03493 , 0.05057 , 0.053214 , 0.03949 , 0.029895 , 0.033772 , 0.046804 , 0.023066 , 0.045106 , 0.041168 , 0.027575 , 0.035567 , 0.057849 , 0.040394 , 0.03539 , 0.054149 , 0.044706 , 0.033242 , 0.044625 , 0.038827 , 0.048316 , 0.058587 , 0.028353 , 0.034566 , 0.038564 , 0.043235 , 0.035264 , 0.038731 , 0.034576 , 0.041506 , 0.032943 , 0.045055 , 0.031361 , 0.046733 , 0.053937 , 0.037301 , 0.026488 , 0.044974 , 0.039019 , 0.055382 , 0.034384 , 0.048118 , 0.031685 , 0.03397 , 0.041557 , 0.04456 , 0.045237 , 0.057435 , 0.056924 , 0.045677 , 0.038625 , 0.069698 , 0.017182 , 0.02943 , 0.042796 , 0.035865 , 0.034576 , 0.047537 , 0.048528 , 0.044534 , 0.032301 , 0.033929 , 0.03627 , 0.043994 , 0.030345 , 0.033085 , 0.03174 , 0.028561 , 0.024249 , 0.047006 , 0.038661 , 0.021246 , 0.04179 , 0.04271 , 0.036497 , 0.034394 , 0.039136 , 0.034349 , 0.053927 , 0.040126 , 0.054958 , 0.041961 , 0.036259 , 0.051495 , 0.046198 , 0.071922 , 0.035127 
 463 , 0.044701 , 0.04014 , 0.035543 , 0.055827 , 0.04297 , 0.077388 , 0.052618 , 0.078019 , 0.034978 , 0.050504 , 0.053254 , 0.039554 , 0.029897 , 0.033767 , 0.04681 , 0.023024 , 0.045075 , 0.041154 , 0.027601 , 0.035518 , 0.057866 , 0.040407 , 0.035381 , 0.054197 , 0.044726 , 0.033282 , 0.044651 , 0.038838 , 0.048324 , 0.058678 , 0.028302 , 0.034574 , 0.03857 , 0.043192 , 0.03522 , 0.038732 , 0.034594 , 0.041563 , 0.03299 , 0.04513 , 0.031436 , 0.046805 , 0.054011 , 0.037294 , 0.026501 , 0.045039 , 0.03905 , 0.055434 , 0.034398 , 0.048152 , 0.031683 , 0.033888 , 0.041618 , 0.04459 , 0.045256 , 0.057482 , 0.057033 , 0.045751 , 0.038661 , 0.069774 , 0.017181 , 0.029442 , 0.042809 , 0.035871 , 0.03462 , 0.047552 , 0.048531 , 0.044595 , 0.032303 , 0.033948 , 0.036305 , 0.044015 , 0.030341 , 0.033096 , 0.031769 , 0.028559 , 0.02418 , 0.047022 , 0.038656 , 0.021223 , 0.0418 , 0.042713 , 0.036486 , 0.034413 , 0.039131 , 0.034382 , 0.05397 , 0.04017 , 0.055065 , 0.042017 , 0.036264 , 0.051488 , 0.046144 , 0.071918 , 0.035154 
 464 , 0.04477 , 0.040188 , 0.03558 , 0.055941 , 0.043031 , 0.077532 , 0.05273 , 0.078188 , 0.035066 , 0.050497 , 0.053249 , 0.039653 , 0.029975 , 0.033891 , 0.046903 , 0.022988 , 0.045088 , 0.041105 , 0.02763 , 0.03555 , 0.057988 , 0.0405 , 0.035419 , 0.054308 , 0.044846 , 0.033362 , 0.044679 , 0.038897 , 0.04845 , 0.058785 , 0.028266 , 0.034607 , 0.038555 , 0.043228 , 0.035182 , 0.038796 , 0.034663 , 0.041645 , 0.033075 , 0.045234 , 0.031547 , 0.046933 , 0.054137 , 0.03737 , 0.026552 , 0.045083 , 0.039139 , 0.055558 , 0.034456 , 0.048233 , 0.031714 , 0.033861 , 0.04167 , 0.044685 , 0.045345 , 0.05761 , 0.057171 , 0.045849 , 0.038741 , 0.06988 , 0.017205 , 0.02947 , 0.042855 , 0.035908 , 0.034638 , 0.047618 , 0.048581 , 0.044674 , 0.032298 , 0.033987 , 0.036331 , 0.044034 , 0.030378 , 0.033155 , 0.03186 , 0.028588 , 0.024162 , 0.047079 , 0.038711 , 0.021263 , 0.041867 , 0.042734 , 0.036488 , 0.034461 , 0.039215 , 0.034471 , 0.054031 , 0.040258 , 0.05519 , 0.042078 , 0.036341 , 0.051495 , 0.046192 , 0.071952 , 0.035202 
 465 , 0.044844 , 0.040236 , 0.035622 , 0.05606 , 0.043096 , 0.077681 , 0.052842 , 0.078361 , 0.035159 , 0.05049 , 0.05324 , 0.039752 , 0.030057 , 0.034016 , 0.046999 , 0.022951 , 0.045101 , 0.041051 , 0.02766 , 0.035582 , 0.05811 , 0.040598 , 0.035456 , 0.054418 , 0.044965 , 0.033447 , 0.044703 , 0.038956 , 0.048581 , 0.05889 , 0.028229 , 0.03464 , 0.038543 , 0.043262 , 0.035139 , 0.038861 , 0.034731 , 0.041726 , 0.033159 , 0.045337 , 0.031654 , 0.04706 , 0.054262 , 0.037445 , 0.026607 , 0.045131 , 0.039233 , 0.055692 , 0.034514 , 0.048319 , 0.031749 , 0.033839 , 0.041721 , 0.044778 , 0.045438 , 0.057742 , 0.057304 , 0.045947 , 0.03882 , 0.069985 , 0.017229 , 0.029498 , 0.042895 , 0.03595 , 0.034655 , 0.047684 , 0.048636 , 0.044748 , 0.032288 , 0.034021 , 0.036363 , 0.044058 , 0.03042 , 0.03321 , 0.031951 , 0.028622 , 0.024139 , 0.04714 , 0.038765 , 0.021304 , 0.041943 , 0.042749 , 0.036489 , 0.034514 , 0.039299 , 0.03456 , 0.054096 , 0.040346 , 0.055315 , 0.042139 , 0.036418 , 0.051507 , 0.046239 , 0.07199 , 0.035255 
 466 , 0.044922 , 0.040288 , 0.035659 , 0.056177 , 0.043161 , 0.077828 , 0.052957 , 0.078533 , 0.035251 , 0.050487 , 0.053234 , 0.039855 , 0.030134 , 0.034144 , 0.047095 , 0.022909 , 0.045113 , 0.040997 , 0.027694 , 0.035613 , 0.058235 , 0.040695 , 0.035498 , 0.054527 , 0.045083 , 0.03353 , 0.044731 , 0.039015 , 0.048711 , 0.058995 , 0.028187 , 0.034672 , 0.038527 , 0.043297 , 0.0351 , 0.038929 , 0.034798 , 0.041812 , 0.033249 , 0.045445 , 0.031764 , 0.047186 , 0.054386 , 0.03752 , 0.026662 , 0.045178 , 0.039322 , 0.055825 , 0.034572 , 0.048404 , 0.031784 , 0.033812 , 0.041772 , 0.044871 , 0.045526 , 0.057873 , 0.05744 , 0.046044 , 0.038899 , 0.070095 , 0.017253 , 0.02953 , 0.042939 , 0.035986 , 0.034678 , 0.04775 , 0.048685 , 0.044826 , 0.032277 , 0.034059 , 0.036388 , 0.044076 , 0.030461 , 0.033269 , 0.032046 , 0.028655 , 0.024121 , 0.047196 , 0.038818 , 0.021344 , 0.042014 , 0.042763 , 0.036489 , 0.034567 , 0.039387 , 0.034647 , 0.054155 , 0.040439 , 0.055443 , 0.0422 , 0.036494 , 0.051513 , 0.04629 , 0.072027 , 0.035306 
 467 , 0.045003 , 0.04032 , 0.035737 , 0.056335 , 0.043227 , 0.077963 , 0.053086 , 0.078728 , 0.035245 , 0.05054 , 0.053312 , 0.039953 , 0.030169 , 0.034178 , 0.04717 , 0.022891 , 0.045093 , 0.040979 , 0.02773 , 0.035566 , 0.058342 , 0.040782 , 0.035612 , 0.054605 , 0.045118 , 0.03356 , 0.044786 , 0.039087 , 0.048795 , 0.059111 , 0.028172 , 0.034666 , 0.038574 , 0.043302 , 0.035079 , 0.038972 , 0.034832 , 0.041924 , 0.033313 , 0.045521 , 0.03188 , 0.047306 , 0.054504 , 0.037604 , 0.026709 , 0.045284 , 0.039389 , 0.055958 , 0.034631 , 0.048488 , 0.031804 , 0.033761 , 0.041864 , 0.044952 , 0.045616 , 0.058015 , 0.057607 , 0.04618 , 0.038957 , 0.070253 , 0.017303 , 0.029556 , 0.043021 , 0.036034 , 0.034691 , 0.047854 , 0.048795 , 0.044917 , 0.032312 , 0.034108 , 0.036472 , 0.044112 , 0.030532 , 0.033323 , 0.032101 , 0.028681 , 0.024113 , 0.047266 , 0.038871 , 0.021357 , 0.04209 , 0.042774 , 0.036542 , 0.034581 , 0.03945 , 0.034721 , 0.054217 , 0.040491 , 0.055611 , 0.042276 , 0.036542 , 0.051546 , 0.0463 , 0.072104 , 0.035385 
 468 , 0.045087 , 0.040357 , 0.035829 , 0.056503 , 0.043301 , 0.078099 , 0.053218 , 0.078934 , 0.03522 , 0.050612 , 0.053414 , 0.040056 , 0.030199 , 0.034194 , 0.04724 , 0.022873 , 0.045067 , 0.040966 , 0.027769 , 0.035502 , 0.058451 , 0.040866 , 0.035749 , 0.054677 , 0.045137 , 0.033585 , 0.044851 , 0.03917 , 0.048871 , 0.05923 , 0.028161 , 0.034657 , 0.038642 , 0.043301 , 0.035069 , 0.039014 , 0.034858 , 0.042043 , 0.033384 , 0.04559 , 0.03199 , 0.047427 , 0.054622 , 0.037691 , 0.026752 , 0.045409 , 0.039447 , 0.056091 , 0.034692 , 0.048579 , 0.031819 , 0.033701 , 0.041968 , 0.045027 , 0.045701 , 0.058164 , 0.057776 , 0.046325 , 0.039009 , 0.070431 , 0.017359 , 0.02959 , 0.04312 , 0.036081 , 0.034702 , 0.047965 , 0.048916 , 0.045007 , 0.032362 , 0.034164 , 0.036569 , 0.044156 , 0.030606 , 0.033384 , 0.032151 , 0.028705 , 0.024106 , 0.047341 , 0.038928 , 0.021364 , 0.042174 , 0.042783 , 0.036609 , 0.034591 , 0.039507 , 0.034798 , 0.054285 , 0.040539 , 0.055794 , 0.042355 , 0.036594 , 0.051583 , 0.046305 , 0.072197 , 0.035472 
 469 , 0.045171 , 0.04039 , 0.035926 , 0.056677 , 0.04337 , 0.078238 , 0.053355 , 0.079139 , 0.035196 , 0.050688 , 0.053516 , 0.040159 , 0.030223 , 0.034204 , 0.04731 , 0.022855 , 0.045046 , 0.040954 , 0.027807 , 0.035438 , 0.058554 , 0.040954 , 0.035885 , 0.054744 , 0.045156 , 0.033611 , 0.04492 , 0.039253 , 0.048951 , 0.059349 , 0.02815 , 0.034647 , 0.038704 , 0.043304 , 0.035055 , 0.039056 , 0.034889 , 0.042162 , 0.03345 , 0.04566 , 0.032106 , 0.047552 , 0.054734 , 0.037778 , 0.026796 , 0.045534 , 0.039509 , 0.056224 , 0.034758 , 0.048664 , 0.031834 , 0.033646 , 0.042071 , 0.045106 , 0.045791 , 0.058313 , 0.05795 , 0.04647 , 0.039061 , 0.070608 , 0.017419 , 0.029619 , 0.043214 , 0.036127 , 0.034718 , 0.048081 , 0.049037 , 0.045101 , 0.032408 , 0.03422 , 0.036666 , 0.0442 , 0.030686 , 0.033444 , 0.032206 , 0.028729 , 0.024098 , 0.047416 , 0.038986 , 0.021365 , 0.042252 , 0.042791 , 0.036671 , 0.034602 , 0.03957 , 0.034869 , 0.054347 , 0.040581 , 0.055972 , 0.042439 , 0.03664 , 0.051619 , 0.046309 , 0.072284 , 0.035563 
 470 , 0.045291 , 0.040493 , 0.036033 , 0.056861 , 0.043459 , 0.078444 , 0.053487 , 0.079395 , 0.035252 , 0.050779 , 0.053633 , 0.040282 , 0.030303 , 0.034255 , 0.047426 , 0.022887 , 0.045075 , 0.040971 , 0.027856 , 0.035418 , 0.058708 , 0.041047 , 0.036007 , 0.054877 , 0.045226 , 0.033676 , 0.045029 , 0.03937 , 0.049067 , 0.059529 , 0.028143 , 0.034688 , 0.038786 , 0.043363 , 0.035046 , 0.039119 , 0.03498 , 0.042301 , 0.033556 , 0.045805 , 0.032247 , 0.047718 , 0.054907 , 0.0379 , 0.026865 , 0.045684 , 0.039622 , 0.056387 , 0.034824 , 0.0488 , 0.031874 , 0.033611 , 0.042185 , 0.045216 , 0.04591 , 0.058522 , 0.058149 , 0.046645 , 0.039159 , 0.070832 , 0.01747 , 0.029679 , 0.043353 , 0.036184 , 0.034784 , 0.048221 , 0.049168 , 0.045246 , 0.032463 , 0.034296 , 0.036778 , 0.044289 , 0.030787 , 0.03351 , 0.032297 , 0.028778 , 0.024106 , 0.047511 , 0.039063 , 0.021397 , 0.042356 , 0.04287 , 0.036742 , 0.034663 , 0.039662 , 0.034975 , 0.054449 , 0.040679 , 0.056206 , 0.042562 , 0.036717 , 0.051695 , 0.046374 , 0.072438 , 0.03566 
 471 , 0.045444 , 0.040672 , 0.036148 , 0.057061 , 0.043568 , 0.078732 , 0.053621 , 0.079705 , 0.035396 , 0.050887 , 0.053772 , 0.040435 , 0.030458 , 0.034342 , 0.047583 , 0.022987 , 0.045167 , 0.04102 , 0.027915 , 0.035446 , 0.058918 , 0.041136 , 0.036102 , 0.055079 , 0.045348 , 0.033792 , 0.045187 , 0.039527 , 0.049222 , 0.05978 , 0.028142 , 0.034791 , 0.038892 , 0.043492 , 0.035033 , 0.039214 , 0.035144 , 0.042458 , 0.033706 , 0.046024 , 0.032425 , 0.047931 , 0.055149 , 0.038059 , 0.026957 , 0.045863 , 0.0398 , 0.056572 , 0.034897 , 0.04898 , 0.031941 , 0.03361 , 0.042302 , 0.045364 , 0.046075 , 0.058802 , 0.058383 , 0.046852 , 0.03931 , 0.07111 , 0.017509 , 0.029777 , 0.043527 , 0.036259 , 0.034912 , 0.048395 , 0.049308 , 0.045459 , 0.032526 , 0.034397 , 0.036889 , 0.04444 , 0.030912 , 0.03359 , 0.03244 , 0.028869 , 0.024127 , 0.047628 , 0.039164 , 0.021453 , 0.042478 , 0.043023 , 0.036818 , 0.034776 , 0.039805 , 0.035129 , 0.054605 , 0.040844 , 0.056491 , 0.04274 , 0.036813 , 0.051815 , 0.046509 , 0.072653 , 0.035769 
 472 , 0.045598 , 0.040857 , 0.036268 , 0.057263 , 0.043682 , 0.07902 , 0.05375 , 0.080011 , 0.03554 , 0.050996 , 0.053912 , 0.040589 , 0.030607 , 0.034428 , 0.047741 , 0.023082 , 0.045264 , 0.041069 , 0.027974 , 0.035474 , 0.059122 , 0.041231 , 0.036202 , 0.055281 , 0.045471 , 0.033908 , 0.04535 , 0.039679 , 0.049383 , 0.060032 , 0.028136 , 0.034898 , 0.038997 , 0.043627 , 0.03502 , 0.039311 , 0.035308 , 0.042616 , 0.033852 , 0.04625 , 0.032604 , 0.04815 , 0.055388 , 0.038219 , 0.027049 , 0.046043 , 0.039978 , 0.056757 , 0.034974 , 0.049161 , 0.032012 , 0.033604 , 0.042419 , 0.045512 , 0.04624 , 0.059087 , 0.058612 , 0.047053 , 0.039462 , 0.071389 , 0.017548 , 0.029875 , 0.043708 , 0.036329 , 0.03504 , 0.04857 , 0.049449 , 0.045669 , 0.032584 , 0.034494 , 0.037006 , 0.044592 , 0.031032 , 0.03367 , 0.032579 , 0.028955 , 0.024148 , 0.047741 , 0.039265 , 0.02151 , 0.042606 , 0.043177 , 0.036895 , 0.034888 , 0.039947 , 0.035282 , 0.054761 , 0.041004 , 0.056782 , 0.042919 , 0.03691 , 0.051936 , 0.046639 , 0.07287 , 0.035879 
 473 , 0.045752 , 0.041038 , 0.036386 , 0.057467 , 0.043797 , 0.079312 , 0.053898 , 0.080325 , 0.035682 , 0.051108 , 0.05406 , 0.040755 , 0.030756 , 0.034523 , 0.047903 , 0.023172 , 0.045357 , 0.041124 , 0.028032 , 0.03551 , 0.05933 , 0.041332 , 0.0363 , 0.055482 , 0.0456 , 0.034026 , 0.045514 , 0.039838 , 0.049549 , 0.060287 , 0.028144 , 0.034998 , 0.039099 , 0.043757 , 0.035009 , 0.039403 , 0.035469 , 0.04278 , 0.034001 , 0.046471 , 0.032776 , 0.048369 , 0.055629 , 0.03838 , 0.027141 , 0.046222 , 0.040157 , 0.056955 , 0.035054 , 0.049341 , 0.032092 , 0.033601 , 0.042542 , 0.045661 , 0.04641 , 0.059365 , 0.058849 , 0.047265 , 0.039611 , 0.071668 , 0.017588 , 0.029971 , 0.043883 , 0.036401 , 0.035166 , 0.048744 , 0.049594 , 0.045873 , 0.032649 , 0.034599 , 0.03712 , 0.044744 , 0.031156 , 0.033758 , 0.03272 , 0.029045 , 0.024174 , 0.047863 , 0.039368 , 0.021567 , 0.042734 , 0.043327 , 0.036973 , 0.035004 , 0.040086 , 0.035429 , 0.054915 , 0.041165 , 0.057067 , 0.043099 , 0.037008 , 0.05206 , 0.046769 , 0.073085 , 0.035996 
 474 , 0.045921 , 0.041178 , 0.036481 , 0.057684 , 0.043999 , 0.079627 , 0.054164 , 0.080662 , 0.035771 , 0.051283 , 0.054326 , 0.041036 , 0.030876 , 0.034701 , 0.048178 , 0.023171 , 0.045399 , 0.041173 , 0.028096 , 0.035583 , 0.05953 , 0.041503 , 0.036435 , 0.055716 , 0.045784 , 0.034178 , 0.045693 , 0.040027 , 0.049791 , 0.060545 , 0.028198 , 0.035081 , 0.03918 , 0.043892 , 0.03502 , 0.039514 , 0.035599 , 0.042974 , 0.034128 , 0.046641 , 0.032941 , 0.048574 , 0.055893 , 0.03851 , 0.027254 , 0.046403 , 0.040306 , 0.057227 , 0.035193 , 0.049538 , 0.03223 , 0.033641 , 0.042741 , 0.045855 , 0.046611 , 0.059606 , 0.05915 , 0.047519 , 0.039753 , 0.071983 , 0.017632 , 0.03007 , 0.044049 , 0.036517 , 0.035289 , 0.048893 , 0.049741 , 0.046007 , 0.032733 , 0.034716 , 0.037242 , 0.044937 , 0.031282 , 0.03392 , 0.032849 , 0.029157 , 0.024191 , 0.048021 , 0.03954 , 0.021619 , 0.042918 , 0.043476 , 0.037085 , 0.035132 , 0.04022 , 0.035522 , 0.055092 , 0.041315 , 0.057359 , 0.043283 , 0.037156 , 0.052185 , 0.04689 , 0.073287 , 0.036182 
 475 , 0.046088 , 0.041319 , 0.036576 , 0.057907 , 0.044197 , 0.079944 , 0.05443 , 0.080997 , 0.03586 , 0.051451 , 0.054582 , 0.041319 , 0.030995 , 0.034878 , 0.048447 , 0.023166 , 0.045442 , 0.041223 , 0.028163 , 0.035656 , 0.059732 , 0.04167 , 0.036571 , 0.055945 , 0.045966 , 0.034324 , 0.045869 , 0.040211 , 0.050028 , 0.060795 , 0.028255 , 0.035163 , 0.039261 , 0.044029 , 0.035031 , 0.039621 , 0.035722 , 0.043165 , 0.034248 , 0.04682 , 0.033109 , 0.048777 , 0.056158 , 0.03864 , 0.027365 , 0.046581 , 0.04046 , 0.057495 , 0.035336 , 0.049728 , 0.032367 , 0.033679 , 0.042936 , 0.046047 , 0.046805 , 0.059844 , 0.059453 , 0.04777 , 0.039891 , 0.072299 , 0.017676 , 0.030166 , 0.044207 , 0.036632 , 0.035407 , 0.049041 , 0.049885 , 0.046139 , 0.032815 , 0.034828 , 0.037364 , 0.045127 , 0.031401 , 0.03408 , 0.032972 , 0.029266 , 0.024203 , 0.048172 , 0.039708 , 0.021671 , 0.043099 , 0.043622 , 0.037202 , 0.035265 , 0.040354 , 0.035621 , 0.055264 , 0.041472 , 0.057653 , 0.04347 , 0.037298 , 0.052305 , 0.047013 , 0.073488 , 0.036368 
 476 , 0.046249 , 0.04146 , 0.036671 , 0.05812 , 0.044395 , 0.080261 , 0.054696 , 0.081336 , 0.035948 , 0.051619 , 0.054844 , 0.041598 , 0.031113 , 0.035056 , 0.04872 , 0.023165 , 0.04549 , 0.041272 , 0.02823 , 0.035729 , 0.059934 , 0.041837 , 0.036702 , 0.056179 , 0.046148 , 0.034476 , 0.046046 , 0.040401 , 0.050264 , 0.061049 , 0.028311 , 0.035245 , 0.039341 , 0.044166 , 0.035041 , 0.039728 , 0.035846 , 0.043356 , 0.034374 , 0.046993 , 0.033273 , 0.048975 , 0.056423 , 0.03877 , 0.027476 , 0.046759 , 0.04061 , 0.057763 , 0.035479 , 0.049923 , 0.032499 , 0.033711 , 0.043131 , 0.046234 , 0.047003 , 0.060081 , 0.05975 , 0.048022 , 0.040034 , 0.072614 , 0.017719 , 0.030262 , 0.044369 , 0.036748 , 0.035525 , 0.049184 , 0.050035 , 0.046275 , 0.032896 , 0.034944 , 0.037481 , 0.045312 , 0.031526 , 0.034236 , 0.0331 , 0.029376 , 0.024215 , 0.048328 , 0.039876 , 0.021724 , 0.043284 , 0.043773 , 0.037313 , 0.035393 , 0.040487 , 0.035714 , 0.055435 , 0.041623 , 0.057947 , 0.043651 , 0.037441 , 0.052429 , 0.047136 , 0.073684 , 0.036554 
 477 , 0.046407 , 0.041616 , 0.036845 , 0.058345 , 0.044584 , 0.080637 , 0.054928 , 0.081648 , 0.036079 , 0.05175 , 0.055091 , 0.04179 , 0.0312 , 0.035175 , 0.048915 , 0.023216 , 0.045575 , 0.041366 , 0.02834 , 0.035798 , 0.060128 , 0.041999 , 0.036845 , 0.056353 , 0.04631 , 0.034587 , 0.046218 , 0.040543 , 0.050453 , 0.061292 , 0.028345 , 0.035338 , 0.039445 , 0.044277 , 0.035067 , 0.039854 , 0.035977 , 0.043557 , 0.034505 , 0.047194 , 0.033438 , 0.049217 , 0.0567 , 0.038914 , 0.027558 , 0.046944 , 0.040778 , 0.058018 , 0.035588 , 0.050111 , 0.03259 , 0.033749 , 0.043312 , 0.046443 , 0.047204 , 0.060332 , 0.060031 , 0.048272 , 0.040196 , 0.072913 , 0.017792 , 0.030388 , 0.044507 , 0.03685 , 0.035634 , 0.049355 , 0.050172 , 0.046453 , 0.032998 , 0.035067 , 0.037621 , 0.045478 , 0.03164 , 0.034367 , 0.033244 , 0.029459 , 0.024253 , 0.048486 , 0.040017 , 0.021745 , 0.043424 , 0.043904 , 0.037437 , 0.035496 , 0.04063 , 0.035844 , 0.055627 , 0.041784 , 0.058222 , 0.043818 , 0.03757 , 0.052558 , 0.04723 , 0.073904 , 0.036687 
 478 , 0.046561 , 0.041777 , 0.037045 , 0.058566 , 0.044773 , 0.081029 , 0.05515 , 0.081956 , 0.03622 , 0.051867 , 0.055334 , 0.041956 , 0.031278 , 0.035278 , 0.049081 , 0.023288 , 0.045675 , 0.04147 , 0.028466 , 0.035862 , 0.060317 , 0.042156 , 0.036988 , 0.056507 , 0.046463 , 0.034679 , 0.046392 , 0.040666 , 0.050622 , 0.061536 , 0.028364 , 0.035442 , 0.039554 , 0.044384 , 0.035093 , 0.039985 , 0.036107 , 0.043754 , 0.034648 , 0.047401 , 0.033598 , 0.049475 , 0.056993 , 0.039068 , 0.027641 , 0.047134 , 0.040947 , 0.058269 , 0.035687 , 0.050299 , 0.032671 , 0.033782 , 0.043488 , 0.046653 , 0.047406 , 0.060589 , 0.060302 , 0.048527 , 0.040374 , 0.073209 , 0.01788 , 0.03052 , 0.04464 , 0.036953 , 0.035744 , 0.049536 , 0.05031 , 0.046648 , 0.033111 , 0.035201 , 0.037772 , 0.045639 , 0.031754 , 0.034484 , 0.033393 , 0.029531 , 0.024292 , 0.04865 , 0.040154 , 0.021757 , 0.043549 , 0.044031 , 0.037572 , 0.0356 , 0.040773 , 0.03599 , 0.055836 , 0.041951 , 0.058499 , 0.043974 , 0.0377 , 0.052691 , 0.047314 , 0.07413 , 0.036804 
 479 , 0.04672 , 0.041939 , 0.037245 , 0.058792 , 0.044958 , 0.081428 , 0.055372 , 0.08226 , 0.036367 , 0.051983 , 0.055573 , 0.042118 , 0.031355 , 0.035381 , 0.049251 , 0.02336 , 0.045775 , 0.041579 , 0.028592 , 0.035931 , 0.060507 , 0.042308 , 0.037132 , 0.056661 , 0.046617 , 0.03477 , 0.046565 , 0.040794 , 0.050792 , 0.061776 , 0.028387 , 0.035545 , 0.039664 , 0.044491 , 0.035124 , 0.040111 , 0.036244 , 0.043952 , 0.034785 , 0.047608 , 0.033764 , 0.049734 , 0.057288 , 0.039222 , 0.02772 , 0.04732 , 0.041117 , 0.058515 , 0.035792 , 0.050484 , 0.032747 , 0.03382 , 0.043659 , 0.046863 , 0.047613 , 0.060851 , 0.060579 , 0.048779 , 0.040552 , 0.073499 , 0.017968 , 0.030652 , 0.044768 , 0.037055 , 0.035859 , 0.049718 , 0.050448 , 0.046843 , 0.033219 , 0.035335 , 0.037918 , 0.0458 , 0.031864 , 0.034601 , 0.033543 , 0.029604 , 0.024335 , 0.048815 , 0.04029 , 0.021768 , 0.043674 , 0.044157 , 0.037707 , 0.0357 , 0.040912 , 0.036136 , 0.056045 , 0.042113 , 0.058777 , 0.044131 , 0.037825 , 0.05283 , 0.047392 , 0.074362 , 0.036922 
