  time  ,35:22 PM,35:34 PM,35:47 PM,35:57 PM,36:07 PM,37:07 PM,37:29 PM,37:49 PM,38:02 PM,38:14 PM,39:00 PM,39:11 PM,39:23 PM,39:38 PM,39:48 PM,41:05 PM,41:21 PM,41:34 PM,41:45 PM,41:58 PM,42:43 PM,42:58 PM,43:12 PM,43:22 PM,43:34 PM,48:04 PM,48:16 PM,48:29 PM,48:40 PM,48:50 PM,49:35 PM,49:46 PM,49:58 PM,50:11 PM,50:19 PM,51:18 PM,51:29 PM,51:46 PM,51:59 PM,52:08 PM,53:08 PM,53:19 PM,53:28 PM,53:40 PM,53:54 PM,55:10 PM,55:26 PM,55:37 PM,55:49 PM,55:58 PM,57:32 PM,57:44 PM,57:57 PM,58:06 PM,58:18 PM,59:12 PM,59:27 PM,59:39 PM,59:49 PM,59:59 PM,01:10 PM,01:22 PM,01:34 PM,01:43 PM,01:53 PM,02:40 PM,02:51 PM,03:02 PM,03:14 PM,03:23 PM,04:20 PM,04:32 PM,04:42 PM,04:52 PM,05:02 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 383 , 0.062153 , 0.057008 , 0.044368 , 0.039686 , 0.044239 , 0.031947 , 0.027326 , 0.029158 , 0.033918 , 0.032469 , 0.042764 , 0.043768 , 0.048313 , 0.037712 , 0.032453 , 0.051009 , 0.056547 , 0.033153 , 0.031453 , 0.057341 , 0.025994 , 0.06801 , 0.024888 , 0.047341 , 0.053206 , 0.068348 , 0.075134 , 0.053564 , 0.044293 , 0.054168 , 0.031144 , 0.025476 , 0.022579 , 0.031099 , 0.045384 , 0.026153 , 0.027945 , 0.027026 , 0.024528 , 0.030047 , 0.035494 , 0.026314 , 0.021174 , 0.074666 , 0.067375 , 0.030192 , 0.03578 , 0.021326 , 0.044723 , 0.043829 , 0.042789 , 0.021245 , 0.029685 , 0.045243 , 0.040337 , 0.044176 , 0.044714 , 0.038359 , 0.029183 , 0.049634 , 0.054716 , 0.048056 , 0.03853 , 0.028432 , 0.053744 , 0.031303 , 0.029408 , 0.033295 , 0.055311 , 0.034897 , 0.05409 , 0.052142 , 0.041401 , 0.047061 , 0.049995 
 384 , 0.062219 , 0.057144 , 0.044374 , 0.039818 , 0.044309 , 0.03201 , 0.0274 , 0.029164 , 0.03393 , 0.032463 , 0.042901 , 0.043839 , 0.048453 , 0.037701 , 0.032527 , 0.051254 , 0.056735 , 0.033237 , 0.031544 , 0.057479 , 0.026143 , 0.068667 , 0.025143 , 0.048019 , 0.05371 , 0.068466 , 0.07552 , 0.053699 , 0.044707 , 0.05457 , 0.031259 , 0.025365 , 0.022609 , 0.031221 , 0.045554 , 0.026278 , 0.027924 , 0.027137 , 0.024561 , 0.029966 , 0.03564 , 0.026299 , 0.021264 , 0.07466 , 0.067457 , 0.030237 , 0.035905 , 0.02141 , 0.044805 , 0.043918 , 0.042918 , 0.021153 , 0.029803 , 0.04516 , 0.040326 , 0.044314 , 0.044944 , 0.038304 , 0.029258 , 0.049712 , 0.054835 , 0.048134 , 0.038518 , 0.028542 , 0.053915 , 0.031422 , 0.029438 , 0.033402 , 0.055478 , 0.035118 , 0.054172 , 0.052248 , 0.041468 , 0.047129 , 0.050086 
 385 , 0.062282 , 0.057284 , 0.044386 , 0.039945 , 0.044379 , 0.032083 , 0.02748 , 0.029169 , 0.033952 , 0.03246 , 0.043048 , 0.043928 , 0.048615 , 0.037696 , 0.032607 , 0.051491 , 0.056935 , 0.03332 , 0.031635 , 0.05763 , 0.026301 , 0.069331 , 0.0254 , 0.048704 , 0.054218 , 0.068618 , 0.075928 , 0.053839 , 0.045137 , 0.054989 , 0.031382 , 0.025269 , 0.022651 , 0.031357 , 0.045732 , 0.026407 , 0.027915 , 0.02726 , 0.024604 , 0.029898 , 0.035796 , 0.026296 , 0.021358 , 0.074671 , 0.067568 , 0.030285 , 0.036034 , 0.0215 , 0.0449 , 0.04403 , 0.043058 , 0.02107 , 0.029931 , 0.04512 , 0.040334 , 0.044454 , 0.045178 , 0.038268 , 0.029341 , 0.049814 , 0.054962 , 0.048226 , 0.038523 , 0.028661 , 0.054097 , 0.031557 , 0.029478 , 0.033517 , 0.05565 , 0.035349 , 0.054261 , 0.052366 , 0.041538 , 0.047212 , 0.050199 
 386 , 0.06244 , 0.057394 , 0.044483 , 0.040005 , 0.044522 , 0.032188 , 0.027552 , 0.029301 , 0.034005 , 0.032571 , 0.043321 , 0.044106 , 0.048851 , 0.037891 , 0.032729 , 0.051596 , 0.057311 , 0.03352 , 0.031834 , 0.057891 , 0.026535 , 0.070106 , 0.025688 , 0.049425 , 0.054825 , 0.068967 , 0.076299 , 0.054055 , 0.045637 , 0.055506 , 0.031516 , 0.025396 , 0.022714 , 0.031462 , 0.045916 , 0.026523 , 0.028061 , 0.027415 , 0.024724 , 0.029993 , 0.035991 , 0.026523 , 0.021573 , 0.074759 , 0.067721 , 0.030434 , 0.036238 , 0.021689 , 0.045137 , 0.044156 , 0.043312 , 0.021127 , 0.030175 , 0.04528 , 0.040567 , 0.044674 , 0.045375 , 0.038501 , 0.029429 , 0.050026 , 0.055241 , 0.048459 , 0.038771 , 0.028828 , 0.054427 , 0.031676 , 0.029723 , 0.033785 , 0.055768 , 0.03564 , 0.054504 , 0.052515 , 0.041765 , 0.047442 , 0.050293 
 387 , 0.06265 , 0.057481 , 0.044633 , 0.040019 , 0.044698 , 0.032301 , 0.027615 , 0.029511 , 0.034067 , 0.032746 , 0.043664 , 0.044326 , 0.049112 , 0.038212 , 0.032874 , 0.051605 , 0.057781 , 0.033784 , 0.032098 , 0.058199 , 0.026804 , 0.070923 , 0.025987 , 0.05014 , 0.055464 , 0.069416 , 0.076627 , 0.054309 , 0.046157 , 0.056067 , 0.031653 , 0.025666 , 0.022787 , 0.031532 , 0.046095 , 0.026625 , 0.028301 , 0.027587 , 0.024894 , 0.030187 , 0.036205 , 0.026891 , 0.021856 , 0.074885 , 0.067885 , 0.030639 , 0.036481 , 0.021932 , 0.04545 , 0.044274 , 0.043629 , 0.02127 , 0.030484 , 0.045564 , 0.040936 , 0.044926 , 0.045536 , 0.038898 , 0.029518 , 0.050295 , 0.055602 , 0.048774 , 0.03916 , 0.029015 , 0.05484 , 0.031777 , 0.030098 , 0.034136 , 0.05584 , 0.03595 , 0.054833 , 0.052667 , 0.042081 , 0.047753 , 0.050371 
 388 , 0.06285 , 0.057554 , 0.044768 , 0.040029 , 0.044861 , 0.032411 , 0.027668 , 0.02971 , 0.034125 , 0.032906 , 0.043989 , 0.04453 , 0.049359 , 0.038513 , 0.033011 , 0.051607 , 0.058216 , 0.034032 , 0.032341 , 0.058473 , 0.027056 , 0.071692 , 0.026261 , 0.050808 , 0.056065 , 0.069825 , 0.076933 , 0.054549 , 0.046646 , 0.056595 , 0.031779 , 0.025918 , 0.022855 , 0.031596 , 0.04626 , 0.026717 , 0.028522 , 0.027746 , 0.025049 , 0.030365 , 0.036405 , 0.027236 , 0.022127 , 0.074996 , 0.06804 , 0.030829 , 0.036709 , 0.022162 , 0.045742 , 0.044382 , 0.043926 , 0.021406 , 0.030774 , 0.045832 , 0.04128 , 0.045158 , 0.045688 , 0.039265 , 0.029601 , 0.050547 , 0.055937 , 0.049066 , 0.039523 , 0.029192 , 0.055235 , 0.031865 , 0.030447 , 0.034464 , 0.055901 , 0.036238 , 0.055142 , 0.052811 , 0.042375 , 0.048037 , 0.050438 
 389 , 0.063064 , 0.057654 , 0.044908 , 0.040118 , 0.045038 , 0.032565 , 0.027753 , 0.029931 , 0.034231 , 0.03309 , 0.044309 , 0.044795 , 0.049662 , 0.038795 , 0.033198 , 0.051684 , 0.058617 , 0.034265 , 0.032552 , 0.058752 , 0.027315 , 0.072439 , 0.026586 , 0.051489 , 0.056669 , 0.070262 , 0.077259 , 0.054838 , 0.047133 , 0.057155 , 0.031948 , 0.026152 , 0.022981 , 0.031732 , 0.046474 , 0.026851 , 0.028738 , 0.027896 , 0.025215 , 0.030573 , 0.036617 , 0.027575 , 0.022356 , 0.075129 , 0.068214 , 0.03102 , 0.036946 , 0.022413 , 0.046044 , 0.044534 , 0.044231 , 0.021601 , 0.031089 , 0.046135 , 0.041606 , 0.045402 , 0.045884 , 0.039597 , 0.029723 , 0.050812 , 0.056244 , 0.049367 , 0.03984 , 0.029419 , 0.055624 , 0.032022 , 0.030777 , 0.034768 , 0.05604 , 0.036552 , 0.05545 , 0.052973 , 0.042647 , 0.048322 , 0.050591 
 390 , 0.06338 , 0.057897 , 0.045098 , 0.040466 , 0.045291 , 0.032894 , 0.027952 , 0.030259 , 0.034504 , 0.033406 , 0.044658 , 0.045296 , 0.050223 , 0.039059 , 0.033571 , 0.052046 , 0.058984 , 0.034499 , 0.032676 , 0.0591 , 0.027657 , 0.073234 , 0.027125 , 0.052326 , 0.057389 , 0.070874 , 0.077711 , 0.055329 , 0.047704 , 0.057916 , 0.032285 , 0.026376 , 0.02333 , 0.032144 , 0.046901 , 0.02713 , 0.028982 , 0.028049 , 0.025457 , 0.030936 , 0.036921 , 0.027957 , 0.022498 , 0.075376 , 0.068505 , 0.031264 , 0.037265 , 0.022783 , 0.046442 , 0.044851 , 0.044595 , 0.022024 , 0.031545 , 0.046606 , 0.041916 , 0.045741 , 0.046278 , 0.039866 , 0.030007 , 0.05119 , 0.056543 , 0.049759 , 0.04006 , 0.029857 , 0.056054 , 0.032439 , 0.031095 , 0.035045 , 0.05647 , 0.037023 , 0.055827 , 0.053264 , 0.042912 , 0.048647 , 0.051045 
 391 , 0.063668 , 0.058112 , 0.045264 , 0.040792 , 0.045524 , 0.033202 , 0.02814 , 0.030567 , 0.034763 , 0.033701 , 0.044982 , 0.045768 , 0.050745 , 0.039299 , 0.033924 , 0.052387 , 0.059318 , 0.034715 , 0.032793 , 0.059424 , 0.027975 , 0.073977 , 0.02763 , 0.053119 , 0.05807 , 0.07146 , 0.078131 , 0.055786 , 0.048244 , 0.058633 , 0.032601 , 0.026584 , 0.023662 , 0.032532 , 0.047298 , 0.027391 , 0.029213 , 0.028188 , 0.025686 , 0.031274 , 0.037201 , 0.028315 , 0.022627 , 0.075603 , 0.068767 , 0.031486 , 0.037557 , 0.023131 , 0.04681 , 0.045147 , 0.04494 , 0.02243 , 0.031969 , 0.047043 , 0.042205 , 0.046055 , 0.046645 , 0.040112 , 0.030275 , 0.051537 , 0.056816 , 0.050124 , 0.040266 , 0.030275 , 0.056455 , 0.032825 , 0.03139 , 0.0353 , 0.056869 , 0.037461 , 0.056174 , 0.053523 , 0.043161 , 0.048945 , 0.051468 
 392 , 0.063937 , 0.058307 , 0.04542 , 0.0411 , 0.045743 , 0.033491 , 0.028311 , 0.030855 , 0.035008 , 0.033982 , 0.045288 , 0.046211 , 0.051246 , 0.039525 , 0.034253 , 0.052706 , 0.059628 , 0.034916 , 0.032891 , 0.059726 , 0.028277 , 0.074678 , 0.028115 , 0.053877 , 0.058717 , 0.072013 , 0.078531 , 0.056219 , 0.048755 , 0.059316 , 0.032903 , 0.026777 , 0.023979 , 0.032897 , 0.047676 , 0.027636 , 0.029425 , 0.028311 , 0.025894 , 0.031599 , 0.03746 , 0.028657 , 0.022751 , 0.075808 , 0.069007 , 0.031697 , 0.037835 , 0.023466 , 0.047151 , 0.045426 , 0.045259 , 0.022808 , 0.032372 , 0.047457 , 0.042473 , 0.046343 , 0.046989 , 0.040344 , 0.030526 , 0.051864 , 0.057073 , 0.050462 , 0.040454 , 0.030671 , 0.05683 , 0.033191 , 0.031669 , 0.035539 , 0.05724 , 0.037881 , 0.056496 , 0.053767 , 0.043384 , 0.049228 , 0.051858 
 393 , 0.064162 , 0.058434 , 0.045529 , 0.041244 , 0.045841 , 0.033761 , 0.028408 , 0.030994 , 0.035048 , 0.034036 , 0.045667 , 0.046472 , 0.051438 , 0.039808 , 0.034461 , 0.052925 , 0.059927 , 0.035092 , 0.033124 , 0.060064 , 0.028614 , 0.075711 , 0.028402 , 0.054699 , 0.059565 , 0.072494 , 0.079047 , 0.056616 , 0.049339 , 0.060008 , 0.033062 , 0.026909 , 0.024079 , 0.033049 , 0.047903 , 0.027684 , 0.02937 , 0.028383 , 0.026028 , 0.031644 , 0.037777 , 0.029014 , 0.023036 , 0.075992 , 0.069121 , 0.031837 , 0.037971 , 0.023548 , 0.047328 , 0.045604 , 0.045598 , 0.023043 , 0.032687 , 0.04779 , 0.042681 , 0.046597 , 0.047091 , 0.040526 , 0.03065 , 0.052138 , 0.057278 , 0.050664 , 0.040651 , 0.030982 , 0.057122 , 0.033393 , 0.031931 , 0.035716 , 0.057503 , 0.038315 , 0.056697 , 0.054055 , 0.043612 , 0.049414 , 0.052063 
 394 , 0.06436 , 0.058531 , 0.04562 , 0.041355 , 0.045909 , 0.034004 , 0.028478 , 0.031093 , 0.035057 , 0.034044 , 0.046023 , 0.046673 , 0.05157 , 0.040074 , 0.034635 , 0.053105 , 0.060201 , 0.035252 , 0.033347 , 0.060376 , 0.028934 , 0.07672 , 0.028632 , 0.055473 , 0.060382 , 0.072924 , 0.079544 , 0.056975 , 0.0499 , 0.060644 , 0.033186 , 0.027015 , 0.024132 , 0.033146 , 0.048089 , 0.027693 , 0.029282 , 0.028437 , 0.026144 , 0.03163 , 0.038075 , 0.029343 , 0.023327 , 0.076157 , 0.069202 , 0.031945 , 0.038075 , 0.023582 , 0.047465 , 0.045748 , 0.045916 , 0.023233 , 0.032958 , 0.048089 , 0.042857 , 0.046821 , 0.04715 , 0.040677 , 0.030751 , 0.052381 , 0.057458 , 0.050818 , 0.040838 , 0.031254 , 0.057371 , 0.033548 , 0.032173 , 0.035875 , 0.05772 , 0.038719 , 0.056855 , 0.054326 , 0.043816 , 0.049571 , 0.052213 
 395 , 0.064538 , 0.058612 , 0.045704 , 0.041447 , 0.045968 , 0.03423 , 0.028546 , 0.031185 , 0.035064 , 0.034052 , 0.046346 , 0.04686 , 0.05168 , 0.04032 , 0.034786 , 0.053263 , 0.060445 , 0.035392 , 0.033553 , 0.060666 , 0.029231 , 0.077638 , 0.028846 , 0.05618 , 0.061129 , 0.073309 , 0.079998 , 0.057307 , 0.050404 , 0.061229 , 0.033296 , 0.027113 , 0.024175 , 0.033239 , 0.048257 , 0.027698 , 0.029188 , 0.028482 , 0.026236 , 0.03162 , 0.038345 , 0.029645 , 0.02359 , 0.076304 , 0.069266 , 0.032041 , 0.038167 , 0.023612 , 0.04758 , 0.045883 , 0.046196 , 0.023405 , 0.033203 , 0.048357 , 0.043009 , 0.047024 , 0.047195 , 0.040819 , 0.030836 , 0.0526 , 0.057613 , 0.050953 , 0.041005 , 0.031506 , 0.057592 , 0.033681 , 0.03239 , 0.036013 , 0.057913 , 0.039086 , 0.056993 , 0.054568 , 0.044 , 0.049705 , 0.052351 
 396 , 0.064663 , 0.058659 , 0.045806 , 0.041536 , 0.046097 , 0.03447 , 0.028668 , 0.031248 , 0.035173 , 0.034149 , 0.046763 , 0.047084 , 0.051922 , 0.040549 , 0.035001 , 0.05347 , 0.0607 , 0.035599 , 0.033722 , 0.06091 , 0.029528 , 0.078586 , 0.029154 , 0.056999 , 0.061867 , 0.073801 , 0.080515 , 0.057612 , 0.050987 , 0.0618 , 0.033453 , 0.027307 , 0.024376 , 0.033401 , 0.048483 , 0.02783 , 0.029251 , 0.028608 , 0.026425 , 0.031681 , 0.038613 , 0.029932 , 0.023905 , 0.076463 , 0.069449 , 0.032182 , 0.038351 , 0.023733 , 0.047765 , 0.046053 , 0.046531 , 0.023613 , 0.033408 , 0.048699 , 0.043234 , 0.047271 , 0.047413 , 0.040946 , 0.030948 , 0.052864 , 0.057807 , 0.051182 , 0.04117 , 0.031704 , 0.057904 , 0.03385 , 0.032661 , 0.03628 , 0.058098 , 0.039487 , 0.057231 , 0.054861 , 0.044191 , 0.049911 , 0.052535 
 397 , 0.064749 , 0.05866 , 0.045915 , 0.04162 , 0.04628 , 0.034724 , 0.028837 , 0.031276 , 0.035384 , 0.034312 , 0.047236 , 0.047329 , 0.052268 , 0.040766 , 0.035268 , 0.053713 , 0.060951 , 0.03585 , 0.033838 , 0.061107 , 0.029815 , 0.079498 , 0.029536 , 0.057868 , 0.062543 , 0.074356 , 0.081066 , 0.057883 , 0.051593 , 0.062334 , 0.033652 , 0.027594 , 0.024705 , 0.033621 , 0.048758 , 0.028076 , 0.02945 , 0.028806 , 0.026678 , 0.031796 , 0.038871 , 0.030204 , 0.024247 , 0.076624 , 0.06972 , 0.032347 , 0.038607 , 0.023936 , 0.048005 , 0.046249 , 0.046894 , 0.023835 , 0.033574 , 0.0491 , 0.0435 , 0.047546 , 0.047779 , 0.041069 , 0.031089 , 0.053161 , 0.058031 , 0.051476 , 0.041325 , 0.031858 , 0.058287 , 0.03404 , 0.032976 , 0.03665 , 0.058272 , 0.039904 , 0.057542 , 0.055181 , 0.044378 , 0.050171 , 0.05275 
 398 , 0.064816 , 0.058662 , 0.046008 , 0.041688 , 0.04644 , 0.034933 , 0.028986 , 0.031302 , 0.035558 , 0.03446 , 0.047635 , 0.047546 , 0.052563 , 0.040943 , 0.035486 , 0.053917 , 0.061162 , 0.036063 , 0.033939 , 0.061274 , 0.030068 , 0.080267 , 0.02986 , 0.058614 , 0.063125 , 0.074834 , 0.081533 , 0.058109 , 0.052114 , 0.062797 , 0.033819 , 0.027832 , 0.024987 , 0.033811 , 0.048997 , 0.028281 , 0.029619 , 0.028978 , 0.026895 , 0.031887 , 0.039084 , 0.030429 , 0.024531 , 0.076757 , 0.069953 , 0.032496 , 0.038827 , 0.024114 , 0.048204 , 0.046416 , 0.047202 , 0.024034 , 0.033714 , 0.049446 , 0.043732 , 0.047771 , 0.048091 , 0.041175 , 0.031198 , 0.053421 , 0.058213 , 0.05173 , 0.041464 , 0.031983 , 0.058614 , 0.034203 , 0.03325 , 0.036976 , 0.058413 , 0.040262 , 0.057812 , 0.055448 , 0.044541 , 0.050391 , 0.052932 
 399 , 0.064882 , 0.058663 , 0.046079 , 0.041752 , 0.046572 , 0.035106 , 0.029093 , 0.031314 , 0.035698 , 0.034571 , 0.047962 , 0.047732 , 0.052807 , 0.041094 , 0.035665 , 0.054082 , 0.061337 , 0.036233 , 0.03402 , 0.061419 , 0.030269 , 0.080954 , 0.03013 , 0.059264 , 0.063648 , 0.075229 , 0.081925 , 0.05831 , 0.052568 , 0.063204 , 0.033954 , 0.028007 , 0.025211 , 0.033946 , 0.049196 , 0.028427 , 0.029751 , 0.029101 , 0.027061 , 0.031964 , 0.039276 , 0.030615 , 0.024767 , 0.076866 , 0.070138 , 0.032605 , 0.039005 , 0.024248 , 0.048357 , 0.046564 , 0.04746 , 0.024199 , 0.033839 , 0.049731 , 0.043915 , 0.047962 , 0.048341 , 0.041267 , 0.031298 , 0.053621 , 0.058367 , 0.051935 , 0.041579 , 0.032095 , 0.058877 , 0.034333 , 0.033477 , 0.037228 , 0.05854 , 0.040568 , 0.058022 , 0.055661 , 0.044672 , 0.050561 , 0.05307 
 400 , 0.065007 , 0.058695 , 0.046061 , 0.041813 , 0.046682 , 0.035165 , 0.029062 , 0.031295 , 0.035719 , 0.034611 , 0.048101 , 0.047916 , 0.052953 , 0.041217 , 0.035694 , 0.054103 , 0.06144 , 0.036348 , 0.034048 , 0.061599 , 0.03038 , 0.08162 , 0.030304 , 0.059853 , 0.064285 , 0.075484 , 0.082174 , 0.058552 , 0.05297 , 0.063706 , 0.03399 , 0.027971 , 0.025234 , 0.033914 , 0.049343 , 0.02829 , 0.029759 , 0.02907 , 0.027056 , 0.031933 , 0.039488 , 0.030716 , 0.024839 , 0.076877 , 0.070128 , 0.03263 , 0.039093 , 0.024311 , 0.048403 , 0.046665 , 0.047664 , 0.024327 , 0.034015 , 0.049922 , 0.044013 , 0.048101 , 0.048428 , 0.041393 , 0.031345 , 0.0537 , 0.058485 , 0.052063 , 0.041696 , 0.032227 , 0.059022 , 0.034434 , 0.033671 , 0.03728 , 0.058703 , 0.040839 , 0.05809 , 0.055664 , 0.044776 , 0.050619 , 0.05307 
 401 , 0.065122 , 0.058715 , 0.046046 , 0.041868 , 0.046772 , 0.035222 , 0.029037 , 0.031284 , 0.035735 , 0.034641 , 0.048224 , 0.048079 , 0.053085 , 0.04133 , 0.035726 , 0.054119 , 0.061534 , 0.036444 , 0.034069 , 0.061764 , 0.030472 , 0.082207 , 0.030455 , 0.060372 , 0.064848 , 0.075698 , 0.082395 , 0.058757 , 0.053324 , 0.064148 , 0.034017 , 0.027926 , 0.025253 , 0.033889 , 0.04948 , 0.028174 , 0.029772 , 0.029046 , 0.027046 , 0.031907 , 0.039673 , 0.030805 , 0.024902 , 0.076885 , 0.070119 , 0.032651 , 0.039169 , 0.024356 , 0.048446 , 0.046755 , 0.047848 , 0.024449 , 0.034163 , 0.050095 , 0.044098 , 0.048216 , 0.048497 , 0.041501 , 0.031386 , 0.053768 , 0.058587 , 0.052162 , 0.041791 , 0.032334 , 0.059142 , 0.034513 , 0.033829 , 0.037332 , 0.058834 , 0.041074 , 0.058151 , 0.055673 , 0.044867 , 0.050667 , 0.053059 
 402 , 0.065218 , 0.05873 , 0.046032 , 0.04192 , 0.046856 , 0.035268 , 0.029014 , 0.031269 , 0.035745 , 0.034669 , 0.04833 , 0.048218 , 0.053196 , 0.041417 , 0.035745 , 0.054142 , 0.06161 , 0.036525 , 0.034088 , 0.061896 , 0.030558 , 0.082722 , 0.030584 , 0.060829 , 0.06534 , 0.075896 , 0.082583 , 0.058938 , 0.053639 , 0.064533 , 0.034045 , 0.027895 , 0.025267 , 0.033862 , 0.049597 , 0.028068 , 0.029777 , 0.029022 , 0.027045 , 0.031885 , 0.039839 , 0.030879 , 0.024954 , 0.076884 , 0.070101 , 0.032674 , 0.03924 , 0.024399 , 0.048478 , 0.046838 , 0.048009 , 0.024547 , 0.034305 , 0.050247 , 0.044176 , 0.048322 , 0.048556 , 0.041599 , 0.031425 , 0.053829 , 0.058669 , 0.05226 , 0.041877 , 0.032431 , 0.059259 , 0.034591 , 0.033975 , 0.037375 , 0.058956 , 0.041287 , 0.058201 , 0.055677 , 0.044948 , 0.050707 , 0.053058 
 403 , 0.065219 , 0.058724 , 0.046026 , 0.041911 , 0.046934 , 0.035337 , 0.029018 , 0.031274 , 0.035777 , 0.034755 , 0.04852 , 0.048326 , 0.053375 , 0.041532 , 0.035839 , 0.054186 , 0.061703 , 0.036579 , 0.034112 , 0.061985 , 0.030693 , 0.083363 , 0.030772 , 0.06143 , 0.065933 , 0.076252 , 0.08294 , 0.059138 , 0.05408 , 0.064972 , 0.034112 , 0.027908 , 0.025326 , 0.033944 , 0.049727 , 0.028093 , 0.029741 , 0.029027 , 0.027089 , 0.031918 , 0.03991 , 0.030992 , 0.025071 , 0.076939 , 0.07018 , 0.032658 , 0.039267 , 0.024454 , 0.048625 , 0.046978 , 0.048158 , 0.02463 , 0.0345 , 0.05045 , 0.044255 , 0.04852 , 0.04867 , 0.041646 , 0.031477 , 0.053948 , 0.058786 , 0.052415 , 0.041928 , 0.032623 , 0.059412 , 0.034632 , 0.034121 , 0.037443 , 0.058971 , 0.041496 , 0.05831 , 0.055754 , 0.045083 , 0.050811 , 0.053173 
 404 , 0.065189 , 0.058695 , 0.046027 , 0.041881 , 0.047 , 0.035413 , 0.029026 , 0.031295 , 0.035824 , 0.03485 , 0.048733 , 0.04843 , 0.053567 , 0.041631 , 0.03594 , 0.054246 , 0.061795 , 0.036637 , 0.034136 , 0.062054 , 0.03083 , 0.084004 , 0.030973 , 0.062063 , 0.066538 , 0.076642 , 0.083325 , 0.059338 , 0.054549 , 0.065404 , 0.03418 , 0.027945 , 0.02539 , 0.034055 , 0.049859 , 0.02815 , 0.029705 , 0.029035 , 0.02715 , 0.031965 , 0.039961 , 0.031107 , 0.025202 , 0.076991 , 0.070282 , 0.032626 , 0.039291 , 0.024505 , 0.048805 , 0.047125 , 0.048296 , 0.024702 , 0.034716 , 0.050654 , 0.04432 , 0.048733 , 0.048787 , 0.041667 , 0.031545 , 0.054076 , 0.0589 , 0.052575 , 0.041953 , 0.032831 , 0.059579 , 0.034663 , 0.034261 , 0.037522 , 0.058954 , 0.041694 , 0.058444 , 0.055854 , 0.045231 , 0.05094 , 0.053316 
 405 , 0.065156 , 0.058679 , 0.046022 , 0.04186 , 0.047071 , 0.035473 , 0.029032 , 0.031303 , 0.035862 , 0.034939 , 0.048926 , 0.048519 , 0.053748 , 0.041734 , 0.036043 , 0.0543 , 0.061881 , 0.036676 , 0.034161 , 0.062117 , 0.030959 , 0.084598 , 0.031158 , 0.06265 , 0.067102 , 0.076999 , 0.083685 , 0.05952 , 0.054979 , 0.065799 , 0.034243 , 0.027973 , 0.025449 , 0.034161 , 0.049985 , 0.028199 , 0.029674 , 0.02905 , 0.027213 , 0.031999 , 0.040015 , 0.031212 , 0.025323 , 0.077044 , 0.070377 , 0.032605 , 0.039309 , 0.024563 , 0.04898 , 0.047261 , 0.048419 , 0.024771 , 0.034912 , 0.050844 , 0.044394 , 0.048944 , 0.048899 , 0.041689 , 0.031601 , 0.054191 , 0.059014 , 0.052735 , 0.041978 , 0.033031 , 0.059737 , 0.034695 , 0.034388 , 0.037599 , 0.058941 , 0.041888 , 0.05857 , 0.055947 , 0.045362 , 0.051052 , 0.053459 
 406 , 0.065208 , 0.058667 , 0.046052 , 0.04189 , 0.04715 , 0.035577 , 0.029064 , 0.03136 , 0.035943 , 0.035019 , 0.049135 , 0.048687 , 0.053938 , 0.041871 , 0.036145 , 0.054359 , 0.061988 , 0.036776 , 0.034214 , 0.062235 , 0.031141 , 0.085307 , 0.031406 , 0.063296 , 0.067697 , 0.077394 , 0.084045 , 0.059747 , 0.055438 , 0.066279 , 0.034306 , 0.028048 , 0.025524 , 0.034251 , 0.050114 , 0.028268 , 0.029686 , 0.0291 , 0.027289 , 0.032074 , 0.040097 , 0.031388 , 0.025459 , 0.077138 , 0.070469 , 0.032641 , 0.039374 , 0.024636 , 0.049153 , 0.047406 , 0.048595 , 0.024865 , 0.03512 , 0.051047 , 0.044469 , 0.049144 , 0.049053 , 0.041752 , 0.03168 , 0.054377 , 0.059143 , 0.052913 , 0.042036 , 0.033226 , 0.059921 , 0.034763 , 0.034544 , 0.037718 , 0.058979 , 0.042137 , 0.058713 , 0.056079 , 0.045476 , 0.051166 , 0.053581 
