  time  ,35:22 PM,35:34 PM,35:47 PM,35:57 PM,36:07 PM,37:07 PM,37:29 PM,37:49 PM,38:02 PM,38:14 PM,39:00 PM,39:11 PM,39:23 PM,39:38 PM,39:48 PM,41:05 PM,41:21 PM,41:34 PM,41:45 PM,41:58 PM,42:43 PM,42:58 PM,43:12 PM,43:22 PM,43:34 PM,48:04 PM,48:16 PM,48:29 PM,48:40 PM,48:50 PM,49:35 PM,49:46 PM,49:58 PM,50:11 PM,50:19 PM,51:18 PM,51:29 PM,51:46 PM,51:59 PM,52:08 PM,53:08 PM,53:19 PM,53:28 PM,53:40 PM,53:54 PM,55:10 PM,55:26 PM,55:37 PM,55:49 PM,55:58 PM,57:32 PM,57:44 PM,57:57 PM,58:06 PM,58:18 PM,59:12 PM,59:27 PM,59:39 PM,59:49 PM,59:59 PM,01:10 PM,01:22 PM,01:34 PM,01:43 PM,01:53 PM,02:40 PM,02:51 PM,03:02 PM,03:14 PM,03:23 PM,04:20 PM,04:32 PM,04:42 PM,04:52 PM,05:02 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 316 , 0.060968 , 0.05934 , 0.044425 , 0.038272 , 0.049488 , 0.036179 , 0.026799 , 0.037549 , 0.031705 , 0.038781 , 0.042888 , 0.037818 , 0.046039 , 0.037091 , 0.027144 , 0.040667 , 0.044109 , 0.02367 , 0.016939 , 0.042525 , 0.01296 , 0.057581 , 0.01143 , 0.03885 , 0.047253 , 0.052472 , 0.058428 , 0.037011 , 0.033428 , 0.037346 , 0.008195 , 0.008152 , 0.007454 , 0.020025 , 0.028587 , 0.012189 , 0.016216 , 0.015936 , 0.013127 , 0.017027 , 0.011299 , 0.005582 , 0.009674 , 0.055299 , 0.048336 , 0.015918 , 0.023456 , 0.013142 , 0.030292 , 0.028329 , 0.028682 , 0.007421 , 0.020425 , 0.030426 , 0.015522 , 0.036939 , 0.045781 , 0.029267 , 0.021308 , 0.042277 , 0.051999 , 0.037913 , 0.029412 , 0.023078 , 0.03945 , 0.009787 , 0.015384 , 0.019574 , 0.039752 , 0.015467 , 0.042514 , 0.036713 , 0.033246 , 0.03539 , 0.03547 
 317 , 0.064138 , 0.058318 , 0.043614 , 0.038841 , 0.049865 , 0.038959 , 0.030928 , 0.038764 , 0.035724 , 0.041969 , 0.046165 , 0.04056 , 0.04666 , 0.040122 , 0.02807 , 0.043381 , 0.046846 , 0.028225 , 0.023285 , 0.046192 , 0.019722 , 0.059036 , 0.01466 , 0.038572 , 0.044931 , 0.053478 , 0.058473 , 0.040604 , 0.034922 , 0.038423 , 0.009753 , 0.009669 , 0.011378 , 0.025017 , 0.030173 , 0.013353 , 0.019106 , 0.018721 , 0.019837 , 0.017815 , 0.017013 , 0.008436 , 0.01215 , 0.059935 , 0.05303 , 0.018829 , 0.027962 , 0.019722 , 0.033102 , 0.032721 , 0.03079 , 0.011213 , 0.025239 , 0.02925 , 0.023531 , 0.043014 , 0.045575 , 0.034217 , 0.027046 , 0.044052 , 0.052602 , 0.041561 , 0.031336 , 0.024259 , 0.041655 , 0.012291 , 0.020639 , 0.024302 , 0.041531 , 0.020821 , 0.046485 , 0.042552 , 0.034619 , 0.037598 , 0.040247 
 318 , 0.066526 , 0.057216 , 0.043046 , 0.039088 , 0.049773 , 0.040639 , 0.033646 , 0.039154 , 0.03836 , 0.043652 , 0.048129 , 0.042268 , 0.047138 , 0.041933 , 0.02835 , 0.045322 , 0.04846 , 0.030998 , 0.027609 , 0.048742 , 0.024155 , 0.059711 , 0.016631 , 0.038232 , 0.042993 , 0.054059 , 0.058733 , 0.043196 , 0.035778 , 0.039689 , 0.011395 , 0.010751 , 0.01417 , 0.02835 , 0.031598 , 0.014249 , 0.020957 , 0.020813 , 0.024483 , 0.018594 , 0.021179 , 0.010644 , 0.013745 , 0.063422 , 0.05641 , 0.021023 , 0.030939 , 0.023921 , 0.035046 , 0.035853 , 0.032152 , 0.013648 , 0.028291 , 0.028453 , 0.029229 , 0.04691 , 0.044918 , 0.037397 , 0.031079 , 0.045297 , 0.052902 , 0.044284 , 0.032524 , 0.024683 , 0.043162 , 0.014205 , 0.024196 , 0.027347 , 0.04273 , 0.024615 , 0.049214 , 0.046807 , 0.035409 , 0.03912 , 0.043793 
 319 , 0.066741 , 0.054506 , 0.043568 , 0.037186 , 0.046215 , 0.036774 , 0.030171 , 0.034625 , 0.034725 , 0.03735 , 0.043659 , 0.03894 , 0.047493 , 0.038246 , 0.024929 , 0.04465 , 0.044871 , 0.02535 , 0.023375 , 0.047363 , 0.018437 , 0.056141 , 0.012965 , 0.03722 , 0.041388 , 0.052755 , 0.060323 , 0.042345 , 0.033518 , 0.04364 , 0.015521 , 0.010373 , 0.01255 , 0.024929 , 0.034097 , 0.014401 , 0.018575 , 0.021217 , 0.021541 , 0.020166 , 0.020694 , 0.011394 , 0.01125 , 0.064182 , 0.055065 , 0.021292 , 0.02756 , 0.018442 , 0.033546 , 0.034312 , 0.030116 , 0.010277 , 0.024188 , 0.029411 , 0.026761 , 0.04169 , 0.040749 , 0.032863 , 0.029123 , 0.044481 , 0.05198 , 0.043848 , 0.030462 , 0.020927 , 0.041812 , 0.014348 , 0.02122 , 0.02338 , 0.042033 , 0.022727 , 0.047067 , 0.045651 , 0.033665 , 0.038207 , 0.04351 
 320 , 0.066861 , 0.05229 , 0.043865 , 0.035784 , 0.043359 , 0.033697 , 0.027399 , 0.031031 , 0.031829 , 0.032378 , 0.040115 , 0.036332 , 0.047698 , 0.035327 , 0.022214 , 0.044119 , 0.041965 , 0.020917 , 0.020031 , 0.04622 , 0.013966 , 0.05327 , 0.010069 , 0.036379 , 0.040078 , 0.051603 , 0.061538 , 0.041571 , 0.031715 , 0.046827 , 0.018731 , 0.010062 , 0.011262 , 0.022214 , 0.036009 , 0.014509 , 0.016685 , 0.021552 , 0.019208 , 0.021411 , 0.020309 , 0.011989 , 0.009283 , 0.064735 , 0.053934 , 0.021485 , 0.024879 , 0.01411 , 0.032325 , 0.03306 , 0.028471 , 0.007611 , 0.020932 , 0.030043 , 0.024782 , 0.037545 , 0.037441 , 0.029267 , 0.027543 , 0.043808 , 0.051188 , 0.043469 , 0.028795 , 0.017948 , 0.04072 , 0.014418 , 0.018865 , 0.020232 , 0.041402 , 0.021225 , 0.045344 , 0.044659 , 0.032229 , 0.03746 , 0.043285 
 321 , 0.066918 , 0.050432 , 0.044001 , 0.034744 , 0.041004 , 0.031185 , 0.025134 , 0.028106 , 0.029469 , 0.02836 , 0.037231 , 0.03424 , 0.047799 , 0.032959 , 0.020012 , 0.043686 , 0.039553 , 0.017356 , 0.017329 , 0.045247 , 0.010395 , 0.050899 , 0.007721 , 0.035659 , 0.038976 , 0.050564 , 0.062475 , 0.040855 , 0.03024 , 0.049465 , 0.021282 , 0.009801 , 0.010215 , 0.020012 , 0.037498 , 0.014586 , 0.015148 , 0.02184 , 0.017313 , 0.022424 , 0.019996 , 0.012472 , 0.007692 , 0.065141 , 0.052964 , 0.021631 , 0.022699 , 0.010602 , 0.031306 , 0.032012 , 0.027108 , 0.005455 , 0.018285 , 0.030445 , 0.023155 , 0.034175 , 0.034748 , 0.02635 , 0.026231 , 0.043239 , 0.050488 , 0.043138 , 0.027414 , 0.015533 , 0.03981 , 0.014438 , 0.016954 , 0.017676 , 0.040826 , 0.019996 , 0.043925 , 0.043785 , 0.031011 , 0.036835 , 0.043104 
 322 , 0.06501 , 0.049942 , 0.042245 , 0.03413 , 0.039213 , 0.02946 , 0.024659 , 0.025585 , 0.02972 , 0.027642 , 0.035753 , 0.035011 , 0.046141 , 0.032318 , 0.020691 , 0.041437 , 0.039011 , 0.019774 , 0.018704 , 0.046405 , 0.01227 , 0.050564 , 0.009215 , 0.034474 , 0.038559 , 0.050815 , 0.062444 , 0.039581 , 0.029281 , 0.043661 , 0.021759 , 0.012071 , 0.011323 , 0.02126 , 0.037185 , 0.016912 , 0.017013 , 0.021651 , 0.016675 , 0.022761 , 0.02078 , 0.012769 , 0.008433 , 0.065863 , 0.053134 , 0.021936 , 0.024189 , 0.009766 , 0.031878 , 0.032029 , 0.029 , 0.005859 , 0.018308 , 0.032767 , 0.024374 , 0.034615 , 0.035371 , 0.026683 , 0.024589 , 0.04346 , 0.049683 , 0.041097 , 0.027893 , 0.016725 , 0.040097 , 0.015376 , 0.018686 , 0.018598 , 0.041075 , 0.02113 , 0.044514 , 0.043732 , 0.03054 , 0.036769 , 0.042716 
 323 , 0.062847 , 0.049942 , 0.040239 , 0.033656 , 0.037851 , 0.028213 , 0.024776 , 0.023582 , 0.030613 , 0.027965 , 0.034875 , 0.03638 , 0.044246 , 0.032216 , 0.021986 , 0.039049 , 0.039072 , 0.023385 , 0.020953 , 0.047889 , 0.015333 , 0.050818 , 0.011539 , 0.033352 , 0.038356 , 0.051389 , 0.062062 , 0.038341 , 0.028602 , 0.036549 , 0.021592 , 0.014671 , 0.012815 , 0.023215 , 0.036438 , 0.019461 , 0.01945 , 0.021348 , 0.016476 , 0.022822 , 0.021713 , 0.012947 , 0.009682 , 0.066502 , 0.053634 , 0.022227 , 0.026411 , 0.009801 , 0.032793 , 0.032319 , 0.031503 , 0.006885 , 0.019052 , 0.035335 , 0.026154 , 0.035999 , 0.036767 , 0.02782 , 0.023115 , 0.043831 , 0.04896 , 0.038893 , 0.028817 , 0.018663 , 0.040648 , 0.016411 , 0.021198 , 0.0203 , 0.041505 , 0.022728 , 0.045537 , 0.043907 , 0.030333 , 0.036825 , 0.042308 
 324 , 0.061095 , 0.050011 , 0.038624 , 0.033135 , 0.036767 , 0.027207 , 0.024931 , 0.021985 , 0.031287 , 0.02828 , 0.034133 , 0.037363 , 0.042709 , 0.03207 , 0.022946 , 0.03712 , 0.039151 , 0.026201 , 0.022722 , 0.048983 , 0.01777 , 0.051002 , 0.013407 , 0.032466 , 0.038142 , 0.051888 , 0.061635 , 0.037348 , 0.028041 , 0.030956 , 0.021461 , 0.016737 , 0.013971 , 0.024725 , 0.035869 , 0.021464 , 0.021321 , 0.02109 , 0.016322 , 0.022818 , 0.022422 , 0.013066 , 0.010662 , 0.06694 , 0.054107 , 0.022449 , 0.028127 , 0.009828 , 0.033526 , 0.032534 , 0.033524 , 0.007681 , 0.019628 , 0.037506 , 0.027553 , 0.037056 , 0.037829 , 0.028692 , 0.021967 , 0.044084 , 0.048374 , 0.037064 , 0.029574 , 0.020144 , 0.041064 , 0.017239 , 0.02327 , 0.021618 , 0.041855 , 0.024 , 0.046328 , 0.044053 , 0.030158 , 0.036815 , 0.041943 
 325 , 0.059854 , 0.049895 , 0.037756 , 0.032501 , 0.035799 , 0.026478 , 0.024477 , 0.021286 , 0.031264 , 0.028002 , 0.033865 , 0.037998 , 0.041886 , 0.032051 , 0.023501 , 0.036814 , 0.039251 , 0.026762 , 0.022794 , 0.049189 , 0.018571 , 0.050584 , 0.014093 , 0.031858 , 0.038009 , 0.051835 , 0.061166 , 0.037051 , 0.027914 , 0.028937 , 0.021514 , 0.017583 , 0.014241 , 0.025066 , 0.035354 , 0.022044 , 0.022115 , 0.020964 , 0.016074 , 0.022735 , 0.023212 , 0.01312 , 0.010808 , 0.066884 , 0.054531 , 0.022317 , 0.028592 , 0.009924 , 0.03418 , 0.032802 , 0.034379 , 0.008135 , 0.019503 , 0.038282 , 0.028917 , 0.037321 , 0.037642 , 0.029034 , 0.021406 , 0.043641 , 0.047419 , 0.03604 , 0.029796 , 0.020855 , 0.040894 , 0.017792 , 0.023507 , 0.022451 , 0.042132 , 0.024207 , 0.045833 , 0.043522 , 0.030312 , 0.036651 , 0.041657 
