SHB2_00005_SHB2_REF.spu,SHB2_00004_SHB2_REF.spu,SHB2_00003_SHB2_REF.spu,SHB2_00002_SHB2_REF.spu,
Wavelength,SHB2_00006_B2_NP.spu,SHB2_00007_B2_NP.spu,SHB2_00008_B2_NP.spu,SHB2_00009_B2_NP.spu,SHB2_00010_B2_NP.spu,SHB2_00011_B2_CT1.spu,SHB2_00012_B2_CT1.spu,SHB2_00013_B2_CT1.spu,SHB2_00014_B2_CT1.spu,SHB2_00015_B2_CT1.spu,SHB2_00016_B2_N.spu,SHB2_00017_B2_N.spu,SHB2_00018_B2_N.spu,SHB2_00019_B2_N.spu,SHB2_00020_B2_N.spu,SHB2_00021_B2_P.spu,SHB2_00022_B2_P.spu,SHB2_00023_B2_P.spu,SHB2_00024_B2_P.spu,SHB2_00025_B2_P.spu
  (nm),6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 
  time  ,26:11 AM,26:32 AM,26:46 AM,26:58 AM,27:13 AM,29:20 AM,30:01 AM,30:24 AM,30:46 AM,31:20 AM,32:19 AM,32:33 AM,32:44 AM,33:04 AM,33:17 AM,34:32 AM,34:40 AM,34:49 AM,34:58 AM,35:06 AM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 327 , 0.012713 , 0.014653 , 0.011144 , 0.008438 , 0.014541 , 0.014158 , 0.012112 , 0.005843 , 0.015034 , 0.004753 , 0.016275 , 0.004324 , 0.011408 , 0.013335 , 0.010351 , 0.019414 , 0.028584 , 0.028432 , 0.033492 , 0.026746 
 328 , 0.013377 , 0.013522 , 0.011258 , 0.009666 , 0.013831 , 0.014972 , 0.012968 , 0.00578 , 0.016036 , 0.005745 , 0.015746 , 0.003945 , 0.011788 , 0.013116 , 0.011831 , 0.020073 , 0.027692 , 0.028704 , 0.033264 , 0.026428 
 329 , 0.014074 , 0.015358 , 0.014749 , 0.012314 , 0.015724 , 0.015624 , 0.01414 , 0.007367 , 0.016666 , 0.00719 , 0.015828 , 0.005695 , 0.013076 , 0.013491 , 0.012489 , 0.021463 , 0.029421 , 0.029628 , 0.033182 , 0.027368 
 330 , 0.014683 , 0.016987 , 0.017943 , 0.014584 , 0.017384 , 0.016242 , 0.015145 , 0.008866 , 0.017178 , 0.008447 , 0.015908 , 0.007288 , 0.014253 , 0.013833 , 0.013039 , 0.022727 , 0.03095 , 0.030451 , 0.033117 , 0.02826 
 331 , 0.015218 , 0.018344 , 0.020778 , 0.01649 , 0.018764 , 0.016847 , 0.016 , 0.010244 , 0.017595 , 0.009527 , 0.015963 , 0.008681 , 0.015307 , 0.014125 , 0.013524 , 0.023865 , 0.032232 , 0.031153 , 0.033051 , 0.029074 
 332 , 0.016066 , 0.019732 , 0.021359 , 0.017466 , 0.019993 , 0.016961 , 0.016885 , 0.010519 , 0.018212 , 0.010497 , 0.015863 , 0.009587 , 0.015912 , 0.014601 , 0.013976 , 0.024871 , 0.033314 , 0.031509 , 0.0339 , 0.02959 
 333 , 0.017079 , 0.021082 , 0.020554 , 0.017873 , 0.021122 , 0.016775 , 0.017779 , 0.010113 , 0.018928 , 0.011372 , 0.015674 , 0.01017 , 0.016219 , 0.015177 , 0.014387 , 0.025752 , 0.034273 , 0.031642 , 0.035268 , 0.029905 
 334 , 0.018001 , 0.022255 , 0.019846 , 0.018251 , 0.02217 , 0.016597 , 0.01861 , 0.009756 , 0.019571 , 0.012152 , 0.015508 , 0.010694 , 0.01648 , 0.015709 , 0.01474 , 0.026531 , 0.035213 , 0.031734 , 0.0365 , 0.030184 
 335 , 0.018657 , 0.022862 , 0.019155 , 0.01839 , 0.022995 , 0.016426 , 0.019185 , 0.009622 , 0.019885 , 0.012558 , 0.015431 , 0.010967 , 0.016514 , 0.016077 , 0.014833 , 0.026832 , 0.035587 , 0.031586 , 0.037166 , 0.030216 
 336 , 0.018559 , 0.021825 , 0.018353 , 0.017747 , 0.023251 , 0.016224 , 0.019046 , 0.010164 , 0.019203 , 0.011853 , 0.015607 , 0.010473 , 0.015828 , 0.015964 , 0.014107 , 0.025648 , 0.034115 , 0.030574 , 0.036097 , 0.029444 
