HST_00004.spu,HST_00003.spu,HST_00002.spu,
Wavelength,SHB2_00005.spu,SHB2_00006.spu,SHB2_00007.spu,SHB2_00008.spu,SHB2_00009.spu,SHB2_00010.spu,SHB2_00011.spu,SHB2_00012.spu,SHB2_00013.spu,SHB2_00014.spu,SHB2_00015.spu,SHB2_00016.spu,SHB2_00017.spu,SHB2_00018.spu,SHB2_00019.spu,SHB2_00020.spu,SHB2_00021.spu,SHB2_00022.spu,SHB2_00023.spu,SHB2_00024.spu
  (nm),7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 
  time  ,:49:13 A,:49:43 A,:50:11 A,:50:40 A,:51:06 A,:52:25 A,:52:45 A,:53:08 A,:53:25 A,:53:44 A,:54:29 A,:54:48 A,:55:08 A,:55:26 A,:55:50 A,:57:07 A,:57:20 A,:57:35 A,:57:51 A,:58:07 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 327 , 0.020047 , 0.016344 , 0.013771 , 0.01604 , 0.014547 , 0.017515 , 0.024808 , 0.015324 , 0.027854 , 0.026325 , 0.019822 , 0.013439 , 0.02052 , 0.023027 , 0.021406 , 0.025611 , 0.028024 , 0.024277 , 0.030187 , 0.020764 
 328 , 0.019657 , 0.015516 , 0.013064 , 0.015374 , 0.013761 , 0.017051 , 0.024172 , 0.014689 , 0.027179 , 0.02501 , 0.019017 , 0.013168 , 0.019106 , 0.021671 , 0.020593 , 0.023308 , 0.027414 , 0.023189 , 0.029043 , 0.020479 
 329 , 0.019621 , 0.01567 , 0.013461 , 0.015828 , 0.013668 , 0.017068 , 0.024181 , 0.015173 , 0.026381 , 0.025222 , 0.01888 , 0.014006 , 0.01881 , 0.021394 , 0.020899 , 0.023082 , 0.026671 , 0.023181 , 0.028297 , 0.019553 
 330 , 0.019595 , 0.015827 , 0.01383 , 0.016251 , 0.013606 , 0.017089 , 0.024202 , 0.015615 , 0.02569 , 0.025438 , 0.01877 , 0.014756 , 0.018586 , 0.021187 , 0.021196 , 0.02295 , 0.02603 , 0.023203 , 0.027663 , 0.01874 
 331 , 0.01957 , 0.015948 , 0.014141 , 0.016612 , 0.013547 , 0.01709 , 0.024215 , 0.015986 , 0.025083 , 0.025604 , 0.018658 , 0.015391 , 0.018391 , 0.021005 , 0.021455 , 0.022833 , 0.02547 , 0.023214 , 0.027103 , 0.01803 
 332 , 0.019552 , 0.015835 , 0.014121 , 0.016412 , 0.013109 , 0.016787 , 0.023924 , 0.016111 , 0.024833 , 0.025411 , 0.018457 , 0.015029 , 0.018289 , 0.021065 , 0.021386 , 0.022814 , 0.024855 , 0.022817 , 0.026691 , 0.017901 
 333 , 0.019542 , 0.015586 , 0.01391 , 0.01589 , 0.012464 , 0.016314 , 0.023467 , 0.01609 , 0.024806 , 0.025015 , 0.018209 , 0.014096 , 0.018249 , 0.021271 , 0.021127 , 0.022858 , 0.024227 , 0.022198 , 0.026382 , 0.01812 
 334 , 0.019551 , 0.015383 , 0.013733 , 0.015441 , 0.011904 , 0.015912 , 0.023081 , 0.016081 , 0.024821 , 0.024687 , 0.01801 , 0.013283 , 0.018238 , 0.021472 , 0.02092 , 0.022912 , 0.023695 , 0.021667 , 0.026131 , 0.018351 
 335 , 0.019436 , 0.01506 , 0.013558 , 0.015035 , 0.011431 , 0.015532 , 0.022728 , 0.015952 , 0.024775 , 0.024348 , 0.017753 , 0.012658 , 0.018094 , 0.021519 , 0.020595 , 0.02287 , 0.02335 , 0.021071 , 0.025923 , 0.018451 
 336 , 0.018889 , 0.014266 , 0.013335 , 0.014645 , 0.011108 , 0.015127 , 0.022378 , 0.015373 , 0.024511 , 0.023888 , 0.017234 , 0.012479 , 0.017466 , 0.021069 , 0.019815 , 0.022495 , 0.023529 , 0.020079 , 0.02578 , 0.01812 
