  time  ,30:50 AM,30:41 AM,30:32 AM,30:22 AM,30:13 AM,29:31 AM,29:21 AM,29:09 AM,29:00 AM,28:53 AM,27:52 AM,27:43 AM,27:33 AM,27:24 AM,27:16 AM,26:53 AM,26:41 AM,26:30 AM,26:21 AM,26:12 AM,24:24 AM,24:14 AM,24:04 AM,23:49 AM,23:42 AM,22:52 AM,22:44 AM,22:33 AM,22:24 AM,22:13 AM,21:06 AM,20:56 AM,20:46 AM,20:34 AM,20:19 AM,19:08 AM,18:56 AM,18:41 AM,18:29 AM,18:10 AM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 326 , 0.021729 , 0.026189 , 0.028562 , 0.029914 , 0.028772 , 0.015338 , 0.019807 , 0.021271 , 0.026527 , 0.028351 , 0.028292 , 0.035066 , 0.025074 , 0.030109 , 0.028609 , 0.026102 , 0.023407 , 0.026878 , 0.024367 , 0.023642 , 0.049976 , 0.056312 , 0.041495 , 0.033938 , 0.036936 , 0.030185 , 0.032528 , 0.027175 , 0.030314 , 0.028975 , 0.041197 , 0.038017 , 0.041551 , 0.035889 , 0.041343 , 0.021707 , 0.02429 , 0.02397 , 0.020943 , 0.023959 
 327 , 0.020895 , 0.025845 , 0.027919 , 0.029976 , 0.028314 , 0.015348 , 0.020036 , 0.022945 , 0.026387 , 0.027757 , 0.029219 , 0.034981 , 0.026208 , 0.029346 , 0.028311 , 0.024982 , 0.024198 , 0.026893 , 0.024349 , 0.024613 , 0.050499 , 0.056897 , 0.039509 , 0.033757 , 0.036422 , 0.030138 , 0.031757 , 0.027785 , 0.029231 , 0.028262 , 0.041123 , 0.038943 , 0.039571 , 0.035283 , 0.040205 , 0.02221 , 0.024793 , 0.023541 , 0.020851 , 0.024336 
 328 , 0.020191 , 0.025541 , 0.027366 , 0.029988 , 0.0279 , 0.015342 , 0.02023 , 0.024286 , 0.026224 , 0.027204 , 0.029967 , 0.034871 , 0.027051 , 0.028686 , 0.02802 , 0.024021 , 0.024817 , 0.026855 , 0.024311 , 0.025413 , 0.050861 , 0.057266 , 0.037829 , 0.033565 , 0.035958 , 0.030033 , 0.031067 , 0.028264 , 0.028313 , 0.027636 , 0.041008 , 0.039606 , 0.037869 , 0.03473 , 0.039215 , 0.02258 , 0.025111 , 0.023171 , 0.020759 , 0.024596 
 329 , 0.019865 , 0.025234 , 0.02716 , 0.02934 , 0.027171 , 0.01567 , 0.019178 , 0.023042 , 0.026144 , 0.027787 , 0.030273 , 0.034534 , 0.027035 , 0.027971 , 0.028299 , 0.024875 , 0.02433 , 0.025858 , 0.023318 , 0.025196 , 0.050533 , 0.055555 , 0.038745 , 0.033443 , 0.035517 , 0.029639 , 0.031471 , 0.027839 , 0.028725 , 0.027479 , 0.040423 , 0.040196 , 0.039414 , 0.034799 , 0.039737 , 0.022794 , 0.024789 , 0.023352 , 0.021055 , 0.02498 
 330 , 0.019596 , 0.024973 , 0.027002 , 0.028753 , 0.026528 , 0.015963 , 0.018229 , 0.021871 , 0.026069 , 0.02834 , 0.030533 , 0.034236 , 0.026991 , 0.027342 , 0.028566 , 0.025726 , 0.023873 , 0.024953 , 0.022424 , 0.024978 , 0.050231 , 0.053987 , 0.03965 , 0.033338 , 0.035142 , 0.029288 , 0.03189 , 0.027442 , 0.029112 , 0.027371 , 0.039888 , 0.040734 , 0.040886 , 0.034875 , 0.040273 , 0.02299 , 0.024485 , 0.023549 , 0.021338 , 0.025327 
 331 , 0.019372 , 0.024763 , 0.026886 , 0.028257 , 0.025983 , 0.016223 , 0.017407 , 0.020856 , 0.026008 , 0.028856 , 0.030777 , 0.03399 , 0.026972 , 0.026794 , 0.028822 , 0.026546 , 0.023487 , 0.024174 , 0.021648 , 0.024796 , 0.049998 , 0.052637 , 0.04049 , 0.033258 , 0.034847 , 0.029005 , 0.032318 , 0.027103 , 0.029436 , 0.02731 , 0.039419 , 0.041269 , 0.042232 , 0.034958 , 0.040805 , 0.023195 , 0.024246 , 0.023755 , 0.021608 , 0.02566 
 332 , 0.019043 , 0.024229 , 0.026188 , 0.027609 , 0.02583 , 0.015799 , 0.017106 , 0.020588 , 0.025588 , 0.028058 , 0.030575 , 0.033 , 0.026291 , 0.025963 , 0.028631 , 0.025803 , 0.02316 , 0.023451 , 0.021568 , 0.023661 , 0.049412 , 0.05218 , 0.040253 , 0.032317 , 0.033484 , 0.028548 , 0.031536 , 0.026475 , 0.029333 , 0.026238 , 0.03952 , 0.040361 , 0.041993 , 0.034936 , 0.040179 , 0.022211 , 0.02401 , 0.023569 , 0.020952 , 0.02568 
 333 , 0.018669 , 0.023533 , 0.025189 , 0.026908 , 0.025926 , 0.014988 , 0.017125 , 0.020782 , 0.024974 , 0.026537 , 0.030122 , 0.031625 , 0.025247 , 0.024995 , 0.028189 , 0.024193 , 0.02289 , 0.022801 , 0.021902 , 0.022029 , 0.048661 , 0.052281 , 0.039394 , 0.030909 , 0.031592 , 0.028021 , 0.030079 , 0.025706 , 0.028981 , 0.02464 , 0.039974 , 0.038665 , 0.040827 , 0.034861 , 0.038923 , 0.020595 , 0.023796 , 0.023166 , 0.019792 , 0.025521 
 334 , 0.018345 , 0.022927 , 0.024314 , 0.026296 , 0.026016 , 0.014278 , 0.017145 , 0.020954 , 0.024442 , 0.025207 , 0.029725 , 0.03042 , 0.024336 , 0.02415 , 0.027805 , 0.022789 , 0.022658 , 0.022233 , 0.022194 , 0.020602 , 0.047976 , 0.052371 , 0.038641 , 0.029676 , 0.029941 , 0.027556 , 0.028803 , 0.025035 , 0.028697 , 0.023246 , 0.040459 , 0.037178 , 0.03981 , 0.034816 , 0.037812 , 0.019186 , 0.023619 , 0.022809 , 0.018777 , 0.02538 
 335 , 0.018027 , 0.022527 , 0.023738 , 0.025973 , 0.026003 , 0.013881 , 0.017227 , 0.021169 , 0.024192 , 0.02437 , 0.029301 , 0.029899 , 0.023807 , 0.023783 , 0.02766 , 0.021997 , 0.022542 , 0.022085 , 0.022459 , 0.019797 , 0.047644 , 0.052554 , 0.037903 , 0.029031 , 0.028934 , 0.027316 , 0.02801 , 0.024604 , 0.028466 , 0.022358 , 0.040869 , 0.036225 , 0.039094 , 0.034888 , 0.037004 , 0.018473 , 0.023815 , 0.02242 , 0.018196 , 0.025381 
 336 , 0.017645 , 0.022704 , 0.023973 , 0.026504 , 0.02566 , 0.014402 , 0.017537 , 0.021621 , 0.0248 , 0.024866 , 0.028669 , 0.031455 , 0.024383 , 0.024902 , 0.02826 , 0.022906 , 0.022776 , 0.023278 , 0.022724 , 0.020766 , 0.048351 , 0.053102 , 0.037039 , 0.030143 , 0.029679 , 0.027747 , 0.028565 , 0.024876 , 0.028356 , 0.02283 , 0.0411 , 0.036711 , 0.039182 , 0.035338 , 0.036947 , 0.019774 , 0.025288 , 0.021814 , 0.018846 , 0.025835 
 337 , 0.017308 , 0.022841 , 0.02417 , 0.026958 , 0.025354 , 0.014839 , 0.017796 , 0.021974 , 0.025322 , 0.025292 , 0.028114 , 0.032785 , 0.02488 , 0.025827 , 0.028775 , 0.023714 , 0.022966 , 0.024277 , 0.022939 , 0.021601 , 0.048995 , 0.053567 , 0.036262 , 0.031068 , 0.030318 , 0.028116 , 0.029027 , 0.025058 , 0.028228 , 0.023225 , 0.041231 , 0.037126 , 0.039224 , 0.035736 , 0.036869 , 0.020938 , 0.026591 , 0.021285 , 0.019393 , 0.026257 
 338 , 0.017004 , 0.022947 , 0.024335 , 0.027349 , 0.02508 , 0.015209 , 0.018011 , 0.02225 , 0.025772 , 0.025661 , 0.027621 , 0.033932 , 0.025312 , 0.026595 , 0.029222 , 0.024439 , 0.02312 , 0.02512 , 0.023115 , 0.022327 , 0.049588 , 0.053965 , 0.035554 , 0.031842 , 0.030874 , 0.028435 , 0.029413 , 0.025171 , 0.028087 , 0.023556 , 0.041286 , 0.037483 , 0.039231 , 0.036092 , 0.036775 , 0.02199 , 0.027753 , 0.020819 , 0.019856 , 0.026652 
 339 , 0.016814 , 0.022816 , 0.024523 , 0.027102 , 0.024452 , 0.015085 , 0.01814 , 0.022355 , 0.026145 , 0.025767 , 0.027918 , 0.033938 , 0.025155 , 0.026517 , 0.029123 , 0.024958 , 0.022955 , 0.024596 , 0.02401 , 0.022348 , 0.049695 , 0.05349 , 0.03618 , 0.03183 , 0.031022 , 0.028448 , 0.029799 , 0.025497 , 0.028534 , 0.023358 , 0.040747 , 0.037281 , 0.039075 , 0.03569 , 0.037152 , 0.022017 , 0.026195 , 0.020495 , 0.020175 , 0.026759 
 340 , 0.016657 , 0.022657 , 0.024697 , 0.02677 , 0.023823 , 0.014886 , 0.018237 , 0.022424 , 0.026462 , 0.025817 , 0.028314 , 0.033748 , 0.024913 , 0.026298 , 0.028938 , 0.025398 , 0.022748 , 0.023887 , 0.024954 , 0.022246 , 0.049713 , 0.052909 , 0.036965 , 0.031678 , 0.03109 , 0.028406 , 0.030148 , 0.025836 , 0.029044 , 0.023088 , 0.040147 , 0.037006 , 0.038895 , 0.035197 , 0.037586 , 0.021869 , 0.024375 , 0.020225 , 0.020443 , 0.026812 
 341 , 0.016521 , 0.022519 , 0.024857 , 0.026476 , 0.023265 , 0.014711 , 0.018322 , 0.022499 , 0.026736 , 0.025862 , 0.028657 , 0.033577 , 0.0247 , 0.026101 , 0.02877 , 0.025796 , 0.022558 , 0.023259 , 0.025811 , 0.022151 , 0.049731 , 0.052396 , 0.037662 , 0.031539 , 0.031159 , 0.028371 , 0.030468 , 0.026159 , 0.029515 , 0.022849 , 0.039617 , 0.036769 , 0.038723 , 0.034751 , 0.038006 , 0.021737 , 0.022786 , 0.019986 , 0.020692 , 0.026863 
 342 , 0.016492 , 0.022476 , 0.024849 , 0.02632 , 0.023252 , 0.014486 , 0.01826 , 0.022336 , 0.02672 , 0.025693 , 0.028598 , 0.033303 , 0.02441 , 0.025767 , 0.028378 , 0.025265 , 0.02213 , 0.022802 , 0.025571 , 0.021947 , 0.049791 , 0.052196 , 0.03778 , 0.031265 , 0.031002 , 0.028385 , 0.030239 , 0.025907 , 0.029203 , 0.02262 , 0.0391 , 0.036615 , 0.038516 , 0.034337 , 0.038103 , 0.021533 , 0.022112 , 0.019726 , 0.02048 , 0.026193 
 343 , 0.016574 , 0.022529 , 0.02467 , 0.026304 , 0.0238 , 0.014208 , 0.018047 , 0.021925 , 0.026412 , 0.025304 , 0.028128 , 0.032922 , 0.024041 , 0.02529 , 0.027752 , 0.023786 , 0.021452 , 0.022517 , 0.024199 , 0.021627 , 0.0499 , 0.052313 , 0.037308 , 0.03085 , 0.030609 , 0.028453 , 0.029446 , 0.025054 , 0.028087 , 0.022401 , 0.038591 , 0.036538 , 0.038274 , 0.033952 , 0.037856 , 0.021253 , 0.022342 , 0.019445 , 0.019791 , 0.024804 
 344 , 0.016648 , 0.022576 , 0.024509 , 0.02629 , 0.024292 , 0.013961 , 0.017862 , 0.021555 , 0.026142 , 0.024957 , 0.027711 , 0.032581 , 0.023703 , 0.024862 , 0.027196 , 0.022474 , 0.02085 , 0.022259 , 0.022978 , 0.021342 , 0.049995 , 0.052407 , 0.036886 , 0.030481 , 0.03026 , 0.028526 , 0.028735 , 0.024293 , 0.027092 , 0.022206 , 0.038133 , 0.036449 , 0.03806 , 0.033605 , 0.037624 , 0.021002 , 0.022568 , 0.019195 , 0.019176 , 0.023576 
 345 , 0.016717 , 0.022632 , 0.024396 , 0.026301 , 0.024716 , 0.013769 , 0.01773 , 0.021258 , 0.025935 , 0.024721 , 0.027388 , 0.032324 , 0.023478 , 0.024541 , 0.026759 , 0.021446 , 0.020436 , 0.02209 , 0.022003 , 0.021142 , 0.050089 , 0.052512 , 0.03655 , 0.030198 , 0.029972 , 0.028606 , 0.028157 , 0.023737 , 0.026302 , 0.022099 , 0.037822 , 0.036407 , 0.0379 , 0.03334 , 0.037453 , 0.020811 , 0.022788 , 0.019046 , 0.018712 , 0.02261 
 346 , 0.01677 , 0.022847 , 0.02469 , 0.026584 , 0.024858 , 0.013946 , 0.018017 , 0.021466 , 0.026159 , 0.025419 , 0.027729 , 0.032752 , 0.024251 , 0.025023 , 0.027146 , 0.022235 , 0.021652 , 0.022726 , 0.022626 , 0.021628 , 0.050294 , 0.052924 , 0.03677 , 0.030536 , 0.030054 , 0.028801 , 0.028419 , 0.024816 , 0.026819 , 0.022878 , 0.0388 , 0.036956 , 0.038187 , 0.033715 , 0.03783 , 0.021094 , 0.022989 , 0.019822 , 0.019384 , 0.023195 
 347 , 0.016822 , 0.02304 , 0.024953 , 0.026838 , 0.024981 , 0.014105 , 0.018271 , 0.021646 , 0.026355 , 0.026045 , 0.028026 , 0.033121 , 0.024954 , 0.025451 , 0.027476 , 0.022941 , 0.022727 , 0.023294 , 0.023162 , 0.022069 , 0.050473 , 0.0533 , 0.036965 , 0.030835 , 0.030115 , 0.028961 , 0.028644 , 0.025761 , 0.027283 , 0.023559 , 0.039678 , 0.037452 , 0.038427 , 0.034048 , 0.038165 , 0.021335 , 0.023175 , 0.020513 , 0.01998 , 0.023738 
 348 , 0.016873 , 0.023215 , 0.025191 , 0.027068 , 0.025087 , 0.014249 , 0.018497 , 0.021802 , 0.026531 , 0.02661 , 0.028284 , 0.033442 , 0.025596 , 0.025835 , 0.02776 , 0.023577 , 0.023683 , 0.023806 , 0.023627 , 0.022473 , 0.050631 , 0.053644 , 0.037138 , 0.031102 , 0.03016 , 0.029092 , 0.028839 , 0.026594 , 0.027701 , 0.024158 , 0.040471 , 0.037902 , 0.038628 , 0.034345 , 0.038465 , 0.021544 , 0.023347 , 0.02113 , 0.020513 , 0.024244 
 349 , 0.016943 , 0.023372 , 0.025299 , 0.027191 , 0.025339 , 0.014444 , 0.018708 , 0.022017 , 0.026725 , 0.026565 , 0.028489 , 0.03364 , 0.025706 , 0.026172 , 0.027784 , 0.02369 , 0.02365 , 0.024075 , 0.02381 , 0.022502 , 0.050396 , 0.053714 , 0.037375 , 0.031306 , 0.030284 , 0.02904 , 0.029113 , 0.02648 , 0.027772 , 0.024197 , 0.040747 , 0.038054 , 0.038715 , 0.034592 , 0.038259 , 0.021439 , 0.023086 , 0.021045 , 0.020521 , 0.024759 
