DHT_00005.ref_DHT_DARK.spu,DHT_00004.ref_DHT_DARK.spu,DHT_00003.ref_DHT_DARK.spu,
Wavelength,DHT_00010_B1_NP.spu,DHT_00011_B1_NP.spu,DHT_00012_B1_NP.spu,DHT_00013_B1_NP.spu,DHT_00014_B1_NP.spu,DHT_00015_B1_P.spu,DHT_00016_B1_P.spu,DHT_00017_B1_P.spu,DHT_00018_B1_P.spu,DHT_00019_B1_P.spu,DHT_00020_B1_CT2.spu,DHT_00021_B1_CT2.spu,DHT_00022_B1_CT2.spu,DHT_00023_B1_CT2.spu,DHT_00024_B1_CT2.spu,DHT_00025_B1_CT1.spu,DHT_00026_B1_CT1.spu,DHT_00027_B1_CT1.spu,DHT_00028_B1_CT1.spu,DHT_00029_B1_CT1.spu,DHT_00030_B1_N.spu,DHT_00031_B1_N.spu,DHT_00032_B1_N.spu,DHT_00033_B1_N.spu,DHT_00034_B1_N.spu,DHT_00035_B1_EXNP-SF.spu,DHT_00036_B1_EXNP-SF.spu,DHT_00037_B1_EXNP-SF.spu,DHT_00038_B1_EXNP-SF.spu,DHT_00039_B1_EXNP-SF.spu,DHT_00040_B1_EXNP-LF.spu,DHT_00041_B1_EXNP-LF.spu,DHT_00042_B1_EXNP-LF.spu,DHT_00043_B1_EXNP-LF.spu,DHT_00044_B1_EXNP-LF.spu,DHT_00045_B1_EXCT-SF.spu,DHT_00046_B1_EXCT-SF.spu,DHT_00047_B1_EXCT-SF.spu,DHT_00048_B1_EXCT-SF.spu,DHT_00049_B1_EXCT-SF.spu,DHT_00050_B1_EXCT-LF.spu,DHT_00051_B1_EXCT-LF.spu,DHT_00052_B1_EXCT-LF.spu,DHT_00053_B1_EXCT-LF.spu,DHT_00054_B1_EXCT-LF.spu,DHT_00055_B2_NP.spu,DHT_00056_B2_NP.spu,DHT_00057_B2_NP.spu,DHT_00058_B2_NP.spu,DHT_00059_B2_NP.spu,DHT_00060_B2_CT2.spu,DHT_00061_B2_CT2.spu,DHT_00062_B2_CT2.spu,DHT_00063_B2_CT2.spu,DHT_00064_B2_CT2.spu,DHT_00065_B2_EXCT-LF.spu,DHT_00066_B2_EXCT-LF.spu,DHT_00067_B2_EXCT-LF.spu,DHT_00068_B2_EXCT-LF.spu,DHT_00069_B2_EXCT-LF.spu,DHT_00070_B2_EXCT-SF.spu,DHT_00071_B2_EXCT-SF.spu,DHT_00072_B2_EXCT-SF.spu,DHT_00073_B2_EXCT-SF.spu,DHT_00074_B2_EXCT-SF.spu,DHT_00075_B2_CT1.spu,DHT_00076_B2_CT1.spu,DHT_00077_B2_CT1.spu,DHT_00078_B2_CT1.spu,DHT_00079_B2_CT1.spu,DHT_00080_B2_N.spu,DHT_00081_B2_N.spu,DHT_00082_B2_N.spu,DHT_00083_B2_N.spu,DHT_00084_B2_N.spu,DHT_00085_B2_P.spu,DHT_00086_B2_P.spu,DHT_00087_B2_P.spu,DHT_00088_B2_P.spu,DHT_00089_B2_P.spu,DHT_00090_B2_EXNP-LF.spu,DHT_00091_B2_EXNP-LF.spu,DHT_00092_B2_EXNP-LF.spu,DHT_00093_B2_EXNP-LF.spu,DHT_00094_B2_EXNP-LF.spu,DHT_00095_B2_EXNP-SF.spu,DHT_00096_B2_EXNP-SF.spu,DHT_00097_B2_EXNP-SF.spu,DHT_00098_B2_EXNP-SF.spu,DHT_00099_B2_EXNP-SF.spu,DHT_00100_B3_NP.spu,DHT_00101_B3_NP.spu,DHT_00102_B3_NP.spu,DHT_00103_B3_NP.spu,DHT_00104_B3_NP.spu,DHT_00105_B3_CT2.spu,DHT_00106_B3_CT2.spu,DHT_00107_B3_CT2.spu,DHT_00108_B3_CT2.spu,DHT_00109_B3_CT2.spu,DHT_00110_B3_EXCT-L.spu,DHT_00111_B3_EXCT-L.spu,DHT_00112_B3_EXCT-L.spu,DHT_00113_B3_EXCT-L.spu,DHT_00114_B3_EXCT-L.spu,DHT_00115_B3_EXCT-S.spu,DHT_00116_B3_EXCT-S.spu,DHT_00117_B3_EXCT-S.spu,DHT_00118_B3_EXCT-S.spu,DHT_00119_B3_EXCT-S.spu,DHT_00120_B3_CT1.spu,DHT_00121_B3_CT1.spu,DHT_00122_B3_CT1.spu,DHT_00123_B3_CT1.spu,DHT_00124_B3_CT1.spu,DHT_00125_B3_N.spu,DHT_00126_B3_N.spu,DHT_00127_B3_N.spu,DHT_00128_B3_N.spu,DHT_00129_B3_N.spu,DHT_00130_B3_EXNP-L.spu,DHT_00131_B3_EXNP-L.spu,DHT_00132_B3_EXNP-L.spu,DHT_00133_B3_EXNP-L.spu,DHT_00134_B3_EXNP-L.spu,DHT_00135_B3_EXNP-S.spu,DHT_00136_B3_EXNP-S.spu,DHT_00137_B3_EXNP-S.spu,DHT_00138_B3_EXNP-S.spu,DHT_00139_B3_EXNP-S.spu,DHT_00140_B3_P.spu,DHT_00141_B3_P.spu,DHT_00142_B3_P.spu,DHT_00143_B3_P.spu,DHT_00144_B3_P.spu
 377 , 0.031616 , 0.055075 , 0.029569 , 0.057363 , 0.05206 , 0.068599 , 0.061426 , 0.041747 , 0.041846 , 0.071243 , 0.055507 , 0.056116 , 0.062925 , 0.045393 , 0.040868 , 0.037724 , 0.03011 , 0.044573 , 0.043996 , 0.038185 , 0.051676 , 0.077659 , 0.086713 , 0.043486 , 0.051993 , 0.070981 , 0.054277 , 0.059991 , 0.045731 , 0.03261 , 0.051241 , 0.037086 , 0.058768 , 0.055698 , 0.051695 , 0.051354 , 0.04499 , 0.042556 , 0.049123 , 0.049891 , 0.056796 , 0.064388 , 0.045412 , 0.045231 , 0.048032 , 0.067767 , 0.083845 , 0.044904 , 0.052 , 0.059084 , 0.042114 , 0.033861 , 0.032094 , 0.039601 , 0.060305 , 0.054847 , 0.055429 , 0.037501 , 0.031086 , 0.04314 , 0.036117 , 0.044415 , 0.045207 , 0.041228 , 0.054401 , 0.036017 , 0.039703 , 0.029994 , 0.034004 , 0.039352 , 0.04171 , 0.034149 , 0.034633 , 0.079514 , 0.08063 , 0.042968 , 0.051228 , 0.03127 , 0.058236 , 0.056342 , 0.057178 , 0.055837 , 0.071602 , 0.078109 , 0.071806 , 0.039804 , 0.063325 , 0.050742 , 0.030488 , 0.024745 , 0.047665 , 0.029638 , 0.044181 , 0.041478 , 0.028373 , 0.057685 , 0.055137 , 0.030425 , 0.03954 , 0.050519 , 0.051332 , 0.031117 , 0.036673 , 0.032437 , 0.037874 , 0.027583 , 0.037793 , 0.039896 , 0.044041 , 0.048486 , 0.063932 , 0.050967 , 0.054264 , 0.037894 , 0.064489 , 0.025468 , 0.027126 , 0.034346 , 0.057674 , 0.034862 , 0.026108 , 0.050908 , 0.066527 , 0.085015 , 0.053035 , 0.038063 , 0.044093 , 0.039935 , 0.037624 , 0.021864 , 0.063443 , 0.066539 , 0.061123 , 0.05304 , 0.058694 
 378 , 0.031349 , 0.054857 , 0.029487 , 0.057399 , 0.052079 , 0.06821 , 0.061906 , 0.041861 , 0.041864 , 0.070955 , 0.055548 , 0.055828 , 0.062253 , 0.045195 , 0.040642 , 0.037485 , 0.030035 , 0.044415 , 0.043567 , 0.037893 , 0.051061 , 0.076869 , 0.085742 , 0.043035 , 0.051657 , 0.0701 , 0.05371 , 0.059656 , 0.045211 , 0.032233 , 0.051069 , 0.036709 , 0.058431 , 0.055204 , 0.051632 , 0.051349 , 0.044635 , 0.042203 , 0.048692 , 0.04938 , 0.056387 , 0.063775 , 0.044786 , 0.044666 , 0.047623 , 0.067444 , 0.083419 , 0.044602 , 0.05167 , 0.058787 , 0.041853 , 0.03342 , 0.031818 , 0.039254 , 0.059801 , 0.054529 , 0.05548 , 0.03761 , 0.031028 , 0.042972 , 0.035787 , 0.044206 , 0.044715 , 0.040823 , 0.05394 , 0.035277 , 0.039145 , 0.029506 , 0.033569 , 0.038519 , 0.041141 , 0.033671 , 0.0341 , 0.078458 , 0.079624 , 0.042611 , 0.050692 , 0.0308 , 0.057742 , 0.055887 , 0.056837 , 0.056093 , 0.071935 , 0.078181 , 0.071628 , 0.03997 , 0.063682 , 0.050988 , 0.030502 , 0.024828 , 0.047799 , 0.029627 , 0.044517 , 0.041683 , 0.028468 , 0.057895 , 0.055566 , 0.03052 , 0.039476 , 0.050752 , 0.051815 , 0.031152 , 0.036861 , 0.032562 , 0.038217 , 0.027702 , 0.037998 , 0.040209 , 0.044323 , 0.04888 , 0.063953 , 0.051111 , 0.054735 , 0.038207 , 0.064862 , 0.025499 , 0.027165 , 0.034407 , 0.057817 , 0.034893 , 0.026174 , 0.050962 , 0.066765 , 0.085183 , 0.053148 , 0.038408 , 0.044495 , 0.040106 , 0.037918 , 0.021957 , 0.063821 , 0.06672 , 0.060788 , 0.053323 , 0.058744 
 379 , 0.031146 , 0.054785 , 0.029462 , 0.057399 , 0.052153 , 0.067809 , 0.062116 , 0.042043 , 0.041942 , 0.070732 , 0.055496 , 0.055502 , 0.061723 , 0.045007 , 0.040448 , 0.037282 , 0.029917 , 0.04414 , 0.043135 , 0.037561 , 0.050643 , 0.076163 , 0.084884 , 0.042644 , 0.051224 , 0.069468 , 0.05316 , 0.059255 , 0.044829 , 0.031923 , 0.050845 , 0.036438 , 0.058209 , 0.054793 , 0.051556 , 0.051126 , 0.044263 , 0.041871 , 0.048244 , 0.048923 , 0.055942 , 0.063209 , 0.044274 , 0.044191 , 0.04727 , 0.067174 , 0.082836 , 0.044305 , 0.051367 , 0.058478 , 0.041517 , 0.033062 , 0.031537 , 0.038914 , 0.059369 , 0.054151 , 0.055506 , 0.037799 , 0.031005 , 0.0429 , 0.03546 , 0.043868 , 0.044257 , 0.040385 , 0.053463 , 0.034682 , 0.038646 , 0.029104 , 0.033168 , 0.037824 , 0.040571 , 0.033285 , 0.033661 , 0.077433 , 0.078645 , 0.042202 , 0.050123 , 0.030351 , 0.057261 , 0.055389 , 0.056438 , 0.056296 , 0.072296 , 0.078318 , 0.071534 , 0.040189 , 0.064047 , 0.051251 , 0.030615 , 0.024923 , 0.047983 , 0.029681 , 0.044799 , 0.041889 , 0.028602 , 0.058201 , 0.056022 , 0.030676 , 0.039494 , 0.051009 , 0.052302 , 0.031266 , 0.03708 , 0.032753 , 0.038585 , 0.027854 , 0.038207 , 0.040545 , 0.044693 , 0.049263 , 0.064072 , 0.051313 , 0.05518 , 0.038524 , 0.065314 , 0.025521 , 0.027252 , 0.034493 , 0.057976 , 0.034988 , 0.026238 , 0.051116 , 0.066988 , 0.085382 , 0.053293 , 0.038803 , 0.044909 , 0.040266 , 0.038205 , 0.022053 , 0.064138 , 0.066928 , 0.060829 , 0.053528 , 0.058888 
 380 , 0.031047 , 0.055021 , 0.029558 , 0.057418 , 0.052419 , 0.067403 , 0.061963 , 0.042365 , 0.042149 , 0.070684 , 0.055281 , 0.055105 , 0.06145 , 0.044824 , 0.040315 , 0.037161 , 0.029745 , 0.043666 , 0.04268 , 0.037163 , 0.050593 , 0.075621 , 0.084191 , 0.042356 , 0.050558 , 0.069282 , 0.052695 , 0.058781 , 0.044713 , 0.031721 , 0.050488 , 0.036371 , 0.058186 , 0.054545 , 0.051451 , 0.050585 , 0.043829 , 0.041606 , 0.047806 , 0.04858 , 0.055456 , 0.062731 , 0.043974 , 0.043855 , 0.047089 , 0.066987 , 0.081997 , 0.044034 , 0.051118 , 0.058181 , 0.041059 , 0.03288 , 0.031299 , 0.038584 , 0.059094 , 0.053634 , 0.055491 , 0.038157 , 0.031056 , 0.043038 , 0.035154 , 0.043291 , 0.043859 , 0.039852 , 0.052953 , 0.034388 , 0.038297 , 0.028857 , 0.032843 , 0.037397 , 0.039996 , 0.033087 , 0.033391 , 0.076459 , 0.077733 , 0.041696 , 0.049495 , 0.029938 , 0.056788 , 0.054803 , 0.055974 , 0.056406 , 0.072729 , 0.078565 , 0.071571 , 0.040543 , 0.06445 , 0.051576 , 0.030943 , 0.025043 , 0.048284 , 0.02987 , 0.044987 , 0.042096 , 0.028822 , 0.058715 , 0.056548 , 0.030954 , 0.039668 , 0.051318 , 0.052811 , 0.031556 , 0.037384 , 0.033105 , 0.039005 , 0.028087 , 0.038435 , 0.040935 , 0.045246 , 0.049643 , 0.064398 , 0.05164 , 0.055569 , 0.038857 , 0.065943 , 0.025539 , 0.027429 , 0.034637 , 0.058176 , 0.035211 , 0.026303 , 0.051451 , 0.067204 , 0.085632 , 0.053525 , 0.039316 , 0.045367 , 0.040399 , 0.038483 , 0.022155 , 0.064359 , 0.06718 , 0.061515 , 0.053561 , 0.05922 
 381 , 0.030962 , 0.055366 , 0.029712 , 0.057607 , 0.052815 , 0.067153 , 0.062011 , 0.042684 , 0.042373 , 0.070766 , 0.055182 , 0.054828 , 0.061298 , 0.04472 , 0.040271 , 0.037106 , 0.029646 , 0.043327 , 0.042348 , 0.036873 , 0.050655 , 0.075276 , 0.083726 , 0.042201 , 0.050027 , 0.069292 , 0.052408 , 0.058519 , 0.044708 , 0.031608 , 0.05027 , 0.036414 , 0.058316 , 0.054465 , 0.051501 , 0.050242 , 0.043533 , 0.041486 , 0.047542 , 0.048381 , 0.055189 , 0.062472 , 0.043813 , 0.043668 , 0.047069 , 0.066977 , 0.081468 , 0.043906 , 0.051032 , 0.058109 , 0.040742 , 0.032816 , 0.031174 , 0.038359 , 0.058983 , 0.053271 , 0.055557 , 0.038493 , 0.031112 , 0.043231 , 0.034972 , 0.042891 , 0.043622 , 0.03944 , 0.052606 , 0.034248 , 0.038121 , 0.028709 , 0.032657 , 0.037137 , 0.0396 , 0.033032 , 0.033265 , 0.075795 , 0.077124 , 0.041345 , 0.049063 , 0.029665 , 0.05651 , 0.054401 , 0.055692 , 0.056506 , 0.073137 , 0.078784 , 0.071649 , 0.040894 , 0.064819 , 0.051885 , 0.031259 , 0.025143 , 0.04855 , 0.030033 , 0.045154 , 0.042263 , 0.029025 , 0.059178 , 0.05703 , 0.031205 , 0.039801 , 0.051577 , 0.053301 , 0.031838 , 0.037674 , 0.033457 , 0.039403 , 0.028307 , 0.038645 , 0.041297 , 0.045772 , 0.04999 , 0.064714 , 0.051962 , 0.055941 , 0.039173 , 0.066563 , 0.025553 , 0.027595 , 0.034771 , 0.058365 , 0.035424 , 0.026374 , 0.05176 , 0.067425 , 0.08585 , 0.053757 , 0.039827 , 0.045816 , 0.040505 , 0.038739 , 0.022244 , 0.064564 , 0.067423 , 0.062116 , 0.053585 , 0.059537 
 382 , 0.030885 , 0.05578 , 0.029903 , 0.0579 , 0.053292 , 0.066994 , 0.062176 , 0.043005 , 0.042607 , 0.070926 , 0.055149 , 0.054616 , 0.061217 , 0.044662 , 0.040281 , 0.03709 , 0.02959 , 0.043063 , 0.042085 , 0.036642 , 0.050784 , 0.075046 , 0.083392 , 0.042122 , 0.049571 , 0.069416 , 0.052224 , 0.058378 , 0.044769 , 0.031546 , 0.050133 , 0.036519 , 0.058538 , 0.054481 , 0.051645 , 0.050012 , 0.043315 , 0.041452 , 0.047381 , 0.048268 , 0.055046 , 0.062336 , 0.043736 , 0.043567 , 0.047145 , 0.067071 , 0.081118 , 0.043859 , 0.05104 , 0.058169 , 0.040503 , 0.032818 , 0.031116 , 0.038194 , 0.058969 , 0.052994 , 0.055673 , 0.038821 , 0.031171 , 0.043456 , 0.03486 , 0.042591 , 0.043478 , 0.039094 , 0.052351 , 0.034197 , 0.038045 , 0.028617 , 0.032548 , 0.036971 , 0.039309 , 0.03306 , 0.033223 , 0.075306 , 0.076685 , 0.041081 , 0.048744 , 0.029473 , 0.056344 , 0.054106 , 0.055516 , 0.056604 , 0.073534 , 0.078989 , 0.071752 , 0.041245 , 0.06517 , 0.052187 , 0.031572 , 0.025228 , 0.048796 , 0.030183 , 0.045309 , 0.042408 , 0.029221 , 0.059614 , 0.057491 , 0.031441 , 0.039908 , 0.051806 , 0.053782 , 0.032118 , 0.037957 , 0.03381 , 0.039795 , 0.02852 , 0.038846 , 0.041648 , 0.046287 , 0.05032 , 0.065031 , 0.052284 , 0.056304 , 0.039483 , 0.067184 , 0.025568 , 0.027754 , 0.0349 , 0.05855 , 0.035634 , 0.026449 , 0.052058 , 0.06765 , 0.086049 , 0.05399 , 0.040341 , 0.046266 , 0.040597 , 0.038987 , 0.022325 , 0.064763 , 0.06766 , 0.06267 , 0.053602 , 0.05985 
 383 , 0.030509 , 0.055787 , 0.029887 , 0.057977 , 0.053381 , 0.066938 , 0.062276 , 0.043186 , 0.042743 , 0.070821 , 0.055119 , 0.054552 , 0.06098 , 0.044514 , 0.0401 , 0.037031 , 0.029049 , 0.042834 , 0.041784 , 0.036452 , 0.050312 , 0.074343 , 0.082587 , 0.041751 , 0.049055 , 0.068742 , 0.052086 , 0.057965 , 0.044562 , 0.031577 , 0.049948 , 0.036454 , 0.058516 , 0.054309 , 0.051337 , 0.049513 , 0.04308 , 0.041104 , 0.047029 , 0.047997 , 0.05455 , 0.061891 , 0.043391 , 0.04315 , 0.046849 , 0.06673 , 0.080753 , 0.043659 , 0.051013 , 0.058079 , 0.040461 , 0.032599 , 0.030947 , 0.037863 , 0.058673 , 0.052538 , 0.055567 , 0.038792 , 0.031263 , 0.043426 , 0.034537 , 0.042108 , 0.043234 , 0.038809 , 0.0518 , 0.033383 , 0.037524 , 0.028212 , 0.032121 , 0.036535 , 0.038943 , 0.032642 , 0.032852 , 0.074633 , 0.075825 , 0.040676 , 0.048385 , 0.029239 , 0.055827 , 0.053449 , 0.05523 , 0.056788 , 0.073834 , 0.079162 , 0.071327 , 0.041392 , 0.065584 , 0.052445 , 0.031526 , 0.025315 , 0.048916 , 0.030175 , 0.045554 , 0.042561 , 0.029234 , 0.059738 , 0.05775 , 0.031303 , 0.039986 , 0.051926 , 0.054036 , 0.032303 , 0.037985 , 0.033851 , 0.040051 , 0.028614 , 0.038933 , 0.04186 , 0.046647 , 0.050477 , 0.065114 , 0.052334 , 0.056723 , 0.039619 , 0.067661 , 0.025581 , 0.02779 , 0.035088 , 0.058676 , 0.035698 , 0.026434 , 0.05201 , 0.067806 , 0.086091 , 0.05414 , 0.040914 , 0.046801 , 0.040851 , 0.039181 , 0.022424 , 0.064881 , 0.067882 , 0.062663 , 0.053669 , 0.059941 
 384 , 0.030147 , 0.055808 , 0.029881 , 0.058091 , 0.053472 , 0.066922 , 0.062402 , 0.043344 , 0.042868 , 0.070734 , 0.05513 , 0.054548 , 0.060802 , 0.044415 , 0.039959 , 0.037023 , 0.028541 , 0.042663 , 0.041546 , 0.036314 , 0.049913 , 0.07377 , 0.081914 , 0.041435 , 0.048617 , 0.06816 , 0.052017 , 0.057633 , 0.044421 , 0.031663 , 0.049848 , 0.036444 , 0.058611 , 0.054214 , 0.051098 , 0.049081 , 0.042936 , 0.040825 , 0.046776 , 0.047843 , 0.054189 , 0.061578 , 0.043115 , 0.0428 , 0.046624 , 0.066498 , 0.080528 , 0.043527 , 0.051086 , 0.058076 , 0.040485 , 0.032415 , 0.030803 , 0.037583 , 0.058435 , 0.052181 , 0.055486 , 0.038734 , 0.031363 , 0.043406 , 0.034287 , 0.041701 , 0.043078 , 0.038607 , 0.051355 , 0.032638 , 0.037047 , 0.027867 , 0.031753 , 0.036162 , 0.038669 , 0.032276 , 0.032545 , 0.074116 , 0.07511 , 0.040349 , 0.048125 , 0.02908 , 0.055427 , 0.052893 , 0.055003 , 0.056956 , 0.074098 , 0.079318 , 0.07092 , 0.041509 , 0.065957 , 0.052658 , 0.031453 , 0.025391 , 0.04901 , 0.030147 , 0.045776 , 0.042697 , 0.029219 , 0.05983 , 0.057971 , 0.031137 , 0.040039 , 0.052017 , 0.054264 , 0.032471 , 0.037994 , 0.03387 , 0.040281 , 0.028693 , 0.038997 , 0.042054 , 0.04698 , 0.0506 , 0.065174 , 0.052379 , 0.057129 , 0.039745 , 0.068101 , 0.025586 , 0.027817 , 0.035271 , 0.058794 , 0.035757 , 0.026406 , 0.051968 , 0.067946 , 0.086122 , 0.054267 , 0.041478 , 0.047317 , 0.041098 , 0.039359 , 0.022514 , 0.06497 , 0.068092 , 0.062627 , 0.053744 , 0.060016 
 385 , 0.029798 , 0.055846 , 0.029886 , 0.058226 , 0.053573 , 0.066924 , 0.062539 , 0.043497 , 0.042989 , 0.07066 , 0.055163 , 0.054578 , 0.060667 , 0.044345 , 0.039849 , 0.037042 , 0.028066 , 0.042532 , 0.041344 , 0.036209 , 0.049575 , 0.073291 , 0.081332 , 0.041158 , 0.04823 , 0.067655 , 0.051994 , 0.057356 , 0.04433 , 0.031783 , 0.049801 , 0.036472 , 0.058778 , 0.054165 , 0.050912 , 0.048698 , 0.042842 , 0.040598 , 0.046585 , 0.047762 , 0.05392 , 0.061358 , 0.042886 , 0.042499 , 0.046446 , 0.066343 , 0.080385 , 0.043442 , 0.051212 , 0.058127 , 0.040536 , 0.032262 , 0.030679 , 0.037338 , 0.058237 , 0.051888 , 0.055426 , 0.038672 , 0.031468 , 0.043394 , 0.034082 , 0.041344 , 0.04297 , 0.038453 , 0.050985 , 0.031951 , 0.036607 , 0.027561 , 0.031428 , 0.035829 , 0.038442 , 0.031958 , 0.032283 , 0.073693 , 0.074486 , 0.040065 , 0.047923 , 0.028965 , 0.055105 , 0.052404 , 0.054816 , 0.057111 , 0.07434 , 0.079464 , 0.070539 , 0.041611 , 0.066299 , 0.052849 , 0.031377 , 0.025463 , 0.049089 , 0.030112 , 0.045978 , 0.04282 , 0.029195 , 0.059911 , 0.058175 , 0.03096 , 0.040083 , 0.052097 , 0.05448 , 0.032631 , 0.037996 , 0.033884 , 0.040492 , 0.02876 , 0.039045 , 0.042247 , 0.047301 , 0.050711 , 0.065221 , 0.052425 , 0.057528 , 0.039867 , 0.068525 , 0.025591 , 0.027843 , 0.035452 , 0.058906 , 0.035818 , 0.026377 , 0.051939 , 0.068079 , 0.086153 , 0.054377 , 0.042035 , 0.047817 , 0.041337 , 0.039527 , 0.022594 , 0.065038 , 0.068299 , 0.062593 , 0.053825 , 0.060086 
 386 , 0.029725 , 0.056312 , 0.029867 , 0.058523 , 0.053921 , 0.066856 , 0.062666 , 0.043669 , 0.04306 , 0.070587 , 0.055256 , 0.054587 , 0.060661 , 0.044318 , 0.039874 , 0.036963 , 0.027957 , 0.042343 , 0.041235 , 0.036118 , 0.049443 , 0.072948 , 0.081045 , 0.040965 , 0.048065 , 0.067513 , 0.051976 , 0.057549 , 0.044425 , 0.031782 , 0.049783 , 0.036384 , 0.058974 , 0.054247 , 0.051152 , 0.048555 , 0.042828 , 0.040445 , 0.046507 , 0.047636 , 0.053754 , 0.061176 , 0.042768 , 0.042347 , 0.046297 , 0.066337 , 0.080332 , 0.043403 , 0.05147 , 0.058382 , 0.040441 , 0.032061 , 0.030489 , 0.037135 , 0.058266 , 0.051697 , 0.055458 , 0.038715 , 0.031464 , 0.043459 , 0.033937 , 0.041102 , 0.042828 , 0.038312 , 0.050843 , 0.031786 , 0.036337 , 0.027347 , 0.031164 , 0.035555 , 0.03832 , 0.03176 , 0.032224 , 0.073386 , 0.074116 , 0.03978 , 0.047808 , 0.028884 , 0.054913 , 0.052131 , 0.054707 , 0.057291 , 0.074588 , 0.079568 , 0.0706 , 0.04175 , 0.066547 , 0.053028 , 0.031309 , 0.025479 , 0.049199 , 0.030116 , 0.046151 , 0.042854 , 0.029176 , 0.060082 , 0.058339 , 0.03094 , 0.040063 , 0.052152 , 0.054711 , 0.032743 , 0.038045 , 0.033941 , 0.040638 , 0.028777 , 0.039067 , 0.042351 , 0.047482 , 0.050779 , 0.065242 , 0.052543 , 0.057712 , 0.03987 , 0.068814 , 0.0256 , 0.027841 , 0.035461 , 0.058923 , 0.035869 , 0.026372 , 0.051968 , 0.0682 , 0.086201 , 0.054475 , 0.042472 , 0.048246 , 0.04151 , 0.039715 , 0.022655 , 0.065062 , 0.06835 , 0.062529 , 0.054041 , 0.06009 
 387 , 0.029833 , 0.057032 , 0.029833 , 0.058904 , 0.054414 , 0.066742 , 0.062776 , 0.043833 , 0.043101 , 0.070515 , 0.055375 , 0.054574 , 0.060735 , 0.044316 , 0.039986 , 0.036815 , 0.028081 , 0.042121 , 0.041195 , 0.036034 , 0.049442 , 0.072695 , 0.080937 , 0.040832 , 0.048049 , 0.067608 , 0.051961 , 0.058028 , 0.044629 , 0.031704 , 0.049771 , 0.036218 , 0.059167 , 0.054394 , 0.051652 , 0.048571 , 0.042857 , 0.040339 , 0.046506 , 0.047476 , 0.053658 , 0.061029 , 0.042713 , 0.042295 , 0.046162 , 0.066414 , 0.080335 , 0.0434 , 0.051791 , 0.058754 , 0.040245 , 0.031838 , 0.030266 , 0.03697 , 0.058436 , 0.051572 , 0.055544 , 0.038826 , 0.03139 , 0.043569 , 0.033834 , 0.040941 , 0.042658 , 0.038179 , 0.050846 , 0.031963 , 0.036193 , 0.027205 , 0.030942 , 0.035337 , 0.038264 , 0.031649 , 0.032296 , 0.073163 , 0.073919 , 0.039498 , 0.04775 , 0.028822 , 0.054812 , 0.052005 , 0.054653 , 0.05747 , 0.07482 , 0.079628 , 0.070948 , 0.041907 , 0.066723 , 0.053195 , 0.031261 , 0.025458 , 0.049318 , 0.030146 , 0.046302 , 0.042823 , 0.029166 , 0.060307 , 0.058471 , 0.031027 , 0.040001 , 0.052199 , 0.054947 , 0.032819 , 0.038124 , 0.034028 , 0.040737 , 0.028752 , 0.03907 , 0.0424 , 0.047561 , 0.050816 , 0.065249 , 0.052697 , 0.057739 , 0.039792 , 0.069012 , 0.025612 , 0.027827 , 0.035352 , 0.058879 , 0.035905 , 0.026383 , 0.05204 , 0.0683 , 0.086262 , 0.054559 , 0.042813 , 0.048616 , 0.041638 , 0.039911 , 0.0227 , 0.06505 , 0.068305 , 0.062457 , 0.05434 , 0.060053 
 388 , 0.02993 , 0.057706 , 0.029795 , 0.059269 , 0.054873 , 0.066639 , 0.062878 , 0.043984 , 0.043135 , 0.070439 , 0.055486 , 0.054564 , 0.060804 , 0.044321 , 0.040099 , 0.036681 , 0.028204 , 0.041921 , 0.041156 , 0.035956 , 0.049437 , 0.072452 , 0.080828 , 0.040712 , 0.048031 , 0.067707 , 0.05195 , 0.058471 , 0.044821 , 0.031627 , 0.049752 , 0.036057 , 0.059353 , 0.054524 , 0.052124 , 0.048582 , 0.042887 , 0.04024 , 0.046508 , 0.047329 , 0.053563 , 0.060899 , 0.042663 , 0.042252 , 0.046036 , 0.066493 , 0.080333 , 0.043393 , 0.052107 , 0.059117 , 0.04006 , 0.031633 , 0.030059 , 0.036816 , 0.0586 , 0.051455 , 0.055621 , 0.038924 , 0.031313 , 0.043669 , 0.033741 , 0.040796 , 0.0425 , 0.038059 , 0.050853 , 0.032128 , 0.036068 , 0.027068 , 0.030739 , 0.035135 , 0.038216 , 0.031554 , 0.032369 , 0.072963 , 0.073739 , 0.039233 , 0.047694 , 0.028772 , 0.054732 , 0.051899 , 0.054609 , 0.057633 , 0.075021 , 0.079681 , 0.071271 , 0.042044 , 0.066875 , 0.053338 , 0.031206 , 0.025438 , 0.049425 , 0.030177 , 0.04644 , 0.042792 , 0.029159 , 0.060511 , 0.058594 , 0.031105 , 0.039947 , 0.052236 , 0.055171 , 0.032892 , 0.038199 , 0.034106 , 0.040824 , 0.028732 , 0.03907 , 0.042443 , 0.047638 , 0.050853 , 0.065262 , 0.052838 , 0.057768 , 0.039717 , 0.069191 , 0.025623 , 0.02781 , 0.035253 , 0.05883 , 0.035939 , 0.026394 , 0.052101 , 0.068399 , 0.086326 , 0.054637 , 0.043135 , 0.048959 , 0.041763 , 0.040094 , 0.022745 , 0.065042 , 0.068264 , 0.062389 , 0.054625 , 0.060022 
