WSG1_00007.spu,WSG1_00006.spu,WSG1_00005.spu,WSG1_00004.spu,WSG1_00003.spu,
Wavelength,WSG1_00015.spu,WSG1_00016.spu,WSG1_00017.spu,WSG1_00018.spu,WSG1_00019.spu,WSG1_00020.spu,WSG1_00021.spu,WSG1_00022.spu,WSG1_00023.spu,WSG1_00024.spu,WSG1_00025.spu,WSG1_00026.spu,WSG1_00027.spu,WSG1_00028.spu,WSG1_00029.spu,WSG1_00030.spu,WSG1_00031.spu,WSG1_00032.spu,WSG1_00033.spu,WSG1_00034.spu,WSG1_00035.spu,WSG1_00036.spu,WSG1_00037.spu,WSG1_00038.spu,WSG1_00039.spu
  (nm),8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 
  time  ,:31:21 A,:31:32 A,:31:43 A,:31:53 A,:32:01 A,:32:25 A,:32:32 A,:32:41 A,:32:49 A,:32:59 A,:33:22 A,:33:30 A,:33:38 A,:33:47 A,:33:55 A,:34:35 A,:34:45 A,:34:56 A,:35:06 A,:35:14 A,:35:44 A,:35:55 A,:36:12 A,:36:22 A,:36:32 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 323 , 0.008548 , 0.005711 , 0.002874 , 0.00372 , 0.005423 , 0.014281 , 0.010384 , 0.006566 , 0.008313 , 0.006379 , 0.016237 , 0.002906 , 0.00477 , 0.007671 , 0.005835 , 0.016907 , 0.012892 , 0.005574 , 0.005598 , 0.002801 , 0.012461 , 0.003714 , 0.009713 , 0.010399 , 0.010965 
 324 , 0.011062 , 0.008037 , 0.004045 , 0.005282 , 0.006718 , 0.017283 , 0.011645 , 0.008164 , 0.011741 , 0.008957 , 0.018892 , 0.004113 , 0.006731 , 0.008965 , 0.008085 , 0.018993 , 0.015437 , 0.007802 , 0.006872 , 0.003932 , 0.014695 , 0.005181 , 0.012912 , 0.013658 , 0.015441 
 325 , 0.012303 , 0.008954 , 0.00465 , 0.006519 , 0.007599 , 0.018338 , 0.012166 , 0.008572 , 0.013578 , 0.009867 , 0.019384 , 0.004432 , 0.007189 , 0.009138 , 0.008964 , 0.019666 , 0.016767 , 0.009136 , 0.007884 , 0.004521 , 0.015304 , 0.005615 , 0.014288 , 0.015435 , 0.017068 
 326 , 0.011897 , 0.00806 , 0.004562 , 0.007444 , 0.00803 , 0.016768 , 0.011732 , 0.007392 , 0.013452 , 0.008592 , 0.01695 , 0.003553 , 0.005636 , 0.007733 , 0.008092 , 0.018449 , 0.016545 , 0.009392 , 0.008663 , 0.004449 , 0.013702 , 0.004706 , 0.013185 , 0.015368 , 0.014985 
 327 , 0.011571 , 0.007333 , 0.004492 , 0.008192 , 0.008385 , 0.015491 , 0.01138 , 0.006427 , 0.013361 , 0.007551 , 0.014977 , 0.002843 , 0.004386 , 0.006605 , 0.007384 , 0.017461 , 0.016357 , 0.009602 , 0.009303 , 0.004393 , 0.012404 , 0.003964 , 0.012288 , 0.015307 , 0.013293 
 328 , 0.011303 , 0.006731 , 0.004432 , 0.008811 , 0.008682 , 0.014433 , 0.011086 , 0.005623 , 0.013296 , 0.006679 , 0.013348 , 0.002258 , 0.003359 , 0.005678 , 0.006797 , 0.016642 , 0.016195 , 0.009774 , 0.009837 , 0.004349 , 0.01133 , 0.003346 , 0.011545 , 0.015248 , 0.011894 
 329 , 0.008602 , 0.005576 , 0.004044 , 0.007512 , 0.007112 , 0.013254 , 0.010684 , 0.005699 , 0.011656 , 0.006335 , 0.011656 , 0.001469 , 0.002466 , 0.003721 , 0.006182 , 0.014344 , 0.014612 , 0.008413 , 0.008429 , 0.003415 , 0.009719 , 0.002769 , 0.010855 , 0.013133 , 0.010681 
 330 , 0.006241 , 0.004575 , 0.003704 , 0.006354 , 0.005722 , 0.012239 , 0.010334 , 0.00579 , 0.010206 , 0.00606 , 0.010206 , 0.000794 , 0.001714 , 0.002016 , 0.00566 , 0.012347 , 0.013214 , 0.007206 , 0.007182 , 0.002596 , 0.00834 , 0.002278 , 0.010266 , 0.011272 , 0.009646 
 331 , 0.004234 , 0.003718 , 0.003412 , 0.005369 , 0.004538 , 0.011365 , 0.010025 , 0.00586 , 0.00896 , 0.005819 , 0.00896 , 0.000217 , 0.001074 , 0.000554 , 0.005214 , 0.010641 , 0.012015 , 0.006171 , 0.006124 , 0.001899 , 0.007167 , 0.001857 , 0.009757 , 0.009682 , 0.008751 
 332 , 0.004839 , 0.004207 , 0.004659 , 0.005852 , 0.005404 , 0.012303 , 0.010989 , 0.006856 , 0.009738 , 0.006966 , 0.009632 , 0.001237 , 0.002432 , 0.001546 , 0.006211 , 0.01117 , 0.012804 , 0.007152 , 0.007223 , 0.002905 , 0.007936 , 0.002986 , 0.010658 , 0.010588 , 0.009788 
