  time  ,56:51 AM,59:56 AM,00:08 AM,00:20 AM,00:29 AM,00:36 AM,01:00 AM,01:07 AM,01:16 AM,01:24 AM,01:31 AM,02:01 AM,02:18 AM,02:26 AM,02:33 AM,03:42 AM,03:50 AM,03:57 AM,04:05 AM,04:14 AM,06:34 AM,06:46 AM,06:54 AM,07:02 AM,07:11 AM,07:44 AM,07:54 AM,08:02 AM,08:10 AM,08:16 AM,10:33 AM,10:41 AM,10:49 AM,10:59 AM,11:06 AM,11:40 AM,11:48 AM,11:55 AM,12:01 AM,12:10 AM,13:25 AM,13:33 AM,13:40 AM,13:47 AM,13:55 AM,14:39 AM,14:48 AM,14:55 AM,15:03 AM,15:12 AM,15:49 AM,15:58 AM,16:06 AM,16:14 AM,16:21 AM,17:13 AM,17:45 AM,17:53 AM,18:00 AM,18:07 AM,18:45 AM,18:57 AM,19:04 AM,19:12 AM,19:19 AM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 316 , 1.035544 , 0.066054 , 0.06777 , 0.049609 , 0.0555 , 0.057443 , 0.066766 , 0.065107 , 0.065078 , 0.059521 , 0.042758 , 0.055288 , 0.046511 , 0.050373 , 0.05369 , 0.055126 , 0.049491 , 0.058362 , 0.051987 , 0.050373 , 0.031236 , 0.053467 , 0.052686 , 0.050897 , 0.048608 , 0.044657 , 0.03633 , 0.040087 , 0.030651 , 0.045677 , 0.020714 , 0.020844 , 0.012591 , 0.021056 , 0.012364 , 0.028667 , 0.011506 , 0.021178 , 0 , 0.015006 , 0 , 0.005525 , 0.005269 , 0.005371 , 0.005501 , 0.014758 , 0.004529 , 0 , 0.004871 , 0 , 0.023735 , 0.010741 , 0.027069 , 0.004399 , 0.006627 , 0 , 0 , 0 , 0 , 0 , 0.004631 , 0.022727 , 0.004826 , 0 , 0.029045 
 317 , 1.028001 , 0.055853 , 0.059059 , 0.041125 , 0.050274 , 0.049122 , 0.059164 , 0.056844 , 0.054291 , 0.049749 , 0.035159 , 0.047075 , 0.037806 , 0.039312 , 0.046816 , 0.046779 , 0.041147 , 0.050094 , 0.045874 , 0.043347 , 0.025728 , 0.047605 , 0.047293 , 0.044564 , 0.041842 , 0.037172 , 0.028236 , 0.034686 , 0.023908 , 0.038099 , 0.012025 , 0.009461 , 0.005478 , 0.009521 , 0.00538 , 0.023025 , 0.005016 , 0.012202 , 0 , 0.006502 , 0 , 0.002365 , 0.00226 , 0.002365 , 0.002425 , 0.006371 , 0.001971 , 0 , 0.002106 , 0 , 0.019688 , 0.004659 , 0.017488 , 0.001915 , 0.002891 , 0 , 0 , 0 , 0 , 0 , 0.00199 , 0.009652 , 0.002072 , 0 , 0.012802 
 318 , 1.021531 , 0.048585 , 0.053053 , 0.035105 , 0.046973 , 0.043287 , 0.053682 , 0.05075 , 0.046647 , 0.042953 , 0.030004 , 0.041386 , 0.031783 , 0.031172 , 0.041946 , 0.04082 , 0.035463 , 0.04436 , 0.041661 , 0.038419 , 0.022107 , 0.043839 , 0.043607 , 0.04007 , 0.037481 , 0.031884 , 0.022674 , 0.031061 , 0.019703 , 0.03261 , 0.006768 , 0.00206 , 0.002012 , 0.002171 , 0.001629 , 0.019363 , 0.001258 , 0.006501 , 0.000625 , 0.001306 , 0.00073 , 0.000931 , 0.001345 , 0.001928 , 0.001723 , 0.001984 , 0.000785 , 0.001445 , 0.001261 , 0.00082 , 0.017021 , 0.00075 , 0.011281 , 0.000479 , 0.000879 , 0.000354 , 0 , 0 , 0 , 0 , 0.000785 , 0.001167 , 0.001654 , 0.000629 , 0.003502 
 319 , 1.019468 , 0.052625 , 0.05889 , 0.040211 , 0.053307 , 0.048212 , 0.056706 , 0.052715 , 0.050874 , 0.04922 , 0.035851 , 0.047082 , 0.037412 , 0.033805 , 0.046135 , 0.044605 , 0.040934 , 0.048739 , 0.046089 , 0.042399 , 0.027279 , 0.049741 , 0.047566 , 0.043047 , 0.044643 , 0.035972 , 0.027831 , 0.035382 , 0.027527 , 0.035686 , 0.020116 , 0.015073 , 0.01935 , 0.020967 , 0.015762 , 0.025383 , 0.012215 , 0.017609 , 0.006089 , 0.01273 , 0.006986 , 0.009161 , 0.013143 , 0.018543 , 0.016582 , 0.019254 , 0.007724 , 0.014124 , 0.01224 , 0.008094 , 0.020877 , 0.007318 , 0.020911 , 0.004652 , 0.008503 , 0.003442 , 0 , 0 , 0 , 0 , 0.007774 , 0.011461 , 0.01606 , 0.006098 , 0.027726 
 320 , 1.017357 , 0.055926 , 0.063425 , 0.044197 , 0.058352 , 0.05214 , 0.059046 , 0.054293 , 0.054371 , 0.054147 , 0.040326 , 0.051437 , 0.041889 , 0.035933 , 0.049315 , 0.047626 , 0.045326 , 0.052269 , 0.049495 , 0.045498 , 0.031461 , 0.054442 , 0.050613 , 0.045397 , 0.050344 , 0.03923 , 0.03193 , 0.038893 , 0.03374 , 0.038016 , 0.030477 , 0.025021 , 0.032774 , 0.035646 , 0.026837 , 0.03014 , 0.020892 , 0.026387 , 0.010434 , 0.021803 , 0.01176 , 0.015839 , 0.022576 , 0.031419 , 0.02808 , 0.032878 , 0.013354 , 0.024277 , 0.020909 , 0.014082 , 0.023908 , 0.012553 , 0.028701 , 0.007957 , 0.014501 , 0.005891 , 0 , 0 , 0 , 0 , 0.013523 , 0.019813 , 0.027442 , 0.01042 , 0.046628 
 321 , 1.015233 , 0.058697 , 0.067032 , 0.047382 , 0.062473 , 0.055354 , 0.060901 , 0.055596 , 0.057351 , 0.058121 , 0.04383 , 0.054841 , 0.045544 , 0.037701 , 0.051784 , 0.050098 , 0.04895 , 0.055194 , 0.052175 , 0.047966 , 0.034934 , 0.058283 , 0.053011 , 0.047297 , 0.054998 , 0.041889 , 0.035274 , 0.041822 , 0.038803 , 0.03982 , 0.038713 , 0.032803 , 0.043413 , 0.047395 , 0.035735 , 0.033995 , 0.027943 , 0.033506 , 0.013979 , 0.029202 , 0.015488 , 0.02141 , 0.030324 , 0.041632 , 0.037194 , 0.043897 , 0.018054 , 0.032623 , 0.027933 , 0.019153 , 0.02635 , 0.016834 , 0.035171 , 0.010638 , 0.019336 , 0.007887 , 0 , 0 , 0 , 0 , 0.018389 , 0.026785 , 0.036666 , 0.013923 , 0.061747 
 322 , 1.0077 , 0.055783 , 0.061792 , 0.043695 , 0.059758 , 0.053509 , 0.059218 , 0.055841 , 0.05418 , 0.055871 , 0.042484 , 0.051806 , 0.044966 , 0.035592 , 0.050427 , 0.047774 , 0.046745 , 0.053995 , 0.048925 , 0.045054 , 0.033961 , 0.057252 , 0.051585 , 0.046124 , 0.053813 , 0.040627 , 0.033718 , 0.040212 , 0.036826 , 0.03907 , 0.038302 , 0.03373 , 0.042406 , 0.04734 , 0.038369 , 0.033954 , 0.027645 , 0.035296 , 0.01773 , 0.029562 , 0.018069 , 0.021832 , 0.033366 , 0.04301 , 0.037931 , 0.044291 , 0.023645 , 0.033292 , 0.028888 , 0.01824 , 0.02618 , 0.016664 , 0.034692 , 0.011176 , 0.018685 , 0.008985 , 0 , 0.003103 , 0.006577 , 0.012131 , 0.021061 , 0.02457 , 0.035988 , 0.019605 , 0.059232 
 323 , 0.99929 , 0.051757 , 0.054925 , 0.038699 , 0.05558 , 0.050551 , 0.056821 , 0.055754 , 0.049817 , 0.052247 , 0.040009 , 0.047467 , 0.043296 , 0.03274 , 0.048217 , 0.044484 , 0.04328 , 0.05183 , 0.044542 , 0.041105 , 0.031902 , 0.055014 , 0.049318 , 0.04427 , 0.051194 , 0.038471 , 0.031052 , 0.037596 , 0.033212 , 0.037727 , 0.035579 , 0.032642 , 0.038384 , 0.044045 , 0.038827 , 0.032858 , 0.025358 , 0.035339 , 0.020844 , 0.027906 , 0.019942 , 0.02074 , 0.034576 , 0.041713 , 0.036245 , 0.041684 , 0.028293 , 0.031705 , 0.028009 , 0.015851 , 0.025307 , 0.015293 , 0.032352 , 0.011031 , 0.016622 , 0.009589 , 0 , 0.006477 , 0.013436 , 0.02604 , 0.022486 , 0.020264 , 0.032704 , 0.024689 , 0.052302 
 324 , 0.991797 , 0.048509 , 0.049442 , 0.034717 , 0.052211 , 0.04819 , 0.054923 , 0.055679 , 0.046319 , 0.049352 , 0.038047 , 0.043998 , 0.041936 , 0.030464 , 0.04644 , 0.041859 , 0.040493 , 0.050069 , 0.041042 , 0.037953 , 0.030234 , 0.053182 , 0.047509 , 0.042768 , 0.049088 , 0.036731 , 0.028921 , 0.035494 , 0.030326 , 0.036652 , 0.033399 , 0.031771 , 0.035168 , 0.041389 , 0.039137 , 0.032024 , 0.023533 , 0.035375 , 0.023212 , 0.02656 , 0.021434 , 0.019854 , 0.03549 , 0.040607 , 0.03487 , 0.039581 , 0.031688 , 0.030407 , 0.027286 , 0.013969 , 0.024599 , 0.014194 , 0.03047 , 0.01091 , 0.014975 , 0.009982 , 0 , 0.009071 , 0.018441 , 0.037468 , 0.023401 , 0.016906 , 0.030072 , 0.028429 , 0.046785 
 325 , 0.993099 , 0.046448 , 0.046508 , 0.032138 , 0.050679 , 0.046286 , 0.053026 , 0.054553 , 0.044479 , 0.0474 , 0.036936 , 0.042026 , 0.040231 , 0.028743 , 0.044488 , 0.039936 , 0.03911 , 0.048886 , 0.038602 , 0.035781 , 0.028898 , 0.051315 , 0.0461 , 0.04195 , 0.047365 , 0.035296 , 0.02765 , 0.033508 , 0.028639 , 0.035408 , 0.032124 , 0.031243 , 0.033264 , 0.040089 , 0.039131 , 0.030989 , 0.022795 , 0.035641 , 0.024336 , 0.026088 , 0.021705 , 0.020333 , 0.035912 , 0.039805 , 0.034765 , 0.039764 , 0.034588 , 0.029734 , 0.026334 , 0.013484 , 0.024077 , 0.013617 , 0.029291 , 0.01041 , 0.014529 , 0.010807 , 0.00156 , 0.012728 , 0.020736 , 0.044253 , 0.024167 , 0.015403 , 0.029355 , 0.030443 , 0.044267 
