  time  ,:00:35 A,:00:44 A,:00:52 A,:00:58 A,:01:06 A,:02:13 A,:02:18 A,:02:25 A,:02:32 A,:02:40 A,:03:39 A,:03:48 A,:03:54 A,:04:01 A,:04:08 A,:04:23 A,:04:31 A,:04:41 A,:04:49 A,:04:57 A,:05:32 A,:05:42 A,:05:48 A,:05:55 A,:06:01 A,:06:13 A,:06:20 A,:06:28 A,:06:39 A,:06:52 A,:11:10 A,:11:17 A,:11:23 A,:11:30 A,:11:36 A,:11:47 A,:11:52 A,:11:58 A,:12:04 A,:12:15 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 326 , 0.032513 , 0.034872 , 0.029255 , 0.038563 , 0.032387 , 0.037156 , 0.030481 , 0.026434 , 0.036692 , 0.031672 , 0.035148 , 0.0359 , 0.023535 , 0.023029 , 0.021803 , 0.029027 , 0.028064 , 0.037645 , 0.037094 , 0.02395 , 0.036555 , 0.036477 , 0.032547 , 0.02453 , 0.024389 , 0.030947 , 0.036277 , 0.033178 , 0.029136 , 0.023729 , 0.028658 , 0.01997 , 0.031032 , 0.029272 , 0.037471 , 0.02334 , 0.017529 , 0.026235 , 0.025458 , 0.026611 
 327 , 0.031908 , 0.034191 , 0.02754 , 0.037933 , 0.031977 , 0.036966 , 0.030334 , 0.024967 , 0.035029 , 0.031646 , 0.034295 , 0.036118 , 0.022686 , 0.021239 , 0.021887 , 0.028187 , 0.027265 , 0.037076 , 0.035923 , 0.023471 , 0.037168 , 0.037001 , 0.03173 , 0.023492 , 0.023777 , 0.030736 , 0.03586 , 0.032292 , 0.029562 , 0.023674 , 0.028606 , 0.020185 , 0.030841 , 0.029022 , 0.037542 , 0.022596 , 0.018647 , 0.026558 , 0.025841 , 0.026489 
 328 , 0.031401 , 0.033609 , 0.026125 , 0.03742 , 0.031644 , 0.036824 , 0.030208 , 0.023747 , 0.033631 , 0.031634 , 0.033578 , 0.036285 , 0.021975 , 0.019753 , 0.021948 , 0.027498 , 0.026602 , 0.036601 , 0.034955 , 0.023071 , 0.037677 , 0.037475 , 0.031049 , 0.022636 , 0.023254 , 0.030537 , 0.035476 , 0.031554 , 0.029897 , 0.023617 , 0.028541 , 0.020358 , 0.030668 , 0.028808 , 0.037603 , 0.021975 , 0.019556 , 0.02682 , 0.026146 , 0.026364 
 329 , 0.029995 , 0.031615 , 0.024973 , 0.037496 , 0.029951 , 0.035861 , 0.028881 , 0.022505 , 0.032908 , 0.030633 , 0.032613 , 0.035523 , 0.021208 , 0.019547 , 0.021447 , 0.026311 , 0.026336 , 0.034875 , 0.033751 , 0.022437 , 0.035608 , 0.037679 , 0.031762 , 0.022894 , 0.022905 , 0.029212 , 0.034565 , 0.030791 , 0.029199 , 0.022949 , 0.027941 , 0.020008 , 0.030966 , 0.027904 , 0.036619 , 0.021258 , 0.019898 , 0.026306 , 0.02582 , 0.025841 
 330 , 0.028753 , 0.029839 , 0.024002 , 0.037586 , 0.028456 , 0.035012 , 0.027701 , 0.021434 , 0.032302 , 0.029743 , 0.031772 , 0.034833 , 0.020543 , 0.019407 , 0.020996 , 0.025277 , 0.026123 , 0.033353 , 0.032707 , 0.021888 , 0.03375 , 0.037833 , 0.032408 , 0.023153 , 0.022603 , 0.02803 , 0.033756 , 0.030129 , 0.028563 , 0.02235 , 0.02741 , 0.019691 , 0.031245 , 0.027104 , 0.035736 , 0.020636 , 0.020178 , 0.025843 , 0.025526 , 0.025373 
 331 , 0.027684 , 0.028305 , 0.023162 , 0.037668 , 0.027164 , 0.034286 , 0.026683 , 0.020508 , 0.031792 , 0.028973 , 0.031039 , 0.034234 , 0.01997 , 0.019279 , 0.020604 , 0.024384 , 0.025941 , 0.032034 , 0.031793 , 0.021428 , 0.032143 , 0.037941 , 0.032949 , 0.02337 , 0.022341 , 0.027011 , 0.033059 , 0.029549 , 0.02802 , 0.021827 , 0.026962 , 0.019419 , 0.031499 , 0.026418 , 0.034968 , 0.020104 , 0.020429 , 0.025448 , 0.025289 , 0.02497 
 332 , 0.027143 , 0.027209 , 0.023082 , 0.036578 , 0.027116 , 0.03355 , 0.026252 , 0.020006 , 0.031452 , 0.028717 , 0.030736 , 0.033828 , 0.019451 , 0.018871 , 0.020724 , 0.023857 , 0.025251 , 0.031209 , 0.031239 , 0.021169 , 0.03149 , 0.037122 , 0.032452 , 0.022694 , 0.022175 , 0.026675 , 0.031895 , 0.029326 , 0.027518 , 0.021351 , 0.026622 , 0.019102 , 0.031631 , 0.026031 , 0.03471 , 0.020548 , 0.020303 , 0.025408 , 0.025024 , 0.024651 
 333 , 0.026935 , 0.026437 , 0.023447 , 0.03486 , 0.027799 , 0.032846 , 0.026186 , 0.019776 , 0.031229 , 0.028774 , 0.030699 , 0.033549 , 0.01899 , 0.018316 , 0.021139 , 0.02357 , 0.024302 , 0.030705 , 0.030912 , 0.021038 , 0.03142 , 0.0358 , 0.031367 , 0.021532 , 0.022075 , 0.026753 , 0.03052 , 0.029314 , 0.027065 , 0.020919 , 0.026365 , 0.018774 , 0.031684 , 0.025834 , 0.034759 , 0.021535 , 0.019964 , 0.025575 , 0.024756 , 0.024393 
 334 , 0.026718 , 0.025749 , 0.023757 , 0.033356 , 0.028411 , 0.032215 , 0.026128 , 0.019578 , 0.031026 , 0.028822 , 0.030671 , 0.033305 , 0.018583 , 0.017833 , 0.021506 , 0.023316 , 0.023464 , 0.030269 , 0.030625 , 0.020894 , 0.031362 , 0.034636 , 0.030418 , 0.020514 , 0.021989 , 0.026805 , 0.029313 , 0.029293 , 0.026652 , 0.020533 , 0.026139 , 0.018492 , 0.031729 , 0.025638 , 0.034801 , 0.022376 , 0.019658 , 0.025706 , 0.024505 , 0.024151 
 335 , 0.026333 , 0.025367 , 0.024087 , 0.032456 , 0.028786 , 0.031695 , 0.026212 , 0.019523 , 0.030778 , 0.02879 , 0.030582 , 0.032942 , 0.018305 , 0.017608 , 0.02173 , 0.023243 , 0.022907 , 0.030014 , 0.030355 , 0.020829 , 0.031206 , 0.033796 , 0.029838 , 0.019919 , 0.021929 , 0.026818 , 0.028487 , 0.029278 , 0.026437 , 0.02033 , 0.026009 , 0.018433 , 0.031725 , 0.025599 , 0.034761 , 0.022934 , 0.019631 , 0.025684 , 0.024328 , 0.024063 
 336 , 0.025322 , 0.025868 , 0.024597 , 0.033247 , 0.028501 , 0.031371 , 0.026788 , 0.019912 , 0.030321 , 0.0285 , 0.030271 , 0.032103 , 0.018368 , 0.018158 , 0.02156 , 0.023746 , 0.023078 , 0.030267 , 0.030078 , 0.021028 , 0.030689 , 0.033723 , 0.030275 , 0.020508 , 0.021936 , 0.026728 , 0.028636 , 0.029275 , 0.026807 , 0.020669 , 0.02615 , 0.019076 , 0.031565 , 0.026088 , 0.03444 , 0.022803 , 0.020506 , 0.02517 , 0.024343 , 0.024473 
 337 , 0.024447 , 0.026307 , 0.025047 , 0.033918 , 0.028239 , 0.031101 , 0.027285 , 0.020246 , 0.029924 , 0.028246 , 0.029995 , 0.031374 , 0.018418 , 0.018635 , 0.021408 , 0.024177 , 0.023228 , 0.030487 , 0.02983 , 0.021206 , 0.030234 , 0.033674 , 0.030655 , 0.021018 , 0.021934 , 0.026652 , 0.028765 , 0.029279 , 0.027134 , 0.020959 , 0.026274 , 0.019629 , 0.031424 , 0.026508 , 0.034166 , 0.02268 , 0.021279 , 0.024728 , 0.024366 , 0.024824 
 338 , 0.023682 , 0.026694 , 0.025448 , 0.034492 , 0.027998 , 0.030875 , 0.027717 , 0.020535 , 0.029575 , 0.028022 , 0.02975 , 0.030731 , 0.018457 , 0.019054 , 0.021269 , 0.024548 , 0.023359 , 0.03068 , 0.029608 , 0.021366 , 0.029831 , 0.033643 , 0.030989 , 0.021464 , 0.021927 , 0.026586 , 0.028879 , 0.029287 , 0.027426 , 0.021209 , 0.026383 , 0.020108 , 0.031298 , 0.026871 , 0.033929 , 0.022565 , 0.021968 , 0.024346 , 0.024394 , 0.025128 
 339 , 0.024219 , 0.02675 , 0.025724 , 0.034361 , 0.027728 , 0.031175 , 0.027702 , 0.02031 , 0.02963 , 0.02843 , 0.029991 , 0.031527 , 0.018505 , 0.019064 , 0.02117 , 0.024222 , 0.023434 , 0.030903 , 0.029514 , 0.021362 , 0.030251 , 0.034203 , 0.031196 , 0.02152 , 0.022238 , 0.026612 , 0.029388 , 0.028879 , 0.027259 , 0.021205 , 0.027008 , 0.020467 , 0.03166 , 0.027095 , 0.034243 , 0.022881 , 0.021763 , 0.024519 , 0.024495 , 0.025231 
 340 , 0.024915 , 0.02676 , 0.025943 , 0.034128 , 0.027476 , 0.031521 , 0.027607 , 0.020016 , 0.029744 , 0.028908 , 0.030287 , 0.032503 , 0.018544 , 0.018999 , 0.021085 , 0.02381 , 0.023484 , 0.031092 , 0.029449 , 0.021327 , 0.03077 , 0.034804 , 0.031375 , 0.021492 , 0.022562 , 0.026655 , 0.029912 , 0.028438 , 0.02703 , 0.021161 , 0.027655 , 0.02076 , 0.032062 , 0.027267 , 0.034613 , 0.023224 , 0.021427 , 0.024771 , 0.024595 , 0.02529 
 341 , 0.025523 , 0.026789 , 0.026126 , 0.033936 , 0.027255 , 0.031806 , 0.027516 , 0.01975 , 0.02984 , 0.029335 , 0.030549 , 0.033391 , 0.018577 , 0.018932 , 0.021011 , 0.023448 , 0.023514 , 0.031232 , 0.029393 , 0.021288 , 0.031233 , 0.035323 , 0.031551 , 0.021447 , 0.022837 , 0.026697 , 0.030374 , 0.028038 , 0.026823 , 0.021125 , 0.028226 , 0.021011 , 0.032409 , 0.027414 , 0.034932 , 0.023512 , 0.021125 , 0.024991 , 0.024679 , 0.025342 
 342 , 0.025733 , 0.026794 , 0.025981 , 0.033711 , 0.026963 , 0.031809 , 0.027188 , 0.019732 , 0.029879 , 0.029196 , 0.030529 , 0.033638 , 0.018497 , 0.018862 , 0.020937 , 0.023147 , 0.023505 , 0.031102 , 0.029284 , 0.02093 , 0.031444 , 0.035497 , 0.031572 , 0.021261 , 0.022771 , 0.026467 , 0.030577 , 0.027723 , 0.026699 , 0.021014 , 0.028376 , 0.020892 , 0.032562 , 0.027511 , 0.03519 , 0.023331 , 0.020863 , 0.025003 , 0.024517 , 0.025532 
 343 , 0.025545 , 0.026761 , 0.025505 , 0.033444 , 0.026595 , 0.031536 , 0.026617 , 0.01997 , 0.029868 , 0.028475 , 0.030219 , 0.033222 , 0.018304 , 0.01879 , 0.02086 , 0.022904 , 0.023464 , 0.030707 , 0.029119 , 0.020249 , 0.031395 , 0.035327 , 0.031419 , 0.020935 , 0.022364 , 0.025954 , 0.030522 , 0.027493 , 0.026656 , 0.020823 , 0.0281 , 0.020402 , 0.032523 , 0.027561 , 0.03539 , 0.022682 , 0.020638 , 0.024798 , 0.024104 , 0.025864 
 344 , 0.025387 , 0.026709 , 0.025079 , 0.033192 , 0.026261 , 0.031294 , 0.026107 , 0.020188 , 0.029874 , 0.02783 , 0.029939 , 0.032841 , 0.01813 , 0.018729 , 0.020785 , 0.022686 , 0.023436 , 0.030353 , 0.02897 , 0.019642 , 0.031348 , 0.035172 , 0.031261 , 0.020647 , 0.022003 , 0.0255 , 0.030474 , 0.027283 , 0.02661 , 0.020645 , 0.027848 , 0.019964 , 0.032496 , 0.027602 , 0.035571 , 0.022104 , 0.020429 , 0.024603 , 0.023732 , 0.02616 
 345 , 0.025207 , 0.026636 , 0.024704 , 0.032946 , 0.025935 , 0.031049 , 0.025671 , 0.020338 , 0.029876 , 0.027319 , 0.029676 , 0.032521 , 0.017961 , 0.018667 , 0.020713 , 0.022501 , 0.023383 , 0.030058 , 0.028833 , 0.019168 , 0.031306 , 0.035025 , 0.03112 , 0.020417 , 0.021696 , 0.025117 , 0.030379 , 0.027099 , 0.026526 , 0.020467 , 0.027635 , 0.019615 , 0.032489 , 0.027609 , 0.035747 , 0.021597 , 0.020267 , 0.024431 , 0.023415 , 0.026367 
 346 , 0.024546 , 0.026364 , 0.024489 , 0.032643 , 0.025347 , 0.030504 , 0.025548 , 0.019917 , 0.029755 , 0.02765 , 0.029322 , 0.032571 , 0.017661 , 0.018541 , 0.020648 , 0.022511 , 0.022951 , 0.030036 , 0.02869 , 0.019581 , 0.031306 , 0.034863 , 0.031137 , 0.020552 , 0.021629 , 0.025094 , 0.029629 , 0.027019 , 0.025969 , 0.020135 , 0.027611 , 0.019829 , 0.032637 , 0.027303 , 0.036062 , 0.021271 , 0.020476 , 0.02439 , 0.023397 , 0.025818 
 347 , 0.02396 , 0.026132 , 0.024296 , 0.032365 , 0.024831 , 0.030016 , 0.025441 , 0.019543 , 0.02964 , 0.027976 , 0.029012 , 0.032608 , 0.017393 , 0.01843 , 0.020593 , 0.022511 , 0.022567 , 0.03003 , 0.028563 , 0.019946 , 0.031303 , 0.034709 , 0.031157 , 0.020673 , 0.021567 , 0.025068 , 0.02897 , 0.026951 , 0.025478 , 0.019839 , 0.027599 , 0.020023 , 0.032769 , 0.027025 , 0.036342 , 0.020987 , 0.020658 , 0.024361 , 0.023376 , 0.025333 
 348 , 0.023439 , 0.025932 , 0.024122 , 0.032108 , 0.024374 , 0.029576 , 0.025349 , 0.019208 , 0.029529 , 0.028295 , 0.028738 , 0.032633 , 0.01715 , 0.018332 , 0.020544 , 0.022504 , 0.022221 , 0.030037 , 0.028447 , 0.02027 , 0.031298 , 0.034561 , 0.031179 , 0.020782 , 0.02151 , 0.025039 , 0.028385 , 0.026891 , 0.025042 , 0.019572 , 0.027594 , 0.020199 , 0.032888 , 0.02677 , 0.036592 , 0.020735 , 0.020818 , 0.024343 , 0.023353 , 0.024903 
 349 , 0.023385 , 0.026065 , 0.023709 , 0.032135 , 0.02468 , 0.029627 , 0.025444 , 0.019108 , 0.029319 , 0.028144 , 0.02878 , 0.03241 , 0.016937 , 0.018172 , 0.020535 , 0.022293 , 0.022203 , 0.030155 , 0.028628 , 0.020184 , 0.031554 , 0.034607 , 0.031251 , 0.020702 , 0.021293 , 0.024885 , 0.028137 , 0.026673 , 0.024995 , 0.0195 , 0.02759 , 0.020163 , 0.032935 , 0.026715 , 0.036528 , 0.020952 , 0.020723 , 0.024435 , 0.023431 , 0.024833 
