SHB1_00005.ref_SHB1_DARK.spu,SHB1_00004.ref_SHB1_DARK.spu,SHB1_00003.ref_SHB1_DARK.spu,
Wavelength,SHB1_00006_B1_NP.spu,SHB1_00007_B1_NP.spu,SHB1_00008_B1_NP.spu,SHB1_00009_B1_NP.spu,SHB1_00010_B1_NP.spu,SHB1_00011_B1_P.spu,SHB1_00012_B1_P.spu,SHB1_00013_B1_P.spu,SHB1_00014_B1_P.spu,SHB1_00015_B1_P.spu,SHB1_00016_B1_N.spu,SHB1_00017_B1_N.spu,SHB1_00018_B1_N.spu,SHB1_00019_B1_N.spu,SHB1_00020_B1_N.spu,SHB1_00021_B1_CT2.spu,SHB1_00022_B1_CT2.spu,SHB1_00023_B1_CT2.spu,SHB1_00024_B1_CT2.spu,SHB1_00025_B1_CT2.spu
  (nm),7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2
  time  ,4:06 PM",4:33 PM",5:04 PM",5:27 PM",5:47 PM",6:34 PM",6:59 PM",8:21 PM",8:41 PM",9:11 PM",0:17 PM",1:06 PM",1:25 PM",1:47 PM",2:17 PM",3:39 PM",4:03 PM",4:26 PM",4:48 PM",5:04 PM"
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 327 , 0.016012 , 0.014549 , 0.022932 , 0.013914 , 0.024733 , 0.013463 , 0.017534 , 0.022044 , 0.0115 , 0.017541 , 0.018221 , 0.016653 , 0.014199 , 0.020977 , 0.019375 , 0.01615 , 0.008668 , 0.014674 , 0.009011 , 0.013089 
 328 , 0.016073 , 0.014044 , 0.021616 , 0.013099 , 0.024704 , 0.011959 , 0.01912 , 0.021326 , 0.010993 , 0.018366 , 0.017134 , 0.01605 , 0.013112 , 0.01985 , 0.019136 , 0.015578 , 0.007737 , 0.014043 , 0.008644 , 0.012019 
 329 , 0.016759 , 0.01578 , 0.022637 , 0.014554 , 0.025401 , 0.013445 , 0.025643 , 0.021283 , 0.012616 , 0.018728 , 0.017885 , 0.016626 , 0.013985 , 0.020704 , 0.019272 , 0.016543 , 0.008726 , 0.014605 , 0.0098 , 0.013269 
 330 , 0.017364 , 0.017354 , 0.023575 , 0.015863 , 0.026 , 0.014833 , 0.030966 , 0.021267 , 0.014082 , 0.01901 , 0.018576 , 0.01715 , 0.014792 , 0.021491 , 0.019402 , 0.017404 , 0.009616 , 0.015122 , 0.010814 , 0.014403 
 331 , 0.017876 , 0.018719 , 0.02437 , 0.016978 , 0.026485 , 0.016047 , 0.035162 , 0.021253 , 0.015347 , 0.01923 , 0.019154 , 0.017587 , 0.015476 , 0.022147 , 0.019505 , 0.018125 , 0.010363 , 0.015567 , 0.011656 , 0.015369 
 332 , 0.017215 , 0.018792 , 0.023916 , 0.016761 , 0.026004 , 0.016047 , 0.034197 , 0.020922 , 0.01515 , 0.019061 , 0.018913 , 0.017554 , 0.015359 , 0.021732 , 0.01914 , 0.018217 , 0.010498 , 0.015359 , 0.011407 , 0.015384 
 333 , 0.015893 , 0.018107 , 0.022754 , 0.015784 , 0.024975 , 0.015343 , 0.030373 , 0.020423 , 0.01411 , 0.01867 , 0.018205 , 0.017246 , 0.014779 , 0.020721 , 0.018516 , 0.017939 , 0.010271 , 0.014779 , 0.010524 , 0.014842 
 334 , 0.014736 , 0.017502 , 0.021737 , 0.014929 , 0.024078 , 0.014721 , 0.027052 , 0.019987 , 0.013201 , 0.018336 , 0.017581 , 0.016975 , 0.014271 , 0.019832 , 0.017968 , 0.017697 , 0.010075 , 0.014271 , 0.00975 , 0.014369 
 335 , 0.013903 , 0.017154 , 0.021012 , 0.014387 , 0.023344 , 0.014299 , 0.024929 , 0.019704 , 0.012569 , 0.017957 , 0.017101 , 0.016765 , 0.013884 , 0.019211 , 0.017566 , 0.017425 , 0.009995 , 0.013884 , 0.009346 , 0.013949 
 336 , 0.013882 , 0.017539 , 0.021021 , 0.014676 , 0.022936 , 0.014373 , 0.025962 , 0.019847 , 0.012627 , 0.017329 , 0.016929 , 0.01667 , 0.013774 , 0.019246 , 0.017514 , 0.01698 , 0.010276 , 0.013774 , 0.010049 , 0.01359 
 337 , 0.013859 , 0.017857 , 0.021026 , 0.014942 , 0.022578 , 0.014443 , 0.026866 , 0.019957 , 0.012685 , 0.016782 , 0.016786 , 0.016599 , 0.013681 , 0.019285 , 0.017471 , 0.016593 , 0.010512 , 0.013681 , 0.010653 , 0.013276 
 338 , 0.013833 , 0.018121 , 0.021027 , 0.01519 , 0.02226 , 0.014509 , 0.027665 , 0.020042 , 0.012743 , 0.016301 , 0.016667 , 0.016545 , 0.0136 , 0.019325 , 0.017435 , 0.016251 , 0.010713 , 0.0136 , 0.011177 , 0.013 
 339 , 0.014303 , 0.017931 , 0.020949 , 0.015762 , 0.022489 , 0.014946 , 0.028785 , 0.020305 , 0.013056 , 0.016378 , 0.017202 , 0.01656 , 0.013609 , 0.019542 , 0.017757 , 0.016272 , 0.010844 , 0.013544 , 0.011459 , 0.013267 
 340 , 0.0148 , 0.017685 , 0.020862 , 0.016322 , 0.022785 , 0.015396 , 0.029833 , 0.02057 , 0.013374 , 0.016537 , 0.01779 , 0.016588 , 0.013629 , 0.019769 , 0.018106 , 0.01635 , 0.010948 , 0.013498 , 0.01167 , 0.013594 
 341 , 0.015227 , 0.017474 , 0.020778 , 0.016804 , 0.023047 , 0.015783 , 0.030741 , 0.020806 , 0.013646 , 0.016678 , 0.018304 , 0.016613 , 0.013641 , 0.019969 , 0.018414 , 0.016423 , 0.011038 , 0.013457 , 0.011857 , 0.013878 
 342 , 0.015229 , 0.017214 , 0.020576 , 0.016815 , 0.022951 , 0.015966 , 0.031134 , 0.020703 , 0.013868 , 0.016641 , 0.018374 , 0.016465 , 0.013828 , 0.019931 , 0.018367 , 0.016306 , 0.01111 , 0.013462 , 0.011992 , 0.013908 
 343 , 0.0148 , 0.016902 , 0.020255 , 0.016354 , 0.022489 , 0.01595 , 0.031016 , 0.020252 , 0.01405 , 0.016424 , 0.017998 , 0.016138 , 0.014195 , 0.019652 , 0.01796 , 0.015994 , 0.011167 , 0.013516 , 0.012075 , 0.013684 
 344 , 0.014423 , 0.016628 , 0.019972 , 0.015946 , 0.022083 , 0.015945 , 0.030913 , 0.019855 , 0.014214 , 0.016232 , 0.017669 , 0.015848 , 0.01452 , 0.019406 , 0.017601 , 0.015717 , 0.011225 , 0.01357 , 0.01215 , 0.013488 
 345 , 0.014138 , 0.016446 , 0.01975 , 0.015638 , 0.021776 , 0.015953 , 0.03077 , 0.019533 , 0.01438 , 0.016104 , 0.017418 , 0.015635 , 0.014788 , 0.019214 , 0.017301 , 0.015508 , 0.011281 , 0.013626 , 0.012214 , 0.013327 
 346 , 0.014511 , 0.017035 , 0.019886 , 0.016029 , 0.022166 , 0.01607 , 0.030162 , 0.019629 , 0.014756 , 0.016495 , 0.017712 , 0.015993 , 0.014775 , 0.019362 , 0.017272 , 0.015789 , 0.011353 , 0.013739 , 0.012218 , 0.013353 
 347 , 0.014836 , 0.017548 , 0.020018 , 0.016386 , 0.022524 , 0.016164 , 0.029601 , 0.019716 , 0.015085 , 0.016847 , 0.017975 , 0.016317 , 0.014765 , 0.019494 , 0.017245 , 0.016034 , 0.011412 , 0.013834 , 0.012218 , 0.013372 
 348 , 0.01512 , 0.017999 , 0.020146 , 0.016714 , 0.022857 , 0.016237 , 0.029084 , 0.019795 , 0.015376 , 0.017166 , 0.018212 , 0.016611 , 0.014757 , 0.019612 , 0.017221 , 0.016247 , 0.011462 , 0.013913 , 0.012216 , 0.013385 
 349 , 0.015246 , 0.017935 , 0.020173 , 0.016742 , 0.022975 , 0.016105 , 0.028948 , 0.019745 , 0.015307 , 0.017102 , 0.018134 , 0.016522 , 0.01472 , 0.019732 , 0.017237 , 0.016019 , 0.011496 , 0.01374 , 0.012125 , 0.013213 
 350 , 0.015303 , 0.017687 , 0.020159 , 0.016654 , 0.022998 , 0.015908 , 0.028953 , 0.019642 , 0.01511 , 0.016898 , 0.017942 , 0.016296 , 0.014675 , 0.019844 , 0.017266 , 0.015649 , 0.011519 , 0.013488 , 0.012008 , 0.01299 
