  time  ,31:39 PM,31:45 PM,31:54 PM,32:01 PM,32:07 PM,32:17 PM,32:25 PM,32:32 PM,32:38 PM,32:45 PM,33:12 PM,33:21 PM,33:32 PM,33:40 PM,33:49 PM,34:25 PM,34:32 PM,34:39 PM,34:46 PM,34:54 PM,35:42 PM,35:54 PM,36:03 PM,36:10 PM,36:19 PM,37:12 PM,37:19 PM,37:26 PM,37:34 PM,37:41 PM,38:00 PM,38:06 PM,38:13 PM,38:19 PM,38:27 PM,40:26 PM,40:33 PM,40:39 PM,40:46 PM,40:55 PM,41:33 PM,41:41 PM,41:48 PM,41:55 PM,42:01 PM,43:02 PM,43:08 PM,43:17 PM,43:26 PM,43:34 PM,44:54 PM,45:00 PM,45:06 PM,45:14 PM,45:24 PM,46:11 PM,46:17 PM,46:23 PM,46:29 PM,46:35 PM,47:09 PM,47:19 PM,47:25 PM,47:32 PM,47:39 PM,48:15 PM,48:23 PM,48:30 PM,48:37 PM,48:44 PM,49:18 PM,49:24 PM,49:31 PM,49:37 PM,49:43 PM,50:43 PM,50:50 PM,50:58 PM,51:06 PM,51:14 PM,51:56 PM,52:02 PM,52:09 PM,52:18 PM,52:25 PM,53:08 PM,53:16 PM,53:25 PM,53:34 PM,53:41 PM,53:50 PM,53:55 PM,54:01 PM,54:08 PM,54:14 PM,54:34 PM,54:41 PM,54:48 PM,54:54 PM,55:02 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 316 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 317 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 318 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000263 
 319 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002564 
 320 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.0044 
 321 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.005907 
 322 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000853 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000455 , 0 , 0 , 0 , 0 , 0.00089 , 0 , 0 , 0 , 0 , 0 , 0.001311 , 0.000894 , 0 , 0 , 0.002629 , 0 , 0 , 0 , 0 , 0.002499 , 0 , 0 , 0 , 0.002675 , 0 , 0 , 0.000444 , 0 , 0 , 0 , 0 , 0.000429 , 0 , 0.001609 , 0 , 0 , 0 , 0.008891 
 323 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001792 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00095 , 0 , 0 , 0 , 0 , 0.001858 , 0 , 0 , 0 , 0 , 0 , 0.002759 , 0.00188 , 0 , 0 , 0.005514 , 0 , 0 , 0 , 0 , 0.005257 , 0 , 0 , 0 , 0.005571 , 0 , 0 , 0.000925 , 0 , 0 , 0 , 0 , 0.000906 , 0 , 0.003406 , 0 , 0 , 0 , 0.011811 
 324 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002521 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001332 , 0 , 0 , 0 , 0 , 0.002607 , 0 , 0 , 0 , 0 , 0 , 0.003895 , 0.002654 , 0 , 0 , 0.007758 , 0 , 0 , 0 , 0 , 0.007424 , 0 , 0 , 0 , 0.007789 , 0 , 0 , 0.001293 , 0 , 0 , 0 , 0 , 0.001282 , 0 , 0.00484 , 0 , 0 , 0 , 0.014141 
 325 , 0.000152 , 0 , 0 , 0 , 0.000457 , 0 , 0 , 0 , 0.00015 , 0 , 0.000427 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000696 , 0.004057 , 0.000701 , 0 , 0 , 0 , 0.000416 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00015 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000286 , 0.00055 , 0.000145 , 0.000557 , 0.000555 , 0.000844 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00192 , 0 , 0.000137 , 0.000701 , 0 , 0.003454 , 0 , 0 , 0 , 0 , 0 , 0.00505 , 0.003399 , 0 , 0.000297 , 0.010092 , 0 , 0 , 0 , 0.000677 , 0.009385 , 0.000428 , 0 , 0.000551 , 0.009066 , 0 , 0 , 0.002147 , 0.000428 , 0.000295 , 0 , 0 , 0.002568 , 0.00044 , 0.005829 , 0.000142 , 0 , 0 , 0.015367 
