LMAT_00004.spu,LMAT_00003.spu,LMAT_00002.spu,
Wavelength,WSG1_00000.spu,WSG1_00001.spu,WSG1_00002.spu,WSG1_00003.spu,WSG1_00004.spu,WSG1_00005.spu,WSG1_00006.spu,WSG1_00007.spu,WSG1_00008.spu,WSG1_00009.spu,WSG1_00010.spu,WSG1_00011.spu,WSG1_00012.spu,WSG1_00013.spu,WSG1_00014.spu,WSG1_00015.spu,WSG1_00016.spu,WSG1_00017.spu,WSG1_00018.spu,WSG1_00019.spu,WSG1_00020.spu,WSG1_00021.spu,WSG1_00022.spu,WSG1_00023.spu,WSG1_00024.spu
  (nm),7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 
  time  ,02:09 PM,02:17 PM,02:23 PM,02:30 PM,02:36 PM,02:55 PM,03:02 PM,03:08 PM,03:14 PM,03:22 PM,03:46 PM,03:52 PM,03:58 PM,04:04 PM,04:12 PM,04:47 PM,04:54 PM,05:02 PM,05:08 PM,05:13 PM,05:46 PM,05:55 PM,06:04 PM,06:14 PM,06:23 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 330 , 0.003175 , 0.0011 , 0.005112 , 0.003425 , 0.002757 , 0.006181 , 0.006611 , 0.00654 , 0.00941 , 0.004242 , 0.002974 , 0 , 0.002034 , 0.00254 , 0.001012 , 0.014497 , 0.009817 , 0.006654 , 0.004284 , 0.000913 , 0.001614 , 0.009187 , 0.011454 , 0.012793 , 0.013761 
 331 , 0.004426 , 0.001564 , 0.0072 , 0.004823 , 0.003884 , 0.008257 , 0.007662 , 0.008354 , 0.012791 , 0.005965 , 0.004176 , 0 , 0.002896 , 0.003614 , 0.001417 , 0.01699 , 0.011223 , 0.008021 , 0.006023 , 0.000255 , 0.002283 , 0.011165 , 0.014284 , 0.01539 , 0.015958 
 332 , 0.004705 , 0.002088 , 0.007454 , 0.004845 , 0.003993 , 0.00906 , 0.00853 , 0.009211 , 0.013056 , 0.005396 , 0.004324 , 0 , 0.002567 , 0.004414 , 0.001631 , 0.017127 , 0.011241 , 0.00848 , 0.006568 , 0.000491 , 0.002553 , 0.011332 , 0.01497 , 0.016121 , 0.016487 
 333 , 0.004411 , 0.002611 , 0.006637 , 0.004059 , 0.003503 , 0.009078 , 0.00925 , 0.009464 , 0.011494 , 0.003519 , 0.003848 , 0 , 0.001543 , 0.005009 , 0.001726 , 0.015877 , 0.010446 , 0.008384 , 0.006389 , 0.001237 , 0.002574 , 0.010414 , 0.014374 , 0.015718 , 0.015996 
 334 , 0.004152 , 0.003056 , 0.005932 , 0.003372 , 0.003075 , 0.009087 , 0.009878 , 0.009678 , 0.010135 , 0.001887 , 0.003431 , 0 , 0.000644 , 0.005528 , 0.001806 , 0.014786 , 0.009751 , 0.008299 , 0.006232 , 0.001877 , 0.002588 , 0.009628 , 0.013847 , 0.015359 , 0.015559 
 335 , 0.004091 , 0.00355 , 0.00572 , 0.003172 , 0.003131 , 0.009301 , 0.010591 , 0.010107 , 0.009379 , 0.001173 , 0.003376 , 0.000037 , 0.000298 , 0.005948 , 0.002307 , 0.014242 , 0.009587 , 0.008292 , 0.006457 , 0.002914 , 0.002787 , 0.009421 , 0.01374 , 0.015292 , 0.015529 
 336 , 0.004656 , 0.004384 , 0.007006 , 0.004492 , 0.004776 , 0.01026 , 0.011804 , 0.011383 , 0.010318 , 0.003225 , 0.004482 , 0.000209 , 0.001639 , 0.006184 , 0.004346 , 0.015272 , 0.011094 , 0.008549 , 0.007998 , 0.005581 , 0.003657 , 0.010934 , 0.014963 , 0.016164 , 0.01682 
 337 , 0.005135 , 0.00511 , 0.00814 , 0.005637 , 0.006205 , 0.011105 , 0.012865 , 0.012506 , 0.011138 , 0.005022 , 0.005443 , 0.00036 , 0.002764 , 0.006381 , 0.006137 , 0.016181 , 0.012418 , 0.00876 , 0.009331 , 0.007856 , 0.004427 , 0.012273 , 0.016029 , 0.016908 , 0.017934 
 338 , 0.005544 , 0.005748 , 0.009151 , 0.00664 , 0.00746 , 0.011856 , 0.013801 , 0.013502 , 0.011861 , 0.00661 , 0.006286 , 0.000493 , 0.003719 , 0.006548 , 0.007725 , 0.016989 , 0.013592 , 0.008936 , 0.010494 , 0.009816 , 0.005113 , 0.013471 , 0.016968 , 0.01755 , 0.018903 
 339 , 0.005997 , 0.006006 , 0.009618 , 0.006762 , 0.00799 , 0.012539 , 0.013732 , 0.014156 , 0.012686 , 0.007387 , 0.006616 , 0.000957 , 0.004115 , 0.007578 , 0.00762 , 0.017046 , 0.013844 , 0.009304 , 0.010547 , 0.00942 , 0.005023 , 0.013647 , 0.017445 , 0.017711 , 0.019255 
 340 , 0.00641 , 0.006172 , 0.009938 , 0.00672 , 0.008341 , 0.013125 , 0.013502 , 0.014673 , 0.013431 , 0.007931 , 0.006822 , 0.001423 , 0.004378 , 0.00864 , 0.007242 , 0.016967 , 0.013915 , 0.009663 , 0.010406 , 0.008673 , 0.004813 , 0.013635 , 0.0178 , 0.01777 , 0.019457 
 341 , 0.006773 , 0.006314 , 0.010209 , 0.006678 , 0.008647 , 0.013622 , 0.013296 , 0.015116 , 0.014071 , 0.008391 , 0.006999 , 0.001829 , 0.004609 , 0.009567 , 0.006909 , 0.016888 , 0.013975 , 0.009977 , 0.01028 , 0.008015 , 0.004627 , 0.013626 , 0.01812 , 0.017815 , 0.01962 
 342 , 0.007064 , 0.00668 , 0.010461 , 0.006935 , 0.008712 , 0.014051 , 0.013487 , 0.015469 , 0.014353 , 0.008553 , 0.007352 , 0.002122 , 0.004835 , 0.010102 , 0.00725 , 0.01696 , 0.014398 , 0.010599 , 0.010531 , 0.008315 , 0.005076 , 0.01403 , 0.018318 , 0.018123 , 0.019924 
 343 , 0.007288 , 0.007273 , 0.010705 , 0.007504 , 0.008534 , 0.014427 , 0.014082 , 0.015738 , 0.014283 , 0.008424 , 0.007893 , 0.002308 , 0.005059 , 0.01025 , 0.008273 , 0.017189 , 0.01518 , 0.011543 , 0.011173 , 0.009585 , 0.006162 , 0.014856 , 0.018387 , 0.018703 , 0.020384 
 344 , 0.007484 , 0.007791 , 0.010925 , 0.008014 , 0.008376 , 0.014759 , 0.014604 , 0.015963 , 0.014221 , 0.008311 , 0.008378 , 0.00247 , 0.005255 , 0.01038 , 0.009171 , 0.017391 , 0.015843 , 0.012378 , 0.011744 , 0.010702 , 0.00711 , 0.01558 , 0.01843 , 0.01921 , 0.020795 
 345 , 0.007643 , 0.008202 , 0.011095 , 0.008447 , 0.008267 , 0.015035 , 0.015035 , 0.016122 , 0.014189 , 0.008268 , 0.008781 , 0.002611 , 0.005433 , 0.010448 , 0.009903 , 0.017553 , 0.016371 , 0.013038 , 0.012225 , 0.011618 , 0.00786 , 0.016152 , 0.018465 , 0.019653 , 0.021122 
 346 , 0.007602 , 0.007995 , 0.010893 , 0.008521 , 0.008581 , 0.015013 , 0.015013 , 0.015874 , 0.014455 , 0.008939 , 0.008731 , 0.00271 , 0.005644 , 0.009919 , 0.009754 , 0.017503 , 0.016275 , 0.012563 , 0.012246 , 0.011524 , 0.007478 , 0.015818 , 0.018592 , 0.01995 , 0.020933 
 347 , 0.007564 , 0.007814 , 0.010712 , 0.008586 , 0.00885 , 0.014994 , 0.014994 , 0.015656 , 0.014687 , 0.009525 , 0.008686 , 0.002798 , 0.005835 , 0.009453 , 0.009624 , 0.017452 , 0.016197 , 0.012146 , 0.012267 , 0.01144 , 0.007142 , 0.01552 , 0.018711 , 0.020226 , 0.020754 
 348 , 0.00753 , 0.007654 , 0.010547 , 0.008645 , 0.009083 , 0.014978 , 0.014978 , 0.015466 , 0.01489 , 0.010041 , 0.008643 , 0.002875 , 0.006007 , 0.009039 , 0.00951 , 0.017402 , 0.016136 , 0.011775 , 0.012286 , 0.011365 , 0.006843 , 0.015254 , 0.018823 , 0.020481 , 0.020585 
 349 , 0.007882 , 0.007806 , 0.010752 , 0.008883 , 0.009343 , 0.015272 , 0.015305 , 0.015882 , 0.015165 , 0.010245 , 0.008631 , 0.003187 , 0.006036 , 0.009415 , 0.009483 , 0.017811 , 0.016283 , 0.012051 , 0.012326 , 0.011038 , 0.007028 , 0.015305 , 0.019245 , 0.02071 , 0.020851 
 350 , 0.008345 , 0.00806 , 0.011078 , 0.009169 , 0.009598 , 0.015659 , 0.015731 , 0.016485 , 0.01545 , 0.010322 , 0.00863 , 0.003561 , 0.00601 , 0.010039 , 0.009487 , 0.018366 , 0.01649 , 0.012538 , 0.012363 , 0.010642 , 0.007376 , 0.01546 , 0.019749 , 0.020907 , 0.021261 
 351 , 0.008755 , 0.00829 , 0.011371 , 0.009423 , 0.009827 , 0.016006 , 0.016109 , 0.01702 , 0.015709 , 0.010389 , 0.008628 , 0.003893 , 0.005983 , 0.010584 , 0.009489 , 0.018871 , 0.01667 , 0.012969 , 0.01239 , 0.010289 , 0.007689 , 0.015592 , 0.020199 , 0.021075 , 0.021637 
 352 , 0.008949 , 0.008402 , 0.011546 , 0.009569 , 0.00996 , 0.016166 , 0.016381 , 0.017336 , 0.015865 , 0.010327 , 0.008669 , 0.004051 , 0.006042 , 0.010844 , 0.00958 , 0.019097 , 0.016834 , 0.013308 , 0.012397 , 0.010261 , 0.007845 , 0.015726 , 0.020423 , 0.021174 , 0.021814 
 353 , 0.008774 , 0.008313 , 0.011523 , 0.009536 , 0.009928 , 0.016 , 0.016495 , 0.017288 , 0.015844 , 0.010021 , 0.008795 , 0.00391 , 0.006266 , 0.010625 , 0.009849 , 0.018827 , 0.017001 , 0.013525 , 0.012381 , 0.010831 , 0.007728 , 0.015893 , 0.020261 , 0.021167 , 0.021637 
