  time  ,43:20 PM,43:36 PM,43:46 PM,43:59 PM,44:08 PM,45:32 PM,45:47 PM,45:59 PM,46:13 PM,46:25 PM,47:26 PM,47:37 PM,47:47 PM,47:56 PM,48:06 PM,48:43 PM,48:54 PM,49:04 PM,49:14 PM,49:26 PM,51:21 PM,51:33 PM,51:46 PM,51:59 PM,52:12 PM,53:19 PM,53:29 PM,53:40 PM,53:51 PM,54:04 PM,54:33 PM,54:43 PM,55:01 PM,55:15 PM,55:27 PM,56:16 PM,56:26 PM,56:36 PM,56:50 PM,57:00 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 316 , 0.03047 , 0.044029 , 0.041449 , 0.002526 , 0.022228 , 0.051701 , 0.033218 , 0.035461 , 0.030129 , 0.044487 , 0.019628 , 0.025907 , 0.023586 , 0.034984 , 0.033001 , 0.023206 , 0.027766 , 0.038426 , 0.038127 , 0.045585 , 0.019896 , 0.008968 , 0.018747 , 0.011502 , 0.024149 , 0.010792 , 0.018134 , 0.020024 , 0.020272 , 0.025367 , 0.009868 , 0.018068 , 0.00851 , 0.014393 , 0.012616 , 0.026691 , 0.023862 , 0.024747 , 0.011506 , 0.01503 
 317 , 0.032237 , 0.044775 , 0.048104 , 0.001092 , 0.031135 , 0.053627 , 0.035984 , 0.035105 , 0.032241 , 0.045484 , 0.022588 , 0.026735 , 0.030369 , 0.03401 , 0.033389 , 0.027565 , 0.033985 , 0.039504 , 0.042166 , 0.048738 , 0.02234 , 0.013559 , 0.01586 , 0.014839 , 0.026335 , 0.016413 , 0.027405 , 0.024928 , 0.025066 , 0.02793 , 0.014949 , 0.02463 , 0.010259 , 0.021953 , 0.01615 , 0.034297 , 0.030217 , 0.027703 , 0.017398 , 0.019415 
 318 , 0.033602 , 0.044732 , 0.052234 , 0.001194 , 0.037282 , 0.054758 , 0.038065 , 0.034623 , 0.03401 , 0.045583 , 0.024727 , 0.027268 , 0.035106 , 0.033302 , 0.033436 , 0.031137 , 0.038143 , 0.040123 , 0.044911 , 0.050877 , 0.024085 , 0.017085 , 0.014048 , 0.017359 , 0.027921 , 0.0208 , 0.033616 , 0.028332 , 0.028478 , 0.029949 , 0.018879 , 0.029434 , 0.011889 , 0.027082 , 0.018749 , 0.03963 , 0.034506 , 0.029623 , 0.021801 , 0.022539 
 319 , 0.034004 , 0.039634 , 0.044719 , 0.011553 , 0.032381 , 0.051798 , 0.038123 , 0.032826 , 0.035214 , 0.039516 , 0.024313 , 0.02619 , 0.032186 , 0.033281 , 0.031395 , 0.03347 , 0.034063 , 0.038345 , 0.042479 , 0.048759 , 0.023298 , 0.01793 , 0.016897 , 0.017396 , 0.027459 , 0.02197 , 0.027308 , 0.026092 , 0.027423 , 0.030374 , 0.019848 , 0.028235 , 0.014247 , 0.021787 , 0.018638 , 0.035589 , 0.029123 , 0.02732 , 0.021763 , 0.021043 
 320 , 0.034399 , 0.035612 , 0.038775 , 0.019695 , 0.0285 , 0.049491 , 0.038242 , 0.031398 , 0.036253 , 0.034732 , 0.023997 , 0.025369 , 0.029888 , 0.033301 , 0.029777 , 0.035493 , 0.030841 , 0.036957 , 0.040577 , 0.047129 , 0.022696 , 0.018642 , 0.019218 , 0.017457 , 0.027109 , 0.022899 , 0.022298 , 0.024333 , 0.026628 , 0.030727 , 0.020672 , 0.027315 , 0.01606 , 0.017641 , 0.018561 , 0.032413 , 0.024915 , 0.025505 , 0.021754 , 0.019854 
 321 , 0.034784 , 0.032356 , 0.033951 , 0.026254 , 0.025349 , 0.04765 , 0.038406 , 0.030232 , 0.037177 , 0.030859 , 0.023756 , 0.024727 , 0.028035 , 0.033347 , 0.028464 , 0.037292 , 0.028228 , 0.035843 , 0.03905 , 0.04584 , 0.022226 , 0.019257 , 0.021163 , 0.017531 , 0.026841 , 0.023653 , 0.018213 , 0.022911 , 0.026016 , 0.031025 , 0.021386 , 0.026595 , 0.017489 , 0.014311 , 0.018502 , 0.029851 , 0.021537 , 0.024037 , 0.021765 , 0.018888 
 322 , 0.030313 , 0.030656 , 0.028321 , 0.023768 , 0.022153 , 0.044755 , 0.037308 , 0.02928 , 0.035661 , 0.029887 , 0.021977 , 0.023463 , 0.024977 , 0.030913 , 0.026916 , 0.032869 , 0.026374 , 0.032945 , 0.037299 , 0.044856 , 0.019939 , 0.017115 , 0.01906 , 0.014757 , 0.024304 , 0.022013 , 0.016089 , 0.022272 , 0.024801 , 0.029017 , 0.020951 , 0.024884 , 0.015825 , 0.013301 , 0.016238 , 0.025631 , 0.019956 , 0.023666 , 0.020907 , 0.019455 
 323 , 0.025237 , 0.029646 , 0.02338 , 0.019248 , 0.019473 , 0.042027 , 0.036019 , 0.028533 , 0.033695 , 0.029848 , 0.020059 , 0.022219 , 0.022084 , 0.028181 , 0.025532 , 0.02752 , 0.025059 , 0.030022 , 0.03575 , 0.044094 , 0.017527 , 0.014568 , 0.016198 , 0.0117 , 0.021548 , 0.019976 , 0.014853 , 0.021936 , 0.023609 , 0.026695 , 0.020241 , 0.023172 , 0.013563 , 0.013081 , 0.013729 , 0.021554 , 0.019107 , 0.023645 , 0.019942 , 0.020397 
 324 , 0.021211 , 0.028816 , 0.019454 , 0.015692 , 0.017341 , 0.039832 , 0.034951 , 0.027936 , 0.032073 , 0.029784 , 0.01853 , 0.02119 , 0.019777 , 0.026007 , 0.024411 , 0.023309 , 0.02407 , 0.027673 , 0.034489 , 0.043439 , 0.015607 , 0.012544 , 0.01393 , 0.009307 , 0.019351 , 0.018345 , 0.013868 , 0.021645 , 0.022633 , 0.024822 , 0.019628 , 0.021796 , 0.011753 , 0.012905 , 0.011732 , 0.018283 , 0.01843 , 0.023612 , 0.019164 , 0.021213 
 325 , 0.018933 , 0.027184 , 0.017467 , 0.01468 , 0.016945 , 0.038207 , 0.03455 , 0.027873 , 0.031551 , 0.030304 , 0.018109 , 0.02107 , 0.019176 , 0.025835 , 0.024505 , 0.021526 , 0.02397 , 0.027174 , 0.034679 , 0.042986 , 0.014764 , 0.011911 , 0.012931 , 0.009277 , 0.018842 , 0.018498 , 0.014198 , 0.021628 , 0.022707 , 0.024534 , 0.019951 , 0.021421 , 0.012217 , 0.013712 , 0.011416 , 0.017911 , 0.018852 , 0.024648 , 0.01938 , 0.021607 
